schedule_date,schedule_season,home_id,away_id,score_home,home_avg_yards,home_avg_TO,score_away,away_avg_yards,away_avg_TO,total_score,over_under_line,label
1/14/1968,1967,GNB,RAI,33,304.11764705882354,2.5294117647058822,14,361.7647058823529,2.3529411764705883,47,43.0,over
1/12/1969,1968,CLT,NYJ,7,332.5294117647058,2.5294117647058822,16,365.47058823529403,1.8235294117647056,23,40.0,under
1/11/1970,1969,KAN,MIN,23,315.4705882352941,2.588235294117647,7,293.70588235294116,2.235294117647059,30,39.0,under
1/17/1971,1970,CLT,DAL,16,301.4705882352941,2.5294117647058822,13,306.8235294117647,2.0,29,36.0,under
1/16/1972,1971,DAL,MIA,24,342.0,2.176470588235294,3,311.1764705882353,1.7058823529411764,27,34.0,under
1/14/1973,1972,MIA,WAS,14,345.5882352941177,1.9411764705882355,7,297.11764705882354,1.8235294117647056,21,33.0,under
1/13/1974,1973,MIA,MIN,24,297.29411764705884,1.8823529411764703,7,302.0,2.0,31,33.0,under
1/12/1975,1974,MIN,PIT,6,315.5294117647058,1.8823529411764703,16,321.4705882352941,2.647058823529412,22,33.0,under
1/18/1976,1975,DAL,PIT,17,358.3529411764707,2.3529411764705883,21,343.8235294117647,2.588235294117647,38,36.0,over
1/9/1977,1976,MIN,RAI,14,344.8235294117647,2.117647058823529,32,360.05882352941177,1.7647058823529411,46,38.0,over
1/15/1978,1977,DAL,DEN,27,342.9411764705883,1.8235294117647056,10,272.2352941176471,2.176470588235294,37,39.0,under
1/21/1979,1978,DAL,PIT,31,347.5882352941177,2.3529411764705883,35,321.29411764705884,2.764705882352941,66,37.0,over
9/1/1979,1979,TAM,DET,31,243.2352941176471,2.2941176470588243,16,276.2352941176471,2.117647058823529,47,30.0,over
9/2/1979,1979,BUF,MIA,7,279.4705882352941,2.0588235294117645,9,294.5882352941176,2.0,16,39.0,under
9/2/1979,1979,CHI,GNB,6,279.9411764705883,2.235294117647059,3,250.35294117647058,2.5294117647058822,9,31.0,under
9/2/1979,1979,DEN,CIN,10,311.4117647058824,2.0588235294117645,0,300.2352941176472,2.8823529411764706,10,31.5,under
9/2/1979,1979,KAN,CLT,14,295.9411764705883,2.0588235294117645,0,259.70588235294116,2.8823529411764706,14,37.0,under
9/2/1979,1979,RAM,RAI,17,331.1764705882353,3.0,24,303.11764705882354,2.588235294117647,41,36.5,over
