game_id,avg_total_yds,avg_TO
9111966ATL,,
9181966PHI,,
9251966DET,,
1021966ATL,,
1091966WAS,,
10161966ATL,,
10231966GNB,,
10301966ATL,,
11131966ATL,,
11201966NYG,,
11271966CHI,,
1241966MIN,,
12111966ATL,,
12181966ATL,,
9171967CLT,,
9241967SFO,,
1011967GNB,234.94117647058826,3.0588235294117645
1081967ATL,239.11764705882354,3.294117647058824
10151967ATL,240.5882352941176,3.2352941176470584
10221967DET,238.4705882352941,3.117647058823529
10291967ATL,233.17647058823533,2.9411764705882355
1151967DAL,230.52941176470588,3.117647058823529
11121967ATL,228.29411764705884,3.0588235294117645
11191967ATL,229.5882352941176,3.117647058823529
11261967NOR,226.52941176470588,3.0
1231967RAM,221.4117647058824,2.7058823529411766
12101967ATL,221.88235294117646,2.8235294117647056
12171967ATL,221.29411764705884,2.7058823529411766
9141968MIN,224.05882352941174,2.9411764705882355
9221968ATL,227.4705882352941,2.9411764705882355
9291968SFO,219.05882352941174,2.7058823529411766
1061968ATL,210.29411764705884,2.7058823529411766
10131968ATL,223.52941176470588,2.647058823529412
10201968RAM,227.94117647058826,2.7058823529411766
10271968CLE,226.52941176470588,2.4705882352941178
1131968ATL,227.70588235294116,2.647058823529412
11101968ATL,228.2352941176471,2.764705882352941
11171968CHI,234.94117647058826,2.7058823529411766
11241968CRD,231.35294117647058,2.4705882352941178
1211968CLT,229.35294117647058,2.647058823529412
1281968ATL,228.88235294117646,2.588235294117647
12151968ATL,221.88235294117646,2.647058823529412
9211969ATL,230.94117647058826,2.647058823529412
9281969RAM,223.94117647058826,2.647058823529412
1051969ATL,232.4705882352941,2.7058823529411766
10121969ATL,231.2352941176471,2.588235294117647
10191969SFO,233.2352941176471,2.647058823529412
10261969GNB,232.7647058823529,2.764705882352941
1121969ATL,240.11764705882354,2.764705882352941
1191969DET,237.5882352941176,2.9411764705882355
11161969ATL,250.70588235294116,2.8823529411764706
11231969WAS,248.7647058823529,2.8235294117647056
11301969CLT,245.2352941176471,2.5294117647058822
1271969ATL,253.70588235294116,2.411764705882353
12141969PHI,257.9411764705883,2.411764705882353
12211969ATL,254.94117647058826,2.5294117647058822
9201970NOR,262.11764705882354,2.2941176470588243
9271970GNB,271.1764705882353,2.3529411764705883
1041970ATL,283.29411764705884,2.3529411764705883
10111970DAL,272.70588235294116,2.411764705882353
10181970DEN,274.9411764705883,2.5294117647058822
10251970ATL,273.29411764705884,2.5294117647058822
1111970ATL,277.11764705882354,2.588235294117647
1181970RAM,271.8235294117647,2.4705882352941178
11151970PHI,272.8235294117647,2.411764705882353
11221970ATL,272.41176470588243,2.411764705882353
11301970ATL,271.9411764705883,2.2941176470588243
1261970SFO,263.0588235294117,2.235294117647059
12131970ATL,261.29411764705884,2.2941176470588243
12201970ATL,252.35294117647058,2.5294117647058822
9191971ATL,245.88235294117646,2.5294117647058822
9261971RAM,249.70588235294116,2.5294117647058822
1031971DET,263.29411764705884,2.647058823529412
10101971ATL,260.2352941176471,2.8823529411764706
10171971ATL,252.29411764705884,2.8235294117647056
10241971ATL,252.7647058823529,2.764705882352941
10311971CLE,263.88235294117646,2.588235294117647
1171971CIN,266.88235294117646,2.3529411764705883
11141971ATL,263.6470588235294,2.3529411764705883
11221971ATL,270.0,2.2941176470588243
11281971MIN,265.8235294117647,2.411764705882353
1251971ATL,271.1764705882353,2.588235294117647
12121971SFO,262.8235294117647,2.5294117647058822
12191971NOR,265.6470588235294,2.5294117647058822
9171972CHI,272.3529411764706,2.588235294117647
9241972NWE,282.8235294117647,2.4705882352941178
1011972ATL,296.1764705882353,2.411764705882353
1081972ATL,296.88235294117646,2.411764705882353
10151972NOR,290.11764705882354,2.647058823529412
10221972GNB,284.35294117647067,2.411764705882353
10291972ATL,280.7647058823529,2.2941176470588243
1151972RAM,280.0588235294117,2.176470588235294
11121972ATL,279.3529411764706,2.176470588235294
11201972WAS,275.7647058823529,2.411764705882353
11261972ATL,274.7647058823529,2.411764705882353
1231972ATL,281.1764705882353,2.4705882352941178
12101972SFO,274.0588235294117,2.588235294117647
12171972ATL,281.5882352941176,2.588235294117647
