game_id,avg_total_yds,avg_TO
9171967NOR,,
9241967NOR,,
1011967NOR,,
1081967NYG,,
10151967DAL,,
10221967SFO,,
10291967NOR,,
1151967NOR,,
11121967NOR,,
11191967PHI,,
11261967NOR,,
1231967CRD,,
12101967CLT,,
12171967WAS,,
9151968NOR,,
9221968NOR,,
9291968NOR,275.70588235294116,2.588235294117647
1061968NYG,276.58823529411757,2.647058823529412
10131968NOR,271.70588235294116,3.0588235294117645
10201968PIT,272.11764705882354,2.8235294117647056
10271968CRD,277.4705882352941,2.8235294117647056
1131968NOR,279.58823529411757,2.8823529411764706
11101968CLE,284.5294117647058,2.9411764705882355
11171968GNB,274.41176470588243,3.117647058823529
11241968DET,275.1764705882353,3.1764705882352944
1211968NOR,279.9411764705883,3.294117647058824
1281968PHI,280.0588235294117,3.0588235294117645
12151968NOR,278.41176470588243,2.8823529411764706
9211969NOR,283.70588235294116,2.764705882352941
9281969NOR,286.1764705882353,2.764705882352941
1051969RAM,283.29411764705884,2.8235294117647056
10121969NOR,287.35294117647067,2.8823529411764706
10191969NOR,284.9411764705883,2.9411764705882355
10261969PHI,281.64705882352933,3.117647058823529
1121969CRD,293.0588235294117,2.9411764705882355
1191969DAL,298.70588235294116,2.7058823529411766
11161969NYG,300.0588235294117,2.647058823529412
11231969NOR,306.0,2.647058823529412
11301969NOR,314.35294117647067,2.411764705882353
1271969ATL,314.5294117647058,2.3529411764705883
12141969WAS,326.29411764705884,2.2941176470588243
12211969NOR,330.88235294117646,2.235294117647059
9201970NOR,327.5294117647058,2.0588235294117645
9271970MIN,316.9411764705883,2.235294117647059
1041970NOR,307.5294117647058,2.411764705882353
10111970CRD,308.35294117647067,2.4705882352941178
10181970SFO,306.76470588235287,2.4705882352941178
10251970ATL,304.2352941176472,2.4705882352941178
1111970NOR,300.4117647058824,2.411764705882353
1181970NOR,297.29411764705884,2.176470588235294
11151970MIA,300.35294117647067,2.117647058823529
11221970NOR,285.9411764705883,2.235294117647059
11291970CIN,289.4117647058824,2.3529411764705883
1261970RAM,287.0,2.3529411764705883
12131970NOR,284.11764705882354,2.5294117647058822
12201970NOR,272.70588235294116,2.764705882352941
9191971NOR,272.0588235294117,2.7058823529411766
9261971NOR,267.7647058823529,2.647058823529412
1031971OTI,263.2352941176471,2.647058823529412
