game_id,avg_total_yds,avg_TO
9111966ATL,,
9161966RAM,,
9251966GNB,,
9301966RAM,,
1091966DET,,
10161966MIN,,
10231966CHI,,
10301966RAM,,
1161966SFO,,
11131966RAM,,
11201966RAM,,
11271966CLT,,
1241966RAM,,
12181966RAM,,
9171967NOR,,
9221967RAM,,
1011967DAL,313.9411764705883,1.9411764705882355
1081967RAM,304.0588235294117,2.176470588235294
10151967CLT,310.88235294117646,2.0
10221967RAM,326.4705882352941,1.9411764705882355
10291967CHI,323.70588235294116,2.0588235294117645
1151967SFO,310.9411764705883,1.8823529411764703
11121967RAM,320.5882352941176,1.9411764705882355
11191967ATL,332.4705882352941,1.9411764705882355
11231967DET,327.9411764705883,1.6470588235294117
1231967RAM,337.76470588235287,1.7647058823529411
1291967RAM,323.1764705882353,1.8823529411764703
12171967RAM,329.0588235294117,1.8823529411764703
12231967GNB,323.5882352941176,1.8823529411764703
9161968CRD,320.35294117647067,1.9411764705882355
9221968RAM,321.9411764705883,1.8235294117647056
9291968CLE,316.1764705882353,1.8823529411764703
1061968RAM,318.4117647058824,1.8823529411764703
10131968GNB,308.64705882352933,1.8823529411764703
10201968RAM,318.4117647058824,1.7647058823529411
10271968CLT,303.0,1.9411764705882355
1131968RAM,294.0588235294117,2.0
11101968ATL,290.5882352941176,1.8823529411764703
11171968SFO,305.11764705882354,2.0588235294117645
11241968RAM,300.2352941176472,2.0588235294117645
1211968MIN,295.4705882352941,2.0588235294117645
1281968RAM,292.35294117647067,2.117647058823529
12151968RAM,292.5294117647058,2.0
9211969CLT,293.4117647058824,1.8235294117647056
9281969RAM,289.9411764705883,1.8823529411764703
1051969RAM,297.76470588235287,1.8823529411764703
10121969SFO,299.5882352941176,1.8235294117647056
10191969RAM,295.70588235294116,1.8235294117647056
10261969CHI,288.1764705882353,1.8235294117647056
1121969ATL,297.29411764705884,1.8235294117647056
1191969RAM,310.0,1.7647058823529411
11161969PHI,299.29411764705884,1.6470588235294117
11231969RAM,307.64705882352933,1.5294117647058822
11301969WAS,308.11764705882354,1.4705882352941178
1271969RAM,307.9411764705883,1.4705882352941178
12141969DET,290.11764705882354,1.4705882352941178
12211969RAM,281.1764705882353,1.3529411764705883
12271969MIN,277.11764705882354,1.2941176470588236
9181970RAM,284.88235294117646,1.2352941176470589
9271970BUF,287.9411764705883,1.3529411764705883
1041970RAM,284.29411764705884,1.4117647058823528
10111970RAM,280.52941176470586,1.5294117647058822
10181970GNB,276.2352941176471,1.4705882352941178
10261970MIN,266.29411764705884,1.7647058823529411
1111970NOR,271.9411764705883,2.0588235294117645
1181970RAM,279.4705882352941,2.117647058823529
11151970RAM,273.29411764705884,2.235294117647059
11221970ATL,262.4705882352941,2.3529411764705883
11291970SFO,261.4705882352941,2.2941176470588243
1261970RAM,270.58823529411757,2.176470588235294
12141970RAM,275.70588235294116,2.176470588235294
12201970NYG,281.2352941176471,2.117647058823529
9191971NOR,291.0,2.0
9261971RAM,300.29411764705884,2.0588235294117645
1031971RAM,310.11764705882354,2.235294117647059
10101971SFO,301.8235294117647,2.2941176470588243
10171971ATL,298.4117647058824,2.3529411764705883
10241971RAM,301.5882352941176,2.3529411764705883
10311971RAM,310.64705882352933,2.235294117647059
1181971CLT,309.76470588235287,2.3529411764705883
11141971DET,322.1764705882353,2.117647058823529
11211971RAM,308.35294117647067,1.8823529411764703
11251971DAL,305.35294117647067,1.8823529411764703
1251971RAM,311.0,1.7058823529411764
12131971RAM,316.64705882352933,1.8235294117647056
12191971PIT,317.64705882352933,1.7647058823529411
9171972RAM,314.5882352941176,1.8235294117647056
9241972CHI,302.2352941176472,1.9411764705882355
1011972ATL,296.8235294117647,2.2941176470588243
1081972RAM,311.5882352941176,2.2941176470588243
10151972PHI,311.35294117647067,2.117647058823529
10221972RAM,295.29411764705884,2.0588235294117645
10291972RAI,302.11764705882354,2.3529411764705883
1151972RAM,301.4705882352941,2.117647058823529
11121972RAM,292.76470588235287,2.235294117647059
11191972RAM,296.70588235294116,2.235294117647059
11261972NOR,299.4705882352941,2.117647058823529
1241972SFO,299.5882352941176,2.0588235294117645
12101972CRD,312.4117647058824,2.176470588235294
12171972RAM,313.5882352941176,2.117647058823529
9161973KAN,309.88235294117646,2.117647058823529
9231973RAM,311.8235294117647,1.8823529411764703
