game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
931995ATL,September 3,CAR,17.0,312.0,261.0,51.0,1.0,ATL,20.0,391.0,274.0,117.0,3.0
9101995BUF,September 10,CAR,6.0,113.0,12.0,101.0,1.0,BUF,16.0,348.0,176.0,172.0,3.0
9171995CAR,September 17,CAR,21.0,294.0,205.0,89.0,7.0,RAM,14.0,318.0,202.0,116.0,0.0
1011995CAR,October 1,CAR,20.0,393.0,234.0,159.0,4.0,TAM,16.0,310.0,252.0,58.0,0.0
1081995CHI,October 8,CAR,10.0,297.0,228.0,69.0,1.0,CHI,27.0,390.0,249.0,141.0,1.0
10151995CAR,October 15,CAR,15.0,265.0,132.0,133.0,3.0,NYJ,7.0,138.0,113.0,25.0,3.0
10221995CAR,October 22,CAR,10.0,155.0,29.0,126.0,0.0,NOR,17.0,302.0,238.0,64.0,5.0
10291995NWE,October 29,CAR,23.0,434.0,291.0,143.0,2.0,NWE,23.0,326.0,228.0,98.0,2.0
1151995SFO,November 5,CAR,13.0,204.0,132.0,72.0,2.0,SFO,19.0,404.0,339.0,65.0,5.0
11121995RAM,November 12,CAR,17.0,323.0,246.0,77.0,6.0,RAM,18.0,315.0,191.0,124.0,3.0
11191995CAR,November 19,CAR,23.0,370.0,182.0,188.0,1.0,CRD,7.0,96.0,62.0,34.0,2.0
11261995NOR,November 26,CAR,17.0,409.0,329.0,80.0,6.0,NOR,24.0,352.0,172.0,180.0,4.0
1231995CAR,December 3,CAR,12.0,255.0,170.0,85.0,2.0,CLT,12.0,200.0,135.0,65.0,2.0
12101995CAR,December 10,CAR,12.0,195.0,119.0,76.0,1.0,SFO,26.0,401.0,322.0,79.0,2.0
12171995CAR,December 17,CAR,15.0,328.0,283.0,45.0,2.0,ATL,25.0,419.0,332.0,87.0,2.0
12241995WAS,December 24,CAR,19.0,272.0,193.0,79.0,2.0,WAS,17.0,317.0,166.0,151.0,0.0
911996CAR,September 1,CAR,23.0,315.0,186.0,129.0,1.0,ATL,12.0,281.0,162.0,119.0,1.0
981996NOR,September 8,CAR,15.0,225.0,142.0,83.0,1.0,NOR,14.0,338.0,244.0,94.0,2.0
9221996CAR,September 22,CAR,21.0,389.0,272.0,117.0,1.0,SFO,15.0,300.0,252.0,48.0,1.0
9291996JAX,September 29,CAR,21.0,272.0,215.0,57.0,2.0,JAX,22.0,378.0,199.0,179.0,2.0
1061996MIN,October 6,CAR,15.0,256.0,155.0,101.0,6.0,MIN,16.0,293.0,192.0,101.0,2.0
10131996CAR,October 13,CAR,21.0,361.0,177.0,184.0,1.0,RAM,15.0,219.0,141.0,78.0,3.0
10201996CAR,October 20,CAR,21.0,314.0,155.0,159.0,0.0,NOR,10.0,174.0,103.0,71.0,2.0
10271996PHI,October 27,CAR,10.0,300.0,239.0,61.0,2.0,PHI,16.0,359.0,329.0,30.0,1.0
1131996ATL,November 3,CAR,17.0,347.0,243.0,104.0,3.0,ATL,16.0,313.0,189.0,124.0,2.0
11101996CAR,November 10,CAR,23.0,350.0,208.0,142.0,1.0,NYG,14.0,289.0,215.0,74.0,4.0
11171996RAM,November 17,CAR,22.0,255.0,108.0,147.0,2.0,RAM,15.0,243.0,121.0,122.0,1.0
11241996OTI,November 24,CAR,12.0,254.0,160.0,94.0,1.0,OTI,17.0,271.0,186.0,85.0,4.0
1211996CAR,December 1,CAR,13.0,215.0,83.0,132.0,0.0,TAM,17.0,284.0,206.0,78.0,4.0
1281996SFO,December 8,CAR,22.0,382.0,324.0,58.0,0.0,SFO,23.0,450.0,375.0,75.0,4.0
12151996CAR,December 15,CAR,21.0,350.0,268.0,82.0,2.0,RAV,17.0,319.0,220.0,99.0,3.0
12221996CAR,December 22,CAR,15.0,227.0,148.0,79.0,2.0,PIT,12.0,265.0,80.0,185.0,2.0
151997CAR,January 5,CAR,18.0,227.0,100.0,127.0,2.0,DAL,21.0,244.0,148.0,96.0,3.0
1121997GNB,January 12,CAR,12.0,251.0,206.0,45.0,3.0,GNB,22.0,479.0,278.0,201.0,2.0
8311997CAR,August 31,CAR,16.0,262.0,104.0,158.0,4.0,WAS,23.0,323.0,125.0,198.0,0.0
971997ATL,September 7,CAR,21.0,321.0,228.0,93.0,2.0,ATL,8.0,210.0,162.0,48.0,2.0
9141997SDG,September 14,CAR,21.0,279.0,138.0,141.0,1.0,SDG,17.0,251.0,155.0,96.0,4.0
9211997CAR,September 21,CAR,24.0,364.0,278.0,86.0,5.0,KAN,18.0,331.0,214.0,117.0,1.0
9291997CAR,September 29,CAR,16.0,254.0,210.0,44.0,4.0,SFO,27.0,368.0,149.0,219.0,1.0
10121997MIN,October 12,CAR,15.0,277.0,197.0,80.0,2.0,MIN,17.0,361.0,203.0,158.0,1.0
10191997NOR,October 19,CAR,15.0,269.0,196.0,73.0,1.0,NOR,15.0,200.0,89.0,111.0,2.0
10261997CAR,October 26,CAR,14.0,228.0,91.0,137.0,3.0,ATL,17.0,301.0,233.0,68.0,3.0
1121997CAR,November 2,CAR,27.0,408.0,192.0,216.0,0.0,RAI,20.0,357.0,319.0,38.0,2.0
1191997DEN,November 9,CAR,7.0,147.0,113.0,34.0,4.0,DEN,20.0,393.0,233.0,160.0,1.0
11161997SFO,November 16,CAR,18.0,254.0,169.0,85.0,3.0,SFO,20.0,320.0,221.0,99.0,0.0
11231997RAM,November 23,CAR,17.0,302.0,254.0,48.0,1.0,RAM,12.0,268.0,187.0,81.0,1.0
11301997CAR,November 30,CAR,21.0,427.0,241.0,186.0,4.0,NOR,18.0,326.0,190.0,136.0,2.0
1281997DAL,December 8,CAR,22.0,324.0,169.0,155.0,1.0,DAL,9.0,216.0,138.0,78.0,1.0
12141997CAR,December 14,CAR,9.0,172.0,32.0,140.0,1.0,GNB,26.0,458.0,240.0,218.0,1.0
12201997CAR,December 20,CAR,21.0,327.0,233.0,94.0,3.0,RAM,23.0,297.0,149.0,148.0,0.0
961998CAR,September 6,CAR,16.0,317.0,263.0,54.0,2.0,ATL,19.0,323.0,230.0,93.0,1.0
9131998NOR,September 13,CAR,20.0,375.0,238.0,137.0,3.0,NOR,18.0,311.0,104.0,207.0,0.0
9271998CAR,September 27,CAR,13.0,230.0,170.0,60.0,1.0,GNB,26.0,487.0,378.0,109.0,4.0
1041998ATL,October 4,CAR,16.0,346.0,289.0,57.0,6.0,ATL,18.0,323.0,193.0,130.0,2.0
10111998DAL,October 11,CAR,16.0,304.0,267.0,37.0,3.0,DAL,22.0,428.0,277.0,151.0,2.0
10181998TAM,October 18,CAR,17.0,290.0,223.0,67.0,0.0,TAM,21.0,349.0,213.0,136.0,2.0
10251998CAR,October 25,CAR,21.0,360.0,279.0,81.0,3.0,BUF,18.0,426.0,282.0,144.0,1.0
1111998CAR,November 1,CAR,16.0,216.0,110.0,106.0,2.0,NOR,21.0,354.0,301.0,53.0,4.0
1181998SFO,November 8,CAR,16.0,287.0,237.0,50.0,2.0,SFO,22.0,366.0,261.0,105.0,6.0
11151998CAR,November 15,CAR,12.0,210.0,148.0,62.0,2.0,MIA,15.0,315.0,131.0,184.0,1.0
11221998RAM,November 22,CAR,17.0,257.0,184.0,73.0,1.0,RAM,17.0,281.0,239.0,42.0,2.0
11291998NYJ,November 29,CAR,15.0,216.0,134.0,82.0,1.0,NYJ,21.0,456.0,255.0,201.0,0.0
1261998CAR,December 6,CAR,22.0,429.0,226.0,203.0,3.0,SFO,22.0,474.0,238.0,236.0,2.0
12131998CAR,December 13,CAR,16.0,365.0,241.0,124.0,3.0,WAS,27.0,409.0,249.0,160.0,0.0
12201998CAR,December 20,CAR,11.0,246.0,164.0,82.0,1.0,RAM,16.0,261.0,151.0,110.0,4.0
12271998CLT,December 27,CAR,17.0,332.0,149.0,183.0,2.0,CLT,12.0,279.0,207.0,72.0,2.0
9121999NOR,September 12,CAR,12.0,246.0,161.0,85.0,3.0,NOR,13.0,255.0,108.0,147.0,0.0
9191999CAR,September 19,CAR,16.0,283.0,196.0,87.0,1.0,JAX,27.0,414.0,200.0,214.0,1.0
9261999CAR,September 26,CAR,13.0,343.0,197.0,146.0,2.0,CIN,20.0,372.0,243.0,129.0,1.0
1031999WAS,October 3,CAR,23.0,483.0,328.0,155.0,1.0,WAS,22.0,418.0,308.0,110.0,1.0
10171999SFO,October 17,CAR,18.0,383.0,282.0,101.0,4.0,SFO,23.0,333.0,209.0,124.0,3.0
10241999CAR,October 24,CAR,22.0,320.0,259.0,61.0,2.0,DET,20.0,300.0,210.0,90.0,2.0
10311999ATL,October 31,CAR,19.0,290.0,227.0,63.0,5.0,ATL,20.0,283.0,176.0,107.0,0.0
1171999CAR,November 7,CAR,24.0,381.0,270.0,111.0,0.0,PHI,17.0,249.0,81.0,168.0,5.0
11141999RAM,November 14,CAR,18.0,377.0,260.0,117.0,3.0,RAM,16.0,363.0,284.0,79.0,2.0
11211999CLE,November 21,CAR,22.0,330.0,201.0,129.0,1.0,CLE,22.0,306.0,257.0,49.0,2.0
11281999CAR,November 28,CAR,25.0,380.0,254.0,126.0,1.0,ATL,22.0,343.0,279.0,64.0,1.0
1251999CAR,December 5,CAR,14.0,307.0,252.0,55.0,3.0,RAM,22.0,480.0,358.0,122.0,3.0
12121999GNB,December 12,CAR,21.0,381.0,368.0,13.0,4.0,GNB,26.0,362.0,283.0,79.0,2.0
12181999CAR,December 18,CAR,25.0,452.0,362.0,90.0,0.0,SFO,18.0,397.0,297.0,100.0,1.0
12261999PIT,December 26,CAR,17.0,375.0,256.0,119.0,3.0,PIT,21.0,293.0,82.0,211.0,1.0
122000CAR,January 2,CAR,18.0,355.0,288.0,67.0,1.0,NOR,22.0,335.0,230.0,105.0,4.0
932000WAS,September 3,CAR,12.0,236.0,124.0,112.0,1.0,WAS,23.0,396.0,234.0,162.0,0.0
9102000SFO,September 10,CAR,27.0,450.0,352.0,98.0,1.0,SFO,21.0,391.0,301.0,90.0,2.0
9172000CAR,September 17,CAR,17.0,284.0,225.0,59.0,4.0,ATL,10.0,262.0,154.0,108.0,2.0
1012000CAR,October 1,CAR,13.0,272.0,153.0,119.0,2.0,DAL,20.0,291.0,118.0,173.0,2.0
1082000CAR,October 8,CAR,26.0,447.0,322.0,125.0,1.0,SEA,10.0,209.0,146.0,63.0,0.0
10152000NOR,October 15,CAR,8.0,141.0,131.0,10.0,2.0,NOR,21.0,397.0,182.0,215.0,3.0
10222000CAR,October 22,CAR,26.0,390.0,292.0,98.0,0.0,SFO,20.0,411.0,283.0,128.0,2.0
10292000ATL,October 29,CAR,16.0,209.0,179.0,30.0,4.0,ATL,16.0,281.0,184.0,97.0,3.0
1152000RAM,November 5,CAR,18.0,268.0,178.0,90.0,2.0,RAM,20.0,426.0,395.0,31.0,2.0
11122000CAR,November 12,CAR,21.0,311.0,258.0,53.0,5.0,NOR,16.0,322.0,165.0,157.0,2.0
11192000MIN,November 19,CAR,23.0,330.0,252.0,78.0,3.0,MIN,19.0,446.0,329.0,117.0,2.0
11272000CAR,November 27,CAR,24.0,356.0,223.0,133.0,2.0,GNB,20.0,326.0,239.0,87.0,5.0
1232000CAR,December 3,CAR,20.0,237.0,169.0,68.0,2.0,RAM,15.0,278.0,179.0,99.0,7.0
12102000KAN,December 10,CAR,21.0,257.0,234.0,23.0,1.0,KAN,26.0,453.0,315.0,138.0,4.0
12172000CAR,December 17,CAR,13.0,169.0,158.0,11.0,1.0,SDG,19.0,358.0,258.0,100.0,2.0
12242000RAI,December 24,CAR,19.0,297.0,218.0,79.0,4.0,RAI,28.0,409.0,230.0,179.0,0.0
992001MIN,September 9,CAR,15.0,291.0,200.0,91.0,2.0,MIN,19.0,343.0,234.0,109.0,5.0
9232001ATL,September 23,CAR,18.0,359.0,270.0,89.0,1.0,ATL,16.0,377.0,256.0,121.0,2.0
9302001CAR,September 30,CAR,9.0,169.0,133.0,36.0,3.0,GNB,22.0,383.0,308.0,75.0,2.0
1072001SFO,October 7,CAR,17.0,336.0,275.0,61.0,3.0,SFO,21.0,353.0,203.0,150.0,1.0
