game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
961968SDG,September 6,CIN,13.0,226.0,104.0,122.0,2.0,SDG,27.0,554.0,325.0,229.0,2.0
9151968CIN,September 15,CIN,11.0,289.0,185.0,104.0,0.0,DEN,15.0,199.0,121.0,78.0,1.0
9221968CIN,September 22,CIN,9.0,201.0,52.0,149.0,2.0,BUF,17.0,215.0,123.0,92.0,2.0
9291968CIN,September 29,CIN,14.0,195.0,129.0,66.0,2.0,SDG,18.0,302.0,201.0,101.0,1.0
1061968DEN,October 6,CIN,15.0,247.0,136.0,111.0,1.0,DEN,11.0,211.0,112.0,99.0,0.0
10131968KAN,October 13,CIN,7.0,116.0,17.0,99.0,1.0,KAN,15.0,265.0,129.0,136.0,2.0
10201968CIN,October 20,CIN,14.0,327.0,184.0,143.0,3.0,MIA,21.0,296.0,157.0,139.0,0.0
10271968RAI,October 27,CIN,8.0,228.0,59.0,169.0,2.0,RAI,26.0,439.0,174.0,265.0,3.0
1131968CIN,November 3,CIN,21.0,374.0,195.0,179.0,0.0,OTI,21.0,361.0,202.0,159.0,0.0
11101968CIN,November 10,CIN,15.0,283.0,126.0,157.0,2.0,KAN,16.0,304.0,49.0,255.0,1.0
11171968MIA,November 17,CIN,17.0,422.0,243.0,179.0,1.0,MIA,16.0,326.0,204.0,122.0,2.0
11241968CIN,November 24,CIN,7.0,148.0,32.0,116.0,3.0,RAI,33.0,604.0,396.0,208.0,1.0
1211968NWE,December 1,CIN,14.0,212.0,106.0,106.0,1.0,NWE,20.0,271.0,142.0,129.0,2.0
1281968NYJ,December 8,CIN,6.0,158.0,51.0,107.0,1.0,NYJ,19.0,371.0,286.0,85.0,2.0
9141969CIN,September 14,CIN,11.0,227.0,126.0,101.0,1.0,MIA,19.0,360.0,281.0,79.0,2.0
9211969CIN,September 21,CIN,19.0,472.0,292.0,180.0,2.0,SDG,17.0,395.0,215.0,180.0,1.0
9281969CIN,September 28,CIN,7.0,301.0,209.0,92.0,4.0,KAN,17.0,265.0,139.0,126.0,3.0
1041969SDG,October 4,CIN,8.0,221.0,70.0,151.0,1.0,SDG,23.0,413.0,214.0,199.0,3.0
10121969CIN,October 12,CIN,15.0,258.0,169.0,89.0,3.0,NYJ,21.0,376.0,154.0,222.0,2.0
