game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9111966WAS,September 11,CLE,18.0,307.0,159.0,148.0,3.0,WAS,17.0,315.0,212.0,103.0,6.0
9181966CLE,September 18,CLE,16.0,266.0,156.0,110.0,1.0,GNB,22.0,356.0,238.0,118.0,2.0
9251966CLE,September 25,CLE,25.0,373.0,230.0,143.0,1.0,CRD,13.0,313.0,206.0,107.0,5.0
1021966NYG,October 2,CLE,23.0,418.0,160.0,258.0,1.0,NYG,12.0,274.0,224.0,50.0,6.0
1081966CLE,October 8,CLE,31.0,467.0,226.0,241.0,2.0,PIT,12.0,204.0,182.0,22.0,6.0
10231966CLE,October 23,CLE,17.0,264.0,159.0,105.0,0.0,DAL,30.0,413.0,257.0,156.0,4.0
10301966ATL,October 30,CLE,22.0,508.0,295.0,213.0,1.0,ATL,23.0,321.0,117.0,204.0,3.0
1161966PIT,November 6,CLE,19.0,307.0,176.0,131.0,6.0,PIT,12.0,267.0,132.0,135.0,0.0
11131966CLE,November 13,CLE,17.0,345.0,176.0,169.0,0.0,PHI,17.0,290.0,175.0,115.0,4.0
11201966CLE,November 20,CLE,10.0,271.0,112.0,159.0,2.0,WAS,20.0,327.0,159.0,168.0,4.0
11241966DAL,November 24,CLE,18.0,321.0,164.0,157.0,1.0,DAL,25.0,304.0,131.0,173.0,0.0
1241966CLE,December 4,CLE,21.0,447.0,317.0,130.0,3.0,NYG,23.0,335.0,123.0,212.0,1.0
12111966PHI,December 11,CLE,21.0,349.0,231.0,118.0,3.0,PHI,17.0,320.0,117.0,203.0,5.0
12171966CRD,December 17,CLE,20.0,428.0,344.0,84.0,1.0,CRD,12.0,227.0,99.0,128.0,3.0
9171967CLE,September 17,CLE,12.0,221.0,210.0,11.0,3.0,DAL,19.0,370.0,189.0,181.0,4.0
9241967DET,September 24,CLE,15.0,269.0,78.0,191.0,3.0,DET,29.0,461.0,223.0,238.0,0.0
1011967NOR,October 1,CLE,23.0,421.0,223.0,198.0,4.0,NOR,17.0,266.0,198.0,68.0,5.0
1071967CLE,October 7,CLE,24.0,361.0,183.0,178.0,3.0,PIT,20.0,278.0,208.0,70.0,4.0
10151967CLE,October 15,CLE,8.0,223.0,114.0,109.0,1.0,CRD,18.0,349.0,217.0,132.0,5.0
10221967CLE,October 22,CLE,23.0,347.0,158.0,189.0,1.0,CHI,9.0,136.0,116.0,20.0,2.0
