game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9181966DAL,September 18,DAL,24.0,518.0,374.0,144.0,1.0,NYG,18.0,257.0,120.0,137.0,4.0
9251966DAL,September 25,DAL,18.0,314.0,166.0,148.0,0.0,MIN,25.0,389.0,247.0,142.0,1.0
1021966ATL,October 2,DAL,22.0,363.0,220.0,143.0,2.0,ATL,20.0,276.0,170.0,106.0,5.0
1091966DAL,October 9,DAL,32.0,652.0,440.0,212.0,0.0,PHI,11.0,217.0,179.0,38.0,1.0
10161966CRD,October 16,DAL,17.0,326.0,191.0,135.0,4.0,CRD,13.0,175.0,130.0,45.0,0.0
10231966CLE,October 23,DAL,30.0,413.0,257.0,156.0,4.0,CLE,17.0,264.0,159.0,105.0,0.0
10301966DAL,October 30,DAL,24.0,425.0,233.0,192.0,3.0,PIT,6.0,119.0,112.0,7.0,4.0
1161966PHI,November 6,DAL,16.0,240.0,128.0,112.0,2.0,PHI,5.0,80.0,22.0,58.0,3.0
11131966WAS,November 13,DAL,24.0,515.0,383.0,132.0,3.0,WAS,19.0,341.0,318.0,23.0,0.0
11201966PIT,November 20,DAL,16.0,258.0,134.0,124.0,1.0,PIT,16.0,163.0,110.0,53.0,3.0
11241966DAL,November 24,DAL,25.0,304.0,131.0,173.0,0.0,CLE,18.0,321.0,164.0,157.0,1.0
1241966DAL,December 4,DAL,11.0,190.0,82.0,108.0,1.0,CRD,21.0,295.0,201.0,94.0,5.0
12111966DAL,December 11,DAL,17.0,370.0,129.0,241.0,1.0,WAS,13.0,399.0,295.0,104.0,2.0
12181966NYG,December 18,DAL,11.0,257.0,155.0,102.0,2.0,NYG,19.0,262.0,155.0,107.0,2.0
111967DAL,January 1,DAL,23.0,418.0,231.0,187.0,2.0,GNB,19.0,367.0,265.0,102.0,1.0
9171967CLE,September 17,DAL,19.0,370.0,189.0,181.0,4.0,CLE,12.0,221.0,210.0,11.0,3.0
9241967DAL,September 24,DAL,23.0,414.0,236.0,178.0,1.0,NYG,15.0,266.0,190.0,76.0,3.0
1011967DAL,October 1,DAL,20.0,272.0,221.0,51.0,4.0,RAM,25.0,356.0,135.0,221.0,1.0
1081967WAS,October 8,DAL,18.0,320.0,205.0,115.0,2.0,WAS,14.0,253.0,237.0,16.0,3.0
10151967DAL,October 15,DAL,18.0,234.0,109.0,125.0,3.0,NOR,12.0,207.0,165.0,42.0,3.0
10221967PIT,October 22,DAL,14.0,378.0,290.0,88.0,1.0,PIT,29.0,379.0,298.0,81.0,2.0
10291967PHI,October 29,DAL,13.0,306.0,192.0,114.0,5.0,PHI,23.0,341.0,165.0,176.0,6.0
1151967DAL,November 5,DAL,21.0,324.0,153.0,171.0,2.0,ATL,13.0,223.0,157.0,66.0,5.0
11121967NOR,November 12,DAL,18.0,380.0,178.0,202.0,2.0,NOR,14.0,211.0,168.0,43.0,3.0
11191967DAL,November 19,DAL,27.0,446.0,342.0,104.0,5.0,WAS,16.0,314.0,265.0,49.0,2.0
11231967DAL,November 23,DAL,18.0,436.0,300.0,136.0,1.0,CRD,15.0,317.0,222.0,95.0,4.0
1231967CLT,December 3,DAL,13.0,223.0,89.0,134.0,4.0,CLT,16.0,310.0,260.0,50.0,4.0
12101967DAL,December 10,DAL,22.0,325.0,158.0,167.0,4.0,PHI,12.0,102.0,79.0,23.0,5.0
12161967SFO,December 16,DAL,17.0,271.0,137.0,134.0,4.0,SFO,20.0,371.0,239.0,132.0,4.0
12241967DAL,December 24,DAL,22.0,401.0,223.0,178.0,2.0,CLE,15.0,322.0,163.0,159.0,1.0
12311967GNB,December 31,DAL,11.0,192.0,100.0,92.0,2.0,GNB,18.0,195.0,115.0,80.0,2.0
9151968DAL,September 15,DAL,29.0,542.0,381.0,161.0,0.0,DET,15.0,257.0,189.0,68.0,4.0
9221968DAL,September 22,DAL,24.0,346.0,143.0,203.0,1.0,CLE,12.0,250.0,163.0,87.0,2.0
9291968PHI,September 29,DAL,21.0,418.0,281.0,137.0,2.0,PHI,14.0,263.0,223.0,40.0,7.0
1061968CRD,October 6,DAL,22.0,297.0,103.0,194.0,1.0,CRD,14.0,251.0,173.0,78.0,2.0
10131968DAL,October 13,DAL,27.0,414.0,263.0,151.0,1.0,PHI,11.0,164.0,72.0,92.0,5.0
10201968MIN,October 20,DAL,9.0,177.0,93.0,84.0,2.0,MIN,16.0,274.0,144.0,130.0,3.0
10281968DAL,October 28,DAL,20.0,365.0,206.0,159.0,4.0,GNB,20.0,322.0,217.0,105.0,1.0
1131968NOR,November 3,DAL,22.0,405.0,220.0,185.0,7.0,NOR,13.0,243.0,184.0,59.0,4.0
11101968DAL,November 10,DAL,24.0,349.0,250.0,99.0,5.0,NYG,13.0,293.0,181.0,112.0,1.0
11171968WAS,November 17,DAL,24.0,515.0,295.0,220.0,2.0,WAS,13.0,289.0,207.0,82.0,2.0
