game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
931966OTI,September 3,DEN,0.0,26.0,-7.0,33.0,3.0,OTI,28.0,472.0,259.0,213.0,1.0
9181966DEN,September 18,DEN,12.0,173.0,72.0,101.0,3.0,NWE,16.0,261.0,116.0,145.0,3.0
9251966DEN,September 25,DEN,7.0,182.0,105.0,77.0,2.0,NYJ,20.0,359.0,206.0,153.0,3.0
1021966DEN,October 2,DEN,17.0,362.0,212.0,150.0,2.0,OTI,20.0,384.0,289.0,95.0,3.0
1081966KAN,October 8,DEN,11.0,212.0,133.0,79.0,2.0,KAN,21.0,379.0,145.0,234.0,1.0
10161966MIA,October 16,DEN,11.0,118.0,53.0,65.0,6.0,MIA,10.0,217.0,146.0,71.0,4.0
10231966DEN,October 23,DEN,12.0,211.0,183.0,28.0,7.0,KAN,26.0,614.0,234.0,380.0,1.0
10301966SDG,October 30,DEN,15.0,280.0,155.0,125.0,0.0,SDG,21.0,334.0,180.0,154.0,2.0
1161966NWE,November 6,DEN,16.0,240.0,143.0,97.0,7.0,NWE,11.0,110.0,67.0,43.0,5.0
11201966DEN,November 20,DEN,10.0,102.0,31.0,71.0,3.0,RAI,8.0,160.0,94.0,66.0,0.0
11271966DEN,November 27,DEN,16.0,343.0,173.0,170.0,3.0,SDG,16.0,286.0,200.0,86.0,2.0
1241966DEN,December 4,DEN,17.0,353.0,262.0,91.0,2.0,MIA,19.0,255.0,207.0,48.0,1.0
12111966RAI,December 11,DEN,11.0,202.0,160.0,42.0,2.0,RAI,18.0,377.0,243.0,134.0,1.0
12181966BUF,December 18,DEN,16.0,364.0,320.0,44.0,5.0,BUF,19.0,336.0,129.0,207.0,4.0
931967DEN,September 3,DEN,11.0,209.0,117.0,92.0,1.0,NWE,14.0,302.0,212.0,90.0,7.0
9101967RAI,September 10,DEN,3.0,-5.0,-53.0,48.0,2.0,RAI,19.0,388.0,180.0,208.0,1.0
9171967MIA,September 17,DEN,13.0,126.0,29.0,97.0,2.0,MIA,19.0,435.0,233.0,202.0,3.0
9241967DEN,September 24,DEN,15.0,359.0,242.0,117.0,2.0,NYJ,27.0,478.0,399.0,79.0,2.0
1011967OTI,October 1,DEN,15.0,238.0,49.0,189.0,3.0,OTI,14.0,242.0,76.0,166.0,2.0
1081967DEN,October 8,DEN,13.0,190.0,107.0,83.0,1.0,BUF,21.0,297.0,210.0,87.0,4.0
10221967DEN,October 22,DEN,11.0,255.0,206.0,49.0,1.0,SDG,22.0,490.0,335.0,155.0,2.0
10291967KAN,October 29,DEN,10.0,268.0,215.0,53.0,6.0,KAN,22.0,444.0,268.0,176.0,1.0
1151967DEN,November 5,DEN,7.0,119.0,52.0,67.0,1.0,RAI,15.0,327.0,195.0,132.0,2.0
11121967DEN,November 12,DEN,14.0,222.0,144.0,78.0,1.0,OTI,26.0,386.0,133.0,253.0,3.0
11191967BUF,November 19,DEN,13.0,194.0,154.0,40.0,3.0,BUF,21.0,367.0,229.0,138.0,3.0
11231967SDG,November 23,DEN,21.0,358.0,246.0,112.0,3.0,SDG,14.0,300.0,204.0,96.0,2.0
1231967NYJ,December 3,DEN,9.0,142.0,18.0,124.0,0.0,NYJ,23.0,345.0,305.0,40.0,6.0
12171967DEN,December 17,DEN,17.0,272.0,156.0,116.0,4.0,KAN,19.0,400.0,146.0,254.0,3.0
9151968CIN,September 15,DEN,15.0,199.0,121.0,78.0,1.0,CIN,11.0,289.0,185.0,104.0,0.0
9221968KAN,September 22,DEN,13.0,245.0,194.0,51.0,4.0,KAN,17.0,341.0,196.0,145.0,2.0
9291968DEN,September 29,DEN,15.0,234.0,85.0,149.0,3.0,NWE,14.0,212.0,143.0,69.0,1.0
1061968DEN,October 6,DEN,11.0,211.0,112.0,99.0,0.0,CIN,15.0,247.0,136.0,111.0,1.0
10131968NYJ,October 13,DEN,12.0,222.0,174.0,48.0,0.0,NYJ,18.0,460.0,331.0,129.0,5.0
10201968SDG,October 20,DEN,26.0,476.0,295.0,181.0,5.0,SDG,20.0,581.0,370.0,211.0,1.0
10271968DEN,October 27,DEN,20.0,323.0,127.0,196.0,4.0,MIA,17.0,340.0,216.0,124.0,4.0
1131968NWE,November 3,DEN,18.0,470.0,232.0,238.0,4.0,NWE,15.0,175.0,98.0,77.0,4.0
11101968DEN,November 10,DEN,11.0,175.0,85.0,90.0,3.0,RAI,22.0,487.0,280.0,207.0,2.0
