game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
982002HTX,September 8,HTX,13.0,210.0,123.0,87.0,1.0,DAL,11.0,267.0,112.0,155.0,2.0
9152002SDG,September 15,HTX,7.0,118.0,29.0,89.0,3.0,SDG,16.0,267.0,143.0,124.0,1.0
9222002HTX,September 22,HTX,10.0,204.0,78.0,126.0,2.0,CLT,16.0,339.0,251.0,88.0,2.0
9292002PHI,September 29,HTX,12.0,242.0,151.0,91.0,3.0,PHI,21.0,391.0,289.0,102.0,3.0
10132002HTX,October 13,HTX,18.0,338.0,197.0,141.0,0.0,BUF,25.0,403.0,230.0,173.0,1.0
10202002CLE,October 20,HTX,17.0,354.0,265.0,89.0,2.0,CLE,14.0,230.0,141.0,89.0,0.0
10272002JAX,October 27,HTX,12.0,242.0,161.0,81.0,1.0,JAX,18.0,290.0,164.0,126.0,0.0
1132002HTX,November 3,HTX,22.0,268.0,186.0,82.0,2.0,CIN,25.0,390.0,263.0,127.0,0.0
11102002OTI,November 10,HTX,13.0,233.0,165.0,68.0,3.0,OTI,15.0,251.0,109.0,142.0,2.0
11172002HTX,November 17,HTX,18.0,272.0,194.0,78.0,2.0,JAX,16.0,321.0,199.0,122.0,1.0
11242002HTX,November 24,HTX,12.0,212.0,89.0,123.0,1.0,NYG,19.0,369.0,201.0,168.0,3.0
1212002CLT,December 1,HTX,10.0,165.0,100.0,65.0,2.0,CLT,13.0,278.0,190.0,88.0,1.0
1282002PIT,December 8,HTX,3.0,47.0,10.0,37.0,1.0,PIT,24.0,422.0,294.0,128.0,5.0
12152002HTX,December 15,HTX,15.0,277.0,182.0,95.0,2.0,RAV,16.0,298.0,228.0,70.0,0.0
12222002WAS,December 22,HTX,10.0,166.0,99.0,67.0,3.0,WAS,27.0,437.0,190.0,247.0,0.0
12292002HTX,December 29,HTX,16.0,224.0,196.0,28.0,1.0,OTI,15.0,277.0,137.0,140.0,0.0
972003MIA,September 7,HTX,16.0,393.0,266.0,127.0,0.0,MIA,14.0,301.0,215.0,86.0,3.0
9142003NOR,September 14,HTX,16.0,258.0,183.0,75.0,2.0,NOR,12.0,292.0,182.0,110.0,0.0
