game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
931995JAX,September 3,JAX,10.0,146.0,45.0,101.0,2.0,OTI,14.0,240.0,80.0,160.0,1.0
9101995CIN,September 10,JAX,14.0,259.0,140.0,119.0,2.0,CIN,17.0,346.0,228.0,118.0,2.0
9171995NYJ,September 17,JAX,20.0,251.0,105.0,146.0,3.0,NYJ,23.0,375.0,296.0,79.0,1.0
9241995JAX,September 24,JAX,13.0,201.0,125.0,76.0,0.0,GNB,16.0,322.0,193.0,129.0,1.0
1011995OTI,October 1,JAX,16.0,219.0,151.0,68.0,3.0,OTI,19.0,297.0,206.0,91.0,3.0
1081995JAX,October 8,JAX,17.0,267.0,171.0,96.0,0.0,PIT,16.0,350.0,282.0,68.0,1.0
10151995JAX,October 15,JAX,26.0,409.0,288.0,121.0,1.0,CHI,23.0,380.0,245.0,135.0,0.0
10221995CLE,October 22,JAX,23.0,315.0,156.0,159.0,2.0,CLE,20.0,387.0,298.0,89.0,4.0
10291995PIT,October 29,JAX,14.0,229.0,145.0,84.0,1.0,PIT,20.0,316.0,178.0,138.0,1.0
11121995JAX,November 12,JAX,20.0,266.0,105.0,161.0,2.0,SEA,26.0,481.0,235.0,246.0,1.0
11191995TAM,November 19,JAX,19.0,350.0,263.0,87.0,1.0,TAM,17.0,246.0,101.0,145.0,0.0
11261995JAX,November 26,JAX,18.0,291.0,213.0,78.0,2.0,CIN,20.0,323.0,210.0,113.0,3.0
1231995DEN,December 3,JAX,13.0,260.0,191.0,69.0,2.0,DEN,20.0,397.0,286.0,111.0,3.0
12101995JAX,December 10,JAX,27.0,424.0,298.0,126.0,2.0,CLT,15.0,219.0,128.0,91.0,0.0
12171995DET,December 17,JAX,15.0,235.0,126.0,109.0,5.0,DET,28.0,386.0,230.0,156.0,0.0
12241995JAX,December 24,JAX,18.0,373.0,268.0,105.0,0.0,CLE,26.0,450.0,316.0,134.0,3.0
