game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9111966PIT,September 11,NYG,8.0,279.0,247.0,32.0,5.0,PIT,25.0,404.0,266.0,138.0,3.0
9181966DAL,September 18,NYG,18.0,257.0,120.0,137.0,4.0,DAL,24.0,518.0,374.0,144.0,1.0
9251966PHI,September 25,NYG,19.0,386.0,236.0,150.0,1.0,PHI,18.0,271.0,161.0,110.0,0.0
1021966NYG,October 2,NYG,12.0,274.0,224.0,50.0,6.0,CLE,23.0,418.0,160.0,258.0,1.0
1091966CRD,October 9,NYG,20.0,271.0,145.0,126.0,2.0,CRD,15.0,268.0,177.0,91.0,2.0
10161966NYG,October 16,NYG,17.0,325.0,228.0,97.0,1.0,WAS,9.0,188.0,107.0,81.0,2.0
10231966NYG,October 23,NYG,13.0,228.0,152.0,76.0,5.0,PHI,18.0,316.0,114.0,202.0,3.0
1161966NYG,November 6,NYG,11.0,210.0,168.0,42.0,2.0,CRD,16.0,264.0,116.0,148.0,2.0
11131966RAM,November 13,NYG,15.0,103.0,56.0,47.0,3.0,RAM,38.0,572.0,349.0,223.0,1.0
11201966NYG,November 20,NYG,21.0,303.0,152.0,151.0,4.0,ATL,19.0,289.0,167.0,122.0,1.0
11271966WAS,November 27,NYG,25.0,389.0,278.0,111.0,6.0,WAS,16.0,341.0,132.0,209.0,2.0
1241966CLE,December 4,NYG,23.0,335.0,123.0,212.0,1.0,CLE,21.0,447.0,317.0,130.0,3.0
12111966NYG,December 11,NYG,15.0,310.0,191.0,119.0,2.0,PIT,20.0,392.0,297.0,95.0,1.0
12181966NYG,December 18,NYG,19.0,262.0,155.0,107.0,2.0,DAL,11.0,257.0,155.0,102.0,2.0
9171967CRD,September 17,NYG,15.0,336.0,232.0,104.0,0.0,CRD,20.0,358.0,153.0,205.0,6.0
9241967DAL,September 24,NYG,15.0,266.0,190.0,76.0,3.0,DAL,23.0,414.0,236.0,178.0,1.0
1011967WAS,October 1,NYG,20.0,520.0,294.0,226.0,3.0,WAS,23.0,405.0,276.0,129.0,2.0
1081967NYG,October 8,NYG,28.0,535.0,348.0,187.0,1.0,NOR,16.0,210.0,138.0,72.0,1.0
10151967PIT,October 15,NYG,18.0,381.0,305.0,76.0,2.0,PIT,16.0,259.0,197.0,62.0,2.0
10221967NYG,October 22,NYG,20.0,324.0,181.0,143.0,4.0,GNB,28.0,397.0,148.0,249.0,0.0
10291967NYG,October 29,NYG,22.0,386.0,249.0,137.0,2.0,CLE,17.0,369.0,259.0,110.0,4.0
1151967MIN,November 5,NYG,17.0,403.0,238.0,165.0,2.0,MIN,17.0,304.0,115.0,189.0,3.0
11121967CHI,November 12,NYG,14.0,161.0,78.0,83.0,4.0,CHI,16.0,264.0,117.0,147.0,1.0
11191967NYG,November 19,NYG,18.0,238.0,171.0,67.0,4.0,PIT,18.0,281.0,210.0,71.0,3.0
11261967NYG,November 26,NYG,26.0,444.0,268.0,176.0,0.0,PHI,15.0,172.0,134.0,38.0,4.0
1231967CLE,December 3,NYG,26.0,343.0,182.0,161.0,2.0,CLE,17.0,215.0,32.0,183.0,1.0
12101967NYG,December 10,NYG,15.0,149.0,29.0,120.0,1.0,DET,16.0,306.0,208.0,98.0,1.0
12171967NYG,December 17,NYG,20.0,418.0,275.0,143.0,2.0,CRD,19.0,330.0,262.0,68.0,3.0
9151968PIT,September 15,NYG,21.0,331.0,166.0,165.0,2.0,PIT,20.0,324.0,194.0,130.0,4.0
9221968PHI,September 22,NYG,24.0,377.0,176.0,201.0,1.0,PHI,12.0,326.0,125.0,201.0,3.0
9291968NYG,September 29,NYG,20.0,377.0,226.0,151.0,1.0,WAS,23.0,376.0,277.0,99.0,5.0
1061968NYG,October 6,NYG,19.0,261.0,166.0,95.0,1.0,NOR,23.0,314.0,219.0,95.0,4.0
10131968ATL,October 13,NYG,23.0,421.0,242.0,179.0,3.0,ATL,17.0,322.0,186.0,136.0,0.0
10201968NYG,October 20,NYG,19.0,272.0,116.0,156.0,3.0,SFO,22.0,393.0,179.0,214.0,1.0
10271968WAS,October 27,NYG,22.0,297.0,124.0,173.0,2.0,WAS,9.0,142.0,73.0,69.0,2.0
1131968NYG,November 3,NYG,12.0,215.0,160.0,55.0,3.0,CLT,20.0,328.0,184.0,144.0,1.0
11101968DAL,November 10,NYG,13.0,293.0,181.0,112.0,1.0,DAL,24.0,349.0,250.0,99.0,5.0
11171968NYG,November 17,NYG,16.0,274.0,136.0,138.0,2.0,PHI,9.0,107.0,39.0,68.0,3.0
11241968RAM,November 24,NYG,18.0,273.0,127.0,146.0,3.0,RAM,19.0,311.0,143.0,168.0,4.0
1211968CLE,December 1,NYG,12.0,182.0,77.0,105.0,5.0,CLE,25.0,378.0,206.0,172.0,2.0
1281968NYG,December 8,NYG,22.0,441.0,284.0,157.0,2.0,CRD,19.0,351.0,74.0,277.0,3.0
12151968NYG,December 15,NYG,15.0,319.0,265.0,54.0,1.0,DAL,21.0,320.0,191.0,129.0,3.0
9211969NYG,September 21,NYG,13.0,320.0,205.0,115.0,2.0,MIN,13.0,327.0,230.0,97.0,2.0
9281969DET,September 28,NYG,10.0,187.0,101.0,86.0,1.0,DET,18.0,241.0,119.0,122.0,1.0
1051969NYG,October 5,NYG,16.0,267.0,179.0,88.0,1.0,CHI,22.0,380.0,201.0,179.0,3.0
10121969NYG,October 12,NYG,14.0,208.0,132.0,76.0,1.0,PIT,19.0,231.0,84.0,147.0,4.0
10191969WAS,October 19,NYG,20.0,318.0,139.0,179.0,1.0,WAS,16.0,280.0,108.0,172.0,2.0
10271969DAL,October 27,NYG,8.0,166.0,126.0,40.0,2.0,DAL,21.0,370.0,153.0,217.0,3.0
1121969NYG,November 2,NYG,13.0,292.0,188.0,104.0,1.0,PHI,17.0,295.0,164.0,131.0,4.0
1191969CRD,November 9,NYG,21.0,343.0,240.0,103.0,1.0,CRD,23.0,403.0,206.0,197.0,0.0
11161969NYG,November 16,NYG,18.0,364.0,256.0,108.0,2.0,NOR,16.0,296.0,145.0,151.0,0.0
11231969CLE,November 23,NYG,20.0,376.0,259.0,117.0,6.0,CLE,14.0,268.0,115.0,153.0,2.0
11301969GNB,November 30,NYG,17.0,325.0,182.0,143.0,2.0,GNB,16.0,274.0,133.0,141.0,3.0
1271969NYG,December 7,NYG,33.0,517.0,327.0,190.0,2.0,CRD,10.0,181.0,136.0,45.0,4.0
12141969PIT,December 14,NYG,18.0,297.0,184.0,113.0,1.0,PIT,14.0,311.0,206.0,105.0,2.0
12211969NYG,December 21,NYG,14.0,388.0,257.0,131.0,0.0,CLE,24.0,351.0,155.0,196.0,3.0
9191970NYG,September 19,NYG,16.0,311.0,253.0,58.0,3.0,CHI,18.0,256.0,158.0,98.0,3.0
9271970DAL,September 27,NYG,15.0,238.0,139.0,99.0,3.0,DAL,24.0,360.0,161.0,199.0,2.0
1041970NOR,October 4,NYG,22.0,361.0,210.0,151.0,3.0,NOR,10.0,183.0,92.0,91.0,3.0
10111970NYG,October 11,NYG,17.0,330.0,156.0,174.0,2.0,PHI,16.0,367.0,273.0,94.0,4.0
10181970NWE,October 18,NYG,13.0,224.0,102.0,122.0,0.0,NWE,14.0,155.0,62.0,93.0,3.0
10251970NYG,October 25,NYG,20.0,371.0,268.0,103.0,1.0,CRD,19.0,329.0,203.0,126.0,2.0
1111970NYJ,November 1,NYG,15.0,240.0,140.0,100.0,0.0,NYJ,16.0,237.0,135.0,102.0,4.0
1181970NYG,November 8,NYG,20.0,338.0,136.0,202.0,3.0,DAL,9.0,263.0,161.0,102.0,0.0
11151970NYG,November 15,NYG,29.0,485.0,299.0,186.0,2.0,WAS,17.0,411.0,244.0,167.0,1.0
11231970PHI,November 23,NYG,17.0,287.0,178.0,109.0,3.0,PHI,18.0,281.0,164.0,117.0,2.0
11291970WAS,November 29,NYG,23.0,401.0,251.0,150.0,1.0,WAS,18.0,356.0,189.0,167.0,2.0
1261970NYG,December 6,NYG,15.0,270.0,119.0,151.0,3.0,BUF,13.0,180.0,107.0,73.0,2.0
12131970CRD,December 13,NYG,22.0,361.0,217.0,144.0,0.0,CRD,13.0,344.0,273.0,71.0,2.0
12201970NYG,December 20,NYG,13.0,216.0,166.0,50.0,2.0,RAM,18.0,341.0,149.0,192.0,0.0
9191971GNB,September 19,NYG,12.0,323.0,221.0,102.0,1.0,GNB,17.0,348.0,224.0,124.0,5.0
9261971NYG,September 26,NYG,13.0,156.0,88.0,68.0,2.0,WAS,19.0,427.0,301.0,126.0,0.0
1031971CRD,October 3,NYG,16.0,301.0,220.0,81.0,2.0,CRD,14.0,305.0,176.0,129.0,4.0
10111971DAL,October 11,NYG,18.0,332.0,265.0,67.0,5.0,DAL,21.0,401.0,179.0,222.0,6.0
10171971NYG,October 17,NYG,15.0,251.0,164.0,87.0,5.0,CLT,19.0,363.0,122.0,241.0,0.0
10241971PHI,October 24,NYG,16.0,236.0,71.0,165.0,5.0,PHI,15.0,212.0,43.0,169.0,1.0
10311971NYG,October 31,NYG,13.0,252.0,127.0,125.0,1.0,MIN,13.0,278.0,161.0,117.0,2.0
1171971NYG,November 7,NYG,21.0,417.0,260.0,157.0,1.0,SDG,18.0,319.0,227.0,92.0,3.0
11141971ATL,November 14,NYG,19.0,324.0,152.0,172.0,3.0,ATL,13.0,219.0,139.0,80.0,2.0
11211971PIT,November 21,NYG,22.0,419.0,273.0,146.0,3.0,PIT,11.0,175.0,60.0,115.0,0.0
11281971NYG,November 28,NYG,15.0,285.0,211.0,74.0,6.0,CRD,21.0,344.0,137.0,207.0,3.0
1251971WAS,December 5,NYG,15.0,254.0,165.0,89.0,5.0,WAS,9.0,190.0,35.0,155.0,1.0
12121971NYG,December 12,NYG,17.0,247.0,183.0,64.0,4.0,DAL,23.0,439.0,242.0,197.0,3.0
12191971NYG,December 19,NYG,24.0,378.0,314.0,64.0,2.0,PHI,15.0,346.0,261.0,85.0,0.0
9171972DET,September 17,NYG,14.0,245.0,133.0,112.0,2.0,DET,18.0,392.0,200.0,192.0,0.0
9241972NYG,September 24,NYG,14.0,355.0,271.0,84.0,2.0,DAL,18.0,297.0,158.0,139.0,0.0
1021972PHI,October 2,NYG,21.0,321.0,164.0,157.0,2.0,PHI,21.0,394.0,212.0,182.0,4.0
1081972NYG,October 8,NYG,20.0,357.0,149.0,208.0,2.0,NOR,15.0,286.0,228.0,58.0,6.0
10151972SFO,October 15,NYG,18.0,269.0,129.0,140.0,2.0,SFO,18.0,342.0,257.0,85.0,5.0
10221972NYG,October 22,NYG,16.0,316.0,209.0,107.0,3.0,CRD,13.0,191.0,108.0,83.0,3.0
10291972NYG,October 29,NYG,19.0,360.0,248.0,112.0,2.0,WAS,16.0,337.0,127.0,210.0,2.0
1151972NYG,November 5,NYG,23.0,316.0,178.0,138.0,1.0,DEN,17.0,330.0,147.0,183.0,3.0
11121972WAS,November 12,NYG,14.0,235.0,117.0,118.0,2.0,WAS,21.0,380.0,237.0,143.0,1.0
