game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
991966MIA,September 9,NYJ,14.0,247.0,151.0,96.0,3.0,MIA,9.0,111.0,61.0,50.0,3.0
9181966NYJ,September 18,NYJ,23.0,466.0,340.0,126.0,0.0,OTI,16.0,207.0,136.0,71.0,5.0
9251966DEN,September 25,NYJ,20.0,359.0,206.0,153.0,3.0,DEN,7.0,182.0,105.0,77.0,2.0
1021966NWE,October 2,NYJ,20.0,367.0,338.0,29.0,4.0,NWE,13.0,224.0,138.0,86.0,1.0
1081966NYJ,October 8,NYJ,12.0,248.0,129.0,119.0,3.0,SDG,23.0,445.0,350.0,95.0,1.0
10161966OTI,October 16,NYJ,11.0,216.0,163.0,53.0,5.0,OTI,17.0,339.0,198.0,141.0,3.0
10231966NYJ,October 23,NYJ,27.0,397.0,260.0,137.0,3.0,RAI,17.0,334.0,205.0,129.0,2.0
10301966NYJ,October 30,NYJ,17.0,328.0,323.0,5.0,6.0,BUF,17.0,268.0,134.0,134.0,5.0
11131966BUF,November 13,NYJ,15.0,329.0,274.0,55.0,1.0,BUF,10.0,224.0,132.0,92.0,0.0
11201966NYJ,November 20,NYJ,18.0,314.0,236.0,78.0,0.0,MIA,12.0,204.0,141.0,63.0,1.0
11271966NYJ,November 27,NYJ,15.0,283.0,252.0,31.0,1.0,KAN,27.0,439.0,311.0,128.0,1.0
1231966RAI,December 3,NYJ,16.0,489.0,316.0,173.0,5.0,RAI,17.0,415.0,261.0,154.0,1.0
12111966SDG,December 11,NYJ,20.0,335.0,189.0,146.0,4.0,SDG,25.0,425.0,203.0,222.0,1.0
12171966NYJ,December 17,NYJ,26.0,528.0,287.0,241.0,0.0,NWE,21.0,461.0,379.0,82.0,3.0
9101967BUF,September 10,NYJ,14.0,287.0,135.0,152.0,0.0,BUF,15.0,248.0,159.0,89.0,2.0
9241967DEN,September 24,NYJ,27.0,478.0,399.0,79.0,2.0,DEN,15.0,359.0,242.0,117.0,2.0
1011967NYJ,October 1,NYJ,22.0,484.0,427.0,57.0,1.0,MIA,13.0,208.0,94.0,114.0,3.0
1071967NYJ,October 7,NYJ,15.0,297.0,146.0,151.0,3.0,RAI,10.0,210.0,155.0,55.0,4.0
10151967NYJ,October 15,NYJ,25.0,367.0,295.0,72.0,6.0,OTI,8.0,131.0,51.0,80.0,3.0
10221967MIA,October 22,NYJ,20.0,335.0,202.0,133.0,0.0,MIA,17.0,246.0,168.0,78.0,2.0
10291967NYJ,October 29,NYJ,20.0,409.0,328.0,81.0,3.0,NWE,11.0,170.0,98.0,72.0,2.0
1151967KAN,November 5,NYJ,22.0,340.0,274.0,66.0,4.0,KAN,24.0,392.0,178.0,214.0,1.0
11121967NYJ,November 12,NYJ,15.0,360.0,293.0,67.0,3.0,BUF,16.0,257.0,136.0,121.0,2.0
11191967NWE,November 19,NYJ,16.0,390.0,285.0,105.0,3.0,NWE,16.0,276.0,180.0,96.0,3.0
1231967NYJ,December 3,NYJ,23.0,345.0,305.0,40.0,6.0,DEN,9.0,142.0,18.0,124.0,0.0
12101967NYJ,December 10,NYJ,17.0,167.0,84.0,83.0,3.0,KAN,13.0,204.0,80.0,124.0,2.0
12171967RAI,December 17,NYJ,23.0,464.0,356.0,108.0,3.0,RAI,17.0,455.0,336.0,119.0,4.0
12241967SDG,December 24,NYJ,23.0,429.0,316.0,113.0,0.0,SDG,19.0,476.0,246.0,230.0,3.0
9151968KAN,September 15,NYJ,18.0,397.0,296.0,101.0,2.0,KAN,11.0,201.0,83.0,118.0,1.0
9221968NWE,September 22,NYJ,14.0,268.0,189.0,79.0,3.0,NWE,15.0,359.0,304.0,55.0,6.0
9291968BUF,September 29,NYJ,17.0,427.0,257.0,170.0,6.0,BUF,10.0,197.0,57.0,140.0,2.0
1051968NYJ,October 5,NYJ,19.0,302.0,220.0,82.0,0.0,SDG,15.0,347.0,319.0,28.0,4.0
10131968NYJ,October 13,NYJ,18.0,460.0,331.0,129.0,5.0,DEN,12.0,222.0,174.0,48.0,0.0
10201968OTI,October 20,NYJ,15.0,231.0,137.0,94.0,0.0,OTI,16.0,141.0,62.0,79.0,2.0
10271968NYJ,October 27,NYJ,24.0,356.0,182.0,174.0,3.0,NWE,8.0,226.0,182.0,44.0,8.0
1131968NYJ,November 3,NYJ,11.0,274.0,164.0,110.0,1.0,BUF,10.0,196.0,134.0,62.0,5.0
11101968NYJ,November 10,NYJ,16.0,311.0,176.0,135.0,1.0,OTI,9.0,166.0,47.0,119.0,3.0
11171968RAI,November 17,NYJ,18.0,413.0,345.0,68.0,1.0,RAI,21.0,437.0,291.0,146.0,4.0
11241968SDG,November 24,NYJ,22.0,510.0,368.0,142.0,1.0,SDG,12.0,235.0,190.0,45.0,4.0
1211968NYJ,December 1,NYJ,19.0,380.0,267.0,113.0,0.0,MIA,21.0,341.0,178.0,163.0,1.0
1281968NYJ,December 8,NYJ,19.0,371.0,286.0,85.0,2.0,CIN,6.0,158.0,51.0,107.0,1.0
12151968MIA,December 15,NYJ,19.0,347.0,221.0,126.0,3.0,MIA,12.0,137.0,96.0,41.0,2.0
12291968NYJ,December 29,NYJ,25.0,400.0,256.0,144.0,2.0,RAI,18.0,443.0,393.0,50.0,0.0
1121969CLT,January 12,NYJ,21.0,337.0,195.0,142.0,1.0,CLT,18.0,324.0,181.0,143.0,5.0
9141969BUF,September 14,NYJ,15.0,324.0,146.0,178.0,4.0,BUF,13.0,181.0,122.0,59.0,6.0
9211969DEN,September 21,NYJ,22.0,370.0,262.0,108.0,3.0,DEN,18.0,292.0,141.0,151.0,3.0
9281969SDG,September 28,NYJ,24.0,414.0,333.0,81.0,2.0,SDG,22.0,418.0,268.0,150.0,1.0
1051969NWE,October 5,NYJ,20.0,309.0,145.0,164.0,1.0,NWE,11.0,203.0,168.0,35.0,3.0
10121969CIN,October 12,NYJ,21.0,376.0,154.0,222.0,2.0,CIN,15.0,258.0,169.0,89.0,3.0
10201969NYJ,October 20,NYJ,18.0,447.0,306.0,141.0,3.0,OTI,20.0,377.0,307.0,70.0,3.0
10261969NYJ,October 26,NYJ,21.0,318.0,108.0,210.0,3.0,NWE,10.0,211.0,129.0,82.0,2.0
1121969NYJ,November 2,NYJ,15.0,315.0,221.0,94.0,2.0,MIA,23.0,421.0,218.0,203.0,4.0
1191969NYJ,November 9,NYJ,16.0,273.0,169.0,104.0,1.0,BUF,13.0,297.0,191.0,106.0,2.0
11161969NYJ,November 16,NYJ,22.0,410.0,333.0,77.0,5.0,KAN,23.0,424.0,285.0,139.0,1.0
11231969NYJ,November 23,NYJ,20.0,328.0,213.0,115.0,1.0,CIN,9.0,158.0,108.0,50.0,3.0
11301969NYJ,November 30,NYJ,13.0,238.0,139.0,99.0,2.0,RAI,18.0,404.0,322.0,82.0,1.0
1261969OTI,December 6,NYJ,12.0,213.0,81.0,132.0,4.0,OTI,18.0,220.0,160.0,60.0,9.0
12141969MIA,December 14,NYJ,13.0,248.0,191.0,57.0,2.0,MIA,16.0,218.0,168.0,50.0,4.0
12201969NYJ,December 20,NYJ,19.0,235.0,148.0,87.0,4.0,KAN,14.0,276.0,177.0,99.0,0.0
9211970CLE,September 21,NYJ,31.0,454.0,286.0,168.0,4.0,CLE,20.0,221.0,145.0,76.0,0.0
9271970NWE,September 27,NYJ,18.0,283.0,96.0,187.0,2.0,NWE,12.0,209.0,139.0,70.0,3.0
1041970BUF,October 4,NYJ,11.0,337.0,228.0,109.0,0.0,BUF,20.0,401.0,252.0,149.0,5.0
10101970NYJ,October 10,NYJ,14.0,263.0,224.0,39.0,3.0,MIA,20.0,312.0,195.0,117.0,1.0
10181970NYJ,October 18,NYJ,22.0,398.0,361.0,37.0,6.0,CLT,14.0,254.0,176.0,78.0,4.0
10251970NYJ,October 25,NYJ,10.0,119.0,33.0,86.0,2.0,BUF,15.0,193.0,104.0,89.0,2.0
1111970NYJ,November 1,NYJ,16.0,237.0,135.0,102.0,4.0,NYG,15.0,240.0,140.0,100.0,0.0
1181970PIT,November 8,NYJ,20.0,246.0,142.0,104.0,3.0,PIT,14.0,277.0,123.0,154.0,2.0
11151970RAM,November 15,NYJ,15.0,386.0,233.0,153.0,2.0,RAM,12.0,325.0,274.0,51.0,4.0
11221970NYJ,November 22,NYJ,19.0,293.0,141.0,152.0,2.0,NWE,5.0,80.0,57.0,23.0,1.0
