game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9121976SEA,September 12,SEA,17.0,352.0,279.0,73.0,3.0,CRD,25.0,456.0,175.0,281.0,2.0
9191976WAS,September 19,SEA,11.0,205.0,103.0,102.0,3.0,WAS,28.0,428.0,155.0,273.0,3.0
9261976SEA,September 26,SEA,29.0,421.0,291.0,130.0,3.0,SFO,19.0,381.0,239.0,142.0,1.0
1031976SEA,October 3,SEA,19.0,243.0,140.0,103.0,1.0,DAL,25.0,411.0,200.0,211.0,1.0
10101976GNB,October 10,SEA,17.0,227.0,169.0,58.0,2.0,GNB,24.0,380.0,193.0,187.0,3.0
10171976TAM,October 17,SEA,14.0,253.0,163.0,90.0,2.0,TAM,18.0,285.0,140.0,145.0,1.0
10241976SEA,October 24,SEA,20.0,339.0,242.0,97.0,8.0,DET,22.0,369.0,217.0,152.0,1.0
10311976RAM,October 31,SEA,9.0,194.0,144.0,50.0,2.0,RAM,25.0,429.0,223.0,206.0,1.0
1171976SEA,November 7,SEA,19.0,349.0,153.0,196.0,4.0,ATL,12.0,238.0,90.0,148.0,6.0
11141976MIN,November 14,SEA,15.0,386.0,278.0,108.0,4.0,MIN,29.0,424.0,244.0,180.0,0.0
11211976SEA,November 21,SEA,18.0,269.0,164.0,105.0,5.0,NOR,28.0,399.0,141.0,258.0,2.0
11281976NYG,November 28,SEA,15.0,244.0,116.0,128.0,3.0,NYG,20.0,279.0,115.0,164.0,4.0
1251976SEA,December 5,SEA,16.0,286.0,181.0,105.0,5.0,CHI,23.0,509.0,250.0,259.0,1.0
12121976PHI,December 12,SEA,20.0,297.0,226.0,71.0,3.0,PHI,25.0,412.0,142.0,270.0,0.0
9181977SEA,September 18,SEA,16.0,255.0,151.0,104.0,4.0,CLT,23.0,426.0,220.0,206.0,1.0
9251977CIN,September 25,SEA,15.0,282.0,172.0,110.0,3.0,CIN,27.0,424.0,225.0,199.0,1.0
1021977SEA,October 2,SEA,19.0,272.0,191.0,81.0,3.0,DEN,19.0,330.0,177.0,153.0,2.0
1091977NWE,October 9,SEA,6.0,145.0,50.0,95.0,5.0,NWE,19.0,333.0,137.0,196.0,3.0
10161977SEA,October 16,SEA,21.0,375.0,241.0,134.0,2.0,TAM,22.0,384.0,217.0,167.0,6.0
10231977MIA,October 23,SEA,14.0,222.0,143.0,79.0,3.0,MIA,19.0,222.0,86.0,136.0,1.0
10301977SEA,October 30,SEA,30.0,559.0,333.0,226.0,3.0,BUF,17.0,336.0,221.0,115.0,3.0
1161977RAI,November 6,SEA,13.0,177.0,51.0,126.0,4.0,RAI,29.0,397.0,149.0,248.0,0.0
11131977NYJ,November 13,SEA,26.0,445.0,213.0,232.0,1.0,NYJ,8.0,124.0,25.0,99.0,3.0
11201977SEA,November 20,SEA,12.0,129.0,27.0,102.0,4.0,OTI,25.0,432.0,237.0,195.0,3.0
