,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
2,SDG,941966SDG,September 4,BUF,15.0,290.0,153.0,137.0,0.0,15.0,267.0,150.0,117.0,3.0
8,BUF,9111966BUF,September 11,KAN,15.0,195.0,116.0,79.0,1.0,17.0,388.0,223.0,165.0,1.0
15,BUF,9181966BUF,September 18,MIA,25.0,508.0,329.0,179.0,3.0,17.0,313.0,202.0,111.0,4.0
27,BUF,9251966BUF,September 25,OTI,14.0,276.0,140.0,136.0,3.0,15.0,300.0,276.0,24.0,5.0
41,KAN,1021966KAN,October 2,BUF,11.0,265.0,214.0,51.0,3.0,20.0,361.0,214.0,147.0,1.0
47,BUF,1081966BUF,October 8,NWE,15.0,321.0,269.0,52.0,3.0,12.0,286.0,177.0,109.0,1.0
60,BUF,10161966BUF,October 16,SDG,22.0,320.0,107.0,213.0,2.0,12.0,219.0,169.0,50.0,0.0
87,NYJ,10301966NYJ,October 30,BUF,17.0,328.0,323.0,5.0,6.0,17.0,268.0,134.0,134.0,5.0
96,MIA,1161966MIA,November 6,BUF,11.0,171.0,123.0,48.0,4.0,18.0,385.0,271.0,114.0,5.0
104,BUF,11131966BUF,November 13,NYJ,10.0,224.0,132.0,92.0,0.0,15.0,329.0,274.0,55.0,1.0
117,OTI,11201966OTI,November 20,BUF,11.0,315.0,228.0,87.0,3.0,23.0,508.0,352.0,156.0,0.0
126,RAI,11241966RAI,November 24,BUF,11.0,315.0,257.0,58.0,4.0,25.0,465.0,239.0,226.0,2.0
137,NWE,1241966NWE,December 4,BUF,12.0,226.0,119.0,107.0,1.0,17.0,314.0,274.0,40.0,4.0
160,BUF,12181966BUF,December 18,DEN,19.0,336.0,129.0,207.0,4.0,16.0,364.0,320.0,44.0,5.0
168,BUF,111967BUF,January 1,KAN,9.0,255.0,215.0,40.0,4.0,14.0,277.0,164.0,113.0,0.0
174,BUF,9101967BUF,September 10,NYJ,15.0,248.0,159.0,89.0,2.0,14.0,287.0,135.0,152.0,0.0
177,BUF,9171967BUF,September 17,OTI,9.0,193.0,150.0,43.0,4.0,9.0,139.0,26.0,113.0,2.0
188,BUF,9241967BUF,September 24,NWE,11.0,241.0,199.0,42.0,6.0,13.0,265.0,82.0,183.0,0.0
200,BUF,1011967BUF,October 1,SDG,12.0,247.0,193.0,54.0,3.0,26.0,484.0,282.0,202.0,0.0
215,DEN,1081967DEN,October 8,BUF,13.0,190.0,107.0,83.0,1.0,21.0,297.0,210.0,87.0,4.0
226,BUF,10151967BUF,October 15,RAI,10.0,158.0,120.0,38.0,2.0,13.0,223.0,79.0,144.0,5.0
249,OTI,10291967OTI,October 29,BUF,10.0,181.0,61.0,120.0,3.0,14.0,215.0,100.0,115.0,4.0
261,BUF,1151967BUF,November 5,MIA,18.0,310.0,128.0,182.0,3.0,16.0,127.0,80.0,47.0,2.0
279,NYJ,11121967NYJ,November 12,BUF,15.0,360.0,293.0,67.0,3.0,16.0,257.0,136.0,121.0,2.0
286,BUF,11191967BUF,November 19,DEN,21.0,367.0,229.0,138.0,3.0,13.0,194.0,154.0,40.0,3.0
302,MIA,11261967MIA,November 26,BUF,18.0,318.0,202.0,116.0,3.0,19.0,351.0,245.0,106.0,4.0
311,KAN,1231967KAN,December 3,BUF,18.0,257.0,128.0,129.0,1.0,8.0,242.0,211.0,31.0,4.0
319,NWE,1291967NWE,December 9,BUF,9.0,150.0,97.0,53.0,7.0,17.0,252.0,119.0,133.0,2.0
346,RAI,12241967RAI,December 24,BUF,14.0,272.0,99.0,173.0,6.0,12.0,210.0,118.0,92.0,4.0
352,BUF,981968BUF,September 8,NWE,11.0,191.0,115.0,76.0,4.0,9.0,195.0,45.0,150.0,3.0
357,BUF,9151968BUF,September 15,RAI,14.0,191.0,-19.0,210.0,1.0,20.0,411.0,201.0,210.0,1.0
370,CIN,9221968CIN,September 22,BUF,9.0,201.0,52.0,149.0,2.0,17.0,215.0,123.0,92.0,2.0
380,BUF,9291968BUF,September 29,NYJ,10.0,197.0,57.0,140.0,2.0,17.0,427.0,257.0,170.0,6.0
392,BUF,1051968BUF,October 5,KAN,11.0,251.0,136.0,115.0,5.0,20.0,353.0,141.0,212.0,2.0
405,MIA,10121968MIA,October 12,BUF,14.0,171.0,59.0,112.0,2.0,12.0,237.0,93.0,144.0,3.0
419,NWE,10201968NWE,October 20,BUF,11.0,299.0,96.0,203.0,2.0,9.0,203.0,154.0,49.0,5.0
432,BUF,10271968BUF,October 27,OTI,8.0,113.0,63.0,50.0,3.0,13.0,332.0,199.0,133.0,0.0
452,NYJ,1131968NYJ,November 3,BUF,11.0,274.0,164.0,110.0,1.0,10.0,196.0,134.0,62.0,5.0
459,BUF,11101968BUF,November 10,MIA,12.0,274.0,141.0,133.0,3.0,22.0,305.0,156.0,149.0,2.0
471,BUF,11171968BUF,November 17,SDG,7.0,151.0,61.0,90.0,1.0,15.0,282.0,206.0,76.0,5.0
488,DEN,11241968DEN,November 24,BUF,15.0,386.0,302.0,84.0,3.0,14.0,220.0,132.0,88.0,2.0
498,RAI,11281968RAI,November 28,BUF,11.0,186.0,111.0,75.0,2.0,17.0,343.0,144.0,199.0,4.0
