,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
6090,ATL,931995ATL,September 3,CAR,20.0,391.0,274.0,117.0,3.0,17.0,312.0,261.0,51.0,1.0
6106,BUF,9101995BUF,September 10,CAR,16.0,348.0,176.0,172.0,3.0,6.0,113.0,12.0,101.0,1.0
6121,CAR,9171995CAR,September 17,RAM,21.0,294.0,205.0,89.0,7.0,14.0,318.0,202.0,116.0,0.0
6149,CAR,1011995CAR,October 1,TAM,20.0,393.0,234.0,159.0,4.0,16.0,310.0,252.0,58.0,0.0
6161,CHI,1081995CHI,October 8,CAR,27.0,390.0,249.0,141.0,1.0,10.0,297.0,228.0,69.0,1.0
6176,CAR,10151995CAR,October 15,NYJ,15.0,265.0,132.0,133.0,3.0,7.0,138.0,113.0,25.0,3.0
6187,CAR,10221995CAR,October 22,NOR,10.0,155.0,29.0,126.0,0.0,17.0,302.0,238.0,64.0,5.0
6206,NWE,10291995NWE,October 29,CAR,23.0,326.0,228.0,98.0,2.0,23.0,434.0,291.0,143.0,2.0
6223,SFO,1151995SFO,November 5,CAR,19.0,404.0,339.0,65.0,5.0,13.0,204.0,132.0,72.0,2.0
6238,RAM,11121995RAM,November 12,CAR,18.0,315.0,191.0,124.0,3.0,17.0,323.0,246.0,77.0,6.0
6241,CAR,11191995CAR,November 19,CRD,23.0,370.0,182.0,188.0,1.0,7.0,96.0,62.0,34.0,2.0
6264,NOR,11261995NOR,November 26,CAR,24.0,352.0,172.0,180.0,4.0,17.0,409.0,329.0,80.0,6.0
6271,CAR,1231995CAR,December 3,CLT,12.0,255.0,170.0,85.0,2.0,12.0,200.0,135.0,65.0,2.0
6288,CAR,12101995CAR,December 10,SFO,12.0,195.0,119.0,76.0,1.0,26.0,401.0,322.0,79.0,2.0
6303,CAR,12171995CAR,December 17,ATL,15.0,328.0,283.0,45.0,2.0,25.0,419.0,332.0,87.0,2.0
6328,WAS,12241995WAS,December 24,CAR,17.0,317.0,166.0,151.0,0.0,19.0,272.0,193.0,79.0,2.0
6342,CAR,911996CAR,September 1,ATL,23.0,315.0,186.0,129.0,1.0,12.0,281.0,162.0,119.0,1.0
6363,NOR,981996NOR,September 8,CAR,14.0,338.0,244.0,94.0,2.0,15.0,225.0,142.0,83.0,1.0
6386,CAR,9221996CAR,September 22,SFO,21.0,389.0,272.0,117.0,1.0,15.0,300.0,252.0,48.0,1.0
6401,JAX,9291996JAX,September 29,CAR,22.0,378.0,199.0,179.0,2.0,21.0,272.0,215.0,57.0,2.0
6417,MIN,1061996MIN,October 6,CAR,16.0,293.0,192.0,101.0,2.0,15.0,256.0,155.0,101.0,6.0
6424,CAR,10131996CAR,October 13,RAM,21.0,361.0,177.0,184.0,1.0,15.0,219.0,141.0,78.0,3.0
6437,CAR,10201996CAR,October 20,NOR,21.0,314.0,155.0,159.0,0.0,10.0,174.0,103.0,71.0,2.0
6458,PHI,10271996PHI,October 27,CAR,16.0,359.0,329.0,30.0,1.0,10.0,300.0,239.0,61.0,2.0
6462,ATL,1131996ATL,November 3,CAR,16.0,313.0,189.0,124.0,2.0,17.0,347.0,243.0,104.0,3.0
6476,CAR,11101996CAR,November 10,NYG,23.0,350.0,208.0,142.0,1.0,14.0,289.0,215.0,74.0,4.0
6504,RAM,11171996RAM,November 17,CAR,15.0,243.0,121.0,122.0,1.0,22.0,255.0,108.0,147.0,2.0
6511,OTI,11241996OTI,November 24,CAR,17.0,271.0,186.0,85.0,4.0,12.0,254.0,160.0,94.0,1.0
6524,CAR,1211996CAR,December 1,TAM,13.0,215.0,83.0,132.0,0.0,17.0,284.0,206.0,78.0,4.0
6547,SFO,1281996SFO,December 8,CAR,23.0,450.0,375.0,75.0,4.0,22.0,382.0,324.0,58.0,0.0
6555,CAR,12151996CAR,December 15,RAV,21.0,350.0,268.0,82.0,2.0,17.0,319.0,220.0,99.0,3.0
6570,CAR,12221996CAR,December 22,PIT,15.0,227.0,148.0,79.0,2.0,12.0,265.0,80.0,185.0,2.0
6587,CAR,151997CAR,January 5,DAL,18.0,227.0,100.0,127.0,2.0,21.0,244.0,148.0,96.0,3.0
6589,GNB,1121997GNB,January 12,CAR,22.0,479.0,278.0,201.0,2.0,12.0,251.0,206.0,45.0,3.0
6594,CAR,8311997CAR,August 31,WAS,16.0,262.0,104.0,158.0,4.0,23.0,323.0,125.0,198.0,0.0
6608,ATL,971997ATL,September 7,CAR,8.0,210.0,162.0,48.0,2.0,21.0,321.0,228.0,93.0,2.0
6631,SDG,9141997SDG,September 14,CAR,17.0,251.0,155.0,96.0,4.0,21.0,279.0,138.0,141.0,1.0
6636,CAR,9211997CAR,September 21,KAN,24.0,364.0,278.0,86.0,5.0,18.0,331.0,214.0,117.0,1.0
6660,CAR,9291997CAR,September 29,SFO,16.0,254.0,210.0,44.0,4.0,27.0,368.0,149.0,219.0,1.0
6677,MIN,10121997MIN,October 12,CAR,17.0,361.0,203.0,158.0,1.0,15.0,277.0,197.0,80.0,2.0
6692,NOR,10191997NOR,October 19,CAR,15.0,200.0,89.0,111.0,2.0,15.0,269.0,196.0,73.0,1.0
6701,CAR,10261997CAR,October 26,ATL,14.0,228.0,91.0,137.0,3.0,17.0,301.0,233.0,68.0,3.0
6716,CAR,1121997CAR,November 2,RAI,27.0,408.0,192.0,216.0,0.0,20.0,357.0,319.0,38.0,2.0
6730,DEN,1191997DEN,November 9,CAR,20.0,393.0,233.0,160.0,1.0,7.0,147.0,113.0,34.0,4.0
6753,SFO,11161997SFO,November 16,CAR,20.0,320.0,221.0,99.0,0.0,18.0,254.0,169.0,85.0,3.0
