,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
9,DET,9111966DET,September 11,CHI,14.0,208.0,85.0,123.0,3.0,17.0,256.0,109.0,147.0,3.0
14,RAM,9161966RAM,September 16,CHI,17.0,294.0,195.0,99.0,4.0,12.0,239.0,118.0,121.0,3.0
42,MIN,1021966MIN,October 2,CHI,16.0,284.0,169.0,115.0,3.0,11.0,283.0,179.0,104.0,2.0
51,CHI,1091966CHI,October 9,CLT,19.0,315.0,96.0,219.0,1.0,19.0,364.0,256.0,108.0,4.0
61,CHI,10161966CHI,October 16,GNB,6.0,94.0,52.0,42.0,4.0,12.0,180.0,59.0,121.0,2.0
71,CHI,10231966CHI,October 23,RAM,15.0,287.0,135.0,152.0,2.0,14.0,203.0,95.0,108.0,2.0
90,CRD,10311966CRD,October 31,CHI,11.0,166.0,47.0,119.0,3.0,16.0,282.0,173.0,109.0,4.0
93,CHI,1161966CHI,November 6,DET,15.0,282.0,106.0,176.0,0.0,17.0,255.0,167.0,88.0,1.0
105,CHI,11131966CHI,November 13,SFO,12.0,220.0,120.0,100.0,1.0,28.0,423.0,311.0,112.0,3.0
116,GNB,11201966GNB,November 20,CHI,15.0,296.0,227.0,69.0,2.0,9.0,160.0,85.0,75.0,4.0
128,CHI,11271966CHI,November 27,ATL,23.0,476.0,177.0,299.0,4.0,6.0,167.0,101.0,66.0,3.0
136,CLT,1241966CLT,December 4,CHI,16.0,260.0,148.0,112.0,2.0,18.0,296.0,245.0,51.0,3.0
156,SFO,12111966SFO,December 11,CHI,25.0,411.0,262.0,149.0,2.0,9.0,129.0,64.0,65.0,4.0
161,CHI,12181966CHI,December 18,MIN,14.0,380.0,113.0,267.0,0.0,29.0,460.0,245.0,215.0,4.0
185,PIT,9171967PIT,September 17,CHI,23.0,393.0,198.0,195.0,2.0,6.0,95.0,79.0,16.0,6.0
192,GNB,9241967GNB,September 24,CHI,24.0,365.0,132.0,233.0,8.0,6.0,159.0,19.0,140.0,1.0
204,MIN,1011967MIN,October 1,CHI,12.0,200.0,137.0,63.0,2.0,17.0,221.0,27.0,194.0,0.0
214,CHI,1081967CHI,October 8,CLT,15.0,272.0,201.0,71.0,5.0,15.0,219.0,149.0,70.0,4.0
227,CHI,10151967CHI,October 15,DET,14.0,265.0,28.0,237.0,3.0,9.0,168.0,126.0,42.0,3.0
236,CLE,10221967CLE,October 22,CHI,23.0,347.0,158.0,189.0,1.0,9.0,136.0,116.0,20.0,2.0
248,CHI,10291967CHI,October 29,RAM,11.0,180.0,88.0,92.0,4.0,20.0,309.0,144.0,165.0,3.0
264,DET,1151967DET,November 5,CHI,12.0,174.0,83.0,91.0,4.0,9.0,180.0,60.0,120.0,2.0
273,CHI,11121967CHI,November 12,NYG,16.0,264.0,117.0,147.0,1.0,14.0,161.0,78.0,83.0,4.0
287,CHI,11191967CHI,November 19,CRD,13.0,461.0,320.0,141.0,3.0,15.0,230.0,154.0,76.0,9.0
299,CHI,11261967CHI,November 26,GNB,14.0,249.0,56.0,193.0,3.0,15.0,245.0,174.0,71.0,0.0
316,SFO,1231967SFO,December 3,CHI,9.0,226.0,155.0,71.0,2.0,15.0,220.0,107.0,113.0,2.0
323,CHI,12101967CHI,December 10,MIN,16.0,298.0,108.0,190.0,0.0,11.0,212.0,107.0,105.0,1.0
333,ATL,12171967ATL,December 17,CHI,13.0,157.0,80.0,77.0,1.0,14.0,293.0,115.0,178.0,0.0
358,CHI,9151968CHI,September 15,WAS,18.0,316.0,151.0,165.0,3.0,18.0,337.0,263.0,74.0,1.0
372,DET,9221968DET,September 22,CHI,22.0,468.0,295.0,173.0,2.0,11.0,167.0,106.0,61.0,10.0
386,MIN,9291968MIN,September 29,CHI,17.0,279.0,121.0,158.0,3.0,20.0,409.0,131.0,278.0,2.0
396,CLT,1061968CLT,October 6,CHI,22.0,460.0,306.0,154.0,3.0,7.0,225.0,80.0,145.0,1.0
408,CHI,10131968CHI,October 13,DET,12.0,241.0,111.0,130.0,2.0,24.0,405.0,161.0,244.0,1.0
427,PHI,10201968PHI,October 20,CHI,12.0,190.0,101.0,89.0,3.0,16.0,258.0,94.0,164.0,1.0
433,CHI,10271968CHI,October 27,MIN,20.0,418.0,171.0,247.0,1.0,17.0,274.0,177.0,97.0,1.0
447,GNB,1131968GNB,November 3,CHI,12.0,242.0,135.0,107.0,1.0,18.0,328.0,37.0,291.0,3.0
460,CHI,11101968CHI,November 10,SFO,26.0,449.0,234.0,215.0,1.0,11.0,255.0,199.0,56.0,4.0
472,CHI,11171968CHI,November 17,ATL,16.0,302.0,185.0,117.0,2.0,14.0,300.0,143.0,157.0,1.0
485,CHI,11241968CHI,November 24,DAL,9.0,147.0,80.0,67.0,3.0,26.0,343.0,230.0,113.0,2.0
504,NOR,1211968NOR,December 1,CHI,17.0,292.0,178.0,114.0,5.0,15.0,259.0,46.0,213.0,3.0
512,RAM,1281968RAM,December 8,CHI,16.0,210.0,107.0,103.0,2.0,17.0,248.0,98.0,150.0,2.0
524,CHI,12151968CHI,December 15,GNB,14.0,291.0,157.0,134.0,3.0,12.0,316.0,251.0,65.0,1.0
552,GNB,9211969GNB,September 21,CHI,18.0,286.0,90.0,196.0,0.0,12.0,204.0,114.0,90.0,2.0
569,CRD,9281969CRD,September 28,CHI,11.0,170.0,86.0,84.0,2.0,26.0,371.0,242.0,129.0,2.0
579,NYG,1051969NYG,October 5,CHI,16.0,267.0,179.0,88.0,1.0,22.0,380.0,201.0,179.0,3.0
586,CHI,10121969CHI,October 12,MIN,8.0,119.0,65.0,54.0,4.0,19.0,256.0,71.0,185.0,1.0
600,DET,10191969DET,October 19,CHI,12.0,252.0,97.0,155.0,1.0,12.0,153.0,33.0,120.0,1.0
610,CHI,10261969CHI,October 26,RAM,14.0,159.0,5.0,154.0,2.0,14.0,236.0,110.0,126.0,2.0
629,MIN,1121969MIN,November 2,CHI,15.0,296.0,104.0,192.0,3.0,14.0,211.0,26.0,185.0,2.0
637,CHI,1191969CHI,November 9,PIT,25.0,379.0,107.0,272.0,4.0,10.0,86.0,55.0,31.0,4.0
648,ATL,11161969ATL,November 16,CHI,16.0,356.0,194.0,162.0,2.0,23.0,346.0,123.0,223.0,3.0
662,CHI,11231969CHI,November 23,CLT,14.0,252.0,99.0,153.0,3.0,15.0,345.0,238.0,107.0,3.0
680,CHI,11301969CHI,November 30,CLE,23.0,334.0,97.0,237.0,3.0,19.0,358.0,290.0,68.0,1.0
688,SFO,1261969SFO,December 6,CHI,14.0,360.0,174.0,186.0,0.0,24.0,368.0,300.0,68.0,4.0
702,CHI,12141969CHI,December 14,GNB,11.0,196.0,38.0,158.0,2.0,14.0,363.0,190.0,173.0,3.0
715,CHI,12211969CHI,December 21,DET,9.0,96.0,40.0,56.0,3.0,15.0,250.0,103.0,147.0,4.0
729,NYG,9191970NYG,September 19,CHI,16.0,311.0,253.0,58.0,3.0,18.0,256.0,158.0,98.0,3.0
743,CHI,9271970CHI,September 27,PHI,12.0,181.0,144.0,37.0,1.0,19.0,323.0,232.0,91.0,1.0
766,DET,1051970DET,October 5,CHI,22.0,350.0,210.0,140.0,1.0,8.0,177.0,139.0,38.0,3.0
768,CHI,10111970CHI,October 11,MIN,9.0,137.0,75.0,62.0,6.0,17.0,342.0,200.0,142.0,3.0
782,CHI,10181970CHI,October 18,SDG,15.0,217.0,117.0,100.0,2.0,20.0,357.0,274.0,83.0,0.0
795,CHI,10251970CHI,October 25,DET,10.0,310.0,235.0,75.0,4.0,13.0,187.0,79.0,108.0,1.0
806,ATL,1111970ATL,November 1,CHI,17.0,278.0,131.0,147.0,3.0,10.0,154.0,65.0,89.0,2.0
