,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
4,GNB,9101966GNB,September 10,CLT,17.0,292.0,137.0,155.0,1.0,11.0,213.0,101.0,112.0,3.0
19,MIN,9181966MIN,September 18,CLT,18.0,337.0,157.0,180.0,3.0,14.0,346.0,237.0,109.0,2.0
25,CLT,9251966CLT,September 25,SFO,23.0,379.0,211.0,168.0,2.0,14.0,250.0,155.0,95.0,1.0
51,CHI,1091966CHI,October 9,CLT,19.0,315.0,96.0,219.0,1.0,19.0,364.0,256.0,108.0,4.0
59,CLT,10161966CLT,October 16,DET,21.0,420.0,283.0,137.0,2.0,17.0,293.0,215.0,78.0,4.0
69,CLT,10231966CLT,October 23,MIN,20.0,347.0,201.0,146.0,2.0,24.0,317.0,181.0,136.0,1.0
85,RAM,10301966RAM,October 30,CLT,21.0,340.0,225.0,115.0,6.0,13.0,322.0,230.0,92.0,3.0
91,CLT,1161966CLT,November 6,WAS,28.0,520.0,394.0,126.0,2.0,14.0,272.0,196.0,76.0,4.0
102,ATL,11131966ATL,November 13,CLT,17.0,241.0,152.0,89.0,7.0,13.0,200.0,105.0,95.0,3.0
115,DET,11201966DET,November 20,CLT,16.0,281.0,127.0,154.0,4.0,16.0,289.0,208.0,81.0,6.0
127,CLT,11271966CLT,November 27,RAM,7.0,140.0,107.0,33.0,2.0,17.0,310.0,148.0,162.0,1.0
136,CLT,1241966CLT,December 4,CHI,16.0,260.0,148.0,112.0,2.0,18.0,296.0,245.0,51.0,3.0
146,CLT,12101966CLT,December 10,GNB,15.0,283.0,130.0,153.0,5.0,14.0,242.0,145.0,97.0,1.0
166,SFO,12181966SFO,December 18,CLT,19.0,305.0,179.0,126.0,3.0,21.0,403.0,319.0,84.0,1.0
176,CLT,9171967CLT,September 17,ATL,20.0,508.0,419.0,89.0,2.0,13.0,303.0,199.0,104.0,5.0
195,PHI,9241967PHI,September 24,CLT,16.0,299.0,241.0,58.0,4.0,21.0,345.0,273.0,72.0,0.0
199,CLT,1011967CLT,October 1,SFO,26.0,524.0,382.0,142.0,0.0,15.0,240.0,171.0,69.0,2.0
214,CHI,1081967CHI,October 8,CLT,15.0,272.0,201.0,71.0,5.0,15.0,219.0,149.0,70.0,4.0
224,CLT,10151967CLT,October 15,RAM,20.0,368.0,270.0,98.0,2.0,19.0,410.0,282.0,128.0,1.0
242,MIN,10221967MIN,October 22,CLT,19.0,310.0,195.0,115.0,0.0,22.0,343.0,225.0,118.0,1.0
257,WAS,10291967WAS,October 29,CLT,19.0,322.0,226.0,96.0,3.0,21.0,351.0,236.0,115.0,2.0
259,CLT,1151967CLT,November 5,GNB,17.0,237.0,103.0,134.0,2.0,15.0,265.0,139.0,126.0,1.0
271,ATL,11121967ATL,November 12,CLT,9.0,177.0,62.0,115.0,3.0,30.0,595.0,426.0,169.0,2.0
284,CLT,11191967CLT,November 19,DET,29.0,351.0,161.0,190.0,1.0,16.0,261.0,91.0,170.0,3.0
306,SFO,11261967SFO,November 26,CLT,8.0,165.0,84.0,81.0,4.0,17.0,343.0,174.0,169.0,2.0
307,CLT,1231967CLT,December 3,DAL,16.0,310.0,260.0,50.0,4.0,13.0,223.0,89.0,134.0,4.0
322,CLT,12101967CLT,December 10,NOR,17.0,252.0,127.0,125.0,1.0,15.0,268.0,195.0,73.0,4.0
337,RAM,12171967RAM,December 17,CLT,16.0,328.0,257.0,71.0,1.0,18.0,262.0,158.0,104.0,2.0
356,CLT,9151968CLT,September 15,SFO,22.0,346.0,185.0,161.0,1.0,15.0,272.0,189.0,83.0,3.0
368,ATL,9221968ATL,September 22,CLT,12.0,250.0,164.0,86.0,2.0,22.0,388.0,263.0,125.0,6.0
390,PIT,9291968PIT,September 29,CLT,11.0,213.0,164.0,49.0,4.0,18.0,276.0,153.0,123.0,1.0
396,CLT,1061968CLT,October 6,CHI,22.0,460.0,306.0,154.0,3.0,7.0,225.0,80.0,145.0,1.0
416,SFO,10131968SFO,October 13,CLT,28.0,392.0,236.0,156.0,4.0,18.0,278.0,182.0,96.0,1.0
418,CLT,10201968CLT,October 20,CLE,13.0,212.0,131.0,81.0,5.0,19.0,305.0,126.0,179.0,1.0
431,CLT,10271968CLT,October 27,RAM,17.0,364.0,205.0,159.0,4.0,12.0,148.0,78.0,70.0,4.0
451,NYG,1131968NYG,November 3,CLT,12.0,215.0,160.0,55.0,3.0,20.0,328.0,184.0,144.0,1.0
465,DET,11101968DET,November 10,CLT,20.0,308.0,225.0,83.0,0.0,17.0,354.0,238.0,116.0,1.0
470,CLT,11171968CLT,November 17,CRD,17.0,426.0,256.0,170.0,3.0,16.0,202.0,144.0,58.0,5.0
483,CLT,11241968CLT,November 24,MIN,22.0,413.0,243.0,170.0,3.0,15.0,229.0,141.0,88.0,2.0
499,CLT,1211968CLT,December 1,ATL,23.0,386.0,278.0,108.0,1.0,12.0,143.0,87.0,56.0,6.0
508,GNB,1271968GNB,December 7,CLT,9.0,163.0,97.0,66.0,5.0,14.0,242.0,104.0,138.0,2.0
526,RAM,12151968RAM,December 15,CLT,19.0,312.0,147.0,165.0,1.0,13.0,208.0,144.0,64.0,2.0
