,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
9,DET,9111966DET,September 11,CHI,14.0,208.0,85.0,123.0,3.0,17.0,256.0,109.0,147.0,3.0
23,PIT,9181966PIT,September 18,DET,15.0,256.0,143.0,113.0,1.0,9.0,158.0,89.0,69.0,4.0
31,DET,9251966DET,September 25,ATL,18.0,344.0,208.0,136.0,3.0,13.0,259.0,104.0,155.0,3.0
40,GNB,1021966GNB,October 2,DET,10.0,251.0,185.0,66.0,0.0,17.0,349.0,175.0,174.0,5.0
53,DET,1091966DET,October 9,RAM,14.0,283.0,194.0,89.0,6.0,21.0,369.0,203.0,166.0,3.0
59,CLT,10161966CLT,October 16,DET,21.0,420.0,283.0,137.0,2.0,17.0,293.0,215.0,78.0,4.0
78,SFO,10231966SFO,October 23,DET,23.0,359.0,188.0,171.0,4.0,17.0,314.0,202.0,112.0,2.0
83,DET,10301966DET,October 30,GNB,19.0,317.0,233.0,84.0,5.0,19.0,344.0,170.0,174.0,2.0
93,CHI,1161966CHI,November 6,DET,15.0,282.0,106.0,176.0,0.0,17.0,255.0,167.0,88.0,1.0
109,MIN,11131966MIN,November 13,DET,15.0,232.0,83.0,149.0,5.0,16.0,268.0,218.0,50.0,4.0
115,DET,11201966DET,November 20,CLT,16.0,281.0,127.0,154.0,4.0,16.0,289.0,208.0,81.0,6.0
125,DET,11241966DET,November 24,SFO,10.0,196.0,149.0,47.0,2.0,22.0,487.0,273.0,214.0,3.0
143,RAM,1241966RAM,December 4,DET,14.0,293.0,147.0,146.0,0.0,16.0,305.0,212.0,93.0,4.0
149,DET,12111966DET,December 11,MIN,16.0,282.0,150.0,132.0,2.0,19.0,317.0,206.0,111.0,3.0
179,GNB,9171967GNB,September 17,DET,13.0,306.0,263.0,43.0,5.0,10.0,233.0,41.0,192.0,1.0
191,DET,9241967DET,September 24,CLE,29.0,461.0,223.0,238.0,0.0,15.0,269.0,78.0,191.0,3.0
209,CRD,1011967CRD,October 1,DET,21.0,403.0,313.0,90.0,1.0,20.0,310.0,194.0,116.0,3.0
216,DET,1081967DET,October 8,GNB,7.0,122.0,59.0,63.0,5.0,16.0,249.0,131.0,118.0,4.0
227,CHI,10151967CHI,October 15,DET,14.0,265.0,28.0,237.0,3.0,9.0,168.0,126.0,42.0,3.0
238,DET,10221967DET,October 22,ATL,15.0,250.0,110.0,140.0,1.0,12.0,223.0,87.0,136.0,1.0
256,SFO,10291967SFO,October 29,DET,10.0,173.0,91.0,82.0,6.0,24.0,391.0,162.0,229.0,2.0
264,DET,1151967DET,November 5,CHI,12.0,174.0,83.0,91.0,4.0,9.0,180.0,60.0,120.0,2.0
277,MIN,11121967MIN,November 12,DET,7.0,177.0,40.0,137.0,1.0,17.0,366.0,89.0,277.0,6.0
284,CLT,11191967CLT,November 19,DET,29.0,351.0,161.0,190.0,1.0,16.0,261.0,91.0,170.0,3.0
296,DET,11231967DET,November 23,RAM,10.0,108.0,38.0,70.0,4.0,15.0,263.0,171.0,92.0,1.0
309,DET,1231967DET,December 3,PIT,18.0,254.0,167.0,87.0,3.0,19.0,330.0,233.0,97.0,1.0
327,NYG,12101967NYG,December 10,DET,15.0,149.0,29.0,120.0,1.0,16.0,306.0,208.0,98.0,1.0
335,DET,12171967DET,December 17,MIN,12.0,134.0,40.0,94.0,4.0,10.0,190.0,48.0,142.0,3.0
360,DAL,9151968DAL,September 15,DET,29.0,542.0,381.0,161.0,0.0,15.0,257.0,189.0,68.0,4.0
372,DET,9221968DET,September 22,CHI,22.0,468.0,295.0,173.0,2.0,11.0,167.0,106.0,61.0,10.0
384,GNB,9291968GNB,September 29,DET,15.0,324.0,219.0,105.0,3.0,20.0,343.0,190.0,153.0,1.0
400,MIN,1061968MIN,October 6,DET,18.0,265.0,130.0,135.0,0.0,9.0,247.0,168.0,79.0,1.0
408,CHI,10131968CHI,October 13,DET,12.0,241.0,111.0,130.0,2.0,24.0,405.0,161.0,244.0,1.0
421,DET,10201968DET,October 20,GNB,18.0,282.0,70.0,212.0,4.0,16.0,213.0,79.0,134.0,3.0
436,DET,10271968DET,October 27,SFO,10.0,219.0,141.0,78.0,4.0,16.0,332.0,216.0,116.0,2.0
448,RAM,1131968RAM,November 3,DET,9.0,286.0,185.0,101.0,2.0,15.0,216.0,144.0,72.0,3.0
465,DET,11101968DET,November 10,CLT,20.0,308.0,225.0,83.0,0.0,17.0,354.0,238.0,116.0,1.0
473,DET,11171968DET,November 17,MIN,6.0,131.0,38.0,93.0,1.0,15.0,252.0,113.0,139.0,3.0
489,DET,11241968DET,November 24,NOR,15.0,274.0,189.0,85.0,2.0,17.0,262.0,136.0,126.0,3.0
496,DET,11281968DET,November 28,PHI,8.0,168.0,66.0,102.0,4.0,12.0,161.0,49.0,112.0,1.0
510,ATL,1281968ATL,December 8,DET,14.0,230.0,58.0,172.0,4.0,18.0,342.0,212.0,130.0,1.0
532,WAS,12151968WAS,December 15,DET,13.0,208.0,136.0,72.0,2.0,21.0,368.0,238.0,130.0,4.0
556,PIT,9211969PIT,September 21,DET,12.0,237.0,128.0,109.0,4.0,14.0,236.0,156.0,80.0,4.0
561,DET,9281969DET,September 28,NYG,18.0,241.0,119.0,122.0,1.0,10.0,187.0,101.0,86.0,1.0
574,CLE,1051969CLE,October 5,DET,14.0,264.0,185.0,79.0,6.0,19.0,301.0,157.0,144.0,4.0
589,DET,10121969DET,October 12,GNB,15.0,227.0,82.0,145.0,4.0,23.0,308.0,187.0,121.0,1.0
600,DET,10191969DET,October 19,CHI,12.0,252.0,97.0,155.0,1.0,12.0,153.0,33.0,120.0,1.0
616,MIN,10261969MIN,October 26,DET,13.0,201.0,149.0,52.0,1.0,13.0,167.0,60.0,107.0,4.0
633,SFO,1121969SFO,November 2,DET,14.0,282.0,196.0,86.0,5.0,12.0,125.0,1.0,124.0,2.0
639,DET,1191969DET,November 9,ATL,15.0,241.0,70.0,171.0,1.0,15.0,279.0,122.0,157.0,3.0
652,DET,11161969DET,November 16,CRD,14.0,297.0,232.0,65.0,0.0,16.0,239.0,150.0,89.0,3.0
664,GNB,11231969GNB,November 23,DET,17.0,280.0,210.0,70.0,5.0,15.0,285.0,97.0,188.0,1.0
675,DET,11271969DET,November 27,MIN,9.0,156.0,82.0,74.0,3.0,9.0,173.0,85.0,88.0,2.0
690,CLT,1271969CLT,December 7,DET,14.0,289.0,220.0,69.0,4.0,11.0,245.0,161.0,84.0,0.0
704,DET,12141969DET,December 14,RAM,16.0,332.0,183.0,149.0,1.0,4.0,96.0,55.0,41.0,3.0
715,CHI,12211969CHI,December 21,DET,9.0,96.0,40.0,56.0,3.0,15.0,250.0,103.0,147.0,4.0
733,GNB,9201970GNB,September 20,DET,5.0,114.0,64.0,50.0,3.0,19.0,398.0,132.0,266.0,1.0
746,DET,9271970DET,September 27,CIN,21.0,285.0,94.0,191.0,0.0,6.0,140.0,64.0,76.0,4.0
766,DET,1051970DET,October 5,CHI,22.0,350.0,210.0,140.0,1.0,8.0,177.0,139.0,38.0,3.0
778,WAS,10111970WAS,October 11,DET,21.0,352.0,225.0,127.0,1.0,16.0,251.0,152.0,99.0,1.0
784,CLE,10181970CLE,October 18,DET,19.0,318.0,171.0,147.0,6.0,13.0,315.0,200.0,115.0,2.0
795,CHI,10251970CHI,October 25,DET,10.0,310.0,235.0,75.0,4.0,13.0,187.0,79.0,108.0,1.0
812,DET,1111970DET,November 1,MIN,13.0,254.0,186.0,68.0,3.0,17.0,387.0,251.0,136.0,4.0
823,NOR,1181970NOR,November 8,DET,15.0,272.0,141.0,131.0,0.0,18.0,278.0,143.0,135.0,6.0
840,MIN,11151970MIN,November 15,DET,17.0,289.0,204.0,85.0,2.0,15.0,185.0,59.0,126.0,2.0
849,DET,11221970DET,November 22,SFO,19.0,298.0,111.0,187.0,0.0,15.0,190.0,134.0,56.0,4.0
859,DET,11261970DET,November 26,RAI,25.0,399.0,137.0,262.0,3.0,18.0,248.0,148.0,100.0,2.0
874,DET,1261970DET,December 6,CRD,18.0,279.0,119.0,160.0,2.0,6.0,146.0,108.0,38.0,5.0
896,RAM,12141970RAM,December 14,DET,20.0,381.0,334.0,47.0,1.0,22.0,343.0,164.0,179.0,1.0
902,DET,12201970DET,December 20,GNB,9.0,162.0,71.0,91.0,4.0,9.0,124.0,78.0,46.0,5.0
911,DAL,12261970DAL,December 26,DET,14.0,231.0,22.0,209.0,1.0,7.0,156.0,80.0,76.0,3.0
929,DET,9201971DET,September 20,MIN,15.0,221.0,61.0,160.0,2.0,14.0,275.0,232.0,43.0,4.0
936,NWE,9261971NWE,September 26,DET,10.0,246.0,101.0,145.0,3.0,19.0,368.0,204.0,164.0,0.0
945,DET,1031971DET,October 3,ATL,23.0,318.0,95.0,223.0,2.0,16.0,342.0,295.0,47.0,5.0
962,DET,10101971DET,October 10,GNB,26.0,465.0,287.0,178.0,4.0,14.0,263.0,137.0,126.0,2.0
973,OTI,10171971OTI,October 17,DET,13.0,295.0,209.0,86.0,5.0,20.0,385.0,155.0,230.0,3.0
986,DET,10241971DET,October 24,CHI,17.0,261.0,145.0,116.0,2.0,17.0,323.0,150.0,173.0,0.0
1007,GNB,1111971GNB,November 1,DET,13.0,218.0,0.0,218.0,1.0,18.0,291.0,101.0,190.0,4.0
1010,DEN,1171971DEN,November 7,DET,20.0,360.0,157.0,203.0,2.0,19.0,418.0,190.0,228.0,2.0
1025,DET,11141971DET,November 14,RAM,21.0,317.0,140.0,177.0,1.0,19.0,311.0,170.0,141.0,1.0
1035,CHI,11211971CHI,November 21,DET,8.0,118.0,6.0,112.0,4.0,14.0,256.0,70.0,186.0,3.0
1048,DET,11251971DET,November 25,KAN,22.0,381.0,223.0,158.0,2.0,19.0,258.0,139.0,119.0,2.0
1065,DET,1251971DET,December 5,PHI,20.0,350.0,225.0,125.0,2.0,20.0,359.0,214.0,145.0,1.0
1074,MIN,12111971MIN,December 11,DET,7.0,134.0,21.0,113.0,2.0,17.0,236.0,129.0,107.0,5.0
1097,SFO,12191971SFO,December 19,DET,20.0,357.0,186.0,171.0,1.0,18.0,310.0,176.0,134.0,1.0
1112,DET,9171972DET,September 17,NYG,18.0,392.0,200.0,192.0,0.0,14.0,245.0,133.0,112.0,2.0
1123,DET,9241972DET,September 24,MIN,16.0,213.0,124.0,89.0,5.0,13.0,286.0,156.0,130.0,0.0
1134,CHI,1011972CHI,October 1,DET,21.0,327.0,74.0,253.0,3.0,21.0,312.0,115.0,197.0,0.0
1145,ATL,1081972ATL,October 8,DET,15.0,278.0,79.0,199.0,1.0,15.0,314.0,134.0,180.0,4.0
1170,DET,10161972DET,October 16,GNB,18.0,229.0,83.0,146.0,2.0,16.0,265.0,140.0,125.0,2.0
1171,DET,10221972DET,October 22,SDG,24.0,324.0,142.0,182.0,2.0,17.0,225.0,143.0,82.0,3.0
1196,DAL,10301972DAL,October 30,DET,19.0,365.0,206.0,159.0,2.0,14.0,283.0,224.0,59.0,0.0
1199,DET,1151972DET,November 5,CHI,21.0,326.0,135.0,191.0,4.0,9.0,146.0,24.0,122.0,1.0
1217,MIN,11121972MIN,November 12,DET,17.0,298.0,121.0,177.0,3.0,9.0,228.0,126.0,102.0,1.0
1227,DET,11191972DET,November 19,NOR,21.0,330.0,207.0,123.0,0.0,17.0,319.0,242.0,77.0,3.0
1237,DET,11231972DET,November 23,NYJ,19.0,385.0,125.0,260.0,0.0,19.0,394.0,165.0,229.0,1.0
1252,GNB,1231972GNB,December 3,DET,19.0,309.0,76.0,233.0,1.0,6.0,189.0,162.0,27.0,6.0
1264,BUF,12101972BUF,December 10,DET,23.0,418.0,231.0,187.0,3.0,14.0,260.0,144.0,116.0,0.0
1281,RAM,12171972RAM,December 17,DET,20.0,333.0,214.0,119.0,2.0,24.0,370.0,213.0,157.0,1.0
1305,PIT,9161973PIT,September 16,DET,29.0,395.0,154.0,241.0,2.0,17.0,301.0,193.0,108.0,3.0
1312,GNB,9231973GNB,September 23,DET,17.0,277.0,101.0,176.0,2.0,12.0,192.0,82.0,110.0,3.0
1333,DET,1011973DET,October 1,ATL,15.0,297.0,39.0,258.0,1.0,15.0,188.0,70.0,118.0,5.0
1337,DET,1071973DET,October 7,MIN,15.0,245.0,91.0,154.0,4.0,17.0,326.0,179.0,147.0,3.0
1354,NOR,10141973NOR,October 14,DET,21.0,334.0,163.0,171.0,2.0,19.0,359.0,173.0,186.0,2.0
