,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
182,NOR,9171967NOR,September 17,RAM,17.0,299.0,174.0,125.0,3.0,23.0,462.0,292.0,170.0,1.0
194,NOR,9241967NOR,September 24,WAS,13.0,290.0,209.0,81.0,0.0,17.0,369.0,211.0,158.0,1.0
205,NOR,1011967NOR,October 1,CLE,17.0,266.0,198.0,68.0,5.0,23.0,421.0,223.0,198.0,4.0
220,NYG,1081967NYG,October 8,NOR,28.0,535.0,348.0,187.0,1.0,16.0,210.0,138.0,72.0,1.0
229,DAL,10151967DAL,October 15,NOR,18.0,234.0,109.0,125.0,3.0,12.0,207.0,165.0,42.0,3.0
245,SFO,10221967SFO,October 22,NOR,20.0,318.0,182.0,136.0,1.0,12.0,200.0,128.0,72.0,2.0
251,NOR,10291967NOR,October 29,PIT,19.0,308.0,225.0,83.0,1.0,19.0,267.0,88.0,179.0,4.0
267,NOR,1151967NOR,November 5,PHI,13.0,249.0,137.0,112.0,2.0,20.0,359.0,263.0,96.0,2.0
278,NOR,11121967NOR,November 12,DAL,14.0,211.0,168.0,43.0,3.0,18.0,380.0,178.0,202.0,2.0
294,PHI,11191967PHI,November 19,NOR,21.0,421.0,331.0,90.0,3.0,15.0,309.0,237.0,72.0,5.0
303,NOR,11261967NOR,November 26,ATL,24.0,371.0,230.0,141.0,3.0,21.0,269.0,86.0,183.0,1.0
317,CRD,1231967CRD,December 3,NOR,12.0,310.0,125.0,185.0,5.0,18.0,238.0,146.0,92.0,3.0
322,CLT,12101967CLT,December 10,NOR,17.0,252.0,127.0,125.0,1.0,15.0,268.0,195.0,73.0,4.0
342,WAS,12171967WAS,December 17,NOR,19.0,331.0,273.0,58.0,3.0,15.0,364.0,248.0,116.0,2.0
363,NOR,9151968NOR,September 15,CLE,14.0,208.0,123.0,85.0,3.0,16.0,338.0,185.0,153.0,3.0
376,NOR,9221968NOR,September 22,WAS,17.0,366.0,183.0,183.0,3.0,12.0,228.0,147.0,81.0,3.0
387,NOR,9291968NOR,September 29,CRD,18.0,323.0,227.0,96.0,1.0,14.0,219.0,97.0,122.0,1.0
401,NYG,1061968NYG,October 6,NOR,19.0,261.0,166.0,95.0,1.0,23.0,314.0,219.0,95.0,4.0
413,NOR,10131968NOR,October 13,MIN,10.0,207.0,86.0,121.0,7.0,15.0,190.0,51.0,139.0,4.0
428,PIT,10201968PIT,October 20,NOR,16.0,301.0,91.0,210.0,2.0,16.0,273.0,170.0,103.0,1.0
441,CRD,10271968CRD,October 27,NOR,18.0,392.0,226.0,166.0,2.0,16.0,301.0,185.0,116.0,1.0
450,NOR,1131968NOR,November 3,DAL,13.0,243.0,184.0,59.0,4.0,22.0,405.0,220.0,185.0,7.0
462,CLE,11101968CLE,November 10,NOR,17.0,467.0,245.0,222.0,6.0,18.0,284.0,123.0,161.0,3.0
474,GNB,11171968GNB,November 17,NOR,18.0,289.0,157.0,132.0,2.0,11.0,136.0,62.0,74.0,4.0
489,DET,11241968DET,November 24,NOR,15.0,274.0,189.0,85.0,2.0,17.0,262.0,136.0,126.0,3.0
504,NOR,1211968NOR,December 1,CHI,17.0,292.0,178.0,114.0,5.0,15.0,259.0,46.0,213.0,3.0
517,PHI,1281968PHI,December 8,NOR,15.0,318.0,167.0,151.0,2.0,21.0,311.0,202.0,109.0,1.0
528,NOR,12151968NOR,December 15,PIT,13.0,343.0,258.0,85.0,0.0,16.0,350.0,199.0,151.0,4.0
553,NOR,9211969NOR,September 21,WAS,20.0,328.0,111.0,217.0,1.0,12.0,303.0,229.0,74.0,1.0
566,NOR,9281969NOR,September 28,DAL,17.0,310.0,269.0,41.0,4.0,17.0,294.0,81.0,213.0,1.0
577,RAM,1051969RAM,October 5,NOR,16.0,350.0,228.0,122.0,1.0,17.0,315.0,262.0,53.0,3.0
591,NOR,10121969NOR,October 12,CLE,21.0,277.0,116.0,161.0,4.0,18.0,306.0,214.0,92.0,0.0
603,NOR,10191969NOR,October 19,CLT,23.0,325.0,247.0,78.0,4.0,25.0,491.0,309.0,182.0,0.0
618,PHI,10261969PHI,October 26,NOR,20.0,366.0,244.0,122.0,4.0,13.0,267.0,236.0,31.0,4.0
634,CRD,1121969CRD,November 2,NOR,19.0,478.0,374.0,104.0,4.0,26.0,508.0,345.0,163.0,1.0
638,DAL,1191969DAL,November 9,NOR,18.0,438.0,251.0,187.0,2.0,20.0,303.0,162.0,141.0,3.0
654,NYG,11161969NYG,November 16,NOR,18.0,364.0,256.0,108.0,2.0,16.0,296.0,145.0,151.0,0.0
669,NOR,11231969NOR,November 23,SFO,26.0,402.0,267.0,135.0,1.0,23.0,433.0,272.0,161.0,2.0
683,NOR,11301969NOR,November 30,PHI,23.0,385.0,201.0,184.0,0.0,15.0,304.0,214.0,90.0,4.0
689,ATL,1271969ATL,December 7,NOR,15.0,376.0,213.0,163.0,1.0,17.0,287.0,204.0,83.0,2.0
712,WAS,12141969WAS,December 14,NOR,15.0,248.0,157.0,91.0,0.0,20.0,336.0,162.0,174.0,3.0
719,NOR,12211969NOR,December 21,PIT,23.0,340.0,247.0,93.0,2.0,11.0,267.0,141.0,126.0,0.0
735,NOR,9201970NOR,September 20,ATL,9.0,235.0,150.0,85.0,2.0,14.0,265.0,116.0,149.0,2.0
749,MIN,9271970MIN,September 27,NOR,12.0,291.0,185.0,106.0,2.0,8.0,131.0,71.0,60.0,4.0
763,NOR,1041970NOR,October 4,NYG,10.0,183.0,92.0,91.0,3.0,22.0,361.0,210.0,151.0,3.0
