,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
10,PIT,9111966PIT,September 11,NYG,25.0,404.0,266.0,138.0,3.0,8.0,279.0,247.0,32.0,5.0
17,DAL,9181966DAL,September 18,NYG,24.0,518.0,374.0,144.0,1.0,18.0,257.0,120.0,137.0,4.0
34,PHI,9251966PHI,September 25,NYG,18.0,271.0,161.0,110.0,0.0,19.0,386.0,236.0,150.0,1.0
43,NYG,1021966NYG,October 2,CLE,12.0,274.0,224.0,50.0,6.0,23.0,418.0,160.0,258.0,1.0
56,CRD,1091966CRD,October 9,NYG,15.0,268.0,177.0,91.0,2.0,20.0,271.0,145.0,126.0,2.0
66,NYG,10161966NYG,October 16,WAS,17.0,325.0,228.0,97.0,1.0,9.0,188.0,107.0,81.0,2.0
76,NYG,10231966NYG,October 23,PHI,13.0,228.0,152.0,76.0,5.0,18.0,316.0,114.0,202.0,3.0
97,NYG,1161966NYG,November 6,CRD,11.0,210.0,168.0,42.0,2.0,16.0,264.0,116.0,148.0,2.0
108,RAM,11131966RAM,November 13,NYG,38.0,572.0,349.0,223.0,1.0,15.0,103.0,56.0,47.0,3.0
120,NYG,11201966NYG,November 20,ATL,21.0,303.0,152.0,151.0,4.0,19.0,289.0,167.0,122.0,1.0
134,WAS,11271966WAS,November 27,NYG,16.0,341.0,132.0,209.0,2.0,25.0,389.0,278.0,111.0,6.0
138,CLE,1241966CLE,December 4,NYG,21.0,447.0,317.0,130.0,3.0,23.0,335.0,123.0,212.0,1.0
152,NYG,12111966NYG,December 11,PIT,15.0,310.0,191.0,119.0,2.0,20.0,392.0,297.0,95.0,1.0
164,NYG,12181966NYG,December 18,DAL,19.0,262.0,155.0,107.0,2.0,11.0,257.0,155.0,102.0,2.0
186,CRD,9171967CRD,September 17,NYG,20.0,358.0,153.0,205.0,6.0,15.0,336.0,232.0,104.0,0.0
189,DAL,9241967DAL,September 24,NYG,23.0,414.0,236.0,178.0,1.0,15.0,266.0,190.0,76.0,3.0
210,WAS,1011967WAS,October 1,NYG,23.0,405.0,276.0,129.0,2.0,20.0,520.0,294.0,226.0,3.0
220,NYG,1081967NYG,October 8,NOR,28.0,535.0,348.0,187.0,1.0,16.0,210.0,138.0,72.0,1.0
233,PIT,10151967PIT,October 15,NYG,16.0,259.0,197.0,62.0,2.0,18.0,381.0,305.0,76.0,2.0
243,NYG,10221967NYG,October 22,GNB,20.0,324.0,181.0,143.0,4.0,28.0,397.0,148.0,249.0,0.0
252,NYG,10291967NYG,October 29,CLE,22.0,386.0,249.0,137.0,2.0,17.0,369.0,259.0,110.0,4.0
266,MIN,1151967MIN,November 5,NYG,17.0,304.0,115.0,189.0,3.0,17.0,403.0,238.0,165.0,2.0
273,CHI,11121967CHI,November 12,NYG,16.0,264.0,117.0,147.0,1.0,14.0,161.0,78.0,83.0,4.0
292,NYG,11191967NYG,November 19,PIT,18.0,238.0,171.0,67.0,4.0,18.0,281.0,210.0,71.0,3.0
304,NYG,11261967NYG,November 26,PHI,26.0,444.0,268.0,176.0,0.0,15.0,172.0,134.0,38.0,4.0
308,CLE,1231967CLE,December 3,NYG,17.0,215.0,32.0,183.0,1.0,26.0,343.0,182.0,161.0,2.0
327,NYG,12101967NYG,December 10,DET,15.0,149.0,29.0,120.0,1.0,16.0,306.0,208.0,98.0,1.0
339,NYG,12171967NYG,December 17,CRD,20.0,418.0,275.0,143.0,2.0,19.0,330.0,262.0,68.0,3.0
364,PIT,9151968PIT,September 15,NYG,20.0,324.0,194.0,130.0,4.0,21.0,331.0,166.0,165.0,2.0
377,PHI,9221968PHI,September 22,NYG,12.0,326.0,125.0,201.0,3.0,24.0,377.0,176.0,201.0,1.0
388,NYG,9291968NYG,September 29,WAS,20.0,377.0,226.0,151.0,1.0,23.0,376.0,277.0,99.0,5.0
401,NYG,1061968NYG,October 6,NOR,19.0,261.0,166.0,95.0,1.0,23.0,314.0,219.0,95.0,4.0
406,ATL,10131968ATL,October 13,NYG,17.0,322.0,186.0,136.0,0.0,23.0,421.0,242.0,179.0,3.0
426,NYG,10201968NYG,October 20,SFO,19.0,272.0,116.0,156.0,3.0,22.0,393.0,179.0,214.0,1.0
442,WAS,10271968WAS,October 27,NYG,9.0,142.0,73.0,69.0,2.0,22.0,297.0,124.0,173.0,2.0
451,NYG,1131968NYG,November 3,CLT,12.0,215.0,160.0,55.0,3.0,20.0,328.0,184.0,144.0,1.0
