,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
3,MIA,991966MIA,September 9,NYJ,9.0,111.0,61.0,50.0,3.0,14.0,247.0,151.0,96.0,3.0
20,NYJ,9181966NYJ,September 18,OTI,23.0,466.0,340.0,126.0,0.0,16.0,207.0,136.0,71.0,5.0
30,DEN,9251966DEN,September 25,NYJ,7.0,182.0,105.0,77.0,2.0,20.0,359.0,206.0,153.0,3.0
38,NWE,1021966NWE,October 2,NYJ,13.0,224.0,138.0,86.0,1.0,20.0,367.0,338.0,29.0,4.0
50,NYJ,1081966NYJ,October 8,SDG,12.0,248.0,129.0,119.0,3.0,23.0,445.0,350.0,95.0,1.0
62,OTI,10161966OTI,October 16,NYJ,17.0,339.0,198.0,141.0,3.0,11.0,216.0,163.0,53.0,5.0
77,NYJ,10231966NYJ,October 23,RAI,27.0,397.0,260.0,137.0,3.0,17.0,334.0,205.0,129.0,2.0
87,NYJ,10301966NYJ,October 30,BUF,17.0,328.0,323.0,5.0,6.0,17.0,268.0,134.0,134.0,5.0
104,BUF,11131966BUF,November 13,NYJ,10.0,224.0,132.0,92.0,0.0,15.0,329.0,274.0,55.0,1.0
121,NYJ,11201966NYJ,November 20,MIA,18.0,314.0,236.0,78.0,0.0,12.0,204.0,141.0,63.0,1.0
132,NYJ,11271966NYJ,November 27,KAN,15.0,283.0,252.0,31.0,1.0,27.0,439.0,311.0,128.0,1.0
135,RAI,1231966RAI,December 3,NYJ,17.0,415.0,261.0,154.0,1.0,16.0,489.0,316.0,173.0,5.0
155,SDG,12111966SDG,December 11,NYJ,25.0,425.0,203.0,222.0,1.0,20.0,335.0,189.0,146.0,4.0
157,NYJ,12171966NYJ,December 17,NWE,26.0,528.0,287.0,241.0,0.0,21.0,461.0,379.0,82.0,3.0
174,BUF,9101967BUF,September 10,NYJ,15.0,248.0,159.0,89.0,2.0,14.0,287.0,135.0,152.0,0.0
190,DEN,9241967DEN,September 24,NYJ,15.0,359.0,242.0,117.0,2.0,27.0,478.0,399.0,79.0,2.0
206,NYJ,1011967NYJ,October 1,MIA,22.0,484.0,427.0,57.0,1.0,13.0,208.0,94.0,114.0,3.0
212,NYJ,1071967NYJ,October 7,RAI,15.0,297.0,146.0,151.0,3.0,10.0,210.0,155.0,55.0,4.0
231,NYJ,10151967NYJ,October 15,OTI,25.0,367.0,295.0,72.0,6.0,8.0,131.0,51.0,80.0,3.0
241,MIA,10221967MIA,October 22,NYJ,17.0,246.0,168.0,78.0,2.0,20.0,335.0,202.0,133.0,0.0
253,NYJ,10291967NYJ,October 29,NWE,20.0,409.0,328.0,81.0,3.0,11.0,170.0,98.0,72.0,2.0
265,KAN,1151967KAN,November 5,NYJ,24.0,392.0,178.0,214.0,1.0,22.0,340.0,274.0,66.0,4.0
279,NYJ,11121967NYJ,November 12,BUF,15.0,360.0,293.0,67.0,3.0,16.0,257.0,136.0,121.0,2.0
285,NWE,11191967NWE,November 19,NYJ,16.0,276.0,180.0,96.0,3.0,16.0,390.0,285.0,105.0,3.0
314,NYJ,1231967NYJ,December 3,DEN,23.0,345.0,305.0,40.0,6.0,9.0,142.0,18.0,124.0,0.0
328,NYJ,12101967NYJ,December 10,KAN,17.0,167.0,84.0,83.0,3.0,13.0,204.0,80.0,124.0,2.0
340,RAI,12171967RAI,December 17,NYJ,17.0,455.0,336.0,119.0,4.0,23.0,464.0,356.0,108.0,3.0
347,SDG,12241967SDG,December 24,NYJ,19.0,476.0,246.0,230.0,3.0,23.0,429.0,316.0,113.0,0.0
362,KAN,9151968KAN,September 15,NYJ,11.0,201.0,83.0,118.0,1.0,18.0,397.0,296.0,101.0,2.0
369,NWE,9221968NWE,September 22,NYJ,15.0,359.0,304.0,55.0,6.0,14.0,268.0,189.0,79.0,3.0
380,BUF,9291968BUF,September 29,NYJ,10.0,197.0,57.0,140.0,2.0,17.0,427.0,257.0,170.0,6.0
394,NYJ,1051968NYJ,October 5,SDG,19.0,302.0,220.0,82.0,0.0,15.0,347.0,319.0,28.0,4.0
414,NYJ,10131968NYJ,October 13,DEN,18.0,460.0,331.0,129.0,5.0,12.0,222.0,174.0,48.0,0.0
422,OTI,10201968OTI,October 20,NYJ,16.0,141.0,62.0,79.0,2.0,15.0,231.0,137.0,94.0,0.0
438,NYJ,10271968NYJ,October 27,NWE,24.0,356.0,182.0,174.0,3.0,8.0,226.0,182.0,44.0,8.0
452,NYJ,1131968NYJ,November 3,BUF,11.0,274.0,164.0,110.0,1.0,10.0,196.0,134.0,62.0,5.0
467,NYJ,11101968NYJ,November 10,OTI,16.0,311.0,176.0,135.0,1.0,9.0,166.0,47.0,119.0,3.0
479,RAI,11171968RAI,November 17,NYJ,21.0,437.0,291.0,146.0,4.0,18.0,413.0,345.0,68.0,1.0
