,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
1,OTI,931966OTI,September 3,DEN,28.0,472.0,259.0,213.0,1.0,0.0,26.0,-7.0,33.0,3.0
5,OTI,9101966OTI,September 10,RAI,20.0,269.0,197.0,72.0,3.0,23.0,272.0,199.0,73.0,7.0
20,NYJ,9181966NYJ,September 18,OTI,23.0,466.0,340.0,126.0,0.0,16.0,207.0,136.0,71.0,5.0
27,BUF,9251966BUF,September 25,OTI,14.0,276.0,140.0,136.0,3.0,15.0,300.0,276.0,24.0,5.0
39,DEN,1021966DEN,October 2,OTI,17.0,362.0,212.0,150.0,2.0,20.0,384.0,289.0,95.0,3.0
62,OTI,10161966OTI,October 16,NYJ,17.0,339.0,198.0,141.0,3.0,11.0,216.0,163.0,53.0,5.0
75,OTI,10231966OTI,October 23,MIA,13.0,301.0,201.0,100.0,5.0,13.0,340.0,139.0,201.0,0.0
84,KAN,10301966KAN,October 30,OTI,15.0,441.0,290.0,151.0,3.0,22.0,268.0,174.0,94.0,4.0
98,RAI,1161966RAI,November 6,OTI,14.0,390.0,249.0,141.0,3.0,8.0,246.0,126.0,120.0,3.0
103,NWE,11131966NWE,November 13,OTI,20.0,391.0,242.0,149.0,0.0,20.0,374.0,302.0,72.0,0.0
117,OTI,11201966OTI,November 20,BUF,11.0,315.0,228.0,87.0,3.0,23.0,508.0,352.0,156.0,0.0
142,OTI,1241966OTI,December 4,SDG,23.0,395.0,152.0,243.0,2.0,15.0,378.0,302.0,76.0,3.0
150,OTI,12111966OTI,December 11,NWE,13.0,235.0,170.0,65.0,1.0,31.0,512.0,272.0,240.0,0.0
163,MIA,12181966MIA,December 18,OTI,25.0,417.0,269.0,148.0,2.0,20.0,307.0,189.0,118.0,2.0
172,OTI,991967OTI,September 9,KAN,17.0,336.0,158.0,178.0,2.0,20.0,312.0,171.0,141.0,1.0
177,BUF,9171967BUF,September 17,OTI,9.0,193.0,150.0,43.0,4.0,9.0,139.0,26.0,113.0,2.0
197,SDG,9241967SDG,September 24,OTI,17.0,325.0,206.0,119.0,1.0,13.0,166.0,90.0,76.0,2.0
203,OTI,1011967OTI,October 1,DEN,14.0,242.0,76.0,166.0,2.0,15.0,238.0,49.0,189.0,3.0
231,NYJ,10151967NYJ,October 15,OTI,25.0,367.0,295.0,72.0,6.0,8.0,131.0,51.0,80.0,3.0
239,KAN,10221967KAN,October 22,OTI,19.0,323.0,166.0,157.0,3.0,7.0,127.0,43.0,84.0,1.0
249,OTI,10291967OTI,October 29,BUF,10.0,181.0,61.0,120.0,3.0,14.0,215.0,100.0,115.0,4.0
260,NWE,1151967NWE,November 5,OTI,19.0,345.0,137.0,208.0,1.0,11.0,200.0,128.0,72.0,1.0
274,DEN,11121967DEN,November 12,OTI,14.0,222.0,144.0,78.0,1.0,26.0,386.0,133.0,253.0,3.0
301,OTI,11261967OTI,November 26,NWE,16.0,250.0,72.0,178.0,2.0,14.0,233.0,123.0,110.0,5.0
310,OTI,1231967OTI,December 3,MIA,26.0,454.0,175.0,279.0,3.0,9.0,216.0,182.0,34.0,1.0
325,OTI,12101967OTI,December 10,RAI,14.0,238.0,120.0,118.0,2.0,23.0,421.0,254.0,167.0,2.0
331,OTI,12161967OTI,December 16,SDG,21.0,334.0,176.0,158.0,1.0,19.0,296.0,198.0,98.0,0.0
344,MIA,12231967MIA,December 23,OTI,16.0,349.0,243.0,106.0,7.0,15.0,319.0,72.0,247.0,0.0
349,RAI,12311967RAI,December 31,OTI,18.0,364.0,101.0,263.0,0.0,11.0,146.0,108.0,38.0,3.0
353,OTI,991968OTI,September 9,KAN,19.0,440.0,385.0,55.0,3.0,17.0,265.0,61.0,204.0,0.0
354,MIA,9141968MIA,September 14,OTI,12.0,295.0,165.0,130.0,4.0,18.0,396.0,232.0,164.0,3.0
367,SDG,9211968SDG,September 21,OTI,20.0,347.0,250.0,97.0,3.0,19.0,285.0,161.0,124.0,3.0
385,OTI,9291968OTI,September 29,RAI,18.0,324.0,173.0,151.0,4.0,17.0,305.0,52.0,253.0,3.0
398,OTI,1061968OTI,October 6,MIA,10.0,212.0,126.0,86.0,7.0,18.0,257.0,70.0,187.0,1.0
