,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
10,PIT,9111966PIT,September 11,NYG,25.0,404.0,266.0,138.0,3.0,8.0,279.0,247.0,32.0,5.0
23,PIT,9181966PIT,September 18,DET,15.0,256.0,143.0,113.0,1.0,9.0,158.0,89.0,69.0,4.0
35,PIT,9251966PIT,September 25,WAS,15.0,278.0,206.0,72.0,6.0,17.0,320.0,228.0,92.0,2.0
46,WAS,1021966WAS,October 2,PIT,11.0,333.0,249.0,84.0,0.0,16.0,249.0,180.0,69.0,4.0
48,CLE,1081966CLE,October 8,PIT,31.0,467.0,226.0,241.0,2.0,12.0,204.0,182.0,22.0,6.0
67,PIT,10161966PIT,October 16,PHI,14.0,178.0,91.0,87.0,3.0,22.0,281.0,93.0,188.0,3.0
82,DAL,10301966DAL,October 30,PIT,24.0,425.0,233.0,192.0,3.0,6.0,119.0,112.0,7.0,4.0
100,PIT,1161966PIT,November 6,CLE,12.0,267.0,132.0,135.0,0.0,19.0,307.0,176.0,131.0,6.0
110,PIT,11131966PIT,November 13,CRD,6.0,150.0,102.0,48.0,3.0,14.0,251.0,195.0,56.0,4.0
122,PIT,11201966PIT,November 20,DAL,16.0,163.0,110.0,53.0,3.0,16.0,258.0,134.0,124.0,1.0
133,CRD,11271966CRD,November 27,PIT,15.0,228.0,29.0,199.0,1.0,8.0,78.0,46.0,32.0,2.0
145,PHI,1241966PHI,December 4,PIT,19.0,304.0,124.0,180.0,2.0,15.0,250.0,155.0,95.0,2.0
152,NYG,12111966NYG,December 11,PIT,15.0,310.0,191.0,119.0,2.0,20.0,392.0,297.0,95.0,1.0
159,ATL,12181966ATL,December 18,PIT,18.0,370.0,291.0,79.0,5.0,27.0,458.0,332.0,126.0,1.0
185,PIT,9171967PIT,September 17,CHI,23.0,393.0,198.0,195.0,2.0,6.0,95.0,79.0,16.0,6.0
196,PIT,9241967PIT,September 24,CRD,17.0,237.0,143.0,94.0,6.0,12.0,283.0,137.0,146.0,1.0
208,PHI,1011967PHI,October 1,PIT,17.0,319.0,271.0,48.0,1.0,19.0,318.0,165.0,153.0,3.0
211,CLE,1071967CLE,October 7,PIT,24.0,361.0,183.0,178.0,3.0,20.0,278.0,208.0,70.0,4.0
233,PIT,10151967PIT,October 15,NYG,16.0,259.0,197.0,62.0,2.0,18.0,381.0,305.0,76.0,2.0
244,PIT,10221967PIT,October 22,DAL,29.0,379.0,298.0,81.0,2.0,14.0,378.0,290.0,88.0,1.0
251,NOR,10291967NOR,October 29,PIT,19.0,308.0,225.0,83.0,1.0,19.0,267.0,88.0,179.0,4.0
268,PIT,1151967PIT,November 5,CLE,14.0,301.0,229.0,72.0,3.0,21.0,313.0,132.0,181.0,1.0
281,CRD,11121967CRD,November 12,PIT,19.0,258.0,145.0,113.0,3.0,21.0,274.0,192.0,82.0,1.0
292,NYG,11191967NYG,November 19,PIT,18.0,238.0,171.0,67.0,4.0,18.0,281.0,210.0,71.0,3.0
305,PIT,11261967PIT,November 26,MIN,7.0,117.0,52.0,65.0,6.0,16.0,212.0,102.0,110.0,5.0
