,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
1868,OTI,9121976OTI,September 12,TAM,21.0,372.0,182.0,190.0,4.0,8.0,110.0,58.0,52.0,2.0
1887,TAM,9191976TAM,September 19,SDG,5.0,125.0,-4.0,129.0,4.0,16.0,326.0,131.0,195.0,2.0
1902,TAM,9261976TAM,September 26,BUF,15.0,338.0,168.0,170.0,2.0,14.0,295.0,186.0,109.0,2.0
1905,CLT,1031976CLT,October 3,TAM,31.0,458.0,220.0,238.0,2.0,6.0,89.0,13.0,76.0,1.0
1919,CIN,10101976CIN,October 10,TAM,17.0,277.0,89.0,188.0,3.0,12.0,200.0,86.0,114.0,3.0
1943,TAM,10171976TAM,October 17,SEA,18.0,285.0,140.0,145.0,1.0,14.0,253.0,163.0,90.0,2.0
1958,TAM,10241976TAM,October 24,MIA,20.0,334.0,191.0,143.0,1.0,19.0,290.0,90.0,200.0,1.0
1971,TAM,10311976TAM,October 31,KAN,16.0,196.0,182.0,14.0,1.0,22.0,318.0,182.0,136.0,3.0
1976,DEN,1171976DEN,November 7,TAM,18.0,415.0,222.0,193.0,3.0,17.0,234.0,122.0,112.0,4.0
1997,NYJ,11141976NYJ,November 14,TAM,24.0,344.0,133.0,211.0,1.0,18.0,277.0,171.0,106.0,6.0
2014,TAM,11211976TAM,November 21,CLE,18.0,227.0,125.0,102.0,2.0,21.0,282.0,133.0,149.0,0.0
2026,RAI,11281976RAI,November 28,TAM,28.0,486.0,307.0,179.0,3.0,16.0,218.0,107.0,111.0,3.0
2040,PIT,1251976PIT,December 5,TAM,26.0,385.0,163.0,222.0,1.0,8.0,105.0,11.0,94.0,4.0
2057,TAM,12121976TAM,December 12,NWE,14.0,268.0,133.0,135.0,3.0,13.0,300.0,40.0,260.0,1.0
2076,PHI,9181977PHI,September 18,TAM,15.0,281.0,137.0,144.0,5.0,8.0,118.0,26.0,92.0,1.0
2079,TAM,9241977TAM,September 24,MIN,8.0,138.0,34.0,104.0,3.0,17.0,315.0,211.0,104.0,3.0
2097,DAL,1021977DAL,October 2,TAM,23.0,415.0,210.0,205.0,3.0,10.0,163.0,87.0,76.0,2.0
2119,TAM,1091977TAM,October 9,WAS,11.0,136.0,39.0,97.0,5.0,14.0,239.0,118.0,121.0,3.0
2133,SEA,10161977SEA,October 16,TAM,21.0,375.0,241.0,134.0,2.0,22.0,384.0,217.0,167.0,6.0
2146,TAM,10231977TAM,October 23,GNB,13.0,188.0,113.0,75.0,3.0,14.0,218.0,93.0,125.0,2.0
2159,SFO,10301977SFO,October 30,TAM,20.0,306.0,101.0,205.0,1.0,18.0,250.0,146.0,104.0,3.0
