schedule_date,schedule_season,home_id,away_id,weather_temperature,weather_wind_mph,score_home,score_away,total_score,over_under_line,label
1/14/1968,1967,GNB,RAI,60.0,12.0,33,14,47,43,over
1/12/1969,1968,CLT,NYJ,66.0,12.0,7,16,23,40,under
1/11/1970,1969,KAN,MIN,55.0,14.0,23,7,30,39,under
1/17/1971,1970,CLT,DAL,59.0,11.0,16,13,29,36,under
1/16/1972,1971,DAL,MIA,34.0,18.0,24,3,27,34,under
1/14/1973,1972,MIA,WAS,64.0,7.0,14,7,21,33,under
1/13/1974,1973,MIA,MIN,47.0,7.0,24,7,31,33,under
1/12/1975,1974,MIN,PIT,51.0,17.0,6,16,22,33,under
1/18/1976,1975,DAL,PIT,49.0,18.0,17,21,38,36,over
1/9/1977,1976,MIN,RAI,52.0,6.0,14,32,46,38,over
1/15/1978,1977,DAL,DEN,72.0,0.0,27,10,37,39,under
1/21/1979,1978,DAL,PIT,71.0,18.0,31,35,66,37,over
9/1/1979,1979,TAM,DET,79.0,9.0,31,16,47,30,over
9/2/1979,1979,BUF,MIA,74.0,15.0,7,9,16,39,under
9/2/1979,1979,CHI,GNB,78.0,11.0,6,3,9,31,under
9/2/1979,1979,DEN,CIN,69.0,6.0,10,0,10,31.5,under
9/2/1979,1979,KAN,CLT,76.0,8.0,14,0,14,37,under
9/2/1979,1979,RAM,RAI,70.0,10.0,17,24,41,36.5,over
9/2/1979,1979,MIN,SFO,70.0,11.0,28,22,50,32,over
9/2/1979,1979,NOR,ATL,72.0,0.0,34,40,74,32,over
9/2/1979,1979,NYJ,CLE,73.0,10.0,22,25,47,41,over
9/2/1979,1979,PHI,NYG,76.0,9.0,23,17,40,31.5,over
9/2/1979,1979,SEA,SDG,72.0,0.0,16,33,49,42.5,over
9/2/1979,1979,CRD,DAL,76.0,7.0,21,22,43,37,over
9/2/1979,1979,WAS,OTI,80.0,11.0,27,29,56,33,over
9/3/1979,1979,NWE,PIT,78.0,13.0,13,16,29,37,under
9/6/1979,1979,DEN,RAM,67.0,8.0,9,13,22,31.5,under
9/9/1979,1979,CLT,TAM,64.0,8.0,26,29,55,33,over
9/9/1979,1979,BUF,CIN,54.0,7.0,51,24,75,34,over
9/9/1979,1979,CHI,MIN,60.0,11.0,26,7,33,31.5,over
9/9/1979,1979,DET,WAS,72.0,0.0,24,27,51,35.5,over
9/9/1979,1979,GNB,NOR,60.0,13.0,28,19,47,35,over
9/9/1979,1979,KAN,CLE,71.0,14.0,24,27,51,36,over
9/9/1979,1979,MIA,SEA,81.0,13.0,19,10,29,40.5,under
9/9/1979,1979,NWE,NYJ,59.0,12.0,56,3,59,42,over
9/9/1979,1979,NYG,CRD,63.0,13.0,14,27,41,36,over
9/9/1979,1979,PIT,OTI,55.0,6.0,38,7,45,37,over
9/9/1979,1979,SDG,RAI,73.0,9.0,30,10,40,42,under
9/9/1979,1979,SFO,DAL,65.0,15.0,13,21,34,39,under
9/10/1979,1979,PHI,ATL,65.0,7.0,10,14,24,35.5,under
9/16/1979,1979,ATL,DEN,71.0,15.0,17,20,37,32,over
9/16/1979,1979,CIN,NWE,58.0,7.0,14,20,34,41,under
9/16/1979,1979,CLE,CLT,59.0,9.0,13,10,23,42,under
9/16/1979,1979,DAL,CHI,68.0,8.0,24,20,44,37,over
9/16/1979,1979,GNB,TAM,60.0,9.0,10,21,31,36,under
9/16/1979,1979,OTI,KAN,72.0,0.0,20,6,26,37,under
9/16/1979,1979,RAM,SFO,83.0,8.0,27,24,51,39,over
9/16/1979,1979,MIN,MIA,64.0,11.0,12,27,39,37,over
9/16/1979,1979,NOR,PHI,72.0,0.0,14,26,40,42,under
9/16/1979,1979,NYJ,DET,65.0,10.0,31,10,41,42,under
9/16/1979,1979,SDG,BUF,79.0,8.0,27,19,46,44,over
9/16/1979,1979,SEA,RAI,72.0,0.0,27,10,37,44,under
9/16/1979,1979,CRD,PIT,63.0,5.0,21,24,45,40,over
9/17/1979,1979,WAS,NYG,68.0,6.0,27,0,27,37,under
9/23/1979,1979,BUF,NYJ,50.0,9.0,46,31,77,42,over
9/23/1979,1979,CIN,OTI,56.0,11.0,27,30,57,37,over
9/23/1979,1979,DEN,SEA,69.0,9.0,37,34,71,37,over
9/23/1979,1979,DET,ATL,72.0,0.0,24,23,47,37,over
9/23/1979,1979,KAN,RAI,65.0,10.0,35,7,42,41,over
9/23/1979,1979,MIA,CHI,79.0,8.0,31,16,47,37,over
9/23/1979,1979,MIN,GNB,59.0,14.0,27,21,48,34,over
9/23/1979,1979,NWE,SDG,55.0,14.0,27,21,48,44,over
9/23/1979,1979,NYG,PHI,61.0,16.0,13,17,30,37,under
9/23/1979,1979,PIT,CLT,54.0,10.0,17,13,30,38,under
9/23/1979,1979,SFO,NOR,62.0,9.0,21,30,51,42,over
9/23/1979,1979,CRD,WAS,61.0,8.0,7,17,24,39,under
9/23/1979,1979,TAM,RAM,82.0,8.0,21,6,27,35,under
9/24/1979,1979,CLE,DAL,56.0,8.0,26,7,33,40,under
9/30/1979,1979,ATL,WAS,72.0,8.0,7,16,23,37,under
9/30/1979,1979,CLT,BUF,71.0,7.0,13,31,44,42,over
9/30/1979,1979,CHI,TAM,67.0,9.0,13,17,30,34,under
9/30/1979,1979,DAL,CIN,79.0,5.0,38,13,51,40,over
9/30/1979,1979,DET,MIN,72.0,0.0,10,13,23,39,under
9/30/1979,1979,OTI,CLE,72.0,0.0,31,10,41,39,over
9/30/1979,1979,RAM,CRD,65.0,10.0,21,0,21,38,under
9/30/1979,1979,NOR,NYG,72.0,0.0,24,14,38,39,under
9/30/1979,1979,NYJ,MIA,67.0,13.0,33,27,60,43,over
9/30/1979,1979,RAI,DEN,64.0,8.0,27,3,30,36,under
9/30/1979,1979,PHI,PIT,68.0,12.0,17,14,31,36,under
9/30/1979,1979,SDG,SFO,72.0,11.0,31,9,40,44,under
9/30/1979,1979,SEA,KAN,72.0,0.0,6,24,30,43,under
10/1/1979,1979,GNB,NWE,52.0,7.0,27,14,41,39,over
10/7/1979,1979,ATL,GNB,62.0,13.0,25,7,32,35,under
10/7/1979,1979,CLT,NYJ,57.0,14.0,10,8,18,42,under
10/7/1979,1979,BUF,CHI,50.0,21.0,0,7,7,40,under
10/7/1979,1979,CIN,KAN,49.0,14.0,7,10,17,38,under
10/7/1979,1979,CLE,PIT,48.0,17.0,35,51,86,36,over
10/7/1979,1979,DEN,SDG,67.0,11.0,7,0,7,37,under
10/7/1979,1979,OTI,CRD,72.0,0.0,17,24,41,39,over
10/7/1979,1979,MIN,DAL,43.0,5.0,20,36,56,39,over
10/7/1979,1979,NWE,DET,56.0,13.0,24,17,41,40,over
10/7/1979,1979,NOR,RAM,72.0,0.0,17,35,52,39,over
10/7/1979,1979,NYG,TAM,60.0,16.0,17,14,31,34,under
10/7/1979,1979,PHI,WAS,57.0,14.0,28,17,45,37,over
10/7/1979,1979,SFO,SEA,61.0,14.0,24,35,59,43,over
10/8/1979,1979,RAI,MIA,63.0,12.0,13,3,16,39,under
10/14/1979,1979,CLT,OTI,46.0,13.0,16,28,44,36,over
10/14/1979,1979,CHI,NWE,45.0,9.0,7,27,34,37,under
10/14/1979,1979,CIN,PIT,40.0,7.0,34,10,44,39,over
10/14/1979,1979,CLE,WAS,44.0,12.0,9,13,22,34,under
10/14/1979,1979,DAL,RAM,67.0,10.0,30,6,36,39,under
10/14/1979,1979,GNB,DET,41.0,10.0,24,16,40,36,over
10/14/1979,1979,KAN,DEN,47.0,12.0,10,24,34,34,under
10/14/1979,1979,MIA,BUF,74.0,12.0,17,7,24,40,under
10/14/1979,1979,NYG,SFO,49.0,18.0,32,16,48,38,over
10/14/1979,1979,RAI,ATL,68.0,9.0,50,19,69,37,over
10/14/1979,1979,SDG,SEA,72.0,8.0,20,10,30,44,under
10/14/1979,1979,CRD,PHI,47.0,9.0,20,24,44,38,over
10/14/1979,1979,TAM,NOR,75.0,11.0,14,42,56,38,over
10/15/1979,1979,NYJ,MIN,50.0,13.0,14,7,21,42,under
10/21/1979,1979,BUF,CLT,71.0,18.0,13,14,27,39,under
10/21/1979,1979,CLE,CIN,71.0,18.0,28,27,55,39,over
10/21/1979,1979,DAL,CRD,81.0,24.0,22,13,35,39,under
10/21/1979,1979,KAN,NYG,79.0,30.0,17,21,38,36,over
10/21/1979,1979,RAM,SDG,63.0,14.0,16,40,56,37,over
