game_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO
982002HTX,,,,,
9152002SDG,,,,,
9222002HTX,,,,,
9292002PHI,,,,,
10132002HTX,,,,,
10202002CLE,,,,,
10272002JAX,,,,,
1132002HTX,,,,,
11102002OTI,,,,,
11172002HTX,,,,,
11242002HTX,,,,,
1212002CLT,,,,,
1282002PIT,,,,,
12152002HTX,,,,,
12222002WAS,,,,,
12292002HTX,,,,,
972003MIA,13.176470588235292,233.2352941176471,146.52941176470586,86.70588235294117,1.7058823529411764
9142003NOR,13.352941176470587,236.05882352941174,150.05882352941177,86.0,1.7647058823529411
9212003HTX,14.117647058823529,247.70588235294116,160.64705882352942,87.05882352941177,1.8235294117647056
9282003HTX,14.764705882352944,255.64705882352942,169.52941176470586,86.11764705882355,1.9411764705882355
10122003OTI,15.470588235294118,268.3529411764706,182.2352941176471,86.11764705882355,1.9411764705882355
10192003HTX,15.411764705882351,267.58823529411757,179.82352941176467,87.76470588235294,1.9411764705882355
10262003CLT,15.470588235294118,262.6470588235294,172.41176470588238,90.23529411764706,1.9411764705882355
1122003HTX,15.588235294117649,264.11764705882354,171.7058823529412,92.41176470588236,1.8823529411764703
1192003CIN,15.058823529411766,264.1764705882353,168.35294117647058,95.82352941176471,1.8235294117647056
11162003BUF,15.0,264.88235294117646,171.05882352941177,93.82352941176471,1.7058823529411764
11232003HTX,14.588235294117649,258.8235294117647,164.35294117647058,94.47058823529413,1.7058823529411764
11302003HTX,14.882352941176471,260.2352941176471,165.05882352941177,95.17647058823529,1.7058823529411764
1272003JAX,14.705882352941178,257.8235294117647,162.35294117647058,95.47058823529413,1.7647058823529411
12142003TAM,14.941176470588234,261.3529411764706,164.2352941176471,97.11764705882355,1.7058823529411764
12212003HTX,14.882352941176471,264.2352941176471,167.35294117647058,96.88235294117645,1.7647058823529411
12282003HTX,14.882352941176471,266.4705882352941,167.7058823529412,98.76470588235294,1.6470588235294117
9122004HTX,15.117647058823529,273.0588235294117,169.47058823529414,103.58823529411764,1.8235294117647056
9192004DET,15.588235294117649,272.6470588235294,169.94117647058823,102.70588235294115,2.0
9262004KAN,15.705882352941178,274.88235294117646,172.11764705882354,102.76470588235294,1.9411764705882355
1032004HTX,15.705882352941178,279.0,173.2352941176471,105.76470588235294,1.7647058823529411
10102004HTX,15.588235294117649,283.1764705882353,180.82352941176467,102.35294117647058,1.5294117647058822
10172004OTI,15.294117647058822,276.52941176470586,173.7647058823529,102.76470588235294,1.4705882352941178
10312004HTX,15.705882352941178,279.11764705882354,180.82352941176467,98.29411764705885,1.5882352941176472
1172004DEN,15.941176470588234,282.70588235294116,186.05882352941174,96.64705882352942,1.4705882352941178
11142004CLT,16.294117647058822,284.76470588235287,187.29411764705884,97.47058823529413,1.7058823529411764
11212004HTX,16.294117647058822,283.70588235294116,188.17647058823533,95.52941176470587,1.6470588235294117
11282004HTX,16.705882352941178,288.5882352941176,186.29411764705884,102.29411764705885,1.6470588235294117
1252004NYJ,16.823529411764707,292.1764705882353,190.2352941176471,101.94117647058823,1.6470588235294117
12122004HTX,16.823529411764707,294.35294117647067,191.64705882352942,102.70588235294115,1.7058823529411764
12192004CHI,17.294117647058822,305.5294117647058,200.70588235294116,104.82352941176471,1.5294117647058822
12262004JAX,18.0,318.8235294117647,204.94117647058826,113.88235294117645,1.6470588235294117
122005HTX,18.235294117647054,313.64705882352933,197.11764705882354,116.52941176470587,1.5294117647058822
9112005BUF,18.352941176470583,308.70588235294116,192.41176470588238,116.29411764705885,1.7647058823529411
9182005HTX,18.11764705882353,301.9411764705883,185.4705882352941,116.47058823529413,1.5882352941176472
1022005CIN,17.764705882352942,294.1764705882353,176.88235294117646,117.29411764705885,1.4705882352941178
1092005HTX,17.529411764705884,291.88235294117646,169.58823529411762,122.29411764705885,1.4705882352941178
10162005SEA,17.176470588235293,282.5294117647058,165.58823529411762,116.94117647058823,1.4117647058823528
10232005HTX,16.823529411764707,266.58823529411757,144.88235294117646,121.70588235294115,1.5294117647058822
10302005HTX,16.352941176470587,260.2352941176471,137.41176470588235,122.82352941176471,1.4705882352941178
1162005JAX,15.941176470588234,254.94117647058826,132.41176470588235,122.52941176470587,1.4117647058823528
11132005CLT,15.294117647058822,247.7647058823529,126.41176470588236,121.35294117647058,1.4117647058823528
11202005HTX,14.941176470588234,245.2352941176471,127.05882352941177,118.17647058823529,1.3529411764705883
11272005HTX,15.705882352941178,254.70588235294116,135.52941176470586,119.17647058823529,1.4705882352941178
1242005RAV,15.529411764705882,252.94117647058826,132.8235294117647,120.11764705882355,1.5294117647058822
12112005OTI,15.470588235294118,253.17647058823533,129.0,124.17647058823529,1.4117647058823528
12182005HTX,15.529411764705882,252.0,129.52941176470586,122.47058823529413,1.4117647058823528
12242005HTX,15.705882352941178,255.29411764705884,132.76470588235293,122.52941176470587,1.4705882352941178
112006SFO,15.352941176470587,252.41176470588238,137.58823529411765,114.82352941176471,1.4705882352941178
9102006HTX,15.411764705882351,252.58823529411762,141.64705882352942,110.94117647058823,1.4117647058823528
9172006CLT,15.764705882352944,263.11764705882354,151.41176470588238,111.70588235294115,1.2352941176470589
9242006HTX,15.823529411764708,265.4705882352941,156.82352941176467,108.64705882352942,1.2941176470588236
1012006HTX,15.882352941176471,266.7647058823529,161.7058823529412,105.05882352941177,1.3529411764705883
10152006DAL,15.764705882352944,265.29411764705884,167.7058823529412,97.58823529411764,1.4705882352941178
10222006HTX,16.176470588235293,272.4705882352941,171.11764705882354,101.35294117647058,1.4705882352941178
10292006OTI,16.941176470588232,289.4117647058824,187.17647058823533,102.23529411764706,1.6470588235294117
1152006NYG,17.294117647058822,290.23529411764713,190.11764705882354,100.11764705882355,1.6470588235294117
11122006JAX,17.529411764705884,291.8235294117647,188.17647058823533,103.64705882352942,1.5882352941176472
11192006HTX,18.058823529411768,302.70588235294116,192.88235294117646,109.82352941176471,1.7058823529411764
11262006NYJ,18.47058823529412,307.11764705882354,200.41176470588238,106.70588235294115,1.5882352941176472
1232006RAI,17.529411764705884,290.1764705882353,183.17647058823533,107.0,1.5882352941176472
12102006HTX,17.470588235294116,286.76470588235287,183.17647058823533,103.58823529411764,1.4705882352941178
12172006NWE,17.529411764705884,284.64705882352933,183.82352941176467,100.82352941176471,1.7058823529411764
12242006HTX,17.764705882352942,290.5882352941176,185.52941176470588,105.05882352941177,1.5882352941176472
12312006HTX,17.352941176470587,279.2352941176471,174.94117647058826,104.29411764705885,1.5882352941176472
992007HTX,17.352941176470587,281.0588235294117,175.52941176470588,105.52941176470587,1.5882352941176472
9162007CAR,17.352941176470587,287.23529411764713,178.82352941176467,108.41176470588236,1.6470588235294117
9232007HTX,17.235294117647058,284.5882352941176,180.17647058823533,104.41176470588236,1.6470588235294117
9302007ATL,17.294117647058822,292.64705882352933,186.70588235294116,105.94117647058823,1.6470588235294117
1072007HTX,17.352941176470587,297.11764705882354,190.64705882352942,106.47058823529413,1.6470588235294117
10142007JAX,18.0,306.4117647058824,198.35294117647058,108.05882352941177,1.6470588235294117
10212007HTX,17.823529411764707,305.4705882352941,202.82352941176467,102.64705882352942,2.0
10282007SDG,17.588235294117652,301.9411764705883,201.2352941176471,100.70588235294115,2.0
1142007RAI,17.588235294117652,308.29411764705884,201.88235294117646,106.41176470588236,2.0
11182007HTX,17.470588235294116,313.23529411764713,209.4705882352941,103.76470588235294,2.117647058823529
11252007CLE,17.294117647058822,308.5294117647058,211.29411764705884,97.23529411764706,2.176470588235294
1222007OTI,17.058823529411768,307.4117647058824,204.64705882352942,102.76470588235294,2.235294117647059
1292007HTX,17.529411764705884,315.23529411764713,215.88235294117646,99.35294117647058,2.235294117647059
12132007HTX,17.88235294117647,322.1764705882353,219.82352941176467,102.35294117647058,2.294117647058824
12232007CLT,18.176470588235293,328.11764705882354,228.05882352941174,100.05882352941177,2.235294117647059
12302007HTX,18.0,324.35294117647067,225.52941176470588,98.82352941176471,2.294117647058824
972008PIT,18.529411764705888,327.70588235294116,230.0,97.70588235294115,2.411764705882353
9212008OTI,18.823529411764707,327.8235294117647,227.94117647058826,99.88235294117645,2.4705882352941178
9282008JAX,19.058823529411768,330.1764705882353,232.64705882352942,97.52941176470587,2.411764705882353
1052008HTX,19.47058823529412,338.23529411764713,233.88235294117646,104.35294117647058,2.4705882352941178
10122008HTX,19.764705882352946,343.35294117647067,237.41176470588238,105.94117647058823,2.588235294117647
10192008HTX,20.294117647058822,346.4117647058823,236.0,110.41176470588236,2.5294117647058822
10262008HTX,20.294117647058822,346.05882352941177,232.82352941176467,113.23529411764706,2.3529411764705883
1122008MIN,20.41176470588235,349.35294117647067,234.7647058823529,114.58823529411764,2.176470588235294
1192008HTX,20.235294117647054,348.64705882352933,236.41176470588238,112.23529411764706,2.117647058823529
11162008CLT,20.176470588235293,348.4705882352941,236.29411764705884,112.17647058823529,2.117647058823529
11232008CLE,20.176470588235293,348.05882352941177,235.35294117647058,112.70588235294115,2.117647058823529
1212008HTX,20.235294117647054,348.7647058823529,233.17647058823533,115.58823529411764,2.0
1272008GNB,20.705882352941178,362.5294117647058,245.64705882352942,116.88235294117645,2.117647058823529
12142008HTX,20.94117647058824,369.47058823529403,250.4705882352941,119.0,2.0588235294117645
12212008RAI,20.705882352941178,367.47058823529403,252.4705882352941,115.0,2.0588235294117645
12282008HTX,21.11764705882353,376.64705882352933,258.0588235294117,118.58823529411764,1.9411764705882355
9132009HTX,20.647058823529417,370.35294117647067,259.52941176470586,110.82352941176471,2.0
9202009OTI,20.58823529411765,381.29411764705884,271.1764705882353,110.11764705882355,1.8235294117647056
9272009HTX,20.88235294117647,386.0,277.9411764705883,108.05882352941177,1.7647058823529411
1042009HTX,20.47058823529412,382.64705882352933,272.1764705882353,110.47058823529413,1.8823529411764703
10112009CRD,20.47058823529412,384.1176470588235,280.1764705882353,103.94117647058823,1.7647058823529411
10182009CIN,20.647058823529417,383.35294117647067,281.0,102.35294117647058,1.6470588235294117
10252009HTX,20.0,379.35294117647067,280.52941176470586,98.82352941176471,1.6470588235294117
1112009BUF,20.058823529411768,382.5882352941177,279.4705882352941,103.11764705882355,1.8235294117647056
1182009CLT,20.176470588235293,382.1764705882353,277.9411764705883,104.23529411764706,1.8235294117647056
11232009HTX,20.058823529411768,381.29411764705884,278.11764705882354,103.17647058823529,1.5882352941176472
11292009HTX,20.705882352941178,383.64705882352933,283.70588235294116,99.94117647058823,1.7058823529411764
1262009JAX,20.705882352941178,379.05882352941177,281.4705882352941,97.58823529411764,1.7647058823529411
12132009HTX,21.0,386.35294117647067,291.1764705882353,95.17647058823529,1.8235294117647056
12202009RAM,20.823529411764707,378.7058823529412,288.76470588235287,89.94117647058823,1.7058823529411764
12272009MIA,20.764705882352946,380.5294117647058,289.4705882352941,91.05882352941177,1.7058823529411764
132010HTX,21.47058823529412,387.29411764705884,293.0588235294117,94.23529411764706,1.7058823529411764
9122010HTX,21.352941176470583,381.4117647058823,279.52941176470586,101.88235294117645,1.7058823529411764
9192010WAS,22.411764705882355,401.5882352941177,298.5294117647058,103.05882352941177,1.6470588235294117
9262010HTX,22.705882352941174,396.8823529411765,290.23529411764713,106.64705882352942,1.8235294117647056
1032010RAI,22.588235294117645,399.47058823529403,284.70588235294116,114.76470588235294,1.7058823529411764
10102010HTX,22.294117647058826,391.5882352941177,282.4705882352941,109.11764705882355,1.7058823529411764
10172010HTX,22.294117647058826,391.8823529411765,277.6470588235294,114.23529411764706,1.6470588235294117
1112010CLT,21.882352941176467,381.2352941176471,265.7647058823529,115.47058823529413,1.6470588235294117
1172010HTX,22.294117647058826,384.5294117647058,266.11764705882354,118.41176470588236,1.6470588235294117
11142010JAX,22.058823529411764,381.9411764705882,269.4705882352941,112.47058823529413,1.5294117647058822
11212010NYJ,21.764705882352942,379.64705882352933,266.2352941176471,113.41176470588236,1.4117647058823528
11282010HTX,22.176470588235293,380.0,258.88235294117646,121.11764705882355,1.4117647058823528
1222010PHI,22.176470588235293,382.05882352941177,261.7647058823529,120.29411764705885,1.3529411764705883
12132010HTX,22.705882352941174,392.8823529411765,270.29411764705884,122.58823529411764,1.2941176470588236
12192010OTI,22.882352941176467,385.4117647058823,266.0588235294117,119.35294117647058,1.2352941176470589
12262010DEN,22.823529411764714,384.35294117647067,262.70588235294116,121.64705882352942,1.1764705882352942
122011HTX,22.882352941176467,389.7058823529412,261.11764705882354,128.58823529411765,1.1176470588235294
9112011HTX,22.705882352941174,386.47058823529403,256.52941176470586,129.94117647058823,1.2352941176470589
9182011MIA,22.470588235294123,385.8823529411765,262.9411764705883,122.94117647058823,1.1764705882352942
