game_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO
9111966SFO,,,,,
9181966MIN,,,,,
9251966DAL,,,,,
1021966MIN,,,,,
10161966MIN,,,,,
10231966CLT,,,,,
10301966MIN,,,,,
1161966GNB,,,,,
11131966MIN,,,,,
11201966RAM,,,,,
11271966MIN,,,,,
1241966MIN,,,,,
12111966DET,,,,,
12181966CHI,,,,,
9171967MIN,,,,,
9221967RAM,,,,,
1011967MIN,19.0,317.5294117647058,179.29411764705884,138.23529411764707,2.764705882352941
1081967MIN,18.764705882352946,319.8235294117647,188.94117647058826,130.88235294117646,2.8823529411764706
10151967GNB,18.294117647058822,310.76470588235287,181.17647058823533,129.58823529411765,2.8235294117647056
10221967MIN,17.941176470588232,306.11764705882354,178.11764705882354,128.0,2.764705882352941
10291967ATL,18.294117647058822,307.88235294117646,176.2352941176471,131.64705882352942,2.7058823529411766
1151967MIN,18.11764705882353,303.5294117647058,164.58823529411762,138.94117647058823,2.8235294117647056
11121967MIN,17.11764705882353,295.29411764705884,156.2941176470588,139.0,2.8235294117647056
11191967CLE,16.11764705882353,274.41176470588243,144.05882352941177,130.35294117647058,2.8823529411764706
11261967PIT,15.882352941176471,269.8235294117647,140.41176470588235,129.41176470588235,3.1764705882352944
1231967MIN,15.882352941176471,272.41176470588243,138.88235294117646,133.52941176470586,3.0588235294117645
12101967CHI,15.941176470588234,273.9411764705883,142.64705882352942,131.29411764705878,2.8823529411764706
12171967DET,15.470588235294118,266.1764705882353,134.05882352941177,132.11764705882354,2.9411764705882355
9141968MIN,15.764705882352944,274.0588235294117,137.41176470588235,136.64705882352942,2.7058823529411766
9221968GNB,15.823529411764708,269.6470588235294,132.23529411764707,137.41176470588235,2.588235294117647
9291968MIN,15.117647058823529,259.0,124.94117647058823,134.05882352941177,2.5294117647058822
1061968MIN,15.058823529411766,254.88235294117646,121.58823529411764,133.29411764705878,2.3529411764705883
10131968NOR,15.176470588235292,252.88235294117646,114.23529411764706,138.64705882352942,2.235294117647059
10201968MIN,15.411764705882351,257.2352941176471,114.64705882352942,142.58823529411762,2.294117647058824
10271968CHI,15.470588235294118,253.52941176470588,111.17647058823529,142.35294117647058,2.176470588235294
1131968MIN,15.764705882352944,261.41176470588243,115.70588235294115,145.7058823529412,2.235294117647059
11101968MIN,15.529411764705882,256.4705882352941,108.11764705882355,148.35294117647058,2.294117647058824
