game_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO
9101966SDG,,,,,
9181966DEN,,,,,
9251966NWE,,,,,
1021966NWE,,,,,
1081966BUF,,,,,
10231966NWE,,,,,
10301966NWE,,,,,
1161966NWE,,,,,
11131966NWE,,,,,
11201966KAN,,,,,
11271966MIA,,,,,
1241966NWE,,,,,
12111966OTI,,,,,
12171966NYJ,,,,,
931967DEN,,,,,
991967SDG,,,,,
9171967RAI,17.0,318.5882352941176,186.4705882352941,132.11764705882354,2.9411764705882355
9241967BUF,16.88235294117647,319.35294117647067,184.11764705882354,135.23529411764707,2.7058823529411766
1081967SDG,17.176470588235293,326.76470588235287,192.82352941176467,133.94117647058823,2.588235294117647
10151967NWE,17.352941176470587,335.11764705882354,199.17647058823533,135.94117647058823,2.588235294117647
10221967NWE,17.235294117647058,326.8235294117647,193.41176470588238,133.41176470588235,2.764705882352941
10291967NYJ,17.176470588235293,320.0,188.7647058823529,131.23529411764707,2.8235294117647056
1151967NWE,17.0,315.9411764705883,182.58823529411762,133.35294117647058,2.647058823529412
11121967NWE,16.764705882352942,314.70588235294116,192.4705882352941,122.23529411764706,2.7058823529411766
11191967NWE,17.058823529411768,324.4705882352941,199.11764705882354,125.35294117647058,2.588235294117647
11261967OTI,16.705882352941178,315.1764705882353,192.11764705882354,123.05882352941177,2.8823529411764706
1291967NWE,16.11764705882353,302.76470588235287,183.41176470588238,119.35294117647058,3.1764705882352944
12171967MIA,16.647058823529413,307.4117647058824,187.82352941176467,119.58823529411764,3.4117647058823533
981968BUF,16.470588235294116,305.5882352941176,183.4705882352941,122.11764705882355,3.5294117647058822
9221968NWE,15.529411764705882,296.5882352941176,185.35294117647058,111.23529411764706,3.882352941176471
9291968DEN,15.117647058823529,281.9411764705883,171.47058823529414,110.47058823529413,3.7647058823529416
1061968RAI,15.058823529411766,272.7647058823529,164.7647058823529,108.0,3.4705882352941178
10131968NWE,14.764705882352944,260.52941176470586,156.52941176470586,104.0,3.5294117647058822
10201968NWE,14.529411764705882,263.0588235294117,150.94117647058823,112.11764705882355,3.3529411764705883
10271968NYJ,14.235294117647056,260.7647058823529,156.82352941176467,103.94117647058823,3.8235294117647056
1131968NWE,13.882352941176471,248.29411764705884,147.05882352941177,101.23529411764706,4.0
11101968NWE,13.352941176470587,235.2352941176471,137.35294117647058,97.88235294117645,4.0
11171968KAN,13.588235294117649,245.7647058823529,145.82352941176467,99.94117647058823,4.0
11241968NWE,14.0,255.58823529411762,153.2941176470588,102.29411764705885,4.0588235294117645
1211968NWE,14.058823529411766,251.2352941176471,153.58823529411762,97.64705882352942,4.117647058823529
1281968MIA,14.0,242.94117647058826,141.2352941176471,101.70588235294115,4.0588235294117645
12151968OTI,13.588235294117649,234.11764705882354,134.8235294117647,99.29411764705885,4.176470588235294
9141969DEN,14.0,239.58823529411762,141.52941176470586,98.05882352941177,4.117647058823529
9211969NWE,13.823529411764708,235.58823529411762,138.11764705882354,97.47058823529413,3.7647058823529416
9281969NWE,12.823529411764708,217.94117647058826,127.0,90.94117647058823,3.5882352941176467
1051969NWE,12.941176470588234,218.41176470588238,134.23529411764707,84.17647058823529,3.5882352941176467
10111969BUF,12.882352941176471,211.88235294117646,125.05882352941177,86.8235294117647,3.3529411764705883
10191969NWE,12.705882352941178,212.17647058823533,121.94117647058823,90.23529411764706,3.4117647058823533
10261969NYJ,12.529411764705882,216.0,123.76470588235294,92.23529411764706,3.4117647058823533
1121969NWE,12.647058823529413,227.82352941176467,130.11764705882354,97.70588235294115,3.1764705882352944
1191969NWE,12.411764705882351,222.64705882352942,126.11764705882355,96.52941176470587,3.1764705882352944
11161969CIN,12.705882352941178,226.88235294117646,120.58823529411764,106.29411764705885,2.7058823529411766
11231969NWE,12.764705882352944,238.52941176470588,128.58823529411765,109.94117647058823,2.5294117647058822
11301969MIA,12.705882352941178,237.82352941176467,130.23529411764707,107.58823529411764,2.411764705882353
1271969SDG,12.764705882352944,239.64705882352942,130.1764705882353,109.47058823529413,2.411764705882353
12141969OTI,12.117647058823529,234.88235294117646,127.0,107.88235294117645,2.294117647058824
9201970NWE,12.0,236.64705882352942,125.52941176470587,111.11764705882355,2.235294117647059
9271970NWE,12.058823529411766,238.52941176470588,132.76470588235293,105.76470588235294,2.176470588235294
1041970NWE,12.235294117647056,245.2352941176471,139.1764705882353,106.05882352941177,1.9411764705882355
10111970KAN,11.352941176470587,232.2352941176471,126.94117647058823,105.29411764705885,2.117647058823529
10181970NWE,11.823529411764708,236.52941176470588,128.29411764705878,108.23529411764706,2.235294117647059
10251970CLT,11.941176470588234,236.52941176470588,128.70588235294122,107.82352941176471,2.294117647058824
1111970NWE,12.411764705882351,239.35294117647058,127.70588235294115,111.64705882352942,2.411764705882353
1181970CRD,12.705882352941178,236.2352941176471,128.35294117647058,107.88235294117645,2.5294117647058822
11151970NWE,12.941176470588234,234.0,128.0,106.0,2.5294117647058822
11221970NYJ,12.647058823529413,226.29411764705884,123.76470588235294,102.52941176470587,2.4705882352941178
11291970BUF,12.411764705882351,217.58823529411762,120.64705882352942,96.94117647058823,2.647058823529412
1261970MIA,13.117647058823529,219.4705882352941,129.35294117647058,90.11764705882355,2.5294117647058822
12131970NWE,13.235294117647056,212.64705882352942,131.0,81.6470588235294,2.764705882352941
12201970CIN,12.764705882352944,199.4705882352941,122.05882352941177,77.41176470588233,2.8235294117647056
9191971NWE,12.882352941176471,202.11764705882354,121.58823529411764,80.52941176470588,2.8823529411764706
9261971NWE,12.529411764705882,199.35294117647058,116.76470588235294,82.58823529411767,2.8235294117647056
1031971NWE,12.647058823529413,193.17647058823533,110.35294117647058,82.82352941176471,2.8235294117647056
10101971NWE,12.470588235294118,195.29411764705884,111.11764705882355,84.17647058823529,2.8823529411764706
10171971MIA,12.411764705882351,189.88235294117646,107.76470588235294,82.11764705882355,2.8823529411764706
10241971DAL,12.705882352941178,191.0,107.94117647058823,83.05882352941177,3.0
10311971SFO,13.0,199.29411764705884,110.29411764705885,89.0,2.764705882352941
1171971NWE,13.411764705882351,205.05882352941174,115.70588235294115,89.35294117647058,2.588235294117647
11141971NWE,13.235294117647056,212.64705882352942,118.94117647058823,93.70588235294115,2.5294117647058822
11211971CLE,13.235294117647056,215.05882352941174,120.0,95.05882352941177,2.4705882352941178
11281971BUF,13.0,220.88235294117646,116.82352941176471,104.05882352941177,2.411764705882353
1251971NWE,12.941176470588234,228.4705882352941,125.0,103.47058823529413,2.294117647058824
