game_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO
931966OTI,,,,,
9101966OTI,,,,,
9181966NYJ,,,,,
9251966BUF,,,,,
1021966DEN,,,,,
10161966OTI,,,,,
10231966OTI,,,,,
10301966KAN,,,,,
1161966RAI,,,,,
11131966NWE,,,,,
11201966OTI,,,,,
1241966OTI,,,,,
12111966OTI,,,,,
12181966MIA,,,,,
991967OTI,,,,,
9171967BUF,,,,,
9241967SDG,16.764705882352942,297.23529411764713,186.52941176470588,110.70588235294115,2.7058823529411766
1011967OTI,15.941176470588234,283.70588235294116,175.7647058823529,107.94117647058823,2.764705882352941
10151967NYJ,15.235294117647056,275.58823529411757,167.17647058823533,108.41176470588236,2.764705882352941
10221967KAN,14.705882352941178,270.88235294117646,161.7058823529412,109.17647058823529,2.5294117647058822
10291967OTI,14.411764705882351,263.88235294117646,149.05882352941177,114.82352941176471,2.411764705882353
1151967NWE,13.882352941176471,253.05882352941174,139.58823529411765,113.47058823529413,2.294117647058824
11121967DEN,14.411764705882351,255.82352941176467,135.76470588235293,120.05882352941177,2.294117647058824
11261967OTI,14.588235294117649,252.82352941176467,128.1764705882353,124.64705882352942,2.117647058823529
1231967OTI,14.823529411764708,263.7647058823529,128.23529411764707,135.52941176470586,2.0588235294117645
12101967OTI,15.176470588235292,263.29411764705884,127.88235294117645,135.41176470588235,2.0
12161967OTI,15.235294117647056,260.9411764705883,120.47058823529413,140.47058823529414,2.0588235294117645
12231967MIA,15.470588235294118,261.1764705882353,111.29411764705885,149.88235294117646,1.8823529411764703
12311967RAI,14.764705882352944,246.52941176470588,108.70588235294115,137.8235294117647,1.9411764705882355
991968OTI,15.117647058823529,258.58823529411757,121.35294117647058,137.23529411764707,2.0588235294117645
9141968MIA,15.0,263.8235294117647,123.88235294117645,139.94117647058823,2.117647058823529
9211968SDG,15.117647058823529,260.8235294117647,124.05882352941177,136.76470588235293,2.176470588235294
9291968OTI,15.647058823529413,271.70588235294116,132.70588235294122,139.0,2.294117647058824
1061968OTI,15.470588235294118,274.41176470588243,134.8235294117647,139.58823529411765,2.588235294117647
10131968NWE,15.529411764705882,276.6470588235294,137.35294117647058,139.29411764705878,2.5294117647058822
10201968OTI,16.0,277.2352941176471,138.0,139.23529411764707,2.4705882352941178
10271968BUF,16.352941176470587,289.29411764705884,147.17647058823533,142.11764705882354,2.411764705882353
1131968CIN,17.0,299.88235294117646,155.47058823529414,144.41176470588238,2.235294117647059
11101968NYJ,16.88235294117647,297.88235294117646,150.7058823529412,147.17647058823533,2.3529411764705883
11171968OTI,16.647058823529413,297.35294117647067,155.82352941176467,141.52941176470586,2.294117647058824
11281968KAN,16.411764705882348,297.0,160.47058823529414,136.52941176470586,2.294117647058824
1271968OTI,16.235294117647058,294.0,162.82352941176467,131.1764705882353,2.3529411764705883
12151968OTI,16.88235294117647,302.9411764705883,170.7647058823529,132.1764705882353,2.4705882352941178
9141969RAI,16.647058823529413,299.64705882352933,170.7647058823529,128.88235294117646,2.588235294117647
9211969BUF,16.647058823529413,295.29411764705884,173.70588235294116,121.58823529411764,2.588235294117647
9281969OTI,17.0,304.23529411764713,177.82352941176467,126.41176470588236,2.411764705882353
1051969OTI,16.764705882352942,293.1764705882353,163.35294117647058,129.8235294117647,2.4705882352941178
10121969KAN,16.11764705882353,275.8235294117647,153.82352941176467,122.0,2.8235294117647056
10201969NYJ,16.176470588235293,281.2352941176471,162.41176470588238,118.82352941176471,2.8235294117647056
10261969OTI,16.235294117647058,289.11764705882354,166.2941176470588,122.82352941176471,2.7058823529411766
1121969NWE,16.647058823529413,293.4705882352941,170.82352941176467,122.64705882352942,2.5294117647058822
