game_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO
9111966CRD,,,,,
9181966CRD,,,,,
9251966CLE,,,,,
1021966PHI,,,,,
1091966CRD,,,,,
10161966CRD,,,,,
10231966WAS,,,,,
10311966CRD,,,,,
1161966NYG,,,,,
11131966PIT,,,,,
11271966CRD,,,,,
1241966DAL,,,,,
12111966ATL,,,,,
12171966CRD,,,,,
9171967CRD,,,,,
9241967PIT,,,,,
1011967CRD,15.588235294117649,269.70588235294116,149.58823529411762,120.11764705882355,2.647058823529412
1081967MIN,15.470588235294118,277.58823529411757,154.82352941176467,122.76470588235294,2.764705882352941
10151967CLE,15.294117647058822,275.6470588235294,153.64705882352942,122.0,2.9411764705882355
10221967CRD,15.823529411764708,281.70588235294116,157.2352941176471,124.47058823529413,2.647058823529412
10301967CRD,16.470588235294116,296.88235294117646,170.52941176470586,126.35294117647058,2.7058823529411766
1151967WAS,16.88235294117647,305.4705882352941,174.0,131.47058823529414,2.7058823529411766
11121967CRD,17.235294117647058,310.35294117647067,174.88235294117646,135.47058823529414,2.8823529411764706
11191967CHI,17.11764705882353,309.11764705882354,178.82352941176467,130.29411764705878,3.117647058823529
11231967DAL,17.352941176470587,318.0,189.11764705882354,128.88235294117646,3.1764705882352944
1231967CRD,17.11764705882353,320.70588235294116,189.64705882352942,131.05882352941177,3.3529411764705883
12101967CRD,17.235294117647058,323.29411764705884,188.41176470588238,134.88235294117646,3.2352941176470584
12171967NYG,17.470588235294116,329.29411764705884,202.11764705882354,127.17647058823529,3.3529411764705883
9161968CRD,17.294117647058822,326.29411764705884,200.2352941176471,126.05882352941177,3.2352941176470584
9221968SFO,17.11764705882353,322.29411764705884,196.0,126.29411764705885,3.294117647058824
9291968NOR,17.235294117647058,321.8235294117647,195.88235294117646,125.94117647058823,3.1764705882352944
1061968CRD,16.88235294117647,315.5294117647058,197.05882352941174,118.47058823529413,2.9411764705882355
