game_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO
9181966DAL,,,,,
9251966DAL,,,,,
1021966ATL,,,,,
1091966DAL,,,,,
10161966CRD,,,,,
10231966CLE,,,,,
10301966DAL,,,,,
1161966PHI,,,,,
11131966WAS,,,,,
11201966PIT,,,,,
11241966DAL,,,,,
1241966DAL,,,,,
12111966DAL,,,,,
12181966NYG,,,,,
111967DAL,,,,,
9171967CLE,,,,,
9241967DAL,20.705882352941178,373.35294117647067,216.41176470588238,156.94117647058823,1.8235294117647056
1011967DAL,20.47058823529412,358.8823529411765,207.41176470588238,151.47058823529414,2.0
1081967WAS,20.47058823529412,359.2352941176471,209.70588235294116,149.52941176470586,2.117647058823529
10151967DAL,20.235294117647054,351.64705882352933,203.17647058823533,148.47058823529414,2.176470588235294
10221967PIT,19.176470588235293,335.5294117647058,194.35294117647058,141.17647058823533,2.235294117647059
10291967PHI,18.94117647058824,334.35294117647067,194.41176470588238,139.94117647058823,2.294117647058824
1151967DAL,18.41176470588235,329.11764705882354,188.29411764705884,140.82352941176467,2.176470588235294
11121967NOR,18.058823529411768,326.4705882352941,185.05882352941174,141.41176470588238,2.117647058823529
11191967DAL,18.705882352941178,338.5882352941176,197.64705882352942,140.94117647058823,2.294117647058824
11231967DAL,18.352941176470583,333.9411764705883,192.7647058823529,141.17647058823533,2.176470588235294
1231967CLT,18.176470588235293,331.88235294117646,190.11764705882354,141.7647058823529,2.3529411764705883
12101967DAL,18.0,333.11764705882354,191.70588235294116,141.41176470588238,2.588235294117647
12161967SFO,18.352941176470583,337.88235294117646,194.94117647058826,142.94117647058823,2.764705882352941
12241967DAL,18.647058823529417,339.70588235294116,200.4705882352941,139.23529411764707,2.8235294117647056
12311967GNB,18.647058823529417,335.88235294117646,197.2352941176471,138.64705882352942,2.8235294117647056
9151968DAL,19.0,343.1764705882353,206.05882352941174,137.11764705882354,2.7058823529411766
9221968DAL,19.294117647058822,341.76470588235287,203.35294117647058,138.41176470588235,2.5294117647058822
9291968PHI,19.176470588235293,342.0,206.0,136.0,2.588235294117647
1061968CRD,19.294117647058822,343.4705882352941,199.05882352941174,144.41176470588238,2.411764705882353
10131968DAL,19.823529411764707,349.0,202.4705882352941,146.52941176470586,2.3529411764705883
10201968MIN,19.294117647058822,345.64705882352933,201.52941176470588,144.11764705882354,2.294117647058824
10281968DAL,19.647058823529417,344.8823529411765,196.58823529411762,148.2941176470588,2.4705882352941178
1131968NOR,20.176470588235293,350.7058823529412,198.2352941176471,152.47058823529414,2.588235294117647
11101968DAL,20.352941176470583,352.1764705882353,203.94117647058826,148.2352941176471,2.764705882352941
11171968WAS,20.705882352941178,360.11764705882354,210.82352941176467,149.2941176470588,2.764705882352941
11241968CHI,20.647058823529417,354.05882352941177,204.2352941176471,149.82352941176467,2.588235294117647
11281968DAL,20.58823529411765,345.1764705882353,194.70588235294116,150.47058823529414,2.588235294117647
1281968DAL,20.47058823529412,352.11764705882354,203.11764705882354,149.0,2.4705882352941178
12151968NYG,20.41176470588235,351.8235294117647,205.05882352941174,146.7647058823529,2.411764705882353
12211968CLE,20.176470588235293,352.7058823529412,208.7647058823529,143.94117647058823,2.411764705882353
9211969DAL,19.705882352941178,350.4117647058823,208.0,142.41176470588238,2.411764705882353
9281969NOR,20.058823529411768,356.4117647058823,206.88235294117646,149.52941176470586,2.3529411764705883
1051969PHI,19.94117647058824,355.4705882352941,204.70588235294116,150.7647058823529,2.411764705882353
10121969ATL,19.647058823529417,358.4705882352941,209.94117647058826,148.52941176470586,2.411764705882353
10191969DAL,19.823529411764707,360.1764705882353,209.64705882352942,150.52941176470586,2.3529411764705883
10271969DAL,19.764705882352946,364.47058823529403,212.58823529411762,151.88235294117646,2.4705882352941178
1121969CLE,19.352941176470583,359.11764705882354,207.88235294117646,151.2352941176471,2.764705882352941
1191969DAL,19.88235294117647,374.47058823529403,217.17647058823533,157.2941176470588,2.764705882352941
11161969WAS,20.058823529411768,374.47058823529403,213.70588235294116,160.7647058823529,2.588235294117647
11231969RAM,19.94117647058824,371.35294117647067,213.82352941176467,157.52941176470586,2.411764705882353
11271969DAL,19.764705882352946,368.7647058823529,209.0,159.7647058823529,2.294117647058824
1271969PIT,19.11764705882353,350.35294117647067,198.05882352941174,152.2941176470588,2.3529411764705883
12131969DAL,18.647058823529417,354.1764705882353,200.70588235294116,153.47058823529414,2.294117647058824
12211969DAL,18.823529411764707,357.0,204.05882352941174,152.94117647058823,2.294117647058824
12281969DAL,19.176470588235293,349.7058823529412,197.29411764705884,152.41176470588238,2.3529411764705883
9201970PHI,19.11764705882353,348.35294117647067,191.88235294117646,156.47058823529414,2.3529411764705883
9271970DAL,19.764705882352946,352.7058823529412,189.58823529411762,163.11764705882354,2.235294117647059
1041970CRD,19.94117647058824,347.2352941176471,184.7647058823529,162.47058823529414,2.235294117647059
10111970DAL,19.705882352941178,345.05882352941177,182.29411764705884,162.7647058823529,2.3529411764705883
10181970MIN,18.94117647058824,330.9411764705883,169.47058823529414,161.47058823529414,2.5294117647058822
10251970KAN,18.705882352941178,326.8235294117647,163.58823529411762,163.2352941176471,2.5294117647058822
1111970DAL,17.764705882352942,316.88235294117646,161.0,155.88235294117646,2.5294117647058822
1181970NYG,17.058823529411768,310.5882352941176,161.47058823529414,149.11764705882354,2.3529411764705883
11161970DAL,16.705882352941178,305.88235294117646,158.94117647058823,146.94117647058823,2.3529411764705883
11221970WAS,16.941176470588232,301.88235294117646,155.2941176470588,146.58823529411762,2.294117647058824
11261970DAL,16.470588235294116,301.11764705882354,158.47058823529414,142.64705882352942,2.235294117647059
1261970DAL,16.705882352941178,305.35294117647067,154.11764705882354,151.2352941176471,2.0588235294117645
12121970CLE,16.176470588235293,297.64705882352933,147.2941176470588,150.35294117647058,1.9411764705882355
12201970DAL,16.705882352941178,318.0588235294117,160.94117647058823,157.11764705882354,1.9411764705882355
12261970DAL,16.470588235294116,307.64705882352933,146.05882352941177,161.58823529411762,1.9411764705882355
131971SFO,16.588235294117652,306.8235294117647,139.88235294117646,166.94117647058823,1.9411764705882355
1171971CLT,16.11764705882353,306.8235294117647,139.64705882352942,167.17647058823533,2.0
9191971BUF,16.058823529411768,311.1764705882353,146.2352941176471,164.94117647058823,1.8823529411764703
9261971PHI,16.0,311.70588235294116,149.64705882352942,162.05882352941177,2.0
1031971DAL,16.176470588235293,311.5882352941176,153.0,158.58823529411762,1.9411764705882355
10111971DAL,16.647058823529413,320.0588235294117,161.2352941176471,158.82352941176467,2.117647058823529
10171971NOR,17.0,320.88235294117646,165.82352941176467,155.05882352941177,2.235294117647059
10241971DAL,17.294117647058822,325.5294117647058,172.05882352941174,153.47058823529414,2.176470588235294
10311971CHI,18.352941176470583,337.4705882352941,178.52941176470588,158.94117647058823,2.5294117647058822
1171971CRD,19.0,343.8823529411765,180.7647058823529,163.11764705882354,2.5294117647058822
11141971DAL,19.41176470588235,347.7058823529412,180.11764705882354,167.58823529411762,2.235294117647059
11211971WAS,19.058823529411768,342.35294117647067,176.82352941176467,165.52941176470586,2.235294117647059
11251971DAL,19.058823529411768,338.11764705882354,174.7647058823529,163.35294117647058,2.235294117647059
1241971DAL,19.176470588235293,339.0,179.05882352941174,159.94117647058823,2.235294117647059
12121971NYG,19.823529411764707,354.5882352941177,190.2352941176471,164.35294117647058,2.3529411764705883
12181971DAL,19.58823529411765,341.29411764705884,177.11764705882354,164.17647058823533,2.411764705882353
12251971MIN,19.352941176470583,338.4705882352941,180.82352941176467,157.64705882352942,2.3529411764705883
121972DAL,19.0,334.0588235294117,179.7647058823529,154.2941176470588,2.3529411764705883
1161972DAL,19.823529411764707,342.0,179.0,163.0,2.176470588235294
9171972DAL,20.0,343.0588235294117,180.41176470588238,162.64705882352942,2.294117647058824
9241972NYG,19.705882352941178,338.8235294117647,176.82352941176467,162.0,2.0588235294117645
1011972GNB,19.47058823529412,338.9411764705883,173.6470588235294,165.2941176470588,2.294117647058824
1081972DAL,19.47058823529412,336.9411764705883,173.47058823529412,163.47058823529414,2.176470588235294
10151972CLT,19.529411764705888,342.23529411764713,177.05882352941174,165.17647058823533,1.9411764705882355
10221972WAS,19.41176470588235,334.5882352941176,172.47058823529412,162.11764705882354,2.0588235294117645
10301972DAL,19.0,327.76470588235287,164.47058823529414,163.2941176470588,1.7647058823529411
1151972SDG,18.823529411764707,321.70588235294116,162.7058823529412,159.0,1.8823529411764703
11121972DAL,18.94117647058824,328.70588235294116,166.7058823529412,162.0,1.8823529411764703
11191972PHI,19.176470588235293,331.1764705882353,168.17647058823533,163.0,2.0
11231972DAL,19.41176470588235,332.8235294117647,170.2352941176471,162.58823529411762,2.235294117647059
1231972CRD,18.94117647058824,327.5294117647058,165.47058823529414,162.05882352941177,2.4705882352941178
1291972DAL,18.41176470588235,319.76470588235287,154.82352941176467,164.94117647058823,2.3529411764705883
12171972DAL,17.941176470588232,308.5294117647058,152.88235294117646,155.64705882352942,2.3529411764705883
12231972SFO,18.647058823529417,321.4117647058824,161.82352941176467,159.58823529411762,2.647058823529412
12311972WAS,18.176470588235293,317.0,161.88235294117646,155.11764705882354,2.647058823529412
9161973CHI,17.823529411764707,312.29411764705884,160.94117647058823,151.35294117647058,2.764705882352941
9241973DAL,17.941176470588232,310.29411764705884,158.05882352941177,152.2352941176471,2.647058823529412
9301973DAL,18.705882352941178,326.8235294117647,168.05882352941177,158.7647058823529,2.764705882352941
1081973WAS,18.94117647058824,326.8235294117647,165.47058823529414,161.35294117647058,2.5294117647058822
10141973RAM,18.705882352941178,320.76470588235287,163.94117647058823,156.82352941176467,2.588235294117647
10211973DAL,18.764705882352946,319.0,155.7647058823529,163.2352941176471,2.5294117647058822
10281973PHI,19.294117647058822,324.0588235294117,160.0,164.05882352941177,2.647058823529412
1141973DAL,19.176470588235293,320.23529411764713,158.52941176470586,161.7058823529412,2.588235294117647
11111973NYG,19.0,315.88235294117646,151.7647058823529,164.11764705882354,2.588235294117647
11181973DAL,18.58823529411765,313.88235294117646,146.47058823529414,167.41176470588238,2.7058823529411766
11221973DAL,18.352941176470583,310.70588235294116,145.17647058823533,165.52941176470586,2.588235294117647
1221973DEN,18.058823529411768,308.0588235294117,144.47058823529414,163.58823529411762,2.3529411764705883
1291973DAL,18.294117647058822,311.88235294117646,149.2352941176471,162.64705882352942,2.235294117647059
12161973CRD,18.88235294117647,320.8235294117647,160.47058823529414,160.35294117647058,2.235294117647059
12231973DAL,19.176470588235293,330.5882352941176,163.47058823529414,167.11764705882354,2.235294117647059
12301973DAL,18.41176470588235,315.9411764705883,153.2352941176471,162.7058823529412,2.294117647058824
9151974ATL,19.176470588235293,330.1764705882353,161.05882352941177,169.11764705882354,2.3529411764705883
9231974PHI,19.352941176470583,336.8235294117647,168.88235294117646,167.94117647058823,2.3529411764705883
9291974DAL,19.0,335.5294117647058,170.94117647058823,164.58823529411762,2.588235294117647
1061974DAL,18.11764705882353,317.5882352941176,159.2352941176471,158.35294117647058,2.7058823529411766
10131974CRD,18.352941176470583,323.5294117647058,167.2941176470588,156.2352941176471,2.7058823529411766
10201974DAL,19.058823529411768,332.70588235294116,168.7058823529412,164.0,2.411764705882353
10271974NYG,19.058823529411768,331.76470588235287,170.7058823529412,161.05882352941177,2.5294117647058822
1131974DAL,18.764705882352946,326.8235294117647,165.64705882352942,161.17647058823533,2.294117647058824
11101974DAL,19.0,331.4705882352941,164.2941176470588,167.17647058823533,2.411764705882353
11171974WAS,19.235294117647054,337.4117647058824,169.58823529411762,167.82352941176467,2.3529411764705883
11241974OTI,19.176470588235293,329.11764705882354,165.52941176470586,163.58823529411762,2.235294117647059
11281974DAL,19.58823529411765,335.35294117647067,171.58823529411762,163.7647058823529,2.4705882352941178
1271974DAL,20.235294117647054,347.4705882352941,173.2352941176471,174.2352941176471,2.5294117647058822
12141974RAI,20.176470588235293,346.64705882352933,175.29411764705884,171.35294117647058,2.4705882352941178
9211975DAL,19.823529411764707,335.9411764705883,165.17647058823533,170.7647058823529,2.4705882352941178
9281975DAL,20.58823529411765,344.7647058823529,174.11764705882354,170.64705882352942,2.3529411764705883
1061975DET,20.88235294117647,356.0,185.11764705882354,170.88235294117646,2.117647058823529
10121975NYG,20.47058823529412,347.2352941176471,176.88235294117646,170.35294117647058,2.0588235294117645
10191975DAL,20.47058823529412,346.5882352941177,174.0,172.58823529411762,2.176470588235294
10261975PHI,20.647058823529417,349.2352941176471,178.6470588235294,170.58823529411762,1.9411764705882355
1121975WAS,21.0,355.8235294117647,183.58823529411762,172.2352941176471,1.8823529411764703
11101975DAL,21.11764705882353,359.7058823529412,184.05882352941174,175.6470588235294,2.235294117647059
11161975NWE,20.352941176470583,354.7647058823529,183.52941176470588,171.2352941176471,2.3529411764705883
11231975DAL,20.352941176470583,355.1764705882353,182.70588235294116,172.47058823529412,2.294117647058824
11301975DAL,20.176470588235293,361.7058823529412,186.35294117647058,175.3529411764706,2.411764705882353
1271975CRD,20.58823529411765,361.35294117647067,192.05882352941174,169.2941176470588,2.411764705882353
12131975DAL,20.647058823529417,364.1176470588235,191.58823529411762,172.52941176470588,2.4705882352941178
12211975NYJ,21.0,368.64705882352933,194.41176470588238,174.2352941176471,2.5294117647058822
12281975MIN,20.764705882352946,367.64705882352933,193.58823529411762,174.05882352941174,2.294117647058824
141976RAM,20.705882352941178,366.0,195.29411764705884,170.7058823529412,2.294117647058824
1181976DAL,20.294117647058822,358.35294117647067,189.7647058823529,168.58823529411762,2.3529411764705883
9121976DAL,20.647058823529417,368.2352941176471,200.64705882352942,167.58823529411762,2.4705882352941178
9191976NOR,20.294117647058822,366.7647058823529,196.94117647058826,169.82352941176467,2.588235294117647
9261976DAL,20.705882352941178,373.4117647058823,203.70588235294116,169.7058823529412,2.647058823529412
1031976SEA,21.352941176470583,382.1764705882353,211.58823529411762,170.58823529411762,2.647058823529412
10101976NYG,21.235294117647054,379.64705882352933,211.58823529411762,168.05882352941177,2.3529411764705883
10171976CRD,21.352941176470583,379.7647058823529,207.41176470588238,172.3529411764706,2.3529411764705883
10241976DAL,21.764705882352942,388.2352941176471,211.82352941176467,176.41176470588238,2.3529411764705883
10311976WAS,21.294117647058822,377.47058823529403,205.11764705882354,172.3529411764706,1.9411764705882355
1171976DAL,21.058823529411768,372.8235294117647,204.88235294117646,167.94117647058823,1.8823529411764703
11151976DAL,20.58823529411765,365.5882352941177,206.0,159.58823529411762,1.8235294117647056
