game_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO
931995JAX,,,,,
9101995CIN,,,,,
9171995NYJ,,,,,
9241995JAX,,,,,
1011995OTI,,,,,
1081995JAX,,,,,
10151995JAX,,,,,
10221995CLE,,,,,
10291995PIT,,,,,
11121995JAX,,,,,
11191995TAM,,,,,
11261995JAX,,,,,
1231995DEN,,,,,
12101995JAX,,,,,
12171995DET,,,,,
12241995JAX,,,,,
911996JAX,17.941176470588232,282.8235294117647,175.52941176470588,107.29411764705885,1.7647058823529411
981996JAX,18.88235294117647,296.0,190.41176470588238,105.58823529411764,1.8235294117647056
9151996RAI,18.88235294117647,296.64705882352933,194.0,102.64705882352942,1.8235294117647056
9221996NWE,18.41176470588235,307.88235294117646,212.11764705882354,95.76470588235294,1.7647058823529411
9291996JAX,18.94117647058824,318.29411764705884,216.4705882352941,101.82352941176471,1.8823529411764703
1061996NOR,19.294117647058822,327.88235294117646,221.7647058823529,106.11764705882355,1.8235294117647056
10131996JAX,18.88235294117647,329.1764705882353,224.4705882352941,104.70588235294115,1.8235294117647056
10201996RAM,19.47058823529412,336.76470588235287,232.2352941176471,104.52941176470587,2.117647058823529
10271996CIN,19.235294117647054,338.11764705882354,234.17647058823533,103.94117647058823,2.117647058823529
11101996JAX,19.705882352941178,349.2352941176471,245.17647058823533,104.05882352941177,2.176470588235294
11171996PIT,19.705882352941178,347.64705882352933,248.4705882352941,99.17647058823529,2.294117647058824
11241996RAV,19.94117647058824,349.05882352941177,250.17647058823533,98.88235294117645,2.3529411764705883
1211996JAX,20.0,356.7647058823529,258.58823529411757,98.17647058823529,2.235294117647059
1281996OTI,20.352941176470583,357.8823529411765,257.0588235294117,100.82352941176471,2.176470588235294
12151996JAX,19.823529411764707,353.5882352941177,252.35294117647058,101.23529411764706,2.0588235294117645
12221996JAX,20.176470588235293,360.7647058823529,257.52941176470586,103.23529411764706,1.7647058823529411
12281996BUF,20.176470588235293,362.8823529411765,255.0,107.88235294117645,1.8823529411764703
141997DEN,20.176470588235293,370.5294117647058,257.70588235294116,112.82352941176471,1.7647058823529411
1121997NWE,19.705882352941178,365.7647058823529,251.2352941176471,114.52941176470587,1.8235294117647056
8311997RAV,20.0,374.05882352941177,257.2352941176471,116.82352941176471,1.7647058823529411
971997JAX,20.58823529411765,370.1176470588235,247.7647058823529,122.35294117647058,1.7058823529411764
9221997JAX,20.647058823529417,368.05882352941177,253.88235294117646,114.17647058823529,1.5882352941176472
9281997WAS,20.0,357.5882352941177,247.58823529411762,110.0,1.5882352941176472
1051997JAX,20.647058823529417,358.7058823529412,243.52941176470588,115.17647058823529,1.5882352941176472
10121997JAX,19.764705882352946,345.05882352941177,228.05882352941174,117.0,1.2941176470588236
10191997DAL,19.529411764705888,341.11764705882354,230.41176470588238,110.70588235294115,1.2352941176470589
10261997PIT,19.176470588235293,332.23529411764713,222.29411764705884,109.94117647058823,1.1764705882352942
1121997OTI,19.0,335.23529411764713,221.94117647058826,113.29411764705885,1.0588235294117647
1191997JAX,18.58823529411765,332.76470588235287,215.4705882352941,117.29411764705885,1.0588235294117647
11161997JAX,18.705882352941178,328.64705882352933,209.17647058823533,119.47058823529413,1.1764705882352942
11231997CIN,18.764705882352946,336.64705882352933,215.94117647058826,120.70588235294115,1.2941176470588236
11301997JAX,19.058823529411768,339.76470588235287,221.52941176470588,118.23529411764706,1.3529411764705883
1271997JAX,19.176470588235293,338.8235294117647,222.70588235294116,116.11764705882355,1.4705882352941178
12141997BUF,19.294117647058822,337.5882352941176,226.94117647058826,110.64705882352942,1.4117647058823528
12211997RAI,19.176470588235293,336.0588235294117,228.94117647058826,107.11764705882355,1.4117647058823528
12271997DEN,18.94117647058824,333.0,228.88235294117646,104.11764705882355,1.2941176470588236
961998CHI,19.058823529411768,330.4117647058824,223.2352941176471,107.17647058823529,1.4117647058823528
9131998JAX,18.88235294117647,323.4117647058824,214.94117647058826,108.47058823529413,1.3529411764705883
9201998JAX,18.764705882352946,333.76470588235287,218.58823529411762,115.17647058823529,1.4117647058823528
9271998OTI,19.235294117647054,339.23529411764713,219.4705882352941,119.76470588235294,1.4705882352941178
10121998JAX,18.705882352941178,343.7647058823529,222.4705882352941,121.29411764705885,1.5294117647058822
10181998BUF,18.41176470588235,339.76470588235287,219.35294117647058,120.41176470588236,1.4705882352941178
10251998DEN,18.94117647058824,344.2941176470588,222.4705882352941,121.82352941176471,1.4705882352941178
1111998RAV,19.176470588235293,350.0,225.94117647058826,124.05882352941177,1.4705882352941178
1181998JAX,19.0,348.94117647058823,224.7647058823529,124.17647058823529,1.4117647058823528
11151998JAX,19.11764705882353,351.4117647058823,227.58823529411762,123.82352941176471,1.2941176470588236
11221998PIT,18.88235294117647,348.4117647058823,224.94117647058826,123.47058823529413,1.4117647058823528
11291998CIN,18.647058823529417,342.9411764705883,222.7647058823529,120.17647058823529,1.2352941176470589
1261998JAX,18.705882352941178,344.2352941176471,217.35294117647058,126.88235294117645,1.1764705882352942
12131998JAX,18.235294117647054,338.35294117647067,213.70588235294116,124.64705882352942,1.1176470588235294
12201998MIN,17.941176470588232,327.70588235294116,200.29411764705884,127.41176470588236,1.2941176470588236
12281998JAX,17.705882352941178,320.64705882352933,194.05882352941174,126.58823529411764,1.2941176470588236
131999JAX,17.88235294117647,324.8235294117647,191.7647058823529,133.05882352941177,1.1764705882352942
1101999NYJ,17.470588235294116,318.0,188.7647058823529,129.23529411764707,1.2352941176470589
9121999JAX,17.411764705882348,323.1764705882353,196.7647058823529,126.41176470588236,1.2352941176470589
9191999CAR,17.764705882352942,317.0,187.05882352941174,129.94117647058823,1.2352941176470589
9261999JAX,17.941176470588232,321.23529411764713,191.94117647058826,129.29411764705878,1.2941176470588236
1031999PIT,18.0,310.5882352941176,184.94117647058826,125.64705882352942,1.2941176470588236
10111999NYJ,18.0,315.5294117647058,190.41176470588238,125.11764705882355,1.3529411764705883
10171999JAX,17.823529411764707,314.1764705882353,186.88235294117646,127.29411764705885,1.2941176470588236
10311999CIN,18.0,314.9411764705883,183.41176470588238,131.52941176470586,1.2352941176470589
1171999ATL,18.352941176470583,320.5294117647058,188.11764705882354,132.41176470588235,1.1764705882352942
11141999JAX,17.823529411764707,306.29411764705884,179.58823529411762,126.70588235294115,1.1764705882352942
11211999JAX,18.58823529411765,317.64705882352933,188.4705882352941,129.1764705882353,1.0
11281999RAV,19.058823529411768,321.5294117647058,193.4705882352941,128.05882352941177,1.1764705882352942
1221999JAX,19.058823529411768,323.88235294117646,198.0,125.88235294117645,1.2352941176470589
12131999JAX,19.235294117647054,325.29411764705884,194.0,131.29411764705878,1.1764705882352942
12191999CLE,19.529411764705888,339.11764705882354,205.29411764705884,133.8235294117647,1.0588235294117647
12261999OTI,19.529411764705888,335.5882352941176,205.52941176470588,130.05882352941177,1.2352941176470589
122000JAX,20.294117647058822,343.35294117647067,214.7647058823529,128.58823529411765,1.2941176470588236
1152000JAX,20.705882352941178,359.1764705882353,221.05882352941174,138.11764705882354,1.1764705882352942
1232000JAX,20.823529411764707,359.8235294117647,218.94117647058826,140.88235294117646,1.5294117647058822
932000CLE,20.88235294117647,358.8823529411765,223.58823529411762,135.29411764705878,1.4705882352941178
9102000RAV,20.88235294117647,361.9411764705882,232.0,129.94117647058823,1.4705882352941178
9172000JAX,21.0,364.1176470588235,236.52941176470588,127.58823529411764,1.4705882352941178
9252000CLT,21.11764705882353,362.0,236.05882352941174,125.94117647058823,1.5294117647058822
1012000JAX,20.88235294117647,355.0,233.58823529411762,121.41176470588236,1.6470588235294117
1082000JAX,20.823529411764707,353.2941176470588,237.05882352941174,116.23529411764706,2.0
10162000OTI,20.41176470588235,349.5882352941177,233.88235294117646,115.70588235294115,2.117647058823529
10222000JAX,21.11764705882353,364.47058823529403,242.94117647058826,121.52941176470587,2.3529411764705883
10292000DAL,20.41176470588235,358.4705882352941,235.64705882352942,122.82352941176471,2.294117647058824
11122000JAX,20.41176470588235,361.35294117647067,234.88235294117646,126.47058823529413,2.176470588235294
11192000PIT,20.176470588235293,358.4705882352941,227.7647058823529,130.70588235294122,2.235294117647059
11262000JAX,20.058823529411768,362.5294117647058,234.7647058823529,127.76470588235294,2.3529411764705883
1232000JAX,20.529411764705888,362.9411764705882,231.4705882352941,131.47058823529414,2.235294117647059
12102000JAX,21.058823529411768,376.5882352941177,236.35294117647058,140.23529411764707,2.0588235294117645
12172000CIN,20.294117647058822,366.9411764705882,227.94117647058826,139.0,2.0588235294117645
12232000NYG,19.88235294117647,355.5882352941177,227.58823529411762,128.0,2.0588235294117645
992001JAX,19.647058823529417,352.2941176470588,226.82352941176467,125.47058823529413,1.7058823529411764
9232001JAX,18.94117647058824,348.2352941176471,222.7647058823529,125.47058823529413,1.8235294117647056
9302001JAX,18.47058823529412,338.70588235294116,210.17647058823533,128.52941176470586,1.7058823529411764
1072001SEA,18.647058823529417,339.5882352941176,212.64705882352942,126.94117647058823,1.7647058823529411
10182001JAX,18.41176470588235,337.29411764705884,209.29411764705884,128.0,1.7647058823529411
10282001RAV,18.529411764705888,346.64705882352933,215.41176470588238,131.23529411764707,1.7058823529411764
1142001OTI,18.41176470588235,344.35294117647067,214.58823529411762,129.76470588235293,1.4117647058823528
11112001JAX,18.88235294117647,341.8235294117647,214.7647058823529,127.05882352941177,1.2941176470588236
11182001PIT,18.47058823529412,332.9411764705883,211.64705882352942,121.29411764705885,1.2352941176470589
11252001JAX,18.529411764705888,327.8235294117647,211.58823529411762,116.23529411764706,1.2352941176470589
1232001JAX,18.294117647058822,322.5882352941176,209.88235294117646,112.70588235294115,1.4117647058823528
1292001CIN,18.11764705882353,313.0588235294117,210.82352941176467,102.23529411764706,1.3529411764705883
12162001CLE,18.294117647058822,310.0,206.7647058823529,103.23529411764706,1.4117647058823528
12232001MIN,18.0,308.4705882352941,207.0,101.47058823529413,1.4117647058823528
12302001JAX,17.823529411764707,306.23529411764713,206.64705882352942,99.58823529411764,1.5882352941176472
162002CHI,17.823529411764707,303.9411764705883,205.70588235294116,98.23529411764706,1.7058823529411764
982002JAX,18.11764705882353,304.88235294117646,203.82352941176467,101.05882352941177,1.7058823529411764
9152002KAN,18.294117647058822,313.76470588235287,211.0,102.76470588235294,1.7647058823529411
9292002JAX,18.529411764705888,316.9411764705883,208.05882352941174,108.88235294117645,1.6470588235294117
1062002JAX,18.647058823529417,317.4117647058824,210.17647058823533,107.23529411764706,1.5294117647058822
10132002OTI,18.352941176470583,314.0,202.4705882352941,111.52941176470587,1.5294117647058822
10202002RAV,18.823529411764707,322.8235294117647,207.88235294117646,114.94117647058823,1.5882352941176472
10272002JAX,18.764705882352946,318.4117647058824,200.82352941176467,117.58823529411764,1.5294117647058822
1132002NYG,18.529411764705888,319.5882352941176,198.70588235294116,120.88235294117645,1.5294117647058822
11102002JAX,18.352941176470583,322.4117647058824,198.88235294117646,123.52941176470587,1.5294117647058822
11172002HTX,18.47058823529412,327.5294117647058,199.64705882352942,127.88235294117645,1.4117647058823528
11242002DAL,18.47058823529412,328.76470588235287,197.52941176470588,131.23529411764707,1.5882352941176472
1212002JAX,18.058823529411768,321.5882352941176,188.0,133.58823529411765,1.3529411764705883
1282002JAX,17.823529411764707,319.0,179.82352941176467,139.1764705882353,1.2941176470588236
12152002CIN,17.88235294117647,321.29411764705884,183.2352941176471,138.05882352941177,1.1176470588235294
12222002JAX,17.294117647058822,309.0,179.11764705882354,129.88235294117646,1.1764705882352942
12292002CLT,17.176470588235293,299.29411764705884,171.05882352941177,128.23529411764707,1.0588235294117647
972003CAR,17.176470588235293,304.8235294117647,177.52941176470588,127.29411764705885,0.9411764705882352
9142003JAX,17.235294117647058,301.5294117647058,175.58823529411762,125.94117647058823,0.8235294117647058
9212003CLT,17.0,290.70588235294116,163.47058823529414,127.23529411764706,0.8235294117647058
