game_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO
9111966CRD,,,,,
9181966PHI,,,,,
9251966PHI,,,,,
1021966PHI,,,,,
1091966DAL,,,,,
10161966PIT,,,,,
10231966NYG,,,,,
10301966PHI,,,,,
1161966PHI,,,,,
11131966CLE,,,,,
11201966SFO,,,,,
1241966PHI,,,,,
12111966PHI,,,,,
12181966WAS,,,,,
9171967PHI,,,,,
9241967PHI,,,,,
1011967PHI,16.588235294117652,282.5294117647058,158.11764705882354,124.41176470588236,2.7058823529411766
1081967ATL,16.588235294117652,289.9411764705883,161.52941176470586,128.41176470588235,2.7058823529411766
10151967PHI,16.294117647058822,284.29411764705884,165.41176470588238,118.88235294117645,2.588235294117647
10221967CRD,16.235294117647058,287.11764705882354,170.52941176470586,116.58823529411764,2.7058823529411766
10291967PHI,16.588235294117652,293.64705882352933,170.35294117647058,123.29411764705885,2.764705882352941
1151967NOR,17.11764705882353,302.0,175.29411764705884,126.70588235294115,2.8235294117647056
11121967RAM,16.470588235294116,300.5882352941176,182.4705882352941,118.11764705882355,2.9411764705882355
11191967PHI,16.647058823529413,306.76470588235287,195.2352941176471,111.52941176470587,2.9411764705882355
11261967NYG,16.705882352941178,301.76470588235287,194.17647058823533,107.58823529411764,3.0588235294117645
1231967WAS,17.470588235294116,318.5294117647058,209.11764705882354,109.41176470588236,3.117647058823529
12101967DAL,17.176470588235293,307.4705882352941,203.4705882352941,104.0,3.1764705882352944
12171967PHI,17.352941176470587,310.4705882352941,206.17647058823533,104.29411764705885,3.0
9151968GNB,17.11764705882353,308.9411764705883,209.88235294117646,99.05882352941177,2.9411764705882355
9221968PHI,16.823529411764707,309.29411764705884,210.35294117647058,98.94117647058823,2.8235294117647056
9291968PHI,16.470588235294116,306.5294117647058,213.4705882352941,93.05882352941177,3.0
1061968WAS,16.176470588235293,294.4705882352941,205.35294117647058,89.11764705882355,3.117647058823529
10131968DAL,15.882352941176471,286.5294117647058,195.41176470588238,91.11764705882355,3.1764705882352944
10201968PHI,15.588235294117649,278.9411764705883,185.41176470588238,93.52941176470587,3.294117647058824
10271968PIT,15.411764705882351,273.4705882352941,184.94117647058826,88.52941176470587,3.4117647058823533
1131968PHI,15.529411764705882,279.2352941176471,186.64705882352942,92.58823529411764,3.4705882352941178
11101968PHI,15.294117647058822,276.70588235294116,184.2352941176471,92.47058823529413,3.4705882352941178
11171968NYG,14.470588235294118,262.9411764705883,176.82352941176467,86.11764705882355,3.294117647058824
11241968CLE,14.529411764705882,261.9411764705883,178.11764705882354,83.82352941176471,3.5294117647058822
11281968DET,14.588235294117649,256.29411764705884,168.35294117647058,87.94117647058823,3.294117647058824
1281968PHI,14.235294117647056,250.2352941176471,158.7058823529412,91.52941176470587,3.2352941176470584
12151968PHI,14.411764705882351,256.9411764705883,160.0,96.94117647058823,3.117647058823529
9211969PHI,14.058823529411766,249.94117647058826,153.05882352941177,96.88235294117645,3.0
