game_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO
941966SDG,,,,,
9101966SDG,,,,,
9251966RAI,,,,,
1021966SDG,,,,,
1081966NYJ,,,,,
10161966BUF,,,,,
10231966NWE,,,,,
10301966SDG,,,,,
1161966KAN,,,,,
11131966SDG,,,,,
11271966DEN,,,,,
1241966OTI,,,,,
12111966SDG,,,,,
12181966SDG,,,,,
991967SDG,,,,,
9241967SDG,,,,,
1011967BUF,16.88235294117647,334.8235294117647,221.88235294117646,112.94117647058823,1.4705882352941178
1081967SDG,17.0,334.5294117647058,226.05882352941174,108.47058823529413,1.5294117647058822
10151967SDG,17.705882352941178,344.7058823529412,235.82352941176467,108.88235294117645,1.6470588235294117
10221967DEN,18.294117647058822,357.2941176470588,247.11764705882354,110.17647058823529,1.6470588235294117
10291967RAI,18.41176470588235,356.11764705882354,245.11764705882354,111.0,1.8235294117647056
11121967SDG,18.058823529411768,349.4705882352941,238.0,111.47058823529413,2.0
11191967KAN,18.529411764705888,355.8235294117647,236.2352941176471,119.58823529411764,2.176470588235294
11231967SDG,18.41176470588235,354.11764705882354,231.2352941176471,122.88235294117645,2.117647058823529
1231967SDG,18.294117647058822,359.05882352941177,238.4705882352941,120.58823529411764,2.176470588235294
12101967MIA,18.352941176470583,358.0,237.2352941176471,120.76470588235294,2.411764705882353
12161967OTI,18.529411764705888,356.7058823529412,239.05882352941174,117.64705882352942,2.294117647058824
12241967SDG,18.705882352941178,367.8823529411765,241.7647058823529,126.11764705882355,2.3529411764705883
961968SDG,19.41176470588235,378.2352941176471,243.11764705882354,135.11764705882354,2.294117647058824
9211968SDG,19.11764705882353,373.64705882352933,245.88235294117646,127.76470588235294,2.411764705882353
9291968CIN,19.058823529411768,372.2352941176471,246.2352941176471,126.0,2.3529411764705883
1051968NYJ,19.11764705882353,373.2352941176471,249.2352941176471,124.0,2.4705882352941178
10131968RAI,19.294117647058822,376.7058823529412,249.70588235294116,127.0,2.4705882352941178
10201968SDG,18.94117647058824,382.4117647058823,254.88235294117646,127.52941176470587,2.5294117647058822
10271968KAN,19.235294117647054,388.8823529411765,259.1764705882353,129.70588235294122,2.7058823529411766
1131968SDG,19.47058823529412,390.47058823529403,255.2352941176471,135.23529411764707,2.7058823529411766
11101968NWE,18.823529411764707,380.4117647058823,245.82352941176467,134.58823529411765,2.8235294117647056
11171968BUF,18.764705882352946,376.9411764705882,241.05882352941174,135.88235294117646,2.8235294117647056
11241968SDG,18.47058823529412,371.2352941176471,238.7647058823529,132.47058823529414,2.8235294117647056
1211968DEN,18.88235294117647,381.1764705882353,250.29411764705884,130.88235294117646,2.7058823529411766
1281968SDG,19.058823529411768,375.9411764705882,246.29411764705884,129.64705882352942,3.0
12151968SDG,19.0,378.1764705882353,249.94117647058826,128.23529411764707,3.1764705882352944
9141969SDG,19.058823529411768,379.7058823529412,253.94117647058826,125.76470588235294,3.117647058823529
9211969CIN,18.94117647058824,385.5294117647058,254.94117647058826,130.58823529411765,3.1764705882352944
9281969SDG,19.11764705882353,382.1176470588235,256.2352941176471,125.88235294117645,3.0588235294117645
1041969SDG,18.88235294117647,373.8235294117647,249.70588235294116,124.11764705882355,3.117647058823529
10111969MIA,18.58823529411765,369.9411764705882,244.11764705882354,125.82352941176471,3.0
10191969NWE,18.94117647058824,371.8235294117647,241.88235294117646,129.94117647058823,3.0588235294117645
10261969SDG,19.235294117647054,366.29411764705884,233.82352941176467,132.47058823529414,3.0588235294117645
1121969DEN,18.647058823529417,347.8235294117647,222.41176470588238,125.41176470588236,3.0
1191969KAN,18.058823529411768,323.88235294117646,206.7647058823529,117.11764705882355,3.2352941176470584
11161969RAI,17.764705882352942,313.8235294117647,195.58823529411762,118.23529411764706,3.1764705882352944
11231969SDG,17.705882352941178,312.8235294117647,194.82352941176467,118.0,3.1764705882352944
11271969OTI,18.235294117647054,313.1764705882353,195.4705882352941,117.70588235294115,3.117647058823529
1271969SDG,18.764705882352946,321.88235294117646,197.4705882352941,124.41176470588236,3.0
12141969SDG,19.823529411764707,339.64705882352933,203.64705882352942,136.0,2.8235294117647056
9201970SDG,19.11764705882353,327.4117647058824,196.0,131.41176470588235,2.8235294117647056
9271970SDG,19.11764705882353,335.23529411764713,200.41176470588238,134.8235294117647,2.588235294117647
1041970RAM,18.764705882352946,317.0588235294117,184.41176470588238,132.64705882352942,2.4705882352941178
10121970SDG,18.647058823529417,314.8235294117647,172.05882352941174,142.7647058823529,2.4705882352941178
10181970CHI,18.823529411764707,312.5882352941176,175.52941176470588,137.05882352941177,2.411764705882353
10251970SDG,18.47058823529412,301.70588235294116,169.0,132.70588235294122,2.4705882352941178
1111970CLE,18.058823529411768,296.29411764705884,167.58823529411762,128.70588235294122,2.294117647058824
1181970SDG,18.235294117647054,293.5882352941176,166.94117647058823,126.64705882352942,2.235294117647059
11151970NWE,17.705882352941178,289.64705882352933,171.35294117647058,118.29411764705885,2.117647058823529
11221970RAI,17.705882352941178,294.23529411764713,169.7647058823529,124.47058823529413,2.0
11291970KAN,17.705882352941178,301.64705882352933,178.05882352941174,123.58823529411764,2.117647058823529
1261970SDG,18.352941176470583,307.88235294117646,181.7647058823529,126.11764705882355,2.0588235294117645
12131970DEN,18.235294117647054,308.29411764705884,184.0,124.29411764705885,1.9411764705882355
12201970SDG,17.941176470588232,308.5294117647058,189.64705882352942,118.88235294117645,1.8823529411764703
9191971SDG,18.0,310.35294117647067,193.64705882352942,116.70588235294115,1.7647058823529411
9261971SDG,17.352941176470587,298.35294117647067,188.52941176470588,109.82352941176471,1.8823529411764703
1031971PIT,17.235294117647058,291.88235294117646,186.35294117647058,105.52941176470587,2.0588235294117645
10101971KAN,17.0,285.4705882352941,181.64705882352942,103.82352941176471,2.117647058823529
10171971DEN,16.88235294117647,282.1764705882353,181.70588235294116,100.47058823529413,2.176470588235294
10231971SDG,17.470588235294116,299.76470588235287,190.82352941176467,108.94117647058823,2.235294117647059
10311971SDG,17.823529411764707,315.4117647058824,209.52941176470588,105.88235294117645,2.0588235294117645
