game_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO
9121976SEA,,,,,
9191976WAS,,,,,
9261976SEA,,,,,
1031976SEA,,,,,
10101976GNB,,,,,
10171976TAM,,,,,
10241976SEA,,,,,
10311976RAM,,,,,
1171976SEA,,,,,
11141976MIN,,,,,
11211976SEA,,,,,
11281976NYG,,,,,
1251976SEA,,,,,
12121976PHI,,,,,
9181977SEA,,,,,
9251977CIN,,,,,
1021977SEA,17.0,286.70588235294116,186.05882352941174,100.64705882352942,3.4117647058823533
1091977NWE,16.352941176470587,274.52941176470586,172.58823529411762,101.94117647058823,3.5294117647058822
10161977SEA,16.941176470588232,284.5294117647058,180.70588235294116,103.82352941176471,3.4705882352941178
10231977MIA,16.058823529411768,272.8235294117647,172.0,100.82352941176471,3.4705882352941178
10301977SEA,16.705882352941178,291.4117647058824,183.35294117647058,108.05882352941177,3.5882352941176467
1161977RAI,16.470588235294116,288.4705882352941,176.41176470588238,112.05882352941177,3.7058823529411766
11131977NYJ,17.176470588235293,299.76470588235287,179.3529411764706,120.41176470588236,3.647058823529412
11201977SEA,16.705882352941178,287.4117647058824,166.7058823529412,120.70588235294115,3.4117647058823533
11271977SEA,17.352941176470587,298.9411764705883,174.7647058823529,124.17647058823529,3.4705882352941178
1241977PIT,17.235294117647058,300.5294117647058,178.11764705882354,122.41176470588236,3.4705882352941178
12111977KAN,17.588235294117652,297.9411764705883,169.58823529411762,128.35294117647058,3.5294117647058822
12181977SEA,17.764705882352942,301.11764705882354,167.7058823529412,133.41176470588235,3.3529411764705883
931978SEA,18.176470588235293,313.0,179.0,134.0,3.294117647058824
9101978PIT,18.294117647058822,310.70588235294116,177.41176470588238,133.29411764705878,3.1764705882352944
9171978NYJ,18.764705882352946,312.88235294117646,174.7647058823529,138.11764705882354,3.117647058823529
9241978SEA,19.058823529411768,312.29411764705884,175.17647058823533,137.11764705882354,2.9411764705882355
1011978DEN,19.294117647058822,314.70588235294116,178.6470588235294,136.05882352941177,3.0588235294117645
1081978SEA,19.529411764705888,324.11764705882354,182.0,142.11764705882354,3.0
10151978GNB,20.529411764705888,344.0,196.05882352941174,147.94117647058823,3.117647058823529
10221978SEA,20.88235294117647,343.94117647058823,191.88235294117646,152.05882352941177,3.0588235294117645
10291978SEA,21.176470588235293,346.05882352941177,191.70588235294116,154.35294117647058,3.1764705882352944
1151978CHI,20.764705882352946,336.0588235294117,181.82352941176467,154.2352941176471,3.0588235294117645
11121978SEA,21.058823529411768,341.11764705882354,184.41176470588238,156.7058823529412,3.0
11191978KAN,20.294117647058822,330.0588235294117,179.2352941176471,150.82352941176467,2.9411764705882355
11261978RAI,20.764705882352946,342.88235294117646,193.11764705882354,149.7647058823529,2.8235294117647056
1231978SEA,21.235294117647054,344.5294117647058,190.41176470588238,154.11764705882354,2.764705882352941
12101978SDG,21.235294117647054,336.4705882352941,184.11764705882354,152.35294117647058,2.7058823529411766
12171978SEA,21.529411764705888,343.1764705882353,191.11764705882354,152.05882352941177,2.5294117647058822
921979SEA,21.41176470588235,343.8235294117647,192.35294117647058,151.47058823529414,2.764705882352941
991979MIA,21.235294117647054,337.88235294117646,187.52941176470588,150.35294117647058,2.8823529411764706
9161979SEA,21.294117647058822,348.0,197.05882352941174,150.94117647058823,2.7058823529411766
9231979DEN,20.94117647058824,348.94117647058823,198.0,150.94117647058823,2.8235294117647056
9301979SEA,20.764705882352946,352.8823529411765,199.17647058823533,153.7058823529412,2.8823529411764706
1071979SFO,20.88235294117647,352.11764705882354,195.11764705882354,157.0,2.588235294117647
10141979SDG,20.58823529411765,343.1764705882353,189.17647058823533,154.0,2.5294117647058822
10211979SEA,20.47058823529412,337.76470588235287,186.29411764705884,151.47058823529414,2.235294117647059
10291979ATL,20.0,339.9411764705883,188.41176470588238,151.52941176470586,2.411764705882353
1141979SEA,18.94117647058824,324.35294117647067,178.41176470588238,145.94117647058823,2.176470588235294
11111979CLE,19.0,326.5882352941176,182.70588235294116,143.88235294117646,2.176470588235294
11181979SEA,19.58823529411765,341.76470588235287,200.11764705882354,141.64705882352942,2.0588235294117645
11261979SEA,20.294117647058822,350.11764705882354,211.17647058823533,138.94117647058823,2.117647058823529
1221979KAN,20.352941176470583,345.8823529411765,209.29411764705884,136.58823529411765,2.294117647058824
1281979SEA,19.94117647058824,343.7647058823529,213.58823529411762,130.1764705882353,2.294117647058824
12161979RAI,20.058823529411768,353.7058823529412,226.0,127.70588235294115,2.235294117647059
971980SEA,19.294117647058822,341.5294117647058,223.05882352941174,118.47058823529413,2.235294117647059
9141980KAN,19.294117647058822,340.0588235294117,225.05882352941174,115.0,2.0
9211980SEA,19.47058823529412,345.2352941176471,229.35294117647058,115.88235294117645,1.8823529411764703
9281980WAS,19.529411764705888,339.11764705882354,215.4705882352941,123.64705882352942,2.0
1051980OTI,19.058823529411768,336.35294117647067,214.7647058823529,121.58823529411764,1.8823529411764703
10121980SEA,19.176470588235293,337.0,216.35294117647058,120.64705882352942,1.8235294117647056
10191980NYJ,18.94117647058824,338.11764705882354,221.17647058823533,116.94117647058823,1.8235294117647056
10261980RAI,18.705882352941178,337.11764705882354,226.52941176470588,110.58823529411764,1.9411764705882355
1121980SEA,18.647058823529417,333.11764705882354,225.35294117647058,107.76470588235294,1.8235294117647056
1191980SEA,18.88235294117647,327.88235294117646,224.52941176470588,103.35294117647058,1.8823529411764703
11171980SEA,20.176470588235293,351.2941176470588,240.0,111.29411764705885,1.9411764705882355
11231980DEN,19.58823529411765,339.11764705882354,234.88235294117646,104.23529411764706,2.176470588235294
11271980DAL,19.0,322.11764705882354,216.82352941176467,105.29411764705885,2.5294117647058822
1271980SEA,18.823529411764707,318.4705882352941,211.41176470588238,107.05882352941177,2.588235294117647
12131980SDG,18.529411764705888,315.88235294117646,206.7647058823529,109.11764705882355,2.3529411764705883
12211980SEA,18.88235294117647,311.0,200.58823529411762,110.41176470588236,2.3529411764705883
961981CIN,18.764705882352946,304.0588235294117,195.64705882352942,108.41176470588236,2.4705882352941178
9131981SEA,19.058823529411768,305.11764705882354,192.94117647058826,112.17647058823529,2.4705882352941178
9201981RAI,19.0,309.88235294117646,200.05882352941174,109.82352941176471,2.4705882352941178
9271981SEA,19.058823529411768,305.5294117647058,198.7647058823529,106.76470588235294,2.411764705882353
1041981SDG,18.764705882352946,304.1764705882353,205.82352941176467,98.35294117647058,2.3529411764705883
10111981OTI,19.058823529411768,303.35294117647067,207.52941176470588,95.82352941176471,2.411764705882353
10181981SEA,18.47058823529412,291.8235294117647,201.2352941176471,90.58823529411764,2.588235294117647
10251981NYJ,19.0,294.8235294117647,196.4705882352941,98.35294117647058,2.647058823529412
1111981GNB,19.058823529411768,292.35294117647067,188.4705882352941,103.88235294117645,2.647058823529412
1181981SEA,19.0,294.29411764705884,190.82352941176467,103.47058823529413,2.7058823529411766
11161981SEA,19.058823529411768,297.0,192.0,105.0,2.411764705882353
11221981KAN,18.94117647058824,293.9411764705883,193.35294117647058,100.58823529411764,2.411764705882353
11291981SEA,19.176470588235293,303.5294117647058,202.94117647058826,100.58823529411764,2.176470588235294
1261981SEA,19.176470588235293,312.4117647058824,213.05882352941174,99.35294117647058,2.0
12131981DEN,18.94117647058824,309.35294117647067,211.7647058823529,97.58823529411764,2.176470588235294
12201981SEA,18.94117647058824,312.9411764705883,213.52941176470588,99.41176470588236,2.3529411764705883
9121982SEA,18.41176470588235,305.9411764705883,209.82352941176467,96.11764705882355,2.411764705882353
9191982OTI,18.41176470588235,306.70588235294116,209.41176470588238,97.29411764705885,2.3529411764705883
11211982DEN,18.58823529411765,313.76470588235287,218.05882352941174,95.70588235294115,2.294117647058824
11281982SEA,18.764705882352946,307.88235294117646,209.70588235294116,98.17647058823529,2.235294117647059
1251982RAI,18.529411764705888,306.23529411764713,208.17647058823533,98.05882352941177,2.411764705882353
12121982SEA,18.647058823529417,306.11764705882354,206.05882352941174,100.05882352941177,2.3529411764705883
12191982SEA,18.235294117647054,299.1764705882353,200.41176470588238,98.76470588235294,2.5294117647058822
