schedule_date,schedule_season,home_id,away_id,score_home,score_away,total_score,over_under_line,label
1/14/1968,1967,GNB,RAI,33,14,47,43,over
1/12/1969,1968,CLT,NYJ,7,16,23,40,under
1/11/1970,1969,KAN,MIN,23,7,30,39,under
1/17/1971,1970,CLT,DAL,16,13,29,36,under
1/16/1972,1971,DAL,MIA,24,3,27,34,under
1/14/1973,1972,MIA,WAS,14,7,21,33,under
1/13/1974,1973,MIA,MIN,24,7,31,33,under
1/12/1975,1974,MIN,PIT,6,16,22,33,under
1/18/1976,1975,DAL,PIT,17,21,38,36,over
1/9/1977,1976,MIN,RAI,14,32,46,38,over
1/15/1978,1977,DAL,DEN,27,10,37,39,under
1/21/1979,1978,DAL,PIT,31,35,66,37,over
9/1/1979,1979,TAM,DET,31,16,47,30,over
9/2/1979,1979,BUF,MIA,7,9,16,39,under
9/2/1979,1979,CHI,GNB,6,3,9,31,under
9/2/1979,1979,DEN,CIN,10,0,10,31.5,under
9/2/1979,1979,KAN,CLT,14,0,14,37,under
9/2/1979,1979,RAM,RAI,17,24,41,36.5,over
9/2/1979,1979,MIN,SFO,28,22,50,32,over
9/2/1979,1979,NOR,ATL,34,40,74,32,over
9/2/1979,1979,NYJ,CLE,22,25,47,41,over
9/2/1979,1979,PHI,NYG,23,17,40,31.5,over
9/2/1979,1979,SEA,SDG,16,33,49,42.5,over
9/2/1979,1979,CRD,DAL,21,22,43,37,over
9/2/1979,1979,WAS,OTI,27,29,56,33,over
9/3/1979,1979,NWE,PIT,13,16,29,37,under
9/6/1979,1979,DEN,RAM,9,13,22,31.5,under
9/9/1979,1979,CLT,TAM,26,29,55,33,over
9/9/1979,1979,BUF,CIN,51,24,75,34,over
9/9/1979,1979,CHI,MIN,26,7,33,31.5,over
9/9/1979,1979,DET,WAS,24,27,51,35.5,over
9/9/1979,1979,GNB,NOR,28,19,47,35,over
9/9/1979,1979,KAN,CLE,24,27,51,36,over
9/9/1979,1979,MIA,SEA,19,10,29,40.5,under
9/9/1979,1979,NWE,NYJ,56,3,59,42,over
9/9/1979,1979,NYG,CRD,14,27,41,36,over
9/9/1979,1979,PIT,OTI,38,7,45,37,over
9/9/1979,1979,SDG,RAI,30,10,40,42,under
9/9/1979,1979,SFO,DAL,13,21,34,39,under
9/10/1979,1979,PHI,ATL,10,14,24,35.5,under
9/16/1979,1979,ATL,DEN,17,20,37,32,over
9/16/1979,1979,CIN,NWE,14,20,34,41,under
9/16/1979,1979,CLE,CLT,13,10,23,42,under
9/16/1979,1979,DAL,CHI,24,20,44,37,over
9/16/1979,1979,GNB,TAM,10,21,31,36,under
9/16/1979,1979,OTI,KAN,20,6,26,37,under
9/16/1979,1979,RAM,SFO,27,24,51,39,over
9/16/1979,1979,MIN,MIA,12,27,39,37,over
9/16/1979,1979,NOR,PHI,14,26,40,42,under
9/16/1979,1979,NYJ,DET,31,10,41,42,under
9/16/1979,1979,SDG,BUF,27,19,46,44,over
9/16/1979,1979,SEA,RAI,27,10,37,44,under
9/16/1979,1979,CRD,PIT,21,24,45,40,over
9/17/1979,1979,WAS,NYG,27,0,27,37,under
9/23/1979,1979,BUF,NYJ,46,31,77,42,over
9/23/1979,1979,CIN,OTI,27,30,57,37,over
9/23/1979,1979,DEN,SEA,37,34,71,37,over
9/23/1979,1979,DET,ATL,24,23,47,37,over
9/23/1979,1979,KAN,RAI,35,7,42,41,over
9/23/1979,1979,MIA,CHI,31,16,47,37,over
9/23/1979,1979,MIN,GNB,27,21,48,34,over
9/23/1979,1979,NWE,SDG,27,21,48,44,over
9/23/1979,1979,NYG,PHI,13,17,30,37,under
9/23/1979,1979,PIT,CLT,17,13,30,38,under
9/23/1979,1979,SFO,NOR,21,30,51,42,over
9/23/1979,1979,CRD,WAS,7,17,24,39,under
9/23/1979,1979,TAM,RAM,21,6,27,35,under
9/24/1979,1979,CLE,DAL,26,7,33,40,under
9/30/1979,1979,ATL,WAS,7,16,23,37,under
9/30/1979,1979,CLT,BUF,13,31,44,42,over
9/30/1979,1979,CHI,TAM,13,17,30,34,under
9/30/1979,1979,DAL,CIN,38,13,51,40,over
9/30/1979,1979,DET,MIN,10,13,23,39,under
9/30/1979,1979,OTI,CLE,31,10,41,39,over
9/30/1979,1979,RAM,CRD,21,0,21,38,under
9/30/1979,1979,NOR,NYG,24,14,38,39,under
9/30/1979,1979,NYJ,MIA,33,27,60,43,over
9/30/1979,1979,RAI,DEN,27,3,30,36,under
9/30/1979,1979,PHI,PIT,17,14,31,36,under
9/30/1979,1979,SDG,SFO,31,9,40,44,under
9/30/1979,1979,SEA,KAN,6,24,30,43,under
10/1/1979,1979,GNB,NWE,27,14,41,39,over
10/7/1979,1979,ATL,GNB,25,7,32,35,under
10/7/1979,1979,CLT,NYJ,10,8,18,42,under
10/7/1979,1979,BUF,CHI,0,7,7,40,under
10/7/1979,1979,CIN,KAN,7,10,17,38,under
10/7/1979,1979,CLE,PIT,35,51,86,36,over
10/7/1979,1979,DEN,SDG,7,0,7,37,under
10/7/1979,1979,OTI,CRD,17,24,41,39,over
10/7/1979,1979,MIN,DAL,20,36,56,39,over
10/7/1979,1979,NWE,DET,24,17,41,40,over
10/7/1979,1979,NOR,RAM,17,35,52,39,over
10/7/1979,1979,NYG,TAM,17,14,31,34,under
10/7/1979,1979,PHI,WAS,28,17,45,37,over
10/7/1979,1979,SFO,SEA,24,35,59,43,over
10/8/1979,1979,RAI,MIA,13,3,16,39,under
10/14/1979,1979,CLT,OTI,16,28,44,36,over
10/14/1979,1979,CHI,NWE,7,27,34,37,under
10/14/1979,1979,CIN,PIT,34,10,44,39,over
10/14/1979,1979,CLE,WAS,9,13,22,34,under
10/14/1979,1979,DAL,RAM,30,6,36,39,under
10/14/1979,1979,GNB,DET,24,16,40,36,over
10/14/1979,1979,KAN,DEN,10,24,34,34,under
10/14/1979,1979,MIA,BUF,17,7,24,40,under
