game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9111966ATL,September 11,ATL,RAM,,,,,,,,,,
9181966PHI,September 18,ATL,PHI,,,,,,,,,,
9251966DET,September 25,ATL,DET,,,,,,,,,,
1021966ATL,October 2,ATL,DAL,,,,,,,,,,
1091966WAS,October 9,ATL,WAS,,,,,,,,,,
10161966ATL,October 16,ATL,SFO,,,,,,,,,,
10231966GNB,October 23,ATL,GNB,,,,,,,,,,
10301966ATL,October 30,ATL,CLE,,,,,,,,,,
11131966ATL,November 13,ATL,CLT,,,,,,,,,,
11201966NYG,November 20,ATL,NYG,,,,,,,,,,
11271966CHI,November 27,ATL,CHI,,,,,,,,,,
1241966MIN,December 4,ATL,MIN,,,,,,,,,,
12111966ATL,December 11,ATL,CRD,,,,,,,,,,
12181966ATL,December 18,ATL,PIT,,,,,,,,,,
9171967CLT,September 17,ATL,CLT,,,,,,,,,,
9241967SFO,September 24,ATL,SFO,,,,,,,,,,
1011967GNB,October 1,ATL,GNB,14.235294117647058,234.94117647058823,133.41176470588235,101.52941176470588,3.0588235294117645,21.352941176470587,392.88235294117646,238.88235294117646,154.0,2.235294117647059
1081967ATL,October 8,ATL,PHI,14.647058823529411,239.11764705882354,139.7058823529412,99.41176470588235,3.2941176470588234,21.058823529411764,390.47058823529414,233.23529411764707,157.23529411764707,2.1176470588235294
10151967ATL,October 15,ATL,WAS,14.588235294117647,240.58823529411765,140.47058823529412,100.11764705882354,3.235294117647059,21.235294117647058,394.88235294117646,244.94117647058823,149.94117647058823,2.176470588235294
10221967DET,October 22,ATL,DET,14.529411764705882,238.47058823529412,139.47058823529412,99.0,3.1176470588235294,21.058823529411764,389.3529411764706,239.1764705882353,150.1764705882353,2.0588235294117645
10291967ATL,October 29,ATL,MIN,14.058823529411764,233.1764705882353,134.8235294117647,98.3529411764706,2.9411764705882355,21.058823529411764,386.47058823529414,234.2941176470588,152.1764705882353,2.0588235294117645
1151967DAL,November 5,ATL,DAL,13.705882352941176,230.52941176470588,135.47058823529412,95.05882352941177,3.1176470588235294,20.764705882352942,380.11764705882354,226.47058823529412,153.64705882352942,2.176470588235294
11121967ATL,November 12,ATL,CLT,13.411764705882353,228.2941176470588,129.94117647058823,98.3529411764706,3.0588235294117645,20.823529411764707,385.47058823529414,232.23529411764707,153.23529411764707,2.235294117647059
11191967ATL,November 19,ATL,RAM,13.294117647058824,229.58823529411765,133.7058823529412,95.88235294117646,3.1176470588235294,20.58823529411765,388.29411764705884,235.35294117647058,152.94117647058823,2.3529411764705883
