game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
941966SDG,September 4,BUF,SDG,,,,,,,,,,
9111966BUF,September 11,BUF,KAN,,,,,,,,,,
9181966BUF,September 18,BUF,MIA,,,,,,,,,,
9251966BUF,September 25,BUF,OTI,,,,,,,,,,
1021966KAN,October 2,BUF,KAN,,,,,,,,,,
1081966BUF,October 8,BUF,NWE,,,,,,,,,,
10161966BUF,October 16,BUF,SDG,,,,,,,,,,
10301966NYJ,October 30,BUF,NYJ,,,,,,,,,,
1161966MIA,November 6,BUF,MIA,,,,,,,,,,
11131966BUF,November 13,BUF,NYJ,,,,,,,,,,
11201966OTI,November 20,BUF,OTI,,,,,,,,,,
11241966RAI,November 24,BUF,RAI,,,,,,,,,,
1241966NWE,December 4,BUF,NWE,,,,,,,,,,
12181966BUF,December 18,BUF,DEN,,,,,,,,,,
111967BUF,January 1,BUF,KAN,,,,,,,,,,
9101967BUF,September 10,BUF,NYJ,,,,,,,,,,
9171967BUF,September 17,BUF,OTI,16.941176470588236,320.2352941176471,198.8235294117647,121.41176470588235,2.7058823529411766,13.470588235294118,283.05882352941177,199.0,84.05882352941177,2.3529411764705883
9241967BUF,September 24,BUF,NWE,16.705882352941178,318.70588235294116,201.7058823529412,117.0,2.8823529411764706,13.352941176470589,281.5882352941176,194.8235294117647,86.76470588235294,2.3529411764705883
1011967BUF,October 1,BUF,SDG,16.529411764705884,321.7647058823529,206.23529411764707,115.52941176470588,3.0,13.882352941176471,287.2352941176471,198.2941176470588,88.94117647058823,2.2941176470588234
1081967DEN,October 8,BUF,DEN,16.294117647058822,309.3529411764706,199.23529411764707,110.11764705882354,3.0588235294117645,13.647058823529411,280.0,192.7058823529412,87.29411764705883,2.1176470588235294
10151967BUF,October 15,BUF,RAI,16.058823529411764,302.4117647058824,198.05882352941177,104.3529411764706,3.0,13.529411764705882,275.47058823529414,181.11764705882354,94.3529411764706,2.1176470588235294
10291967OTI,October 29,BUF,OTI,15.705882352941176,293.8235294117647,191.35294117647058,102.47058823529412,3.176470588235294,13.470588235294118,270.52941176470586,172.11764705882354,98.41176470588235,2.1176470588235294
1151967BUF,November 5,BUF,MIA,15.882352941176471,293.1764705882353,183.05882352941177,110.11764705882354,3.176470588235294,13.705882352941176,261.1764705882353,166.41176470588235,94.76470588235294,2.176470588235294
11121967NYJ,November 12,BUF,NYJ,15.529411764705882,289.47058823529414,184.76470588235293,104.70588235294117,3.176470588235294,13.882352941176471,269.47058823529414,173.7058823529412,95.76470588235294,2.3529411764705883
11191967BUF,November 19,BUF,DEN,15.764705882352942,295.29411764705884,190.35294117647058,104.94117647058823,3.0588235294117645,13.647058823529411,261.5882352941176,163.76470588235293,97.82352941176471,2.176470588235294
11261967MIA,November 26,BUF,MIA,15.823529411764707,293.29411764705884,188.8235294117647,104.47058823529412,3.0,14.058823529411764,270.2352941176471,168.41176470588235,101.82352941176471,2.1176470588235294
1231967KAN,December 3,BUF,KAN,15.705882352941176,294.3529411764706,193.47058823529412,100.88235294117646,3.235294117647059,14.235294117647058,266.0,159.8235294117647,106.17647058823529,2.1176470588235294
1291967NWE,December 9,BUF,NWE,15.352941176470589,279.29411764705884,179.76470588235293,99.52941176470588,3.3529411764705883,14.117647058823529,256.29411764705884,152.11764705882354,104.17647058823529,2.3529411764705883
12241967RAI,December 24,BUF,RAI,14.588235294117647,264.29411764705884,172.64705882352942,91.6470588235294,3.4705882352941178,14.294117647058824,253.76470588235293,142.8235294117647,110.94117647058823,2.4705882352941178
981968BUF,September 8,BUF,NWE,14.235294117647058,257.05882352941177,163.2941176470588,93.76470588235294,3.4705882352941178,14.117647058823529,251.94117647058823,138.47058823529412,113.47058823529412,2.588235294117647
9151968BUF,September 15,BUF,RAI,13.941176470588236,248.52941176470588,154.58823529411765,93.94117647058823,3.2941176470588234,14.352941176470589,254.7058823529412,131.47058823529412,123.23529411764706,2.3529411764705883
9221968CIN,September 22,BUF,CIN,14.411764705882353,246.1764705882353,149.1764705882353,97.0,3.176470588235294,14.058823529411764,250.23529411764707,124.88235294117646,125.3529411764706,2.4705882352941178
9291968BUF,September 29,BUF,NYJ,14.117647058823529,243.1764705882353,143.1764705882353,100.0,3.176470588235294,14.235294117647058,258.47058823529414,132.05882352941177,126.41176470588235,2.823529411764706
1051968BUF,October 5,BUF,KAN,14.235294117647058,246.58823529411765,142.35294117647058,104.23529411764706,3.235294117647059,14.882352941176471,271.05882352941177,138.8235294117647,132.23529411764707,2.823529411764706
10121968MIA,October 12,BUF,MIA,14.294117647058824,246.35294117647058,136.11764705882354,110.23529411764706,3.0588235294117645,14.941176470588236,265.52941176470586,137.47058823529412,128.05882352941177,2.9411764705882355
10201968NWE,October 20,BUF,NWE,14.117647058823529,243.76470588235293,133.8235294117647,109.94117647058823,3.176470588235294,14.058823529411764,254.64705882352942,126.52941176470588,128.11764705882354,3.0588235294117645
10271968BUF,October 27,BUF,OTI,13.352941176470589,232.94117647058823,125.17647058823529,107.76470588235294,3.1176470588235294,14.058823529411764,263.0,131.94117647058823,131.05882352941177,3.0
1131968NYJ,November 3,BUF,NYJ,13.352941176470589,235.1764705882353,126.0,109.17647058823529,3.2941176470588234,13.941176470588236,266.0,136.94117647058823,129.05882352941177,2.764705882352941
11101968BUF,November 10,BUF,MIA,13.235294117647058,238.64705882352942,128.41176470588235,110.23529411764706,3.235294117647059,14.647058823529411,273.29411764705884,142.52941176470588,130.76470588235293,2.7058823529411766
11171968BUF,November 17,BUF,SDG,12.588235294117647,229.2941176470588,124.47058823529412,104.82352941176471,3.1176470588235294,14.588235294117647,282.4117647058824,149.94117647058823,132.47058823529412,2.8823529411764706
11241968DEN,November 24,BUF,DEN,12.470588235294118,227.11764705882354,124.23529411764706,102.88235294117646,3.1176470588235294,14.588235294117647,283.94117647058823,150.47058823529412,133.47058823529412,2.8823529411764706
11281968RAI,November 28,BUF,RAI,12.235294117647058,225.7058823529412,119.23529411764706,106.47058823529412,3.176470588235294,14.470588235294118,283.47058823529414,147.94117647058823,135.52941176470588,2.823529411764706
1271968OTI,December 7,BUF,OTI,11.529411764705882,210.2941176470588,105.41176470588235,104.88235294117646,3.0588235294117645,14.764705882352942,288.47058823529414,148.7058823529412,139.76470588235293,2.8823529411764706
9141969BUF,September 14,BUF,NYJ,11.823529411764707,206.7058823529412,100.17647058823529,106.52941176470588,3.176470588235294,14.588235294117647,292.4117647058824,149.76470588235293,142.64705882352942,3.0588235294117645
9211969BUF,September 21,BUF,OTI,11.411764705882353,199.7058823529412,95.52941176470588,104.17647058823529,3.2941176470588234,14.941176470588236,298.0,151.23529411764707,146.76470588235293,2.6470588235294117
9281969BUF,September 28,BUF,DEN,12.352941176470589,211.23529411764707,103.11764705882354,108.11764705882354,3.1176470588235294,15.294117647058824,299.7647058823529,159.11764705882354,140.64705882352942,2.588235294117647
1051969OTI,October 5,BUF,OTI,12.411764705882353,216.52941176470588,110.29411764705883,106.23529411764706,3.2941176470588234,15.647058823529411,303.11764705882354,164.64705882352942,138.47058823529412,2.6470588235294117
10111969BUF,October 11,BUF,NWE,12.764705882352942,226.7058823529412,120.82352941176471,105.88235294117646,3.3529411764705883,15.294117647058824,293.52941176470586,161.52941176470588,132.0,2.7058823529411766
10191969RAI,October 19,BUF,RAI,12.882352941176471,237.11764705882354,128.05882352941177,109.05882352941177,3.6470588235294117,15.941176470588236,305.47058823529414,177.2941176470588,128.1764705882353,2.7058823529411766
10261969MIA,October 26,BUF,MIA,13.058823529411764,241.76470588235293,137.64705882352942,104.11764705882354,3.764705882352941,15.941176470588236,301.11764705882354,174.94117647058823,126.17647058823529,2.588235294117647
1121969BUF,November 2,BUF,KAN,13.235294117647058,235.47058823529412,131.94117647058823,103.52941176470588,3.823529411764706,15.588235294117647,294.7647058823529,172.41176470588235,122.3529411764706,2.6470588235294117
1191969NYJ,November 9,BUF,NYJ,13.294117647058824,239.0,137.7058823529412,101.29411764705883,3.764705882352941,15.705882352941176,300.7647058823529,178.88235294117646,121.88235294117646,2.588235294117647
11161969BUF,November 16,BUF,MIA,13.823529411764707,245.23529411764707,139.64705882352942,105.58823529411765,3.5294117647058822,16.0,297.7647058823529,184.88235294117646,112.88235294117646,2.5294117647058822
11231969NWE,November 23,BUF,NWE,14.764705882352942,263.5882352941176,150.52941176470588,113.05882352941177,3.588235294117647,16.176470588235293,300.1764705882353,186.94117647058823,113.23529411764706,2.588235294117647
11301969BUF,November 30,BUF,CIN,14.647058823529411,262.88235294117646,147.58823529411765,115.29411764705883,3.4705882352941178,16.176470588235293,298.94117647058823,178.8235294117647,120.11764705882354,2.9411764705882355
1271969KAN,December 7,BUF,KAN,14.941176470588236,260.70588235294116,147.76470588235293,112.94117647058823,3.411764705882353,15.882352941176471,297.29411764705884,177.35294117647058,119.94117647058823,3.0
12141969SDG,December 14,BUF,SDG,15.411764705882353,265.8235294117647,154.76470588235293,111.05882352941177,3.4705882352941178,16.764705882352942,312.29411764705884,182.58823529411765,129.7058823529412,2.764705882352941
9201970BUF,September 20,BUF,DEN,15.058823529411764,261.6470588235294,150.2941176470588,111.3529411764706,3.588235294117647,16.529411764705884,306.1764705882353,173.41176470588235,132.76470588235293,2.764705882352941
9271970BUF,September 27,BUF,RAM,14.764705882352942,251.88235294117646,149.1764705882353,102.70588235294117,3.588235294117647,17.11764705882353,316.6470588235294,178.35294117647058,138.2941176470588,2.823529411764706
1041970BUF,October 4,BUF,NYJ,15.529411764705882,270.2352941176471,163.41176470588235,106.82352941176471,3.764705882352941,16.41176470588235,312.7647058823529,179.11764705882354,133.64705882352942,2.588235294117647
10111970PIT,October 11,BUF,PIT,15.705882352941176,276.3529411764706,168.0,108.3529411764706,3.7058823529411766,16.235294117647058,306.0,172.76470588235293,133.23529411764707,2.3529411764705883
10181970BUF,October 18,BUF,MIA,15.941176470588236,291.47058823529414,185.47058823529412,106.0,3.823529411764706,16.529411764705884,309.29411764705884,174.64705882352942,134.64705882352942,2.411764705882353
