game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
961968SDG,September 6,CIN,SDG,,,,,,,,,,
9151968CIN,September 15,CIN,DEN,,,,,,,,,,
9221968CIN,September 22,CIN,BUF,,,,,,,,,,
9291968CIN,September 29,CIN,SDG,,,,,,,,,,
1061968DEN,October 6,CIN,DEN,,,,,,,,,,
10131968KAN,October 13,CIN,KAN,,,,,,,,,,
10201968CIN,October 20,CIN,MIA,,,,,,,,,,
10271968RAI,October 27,CIN,RAI,,,,,,,,,,
1131968CIN,November 3,CIN,OTI,,,,,,,,,,
11101968CIN,November 10,CIN,KAN,,,,,,,,,,
11171968MIA,November 17,CIN,MIA,,,,,,,,,,
11241968CIN,November 24,CIN,RAI,,,,,,,,,,
1211968NWE,December 1,CIN,NWE,,,,,,,,,,
1281968NYJ,December 8,CIN,NYJ,,,,,,,,,,
9141969CIN,September 14,CIN,MIA,,,,,,,,,,
9211969CIN,September 21,CIN,SDG,,,,,,,,,,
9281969CIN,September 28,CIN,KAN,12.235294117647058,260.3529411764706,132.11764705882354,128.23529411764707,1.6470588235294117,19.294117647058822,337.52941176470586,191.52941176470588,146.0,1.4705882352941178
1041969SDG,October 4,CIN,SDG,11.941176470588236,260.05882352941177,130.11764705882354,129.94117647058823,1.588235294117647,19.058823529411764,329.2352941176471,185.0,144.23529411764707,1.5294117647058822
10121969CIN,October 12,CIN,NYJ,12.176470588235293,258.2352941176471,129.1764705882353,129.05882352941177,1.7647058823529411,19.41176470588235,339.6470588235294,186.94117647058823,152.7058823529412,1.588235294117647
10191969CIN,October 19,CIN,DEN,12.823529411764707,261.47058823529414,135.47058823529412,126.0,1.8235294117647058,19.41176470588235,351.7647058823529,188.47058823529412,163.2941176470588,1.6470588235294117
10261969KAN,October 26,CIN,KAN,12.411764705882353,261.52941176470586,135.58823529411765,125.94117647058823,1.8235294117647058,19.88235294117647,363.88235294117646,188.11764705882354,175.76470588235293,1.7647058823529411
