game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9111966WAS,September 11,CLE,WAS,,,,,,,,,,
9181966CLE,September 18,CLE,GNB,,,,,,,,,,
9251966CLE,September 25,CLE,CRD,,,,,,,,,,
1021966NYG,October 2,CLE,NYG,,,,,,,,,,
1081966CLE,October 8,CLE,PIT,,,,,,,,,,
10231966CLE,October 23,CLE,DAL,,,,,,,,,,
10301966ATL,October 30,CLE,ATL,,,,,,,,,,
1161966PIT,November 6,CLE,PIT,,,,,,,,,,
11131966CLE,November 13,CLE,PHI,,,,,,,,,,
11201966CLE,November 20,CLE,WAS,,,,,,,,,,
11241966DAL,November 24,CLE,DAL,,,,,,,,,,
1241966CLE,December 4,CLE,NYG,,,,,,,,,,
12111966PHI,December 11,CLE,PHI,,,,,,,,,,
12171966CRD,December 17,CLE,CRD,,,,,,,,,,
9171967CLE,September 17,CLE,DAL,,,,,,,,,,
9241967DET,September 24,CLE,DET,,,,,,,,,,
1011967NOR,October 1,CLE,NOR,19.294117647058822,351.88235294117646,200.94117647058823,150.94117647058823,2.0588235294117645,18.823529411764707,315.47058823529414,175.41176470588235,140.05882352941177,3.411764705882353
1071967CLE,October 7,CLE,PIT,19.647058823529413,355.05882352941177,202.35294117647058,152.7058823529412,2.0588235294117645,19.0,313.29411764705884,175.1764705882353,138.11764705882354,3.2941176470588234
10151967CLE,October 15,CLE,CRD,19.176470588235293,352.52941176470586,199.88235294117646,152.64705882352942,2.0588235294117645,18.764705882352942,312.88235294117646,173.94117647058823,138.94117647058823,3.4705882352941178
10221967CLE,October 22,CLE,CHI,19.058823529411764,351.0,195.64705882352942,155.35294117647058,2.0588235294117645,18.529411764705884,302.47058823529414,168.64705882352942,133.8235294117647,3.2941176470588234
10291967NYG,October 29,CLE,NYG,18.705882352941178,348.11764705882354,201.47058823529412,146.64705882352942,2.235294117647059,19.11764705882353,309.05882352941177,170.11764705882354,138.94117647058823,3.0588235294117645
