game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9111966CRD,September 11,CRD,PHI,,,,,,,,,,
9181966CRD,September 18,CRD,WAS,,,,,,,,,,
9251966CLE,September 25,CRD,CLE,,,,,,,,,,
1021966PHI,October 2,CRD,PHI,,,,,,,,,,
1091966CRD,October 9,CRD,NYG,,,,,,,,,,
10161966CRD,October 16,CRD,DAL,,,,,,,,,,
10231966WAS,October 23,CRD,WAS,,,,,,,,,,
10311966CRD,October 31,CRD,CHI,,,,,,,,,,
1161966NYG,November 6,CRD,NYG,,,,,,,,,,
11131966PIT,November 13,CRD,PIT,,,,,,,,,,
11271966CRD,November 27,CRD,PIT,,,,,,,,,,
1241966DAL,December 4,CRD,DAL,,,,,,,,,,
12111966ATL,December 11,CRD,ATL,,,,,,,,,,
12171966CRD,December 17,CRD,CLE,,,,,,,,,,
9171967CRD,September 17,CRD,NYG,,,,,,,,,,
9241967PIT,September 24,CRD,PIT,,,,,,,,,,
1011967CRD,October 1,CRD,DET,15.588235294117647,269.70588235294116,149.58823529411765,120.11764705882354,2.6470588235294117,15.352941176470589,257.3529411764706,168.76470588235293,88.58823529411765,2.3529411764705883
1081967MIN,October 8,CRD,MIN,15.470588235294118,277.5882352941176,154.8235294117647,122.76470588235294,2.764705882352941,15.235294117647058,262.2352941176471,175.52941176470588,86.70588235294117,2.5294117647058822
10151967CLE,October 15,CRD,CLE,15.294117647058824,275.6470588235294,153.64705882352942,122.0,2.9411764705882355,14.882352941176471,262.5882352941176,171.05882352941177,91.52941176470588,2.411764705882353
10221967CRD,October 22,CRD,PHI,15.823529411764707,281.70588235294116,157.23529411764707,124.47058823529412,2.6470588235294117,14.411764705882353,259.4117647058824,172.11764705882354,87.29411764705883,2.4705882352941178
10301967CRD,October 30,CRD,GNB,16.470588235294116,296.88235294117646,170.52941176470588,126.3529411764706,2.7058823529411766,14.352941176470589,260.3529411764706,169.11764705882354,91.23529411764706,2.2941176470588234
1151967WAS,November 5,CRD,WAS,16.88235294117647,305.47058823529414,174.0,131.47058823529412,2.7058823529411766,13.705882352941176,257.29411764705884,167.47058823529412,89.82352941176471,2.3529411764705883
11121967CRD,November 12,CRD,PIT,17.235294117647058,310.3529411764706,174.88235294117646,135.47058823529412,2.8823529411764706,13.941176470588236,254.23529411764707,167.52941176470588,86.70588235294117,2.176470588235294
11191967CHI,November 19,CRD,CHI,17.11764705882353,309.11764705882354,178.8235294117647,130.2941176470588,3.1176470588235294,13.823529411764707,264.2352941176471,172.52941176470588,91.70588235294117,2.2941176470588234
11231967DAL,November 23,CRD,DAL,17.352941176470587,318.0,189.11764705882354,128.88235294117646,3.176470588235294,13.941176470588236,273.29411764705884,180.0,93.29411764705883,2.1176470588235294
1231967CRD,December 3,CRD,NOR,17.11764705882353,320.70588235294116,189.64705882352942,131.05882352941177,3.3529411764705883,14.352941176470589,274.94117647058823,178.7058823529412,96.23529411764706,2.176470588235294
12101967CRD,December 10,CRD,CLE,17.235294117647058,323.29411764705884,188.41176470588235,134.88235294117646,3.235294117647059,14.470588235294118,273.8235294117647,175.58823529411765,98.23529411764706,2.1176470588235294
12171967NYG,December 17,CRD,NYG,17.470588235294116,329.29411764705884,202.11764705882354,127.17647058823529,3.3529411764705883,15.176470588235293,293.8235294117647,189.05882352941177,104.76470588235294,2.1176470588235294
9161968CRD,September 16,CRD,RAM,17.294117647058822,326.29411764705884,200.23529411764707,126.05882352941177,3.235294117647059,15.411764705882353,296.6470588235294,189.1764705882353,107.47058823529412,2.1176470588235294
9221968SFO,September 22,CRD,SFO,17.11764705882353,322.29411764705884,196.0,126.29411764705883,3.2941176470588234,16.058823529411764,308.5882352941176,198.47058823529412,110.11764705882354,2.176470588235294
9291968NOR,September 29,CRD,NOR,17.235294117647058,321.8235294117647,195.88235294117646,125.94117647058823,3.176470588235294,15.941176470588236,302.4117647058824,191.58823529411765,110.82352941176471,2.176470588235294
1061968CRD,October 6,CRD,DAL,16.88235294117647,315.52941176470586,197.05882352941177,118.47058823529412,2.9411764705882355,16.352941176470587,300.11764705882354,184.0,116.11764705882354,2.235294117647059
10131968CLE,October 13,CRD,CLE,17.352941176470587,315.47058823529414,196.94117647058823,118.52941176470588,3.0,16.235294117647058,305.7647058823529,193.88235294117646,111.88235294117646,2.0
10201968CRD,October 20,CRD,WAS,17.529411764705884,310.6470588235294,187.23529411764707,123.41176470588235,3.0,16.294117647058822,305.94117647058823,197.58823529411765,108.3529411764706,1.9411764705882353
10271968CRD,October 27,CRD,NOR,17.529411764705884,309.47058823529414,186.0,123.47058823529412,2.9411764705882355,16.294117647058822,303.8235294117647,194.58823529411765,109.23529411764706,1.8235294117647058
1131968PHI,November 3,CRD,PHI,17.705882352941178,310.2352941176471,183.58823529411765,126.6470588235294,2.7058823529411766,16.823529411764707,310.8235294117647,201.41176470588235,109.41176470588235,1.8235294117647058
11101968CRD,November 10,CRD,PIT,17.41176470588235,310.7647058823529,187.7058823529412,123.05882352941177,2.823529411764706,16.823529411764707,313.4117647058824,203.2941176470588,110.11764705882354,1.7058823529411764
11171968CLT,November 17,CRD,CLT,17.235294117647058,298.8235294117647,179.1764705882353,119.6470588235294,3.0,16.88235294117647,324.0,211.47058823529412,112.52941176470588,1.7647058823529411
11241968CRD,November 24,CRD,ATL,16.941176470588236,289.7647058823529,172.76470588235293,117.0,3.0588235294117645,16.941176470588236,320.6470588235294,210.58823529411765,110.05882352941177,1.6470588235294117
1211968PIT,December 1,CRD,PIT,16.88235294117647,293.52941176470586,172.2941176470588,121.23529411764706,3.0,16.470588235294116,314.3529411764706,204.58823529411765,109.76470588235294,1.7647058823529411
1281968NYG,December 8,CRD,NYG,17.11764705882353,300.6470588235294,167.58823529411765,133.05882352941177,2.6470588235294117,17.0,313.1764705882353,202.47058823529412,110.70588235294117,1.7058823529411764
12141968CRD,December 14,CRD,CLE,17.176470588235293,301.05882352941177,161.64705882352942,139.41176470588235,2.411764705882353,16.705882352941178,306.2352941176471,195.94117647058823,110.29411764705883,1.6470588235294117
9211969DAL,September 21,CRD,DAL,17.058823529411764,297.94117647058823,166.0,131.94117647058823,2.2941176470588234,16.470588235294116,313.52941176470586,199.7058823529412,113.82352941176471,1.588235294117647
9281969CRD,September 28,CRD,CHI,16.764705882352942,290.5882352941176,160.8235294117647,129.76470588235293,2.2941176470588234,17.529411764705884,327.6470588235294,211.05882352941177,116.58823529411765,1.588235294117647
1051969PIT,October 5,CRD,PIT,16.647058823529413,291.4117647058824,159.58823529411765,131.8235294117647,2.3529411764705883,17.529411764705884,323.3529411764706,209.2941176470588,114.05882352941177,1.7647058823529411
10121969WAS,October 12,CRD,WAS,16.41176470588235,290.3529411764706,157.11764705882354,133.23529411764707,2.4705882352941178,18.0,331.52941176470586,217.41176470588235,114.11764705882354,1.8235294117647058
10191969CRD,October 19,CRD,MIN,16.058823529411764,286.88235294117646,155.1764705882353,131.7058823529412,2.2941176470588234,17.823529411764707,327.8235294117647,214.64705882352942,113.17647058823529,1.7058823529411764
10261969CLE,October 26,CRD,CLE,16.352941176470587,300.1764705882353,167.47058823529412,132.7058823529412,2.2941176470588234,17.88235294117647,328.5882352941176,214.8235294117647,113.76470588235294,1.7058823529411764
1121969CRD,November 2,CRD,NOR,16.647058823529413,313.52941176470586,179.2941176470588,134.23529411764707,2.411764705882353,18.11764705882353,341.0,229.05882352941177,111.94117647058823,1.7058823529411764
1191969CRD,November 9,CRD,NYG,16.823529411764707,320.6470588235294,183.47058823529412,137.1764705882353,2.2941176470588234,18.470588235294116,341.5882352941176,224.88235294117646,116.70588235294117,1.6470588235294117
11161969DET,November 16,CRD,DET,16.352941176470587,315.8235294117647,183.58823529411765,132.23529411764707,2.411764705882353,18.058823529411764,340.6470588235294,223.41176470588235,117.23529411764706,1.5294117647058822
11231969CRD,November 23,CRD,PHI,16.647058823529413,317.11764705882354,186.88235294117646,130.23529411764707,2.411764705882353,18.235294117647058,342.3529411764706,227.47058823529412,114.88235294117646,1.588235294117647
11301969CRD,November 30,CRD,PIT,16.88235294117647,319.4117647058824,188.58823529411765,130.8235294117647,2.4705882352941178,17.823529411764707,333.2352941176471,220.41176470588235,112.82352941176471,1.7647058823529411
1271969NYG,December 7,CRD,NYG,16.470588235294116,305.05882352941177,176.76470588235293,128.2941176470588,2.588235294117647,18.764705882352942,342.29411764705884,223.1764705882353,119.11764705882354,1.8823529411764706
12141969CRD,December 14,CRD,CLE,16.470588235294116,306.05882352941177,177.58823529411765,128.47058823529412,2.411764705882353,18.764705882352942,337.29411764705884,222.05882352941177,115.23529411764706,1.8235294117647058
12211969GNB,December 21,CRD,GNB,16.294117647058822,304.8235294117647,180.64705882352942,124.17647058823529,2.3529411764705883,19.823529411764707,358.94117647058823,240.88235294117646,118.05882352941177,1.8823529411764706
9181970RAM,September 18,CRD,RAM,16.11764705882353,305.11764705882354,186.0,119.11764705882354,2.4705882352941178,20.058823529411764,369.2352941176471,246.47058823529412,122.76470588235294,1.7647058823529411
