game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9181966DAL,September 18,DAL,NYG,,,,,,,,,,
9251966DAL,September 25,DAL,MIN,,,,,,,,,,
1021966ATL,October 2,DAL,ATL,,,,,,,,,,
1091966DAL,October 9,DAL,PHI,,,,,,,,,,
10161966CRD,October 16,DAL,CRD,,,,,,,,,,
10231966CLE,October 23,DAL,CLE,,,,,,,,,,
10301966DAL,October 30,DAL,PIT,,,,,,,,,,
1161966PHI,November 6,DAL,PHI,,,,,,,,,,
11131966WAS,November 13,DAL,WAS,,,,,,,,,,
11201966PIT,November 20,DAL,PIT,,,,,,,,,,
11241966DAL,November 24,DAL,CLE,,,,,,,,,,
1241966DAL,December 4,DAL,CRD,,,,,,,,,,
12111966DAL,December 11,DAL,WAS,,,,,,,,,,
12181966NYG,December 18,DAL,NYG,,,,,,,,,,
111967DAL,January 1,DAL,GNB,,,,,,,,,,
9171967CLE,September 17,DAL,CLE,,,,,,,,,,
9241967DAL,September 24,DAL,NYG,20.705882352941178,373.3529411764706,216.41176470588235,156.94117647058823,1.8235294117647058,15.705882352941176,259.52941176470586,179.23529411764707,80.29411764705883,2.235294117647059
1011967DAL,October 1,DAL,RAM,20.470588235294116,358.88235294117646,207.41176470588235,151.47058823529412,2.0,16.11764705882353,265.3529411764706,180.11764705882354,85.23529411764706,2.0588235294117645
1081967WAS,October 8,DAL,WAS,20.470588235294116,359.2352941176471,209.7058823529412,149.52941176470588,2.1176470588235294,15.470588235294118,257.3529411764706,179.52941176470588,77.82352941176471,2.176470588235294
10151967DAL,October 15,DAL,NOR,20.235294117647058,351.6470588235294,203.1764705882353,148.47058823529412,2.176470588235294,15.0,253.2941176470588,179.23529411764707,74.05882352941177,2.0588235294117645
10221967PIT,October 22,DAL,PIT,19.176470588235293,335.52941176470586,194.35294117647058,141.1764705882353,2.235294117647059,16.058823529411764,262.8235294117647,186.23529411764707,76.58823529411765,2.1176470588235294
10291967PHI,October 29,DAL,PHI,18.941176470588236,334.3529411764706,194.41176470588235,139.94117647058823,2.2941176470588234,16.647058823529413,272.5882352941176,188.2941176470588,84.29411764705883,2.4705882352941178
1151967DAL,November 5,DAL,ATL,18.41176470588235,329.11764705882354,188.2941176470588,140.8235294117647,2.176470588235294,16.41176470588235,270.1764705882353,188.1764705882353,82.0,2.764705882352941
11121967NOR,November 12,DAL,NOR,18.058823529411764,326.47058823529414,185.05882352941177,141.41176470588235,2.1176470588235294,16.88235294117647,275.5882352941176,191.47058823529412,84.11764705882354,2.7058823529411766
11191967DAL,November 19,DAL,WAS,18.705882352941178,338.5882352941176,197.64705882352942,140.94117647058823,2.2941176470588234,17.529411764705884,289.3529411764706,205.76470588235293,83.58823529411765,2.6470588235294117
11231967DAL,November 23,DAL,CRD,18.352941176470587,333.94117647058823,192.76470588235293,141.1764705882353,2.176470588235294,17.294117647058822,287.94117647058823,200.11764705882354,87.82352941176471,2.8823529411764706
1231967CLT,December 3,DAL,CLT,18.176470588235293,331.88235294117646,190.11764705882354,141.76470588235293,2.3529411764705883,17.294117647058822,296.5882352941176,208.94117647058823,87.6470588235294,2.9411764705882355
12101967DAL,December 10,DAL,PHI,18.0,333.11764705882354,191.7058823529412,141.41176470588235,2.588235294117647,16.941176470588236,283.70588235294116,203.94117647058823,79.76470588235294,3.176470588235294
12161967SFO,December 16,DAL,SFO,18.352941176470587,337.88235294117646,194.94117647058823,142.94117647058823,2.764705882352941,16.88235294117647,288.1764705882353,206.1764705882353,82.0,3.1176470588235294
12241967DAL,December 24,DAL,CLE,18.647058823529413,339.70588235294116,200.47058823529412,139.23529411764707,2.823529411764706,17.0,283.6470588235294,198.41176470588235,85.23529411764706,3.0588235294117645
12311967GNB,December 31,DAL,GNB,18.647058823529413,335.88235294117646,197.23529411764707,138.64705882352942,2.823529411764706,16.941176470588236,279.70588235294116,196.05882352941177,83.6470588235294,3.0588235294117645
9151968DAL,September 15,DAL,DET,19.0,343.1764705882353,206.05882352941177,137.11764705882354,2.7058823529411766,16.705882352941178,273.2352941176471,191.58823529411765,81.6470588235294,3.235294117647059
9221968DAL,September 22,DAL,CLE,19.294117647058822,341.7647058823529,203.35294117647058,138.41176470588235,2.5294117647058822,16.705882352941178,274.94117647058823,188.8235294117647,86.11764705882354,3.176470588235294
