game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
931966OTI,September 3,DEN,OTI,,,,,,,,,,
9181966DEN,September 18,DEN,NWE,,,,,,,,,,
9251966DEN,September 25,DEN,NYJ,,,,,,,,,,
1021966DEN,October 2,DEN,OTI,,,,,,,,,,
1081966KAN,October 8,DEN,KAN,,,,,,,,,,
10161966MIA,October 16,DEN,MIA,,,,,,,,,,
10231966DEN,October 23,DEN,KAN,,,,,,,,,,
10301966SDG,October 30,DEN,SDG,,,,,,,,,,
1161966NWE,November 6,DEN,NWE,,,,,,,,,,
11201966DEN,November 20,DEN,RAI,,,,,,,,,,
11271966DEN,November 27,DEN,SDG,,,,,,,,,,
1241966DEN,December 4,DEN,MIA,,,,,,,,,,
12111966RAI,December 11,DEN,RAI,,,,,,,,,,
12181966BUF,December 18,DEN,BUF,,,,,,,,,,
931967DEN,September 3,DEN,NWE,,,,,,,,,,
9101967RAI,September 10,DEN,RAI,,,,,,,,,,
9171967MIA,September 17,DEN,MIA,11.647058823529411,205.76470588235293,122.82352941176471,82.94117647058823,3.0588235294117645,17.941176470588236,333.47058823529414,184.7058823529412,148.76470588235293,2.4705882352941178
9241967DEN,September 24,DEN,NYJ,12.529411764705882,225.35294117647058,137.47058823529412,87.88235294117646,3.0,17.88235294117647,333.8235294117647,192.94117647058823,140.88235294117646,2.5294117647058822
1011967OTI,October 1,DEN,OTI,12.705882352941176,229.1764705882353,136.11764705882354,93.05882352941177,3.0,17.764705882352942,332.70588235294116,190.58823529411765,142.11764705882354,2.4705882352941178
1081967DEN,October 8,DEN,BUF,13.058823529411764,229.64705882352942,136.23529411764707,93.41176470588235,2.9411764705882355,17.823529411764707,329.05882352941177,190.8235294117647,138.23529411764707,2.5294117647058822
