game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9111966DET,September 11,DET,CHI,,,,,,,,,,
9181966PIT,September 18,DET,PIT,,,,,,,,,,
9251966DET,September 25,DET,ATL,,,,,,,,,,
1021966GNB,October 2,DET,GNB,,,,,,,,,,
1091966DET,October 9,DET,RAM,,,,,,,,,,
10161966CLT,October 16,DET,CLT,,,,,,,,,,
10231966SFO,October 23,DET,SFO,,,,,,,,,,
10301966DET,October 30,DET,GNB,,,,,,,,,,
1161966CHI,November 6,DET,CHI,,,,,,,,,,
11131966MIN,November 13,DET,MIN,,,,,,,,,,
11201966DET,November 20,DET,CLT,,,,,,,,,,
11241966DET,November 24,DET,SFO,,,,,,,,,,
1241966RAM,December 4,DET,RAM,,,,,,,,,,
12111966DET,December 11,DET,MIN,,,,,,,,,,
9171967GNB,September 17,DET,GNB,,,,,,,,,,
9241967DET,September 24,DET,CLE,,,,,,,,,,
1011967CRD,October 1,DET,CRD,16.176470588235293,285.70588235294116,169.52941176470588,116.17647058823529,3.1176470588235294,17.0,317.1764705882353,180.11764705882354,137.05882352941177,2.588235294117647
1081967DET,October 8,DET,GNB,15.764705882352942,280.6470588235294,168.0,112.6470588235294,3.235294117647059,16.941176470588236,316.7647058823529,181.41176470588235,135.35294117647058,2.6470588235294117
10151967CHI,October 15,DET,CHI,15.764705882352942,281.2352941176471,170.1764705882353,111.05882352941177,3.176470588235294,16.88235294117647,317.29411764705884,174.64705882352942,142.64705882352942,2.764705882352941
10221967DET,October 22,DET,ATL,15.588235294117647,275.70588235294116,164.41176470588235,111.29411764705883,3.0588235294117645,16.823529411764707,315.1764705882353,173.64705882352942,141.52941176470588,2.6470588235294117
10291967SFO,October 29,DET,SFO,16.0,278.1764705882353,163.64705882352942,114.52941176470588,2.8823529411764706,16.823529411764707,310.5882352941176,168.11764705882354,142.47058823529412,3.0
1151967DET,November 5,DET,CHI,15.882352941176471,271.7647058823529,157.11764705882354,114.6470588235294,2.764705882352941,16.11764705882353,299.47058823529414,159.7058823529412,139.76470588235293,2.9411764705882355
11121967MIN,November 12,DET,MIN,15.882352941176471,276.05882352941177,149.7058823529412,126.3529411764706,2.8823529411764706,15.294117647058824,285.1764705882353,145.41176470588235,139.76470588235293,2.8823529411764706
11191967CLT,November 19,DET,CLT,15.823529411764707,272.94117647058823,143.1764705882353,129.76470588235293,2.9411764705882355,15.647058823529411,284.70588235294116,143.8235294117647,140.88235294117646,2.7058823529411766
11231967DET,November 23,DET,RAM,15.294117647058824,260.6470588235294,131.7058823529412,128.94117647058823,2.8823529411764706,15.411764705882353,279.94117647058823,143.88235294117646,136.05882352941177,2.6470588235294117
1231967DET,December 3,DET,PIT,15.352941176470589,260.5882352941176,131.7058823529412,128.88235294117646,3.0,15.647058823529411,282.7647058823529,151.35294117647058,131.41176470588235,2.7058823529411766
12101967NYG,December 10,DET,NYG,15.352941176470589,262.8235294117647,131.11764705882354,131.7058823529412,2.823529411764706,15.647058823529411,277.88235294117646,148.1764705882353,129.7058823529412,2.4705882352941178
12171967DET,December 17,DET,MIN,15.117647058823529,254.1764705882353,126.0,128.1764705882353,2.823529411764706,15.294117647058824,272.05882352941177,138.76470588235293,133.2941176470588,2.2941176470588234
9151968DAL,September 15,DET,DAL,15.411764705882353,257.7647058823529,128.35294117647058,129.41176470588235,2.9411764705882355,15.705882352941176,275.29411764705884,145.11764705882354,130.1764705882353,2.1176470588235294
9221968DET,September 22,DET,CHI,15.764705882352942,267.3529411764706,133.23529411764707,134.11764705882354,2.823529411764706,15.529411764705882,267.88235294117646,142.7058823529412,125.17647058823529,2.7058823529411766
9291968GNB,September 29,DET,GNB,16.0,270.94117647058823,135.58823529411765,135.35294117647058,2.764705882352941,15.294117647058824,268.29411764705884,143.47058823529412,124.82352941176471,2.7058823529411766
1061968MIN,October 6,DET,MIN,15.941176470588236,271.7647058823529,143.05882352941177,128.7058823529412,2.764705882352941,15.588235294117647,265.88235294117646,135.64705882352942,130.23529411764707,2.411764705882353
10131968CHI,October 13,DET,CHI,15.647058823529411,268.47058823529414,139.41176470588235,129.05882352941177,2.823529411764706,15.411764705882353,264.2352941176471,137.58823529411765,126.6470588235294,2.3529411764705883
10201968DET,October 20,DET,GNB,15.529411764705882,266.8235294117647,132.11764705882354,134.7058823529412,2.8823529411764706,15.117647058823529,253.05882352941177,123.82352941176471,129.23529411764707,2.4705882352941178
10271968DET,October 27,DET,SFO,15.705882352941176,272.52941176470586,136.94117647058823,135.58823529411765,2.823529411764706,15.117647058823529,257.94117647058823,128.8235294117647,129.11764705882354,2.3529411764705883
1131968RAM,November 3,DET,RAM,16.058823529411764,275.3529411764706,138.0,137.35294117647058,2.823529411764706,14.823529411764707,259.1764705882353,138.05882352941177,121.11764705882354,2.2941176470588234
11101968DET,November 10,DET,CLT,16.352941176470587,278.7647058823529,144.76470588235293,134.0,2.764705882352941,15.117647058823529,266.88235294117646,146.94117647058823,119.94117647058823,2.2941176470588234
11171968DET,November 17,DET,MIN,15.294117647058824,263.47058823529414,137.47058823529412,126.0,2.7058823529411766,15.411764705882353,271.52941176470586,148.23529411764707,123.29411764705883,2.1176470588235294
11241968DET,November 24,DET,NOR,15.470588235294118,269.3529411764706,143.7058823529412,125.6470588235294,2.588235294117647,15.882352941176471,276.3529411764706,152.7058823529412,123.6470588235294,2.176470588235294
11281968DET,November 28,DET,PHI,14.941176470588236,257.70588235294116,142.35294117647058,115.3529411764706,2.4705882352941178,16.176470588235293,275.4117647058824,153.23529411764707,122.17647058823529,2.176470588235294
1281968ATL,December 8,DET,ATL,15.058823529411764,262.47058823529414,149.47058823529412,113.0,2.3529411764705883,15.294117647058824,268.29411764705884,147.1764705882353,121.11764705882354,2.3529411764705883
12151968WAS,December 15,DET,WAS,15.705882352941176,277.7647058823529,161.23529411764707,116.52941176470588,2.3529411764705883,15.176470588235293,265.05882352941177,145.11764705882354,119.94117647058823,2.411764705882353
9211969PIT,September 21,DET,PIT,15.470588235294118,276.70588235294116,160.58823529411765,116.11764705882354,2.411764705882353,14.764705882352942,259.5882352941176,138.94117647058823,120.6470588235294,2.588235294117647
9281969DET,September 28,DET,NYG,15.588235294117647,272.88235294117646,155.35294117647058,117.52941176470588,2.411764705882353,14.470588235294118,261.8235294117647,143.1764705882353,118.6470588235294,2.588235294117647
1051969CLE,October 5,DET,CLE,16.0,282.70588235294116,162.23529411764707,120.47058823529412,2.411764705882353,14.705882352941176,266.1764705882353,151.23529411764707,114.94117647058823,2.764705882352941
10121969DET,October 12,DET,GNB,16.0,280.94117647058823,155.94117647058823,125.0,2.411764705882353,14.352941176470589,252.41176470588235,139.8235294117647,112.58823529411765,2.823529411764706
10191969DET,October 19,DET,CHI,15.411764705882353,268.2352941176471,144.2941176470588,123.94117647058823,2.3529411764705883,14.411764705882353,251.58823529411765,135.52941176470588,116.05882352941177,2.2941176470588234
10261969MIN,October 26,DET,MIN,15.0,257.88235294117646,136.64705882352942,121.23529411764706,2.5294117647058822,14.294117647058824,244.35294117647058,131.41176470588235,112.94117647058823,2.176470588235294
1121969SFO,November 2,DET,SFO,15.176470588235293,250.7058823529412,126.82352941176471,123.88235294117646,2.588235294117647,14.058823529411764,245.35294117647058,135.2941176470588,110.05882352941177,2.4705882352941178
1191969DET,November 9,DET,ATL,14.647058823529411,241.05882352941177,121.47058823529412,119.58823529411765,2.588235294117647,14.235294117647058,247.58823529411765,135.94117647058823,111.6470588235294,2.5294117647058822
11161969DET,November 16,DET,CRD,14.411764705882353,241.94117647058823,131.0,110.94117647058823,2.3529411764705883,14.235294117647058,249.11764705882354,140.11764705882354,109.0,2.5294117647058822
11231969GNB,November 23,DET,GNB,14.705882352941176,245.8235294117647,128.41176470588235,117.41176470588235,2.176470588235294,14.294117647058824,246.05882352941177,139.76470588235293,106.29411764705883,2.7058823529411766
11271969DET,November 27,DET,MIN,14.352941176470589,242.2941176470588,124.76470588235294,117.52941176470588,2.176470588235294,14.294117647058824,239.41176470588235,133.88235294117646,105.52941176470588,2.7058823529411766
1271969CLT,December 7,DET,CLT,13.823529411764707,238.58823529411765,121.0,117.58823529411765,2.176470588235294,14.117647058823529,235.58823529411765,132.8235294117647,102.76470588235294,2.8823529411764706
12141969DET,December 14,DET,RAM,14.411764705882353,250.41176470588235,129.52941176470588,120.88235294117646,2.176470588235294,13.470588235294118,226.41176470588235,129.41176470588235,97.0,2.8823529411764706
12211969CHI,December 21,DET,CHI,14.411764705882353,249.0,124.47058823529412,124.52941176470588,2.2941176470588234,13.0,216.64705882352942,123.76470588235294,92.88235294117646,2.8823529411764706
9201970GNB,September 20,DET,GNB,15.058823529411764,262.52941176470586,128.35294117647058,134.1764705882353,2.1176470588235294,12.588235294117647,213.88235294117646,124.6470588235294,89.23529411764706,3.0
9271970DET,September 27,DET,CIN,15.235294117647058,259.1764705882353,121.41176470588235,137.76470588235293,2.0588235294117645,12.117647058823529,208.58823529411765,125.0,83.58823529411765,3.0
1051970DET,October 5,DET,CHI,15.294117647058824,258.11764705882354,119.76470588235294,138.35294117647058,1.8823529411764706,11.823529411764707,206.76470588235293,125.17647058823529,81.58823529411765,3.0588235294117645
10111970WAS,October 11,DET,WAS,15.411764705882353,259.0,119.52941176470588,139.47058823529412,1.7058823529411764,12.352941176470589,213.52941176470588,130.88235294117646,82.6470588235294,2.8823529411764706
10181970CLE,October 18,DET,CLE,15.117647058823529,263.3529411764706,124.29411764705883,139.05882352941177,1.7647058823529411,12.882352941176471,221.23529411764707,135.0,86.23529411764706,3.176470588235294
10251970CHI,October 25,DET,CHI,14.764705882352942,256.6470588235294,119.70588235294117,136.94117647058823,1.588235294117647,12.647058823529411,223.94117647058823,137.94117647058823,86.0,3.0588235294117645
