game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9101966GNB,September 10,GNB,CLT,,,,,,,,,,
9181966CLE,September 18,GNB,CLE,,,,,,,,,,
9251966GNB,September 25,GNB,RAM,,,,,,,,,,
1021966GNB,October 2,GNB,DET,,,,,,,,,,
1091966SFO,October 9,GNB,SFO,,,,,,,,,,
10161966CHI,October 16,GNB,CHI,,,,,,,,,,
10231966GNB,October 23,GNB,ATL,,,,,,,,,,
10301966DET,October 30,GNB,DET,,,,,,,,,,
1161966GNB,November 6,GNB,MIN,,,,,,,,,,
11201966GNB,November 20,GNB,CHI,,,,,,,,,,
11271966MIN,November 27,GNB,MIN,,,,,,,,,,
1241966GNB,December 4,GNB,SFO,,,,,,,,,,
12101966CLT,December 10,GNB,CLT,,,,,,,,,,
12181966RAM,December 18,GNB,RAM,,,,,,,,,,
111967DAL,January 1,GNB,DAL,,,,,,,,,,
1151967GNB,January 15,GNB,KAN,,,,,,,,,,
9171967GNB,September 17,GNB,DET,16.705882352941178,312.11764705882354,197.52941176470588,114.58823529411765,1.8235294117647058,15.352941176470589,264.29411764705884,141.05882352941177,123.23529411764706,2.7058823529411766
9241967GNB,September 24,GNB,CHI,17.11764705882353,316.4117647058824,197.23529411764707,119.17647058823529,2.235294117647059,15.058823529411764,261.11764705882354,136.23529411764707,124.88235294117646,2.588235294117647
1011967GNB,October 1,GNB,ATL,17.176470588235293,317.94117647058823,195.2941176470588,122.6470588235294,2.235294117647059,14.588235294117647,248.88235294117646,128.1764705882353,120.70588235294117,2.6470588235294117
1081967DET,October 8,GNB,DET,17.294117647058822,313.3529411764706,189.2941176470588,124.05882352941177,2.176470588235294,14.294117647058824,245.88235294117646,127.70588235294117,118.17647058823529,2.823529411764706
10151967GNB,October 15,GNB,MIN,17.294117647058822,314.3529411764706,191.7058823529412,122.6470588235294,2.3529411764705883,13.882352941176471,236.11764705882354,118.88235294117646,117.23529411764706,2.6470588235294117
10221967NYG,October 22,GNB,NYG,17.941176470588236,316.05882352941177,185.0,131.05882352941177,2.235294117647059,14.058823529411764,240.58823529411765,124.0,116.58823529411765,2.823529411764706
10301967CRD,October 30,GNB,CRD,18.176470588235293,319.94117647058823,188.41176470588235,131.52941176470588,2.235294117647059,14.823529411764707,258.88235294117646,137.94117647058823,120.94117647058823,2.7058823529411766
1151967CLT,November 5,GNB,CLT,17.941176470588236,314.52941176470586,183.0,131.52941176470588,2.2941176470588234,14.941176470588236,260.11764705882354,139.52941176470588,120.58823529411765,2.588235294117647
11121967GNB,November 12,GNB,CLE,18.470588235294116,321.11764705882354,186.0,135.11764705882354,2.235294117647059,14.470588235294118,254.88235294117646,129.7058823529412,125.17647058823529,2.7058823529411766
11191967GNB,November 19,GNB,SFO,18.176470588235293,321.4117647058824,185.7058823529412,135.7058823529412,2.235294117647059,14.235294117647058,255.94117647058823,129.94117647058823,126.0,2.823529411764706
11261967CHI,November 26,GNB,CHI,18.176470588235293,318.4117647058824,182.58823529411765,135.8235294117647,2.1176470588235294,14.529411764705882,261.1764705882353,128.23529411764707,132.94117647058823,2.764705882352941
1231967MIN,December 3,GNB,MIN,17.88235294117647,316.7647058823529,182.76470588235293,134.0,2.235294117647059,14.352941176470589,258.47058823529414,120.17647058823529,138.2941176470588,2.823529411764706
1291967RAM,December 9,GNB,RAM,17.41176470588235,311.29411764705884,177.8235294117647,133.47058823529412,2.2941176470588234,14.529411764705882,258.6470588235294,122.58823529411765,136.05882352941177,2.764705882352941
12171967GNB,December 17,GNB,PIT,17.470588235294116,315.2352941176471,182.0,133.23529411764707,2.5294117647058822,14.235294117647058,253.41176470588235,119.17647058823529,134.23529411764707,2.6470588235294117
12231967GNB,December 23,GNB,RAM,17.823529411764707,316.3529411764706,180.47058823529412,135.88235294117646,2.5294117647058822,13.823529411764707,245.52941176470588,112.76470588235294,132.76470588235293,2.588235294117647
12311967GNB,December 31,GNB,DAL,17.764705882352942,306.2352941176471,171.64705882352942,134.58823529411765,2.588235294117647,13.117647058823529,232.23529411764707,105.05882352941177,127.17647058823529,2.588235294117647
