game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
982002HTX,September 8,HTX,DAL,,,,,,,,,,
9152002SDG,September 15,HTX,SDG,,,,,,,,,,
9222002HTX,September 22,HTX,CLT,,,,,,,,,,
9292002PHI,September 29,HTX,PHI,,,,,,,,,,
10132002HTX,October 13,HTX,BUF,,,,,,,,,,
10202002CLE,October 20,HTX,CLE,,,,,,,,,,
10272002JAX,October 27,HTX,JAX,,,,,,,,,,
1132002HTX,November 3,HTX,CIN,,,,,,,,,,
11102002OTI,November 10,HTX,OTI,,,,,,,,,,
11172002HTX,November 17,HTX,JAX,,,,,,,,,,
11242002HTX,November 24,HTX,NYG,,,,,,,,,,
1212002CLT,December 1,HTX,CLT,,,,,,,,,,
1282002PIT,December 8,HTX,PIT,,,,,,,,,,
12152002HTX,December 15,HTX,RAV,,,,,,,,,,
12222002WAS,December 22,HTX,WAS,,,,,,,,,,
12292002HTX,December 29,HTX,OTI,,,,,,,,,,
972003MIA,September 7,HTX,MIA,13.176470588235293,233.23529411764707,146.52941176470588,86.70588235294117,1.7058823529411764,17.941176470588236,325.3529411764706,197.41176470588235,127.94117647058823,1.411764705882353
9142003NOR,September 14,HTX,NOR,13.352941176470589,236.05882352941177,150.05882352941177,86.0,1.7647058823529411,18.0,326.8235294117647,201.52941176470588,125.29411764705883,1.2941176470588236
9212003HTX,September 21,HTX,KAN,14.117647058823529,247.7058823529412,160.64705882352942,87.05882352941177,1.8235294117647058,18.647058823529413,336.1764705882353,208.2941176470588,127.88235294117646,1.3529411764705883
9282003HTX,September 28,HTX,JAX,14.764705882352942,255.64705882352942,169.52941176470588,86.11764705882354,1.9411764705882353,18.58823529411765,336.3529411764706,209.0,127.3529411764706,1.5294117647058822
10122003OTI,October 12,HTX,OTI,15.470588235294118,268.3529411764706,182.23529411764707,86.11764705882354,1.9411764705882353,18.647058823529413,344.8235294117647,216.76470588235293,128.05882352941177,1.411764705882353
10192003HTX,October 19,HTX,NYJ,15.411764705882353,267.5882352941176,179.8235294117647,87.76470588235294,1.9411764705882353,18.235294117647058,338.7647058823529,212.64705882352942,126.11764705882354,1.3529411764705883
10262003CLT,October 26,HTX,CLT,15.470588235294118,262.6470588235294,172.41176470588235,90.23529411764706,1.9411764705882353,18.764705882352942,348.2352941176471,220.1764705882353,128.05882352941177,1.411764705882353
1122003HTX,November 2,HTX,CAR,15.588235294117647,264.11764705882354,171.7058823529412,92.41176470588235,1.8823529411764706,18.941176470588236,352.7647058823529,221.88235294117646,130.88235294117646,1.4705882352941178
1192003CIN,November 9,HTX,CIN,15.058823529411764,264.1764705882353,168.35294117647058,95.82352941176471,1.8235294117647058,19.058823529411764,354.6470588235294,217.11764705882354,137.52941176470588,1.5294117647058822
11162003BUF,November 16,HTX,BUF,15.0,264.88235294117646,171.05882352941177,93.82352941176471,1.7058823529411764,19.176470588235293,359.5882352941176,219.7058823529412,139.88235294117646,1.4705882352941178
11232003HTX,November 23,HTX,NWE,14.588235294117647,258.8235294117647,164.35294117647058,94.47058823529412,1.7058823529411764,19.941176470588236,368.47058823529414,228.23529411764707,140.23529411764707,1.588235294117647
11302003HTX,November 30,HTX,ATL,14.882352941176471,260.2352941176471,165.05882352941177,95.17647058823529,1.7058823529411764,19.764705882352942,361.05882352941177,226.64705882352942,134.41176470588235,1.4705882352941178
1272003JAX,December 7,HTX,JAX,14.705882352941176,257.8235294117647,162.35294117647058,95.47058823529412,1.7647058823529411,20.352941176470587,367.6470588235294,226.1764705882353,141.47058823529412,1.411764705882353
12142003TAM,December 14,HTX,TAM,14.941176470588236,261.3529411764706,164.23529411764707,97.11764705882354,1.7058823529411764,20.352941176470587,366.2352941176471,222.8235294117647,143.41176470588235,1.1176470588235294
12212003HTX,December 21,HTX,OTI,14.882352941176471,264.2352941176471,167.35294117647058,96.88235294117646,1.7647058823529411,20.647058823529413,375.1764705882353,225.1764705882353,150.0,1.1764705882352942
12282003HTX,December 28,HTX,CLT,14.882352941176471,266.47058823529414,167.7058823529412,98.76470588235294,1.6470588235294117,20.647058823529413,374.05882352941177,226.41176470588235,147.64705882352942,1.2941176470588236
9122004HTX,September 12,HTX,SDG,15.117647058823529,273.05882352941177,169.47058823529412,103.58823529411765,1.8235294117647058,20.764705882352942,376.8235294117647,230.23529411764707,146.58823529411765,1.2941176470588236
9192004DET,September 19,HTX,DET,15.588235294117647,272.6470588235294,169.94117647058823,102.70588235294117,2.0,21.0,374.7647058823529,227.7058823529412,147.05882352941177,1.1764705882352942
9262004KAN,September 26,HTX,KAN,15.705882352941176,274.88235294117646,172.11764705882354,102.76470588235294,1.9411764705882353,21.764705882352942,379.11764705882354,228.64705882352942,150.47058823529412,1.2352941176470589
1032004HTX,October 3,HTX,RAI,15.705882352941176,279.0,173.23529411764707,105.76470588235294,1.7647058823529411,21.235294117647058,376.11764705882354,226.64705882352942,149.47058823529412,1.411764705882353
10102004HTX,October 10,HTX,MIN,15.588235294117647,283.1764705882353,180.8235294117647,102.3529411764706,1.5294117647058822,21.941176470588236,386.0,234.0,152.0,1.1176470588235294
10172004OTI,October 17,HTX,OTI,15.294117647058824,276.52941176470586,173.76470588235293,102.76470588235294,1.4705882352941178,21.764705882352942,372.47058823529414,221.23529411764707,151.23529411764707,1.2941176470588236
10312004HTX,October 31,HTX,JAX,15.705882352941176,279.11764705882354,180.8235294117647,98.29411764705883,1.588235294117647,21.529411764705884,371.70588235294116,226.41176470588235,145.2941176470588,1.411764705882353
1172004DEN,November 7,HTX,DEN,15.941176470588236,282.70588235294116,186.05882352941177,96.6470588235294,1.4705882352941178,21.41176470588235,370.11764705882354,223.8235294117647,146.2941176470588,1.3529411764705883
11142004CLT,November 14,HTX,CLT,16.294117647058822,284.7647058823529,187.2941176470588,97.47058823529412,1.7058823529411764,21.176470588235293,371.94117647058823,230.8235294117647,141.11764705882354,1.411764705882353
11212004HTX,November 21,HTX,GNB,16.294117647058822,283.70588235294116,188.1764705882353,95.52941176470588,1.6470588235294117,20.88235294117647,374.94117647058823,242.64705882352942,132.2941176470588,1.4705882352941178
11282004HTX,November 28,HTX,OTI,16.705882352941178,288.5882352941176,186.2941176470588,102.29411764705883,1.6470588235294117,21.235294117647058,376.11764705882354,246.64705882352942,129.47058823529412,1.588235294117647
1252004NYJ,December 5,HTX,NYJ,16.823529411764707,292.1764705882353,190.23529411764707,101.94117647058823,1.6470588235294117,21.058823529411764,369.52941176470586,235.23529411764707,134.2941176470588,1.4705882352941178
12122004HTX,December 12,HTX,CLT,16.823529411764707,294.3529411764706,191.64705882352942,102.70588235294117,1.7058823529411764,21.41176470588235,377.70588235294116,241.52941176470588,136.1764705882353,1.411764705882353
12192004CHI,December 19,HTX,CHI,17.294117647058822,305.52941176470586,200.7058823529412,104.82352941176471,1.5294117647058822,20.705882352941178,366.70588235294116,239.58823529411765,127.11764705882354,1.6470588235294117
12262004JAX,December 26,HTX,JAX,18.0,318.8235294117647,204.94117647058823,113.88235294117646,1.6470588235294117,19.647058823529413,350.70588235294116,227.47058823529412,123.23529411764706,1.8235294117647058
122005HTX,January 2,HTX,CLE,18.235294117647058,313.6470588235294,197.11764705882354,116.52941176470588,1.5294117647058822,19.470588235294116,345.6470588235294,225.05882352941177,120.58823529411765,1.8823529411764706
9112005BUF,September 11,HTX,BUF,18.352941176470587,308.70588235294116,192.41176470588235,116.29411764705883,1.7647058823529411,19.058823529411764,339.6470588235294,222.2941176470588,117.3529411764706,1.7647058823529411
9182005HTX,September 18,HTX,PIT,18.11764705882353,301.94117647058823,185.47058823529412,116.47058823529412,1.588235294117647,19.11764705882353,343.4117647058824,225.2941176470588,118.11764705882354,1.7647058823529411
1022005CIN,October 2,HTX,CIN,17.764705882352942,294.1764705882353,176.88235294117646,117.29411764705883,1.4705882352941178,19.352941176470587,349.5882352941176,231.23529411764707,118.3529411764706,1.7058823529411764
1092005HTX,October 9,HTX,OTI,17.529411764705884,291.88235294117646,169.58823529411765,122.29411764705883,1.4705882352941178,19.176470588235293,346.29411764705884,232.52941176470588,113.76470588235294,1.6470588235294117
10162005SEA,October 16,HTX,SEA,17.176470588235293,282.52941176470586,165.58823529411765,116.94117647058823,1.411764705882353,19.941176470588236,351.2352941176471,227.52941176470588,123.70588235294117,1.411764705882353
10232005HTX,October 23,HTX,CLT,16.823529411764707,266.5882352941176,144.88235294117646,121.70588235294117,1.5294117647058822,20.11764705882353,346.94117647058823,218.35294117647058,128.58823529411765,1.5294117647058822
10302005HTX,October 30,HTX,CLE,16.352941176470587,260.2352941176471,137.41176470588235,122.82352941176471,1.4705882352941178,19.941176470588236,348.11764705882354,216.2941176470588,131.8235294117647,1.411764705882353
