game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9171967NOR,September 17,NOR,RAM,,,,,,,,,,
9241967NOR,September 24,NOR,WAS,,,,,,,,,,
1011967NOR,October 1,NOR,CLE,,,,,,,,,,
1081967NYG,October 8,NOR,NYG,,,,,,,,,,
10151967DAL,October 15,NOR,DAL,,,,,,,,,,
10221967SFO,October 22,NOR,SFO,,,,,,,,,,
10291967NOR,October 29,NOR,PIT,,,,,,,,,,
1151967NOR,November 5,NOR,PHI,,,,,,,,,,
11121967NOR,November 12,NOR,DAL,,,,,,,,,,
11191967PHI,November 19,NOR,PHI,,,,,,,,,,
11261967NOR,November 26,NOR,ATL,,,,,,,,,,
1231967CRD,December 3,NOR,CRD,,,,,,,,,,
12101967CLT,December 10,NOR,CLT,,,,,,,,,,
12171967WAS,December 17,NOR,WAS,,,,,,,,,,
9151968NOR,September 15,NOR,CLE,,,,,,,,,,
9221968NOR,September 22,NOR,WAS,,,,,,,,,,
9291968NOR,September 29,NOR,CRD,15.823529411764707,275.70588235294116,184.1764705882353,91.52941176470588,2.588235294117647,18.705882352941178,336.05882352941177,192.05882352941177,144.0,2.2941176470588234
1061968NYG,October 6,NOR,NYG,16.176470588235293,276.5882352941176,186.8235294117647,89.76470588235294,2.6470588235294117,18.470588235294116,324.2352941176471,184.64705882352942,139.58823529411765,2.2941176470588234
10131968NOR,October 13,NOR,MIN,16.0,271.70588235294116,179.58823529411765,92.11764705882354,3.0588235294117645,18.352941176470587,313.70588235294116,175.23529411764707,138.47058823529412,2.4705882352941178
10201968PIT,October 20,NOR,PIT,15.941176470588236,272.11764705882354,177.94117647058823,94.17647058823529,2.823529411764706,17.941176470588236,306.6470588235294,167.47058823529412,139.1764705882353,2.3529411764705883
10271968CRD,October 27,NOR,CRD,15.941176470588236,277.47058823529414,180.7058823529412,96.76470588235294,2.823529411764706,17.352941176470587,298.2352941176471,160.2941176470588,137.94117647058823,2.411764705882353
1131968NOR,November 3,NOR,DAL,16.0,279.5882352941176,181.8235294117647,97.76470588235294,2.8823529411764706,17.58823529411765,308.29411764705884,166.8235294117647,141.47058823529412,2.6470588235294117
11101968CLE,November 10,NOR,CLE,16.352941176470587,284.52941176470586,181.52941176470588,103.0,2.9411764705882355,17.41176470588235,317.05882352941177,170.52941176470588,146.52941176470588,2.9411764705882355
11171968GNB,November 17,NOR,GNB,15.882352941176471,274.4117647058824,171.94117647058823,102.47058823529412,3.1176470588235294,17.352941176470587,318.3529411764706,174.58823529411765,143.76470588235293,2.823529411764706
11241968DET,November 24,NOR,DET,16.11764705882353,275.1764705882353,171.88235294117646,103.29411764705883,3.176470588235294,17.058823529411764,313.3529411764706,170.23529411764707,143.11764705882354,2.823529411764706
1211968NOR,December 1,NOR,CHI,16.294117647058822,279.94117647058823,172.47058823529412,107.47058823529412,3.2941176470588234,16.88235294117647,306.2352941176471,162.47058823529412,143.76470588235293,2.8823529411764706
1281968PHI,December 8,NOR,PHI,16.647058823529413,280.05882352941177,170.41176470588235,109.6470588235294,3.0588235294117645,16.529411764705884,300.1764705882353,152.8235294117647,147.35294117647058,2.823529411764706
12151968NOR,December 15,NOR,PIT,16.0,278.4117647058824,172.05882352941177,106.3529411764706,2.8823529411764706,16.235294117647058,304.94117647058823,159.47058823529412,145.47058823529412,3.0
9211969NOR,September 21,NOR,WAS,16.11764705882353,283.70588235294116,170.0,113.70588235294117,2.764705882352941,16.235294117647058,304.52941176470586,165.58823529411765,138.94117647058823,2.764705882352941
9281969NOR,September 28,NOR,DAL,16.235294117647058,286.1764705882353,174.35294117647058,111.82352941176471,2.764705882352941,16.235294117647058,307.0,162.88235294117646,144.11764705882354,2.764705882352941
1051969RAM,October 5,NOR,RAM,16.352941176470587,283.29411764705884,175.1764705882353,108.11764705882354,2.823529411764706,16.058823529411764,308.11764705882354,160.23529411764707,147.88235294117646,2.6470588235294117
10121969NOR,October 12,NOR,CLE,16.764705882352942,287.3529411764706,174.76470588235293,112.58823529411765,2.8823529411764706,16.176470588235293,306.2352941176471,161.94117647058823,144.2941176470588,2.4705882352941178
10191969NOR,October 19,NOR,CLT,17.11764705882353,284.94117647058823,178.52941176470588,106.41176470588235,2.9411764705882355,16.941176470588236,321.70588235294116,171.47058823529412,150.23529411764707,2.2941176470588234
10261969PHI,October 26,NOR,PHI,16.823529411764707,281.6470588235294,179.05882352941177,102.58823529411765,3.1176470588235294,17.294117647058822,330.3529411764706,180.11764705882354,150.23529411764707,2.4705882352941178
1121969CRD,November 2,NOR,CRD,17.0,293.05882352941177,186.47058823529412,106.58823529411765,2.9411764705882355,17.294117647058822,343.11764705882354,192.35294117647058,150.76470588235293,2.6470588235294117
1191969DAL,November 9,NOR,DAL,17.58823529411765,298.70588235294116,190.94117647058823,107.76470588235294,2.7058823529411766,17.470588235294116,357.70588235294116,204.11764705882354,153.58823529411765,2.5294117647058822
11161969NYG,November 16,NOR,NYG,17.58823529411765,300.05882352941177,189.47058823529412,110.58823529411765,2.6470588235294117,17.58823529411765,361.4117647058824,213.8235294117647,147.58823529411765,2.5294117647058822
11231969NOR,November 23,NOR,SFO,18.176470588235293,306.0,194.2941176470588,111.70588235294117,2.6470588235294117,17.88235294117647,363.8235294117647,216.52941176470588,147.2941176470588,2.5294117647058822
11301969NOR,November 30,NOR,PHI,18.764705882352942,314.3529411764706,195.2941176470588,119.05882352941177,2.411764705882353,17.470588235294116,357.88235294117646,216.1764705882353,141.7058823529412,2.3529411764705883
1271969ATL,December 7,NOR,ATL,18.705882352941178,314.52941176470586,200.05882352941177,114.47058823529412,2.3529411764705883,17.352941176470587,352.52941176470586,214.2941176470588,138.23529411764707,2.0588235294117645
12141969WAS,December 14,NOR,WAS,19.235294117647058,326.29411764705884,205.94117647058823,120.3529411764706,2.2941176470588234,17.176470588235293,350.11764705882354,214.2941176470588,135.8235294117647,1.9411764705882353
12211969NOR,December 21,NOR,PIT,19.58823529411765,330.88235294117646,212.47058823529412,118.41176470588235,2.235294117647059,16.941176470588236,349.70588235294116,211.47058823529412,138.23529411764707,1.8235294117647058
9201970NOR,September 20,NOR,ATL,19.11764705882353,327.52941176470586,210.8235294117647,116.70588235294117,2.0588235294117645,16.88235294117647,350.05882352941177,215.58823529411765,134.47058823529412,1.7647058823529411
9271970MIN,September 27,NOR,MIN,18.352941176470587,316.94117647058823,203.11764705882354,113.82352941176471,2.235294117647059,16.705882352941178,348.47058823529414,216.64705882352942,131.8235294117647,1.7647058823529411
1041970NOR,October 4,NOR,NYG,18.176470588235293,307.52941176470586,193.35294117647058,114.17647058823529,2.411764705882353,17.058823529411764,349.11764705882354,217.2941176470588,131.8235294117647,1.7058823529411764
10111970CRD,October 11,NOR,CRD,18.11764705882353,308.3529411764706,199.2941176470588,109.05882352941177,2.4705882352941178,17.352941176470587,356.70588235294116,217.7058823529412,139.0,1.8235294117647058
10181970SFO,October 18,NOR,SFO,17.941176470588236,306.7647058823529,195.41176470588235,111.3529411764706,2.4705882352941178,17.176470588235293,359.2352941176471,228.47058823529412,130.76470588235293,2.0
10251970ATL,October 25,NOR,ATL,17.647058823529413,304.2352941176471,190.35294117647058,113.88235294117646,2.4705882352941178,17.41176470588235,354.7647058823529,223.7058823529412,131.05882352941177,2.0588235294117645
