game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9101966SDG,September 10,NWE,SDG,,,,,,,,,,
9181966DEN,September 18,NWE,DEN,,,,,,,,,,
9251966NWE,September 25,NWE,KAN,,,,,,,,,,
1021966NWE,October 2,NWE,NYJ,,,,,,,,,,
1081966BUF,October 8,NWE,BUF,,,,,,,,,,
10231966NWE,October 23,NWE,SDG,,,,,,,,,,
10301966NWE,October 30,NWE,RAI,,,,,,,,,,
1161966NWE,November 6,NWE,DEN,,,,,,,,,,
11131966NWE,November 13,NWE,OTI,,,,,,,,,,
11201966KAN,November 20,NWE,KAN,,,,,,,,,,
11271966MIA,November 27,NWE,MIA,,,,,,,,,,
1241966NWE,December 4,NWE,BUF,,,,,,,,,,
12111966OTI,December 11,NWE,OTI,,,,,,,,,,
12171966NYJ,December 17,NWE,NYJ,,,,,,,,,,
931967DEN,September 3,NWE,DEN,,,,,,,,,,
991967SDG,September 9,NWE,SDG,,,,,,,,,,
9171967RAI,September 17,NWE,RAI,17.0,318.5882352941176,186.47058823529412,132.11764705882354,2.9411764705882355,16.529411764705884,317.47058823529414,233.88235294117646,83.58823529411765,2.411764705882353
9241967BUF,September 24,NWE,BUF,16.88235294117647,319.3529411764706,184.11764705882354,135.23529411764707,2.7058823529411766,16.470588235294116,315.2352941176471,237.2941176470588,77.94117647058823,2.764705882352941
1081967SDG,October 8,NWE,SDG,17.176470588235293,326.7647058823529,192.8235294117647,133.94117647058823,2.588235294117647,16.764705882352942,321.8235294117647,246.23529411764707,75.58823529411765,2.6470588235294117
10151967NWE,October 15,NWE,MIA,17.352941176470587,335.11764705882354,199.1764705882353,135.94117647058823,2.588235294117647,16.11764705882353,311.70588235294116,238.2941176470588,73.41176470588235,2.8823529411764706
10221967NWE,October 22,NWE,RAI,17.235294117647058,326.8235294117647,193.41176470588235,133.41176470588235,2.764705882352941,16.294117647058822,313.3529411764706,233.76470588235293,79.58823529411765,2.823529411764706
10291967NYJ,October 29,NWE,NYJ,17.176470588235293,320.0,188.76470588235293,131.23529411764707,2.823529411764706,16.58823529411765,318.52941176470586,237.23529411764707,81.29411764705883,2.823529411764706
1151967NWE,November 5,NWE,OTI,17.0,315.94117647058823,182.58823529411765,133.35294117647058,2.6470588235294117,16.294117647058822,310.94117647058823,227.76470588235293,83.17647058823529,2.7058823529411766
11121967NWE,November 12,NWE,KAN,16.764705882352942,314.70588235294116,192.47058823529412,122.23529411764706,2.7058823529411766,16.647058823529413,314.11764705882354,226.94117647058823,87.17647058823529,2.764705882352941
11191967NWE,November 19,NWE,NYJ,17.058823529411764,324.47058823529414,199.11764705882354,125.3529411764706,2.588235294117647,16.647058823529413,322.94117647058823,235.2941176470588,87.6470588235294,2.5294117647058822
11261967OTI,November 26,NWE,OTI,16.705882352941178,315.1764705882353,192.11764705882354,123.05882352941177,2.8823529411764706,16.41176470588235,315.6470588235294,221.76470588235293,93.88235294117646,2.6470588235294117
1291967NWE,December 9,NWE,BUF,16.11764705882353,302.7647058823529,183.41176470588235,119.3529411764706,3.176470588235294,16.176470588235293,309.3529411764706,211.94117647058823,97.41176470588235,2.5294117647058822
12171967MIA,December 17,NWE,MIA,16.647058823529413,307.4117647058824,187.8235294117647,119.58823529411765,3.411764705882353,16.176470588235293,310.8235294117647,211.05882352941177,99.76470588235294,2.2941176470588234
981968BUF,September 8,NWE,BUF,16.470588235294116,305.5882352941176,183.47058823529412,122.11764705882354,3.5294117647058822,15.823529411764707,303.5882352941176,201.7058823529412,101.88235294117646,2.2941176470588234
9221968NWE,September 22,NWE,NYJ,15.529411764705882,296.5882352941176,185.35294117647058,111.23529411764706,3.8823529411764706,15.882352941176471,305.52941176470586,202.8235294117647,102.70588235294117,2.411764705882353
9291968DEN,September 29,NWE,DEN,15.117647058823529,281.94117647058823,171.47058823529412,110.47058823529412,3.764705882352941,15.235294117647058,288.2352941176471,190.94117647058823,97.29411764705883,2.588235294117647
1061968RAI,October 6,NWE,RAI,15.058823529411764,272.7647058823529,164.76470588235293,108.0,3.4705882352941178,16.235294117647058,302.47058823529414,199.0,103.47058823529412,2.6470588235294117
10131968NWE,October 13,NWE,OTI,14.764705882352942,260.52941176470586,156.52941176470588,104.0,3.5294117647058822,16.294117647058822,299.52941176470586,190.23529411764707,109.29411764705883,2.588235294117647
10201968NWE,October 20,NWE,BUF,14.529411764705882,263.05882352941177,150.94117647058823,112.11764705882354,3.3529411764705883,16.058823529411764,289.88235294117646,185.47058823529412,104.41176470588235,2.823529411764706
10271968NYJ,October 27,NWE,NYJ,14.235294117647058,260.7647058823529,156.8235294117647,103.94117647058823,3.823529411764706,16.823529411764707,296.6470588235294,184.47058823529412,112.17647058823529,2.6470588235294117
1131968NWE,November 3,NWE,DEN,13.882352941176471,248.2941176470588,147.05882352941177,101.23529411764706,4.0,16.88235294117647,307.52941176470586,184.94117647058823,122.58823529411765,2.823529411764706
