game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9111966PIT,September 11,NYG,PIT,,,,,,,,,,
9181966DAL,September 18,NYG,DAL,,,,,,,,,,
9251966PHI,September 25,NYG,PHI,,,,,,,,,,
1021966NYG,October 2,NYG,CLE,,,,,,,,,,
1091966CRD,October 9,NYG,CRD,,,,,,,,,,
10161966NYG,October 16,NYG,WAS,,,,,,,,,,
10231966NYG,October 23,NYG,PHI,,,,,,,,,,
1161966NYG,November 6,NYG,CRD,,,,,,,,,,
11131966RAM,November 13,NYG,RAM,,,,,,,,,,
11201966NYG,November 20,NYG,ATL,,,,,,,,,,
11271966WAS,November 27,NYG,WAS,,,,,,,,,,
1241966CLE,December 4,NYG,CLE,,,,,,,,,,
12111966NYG,December 11,NYG,PIT,,,,,,,,,,
12181966NYG,December 18,NYG,DAL,,,,,,,,,,
9171967CRD,September 17,NYG,CRD,,,,,,,,,,
9241967DAL,September 24,NYG,DAL,,,,,,,,,,
1011967WAS,October 1,NYG,WAS,16.823529411764707,297.29411764705884,187.7058823529412,109.58823529411765,2.9411764705882355,19.941176470588236,360.11764705882354,209.23529411764707,150.88235294117646,1.9411764705882353
1081967NYG,October 8,NYG,NOR,18.0,312.3529411764706,193.64705882352942,118.70588235294117,2.7058823529411766,19.41176470588235,348.70588235294116,201.7058823529412,147.0,1.8235294117647058
10151967PIT,October 15,NYG,PIT,18.0,319.6470588235294,204.52941176470588,115.11764705882354,2.588235294117647,18.941176470588236,333.47058823529414,191.2941176470588,142.1764705882353,1.8823529411764706
10221967NYG,October 22,NYG,GNB,18.058823529411764,316.0,201.2941176470588,114.70588235294117,2.764705882352941,19.529411764705884,340.88235294117646,190.52941176470588,150.35294117647058,1.8823529411764706
10291967NYG,October 29,NYG,CLE,18.647058823529413,322.5882352941176,202.76470588235293,119.82352941176471,2.5294117647058822,19.176470588235293,338.0,196.35294117647058,141.64705882352942,2.0588235294117645
1151967MIN,November 5,NYG,MIN,18.470588235294116,330.3529411764706,208.23529411764707,122.11764705882354,2.5294117647058822,19.294117647058822,340.11764705882354,192.7058823529412,147.41176470588235,2.1176470588235294
11121967CHI,November 12,NYG,CHI,18.294117647058822,320.70588235294116,199.41176470588235,121.29411764705883,2.7058823529411766,19.705882352941178,344.5882352941176,193.2941176470588,151.2941176470588,2.0588235294117645
11191967NYG,November 19,NYG,PIT,18.58823529411765,321.29411764705884,200.52941176470588,120.76470588235294,2.6470588235294117,19.705882352941178,342.52941176470586,198.94117647058823,143.58823529411765,2.0588235294117645
11261967NYG,November 26,NYG,PHI,19.470588235294116,335.05882352941177,206.41176470588235,128.64705882352942,2.5294117647058822,19.647058823529413,337.11764705882354,200.0,137.11764705882354,2.176470588235294
1231967CLE,December 3,NYG,CLE,20.11764705882353,349.1764705882353,213.8235294117647,135.35294117647058,2.4705882352941178,18.41176470588235,316.11764705882354,181.35294117647058,134.76470588235293,2.176470588235294
12101967NYG,December 10,NYG,DET,19.764705882352942,340.11764705882354,206.58823529411765,133.52941176470588,2.2941176470588234,18.235294117647058,317.11764705882354,183.76470588235293,133.35294117647058,2.176470588235294
12171967NYG,December 17,NYG,CRD,19.470588235294116,341.8235294117647,206.41176470588235,135.41176470588235,2.0588235294117645,18.41176470588235,316.47058823529414,191.41176470588235,125.05882352941177,2.235294117647059
9151968PIT,September 15,NYG,PIT,19.352941176470587,341.5882352941176,208.94117647058823,132.64705882352942,2.1176470588235294,18.352941176470587,309.2352941176471,184.1764705882353,125.05882352941177,2.2941176470588234
9221968PHI,September 22,NYG,PHI,19.88235294117647,345.52941176470586,208.05882352941177,137.47058823529412,2.0588235294117645,17.88235294117647,305.3529411764706,174.05882352941177,131.2941176470588,2.411764705882353
9291968NYG,September 29,NYG,WAS,19.941176470588236,352.29411764705884,212.23529411764707,140.05882352941177,2.0,18.58823529411765,312.3529411764706,181.23529411764707,131.11764705882354,2.588235294117647
1061968NYG,October 6,NYG,NOR,20.176470588235293,347.88235294117646,208.35294117647058,139.52941176470588,2.0588235294117645,18.764705882352942,309.7647058823529,185.11764705882354,124.6470588235294,2.4705882352941178
10131968ATL,October 13,NYG,ATL,20.647058823529413,357.0,211.41176470588235,145.58823529411765,2.0588235294117645,18.41176470588235,304.3529411764706,182.1764705882353,122.17647058823529,2.411764705882353
10201968NYG,October 20,NYG,SFO,20.58823529411765,342.4117647058824,200.94117647058823,141.47058823529412,2.0588235294117645,18.352941176470587,303.6470588235294,176.47058823529412,127.17647058823529,2.3529411764705883
10271968WAS,October 27,NYG,WAS,20.235294117647058,328.4117647058824,187.76470588235293,140.64705882352942,2.1176470588235294,17.941176470588236,299.6470588235294,172.64705882352942,127.0,2.411764705882353
1131968NYG,November 3,NYG,CLT,19.88235294117647,318.6470588235294,179.23529411764707,139.41176470588235,2.176470588235294,18.176470588235293,303.70588235294116,171.88235294117646,131.8235294117647,2.3529411764705883
11101968DAL,November 10,NYG,DAL,19.470588235294116,316.8235294117647,179.23529411764707,137.58823529411765,2.0,17.941176470588236,300.88235294117646,177.88235294117646,123.0,2.6470588235294117
11171968NYG,November 17,NYG,PHI,19.11764705882353,310.2352941176471,172.58823529411765,137.64705882352942,2.0,17.470588235294116,285.47058823529414,164.94117647058823,120.52941176470588,2.588235294117647
11241968RAM,November 24,NYG,RAM,19.176470588235293,302.5882352941176,166.05882352941177,136.52941176470588,2.0588235294117645,17.58823529411765,285.88235294117646,166.58823529411765,119.29411764705883,2.6470588235294117
1211968CLE,December 1,NYG,CLE,19.058823529411764,303.8235294117647,166.0,137.8235294117647,2.1176470588235294,18.11764705882353,292.5882352941176,171.8235294117647,120.76470588235294,2.7058823529411766
