game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
991966MIA,September 9,NYJ,MIA,,,,,,,,,,
9181966NYJ,September 18,NYJ,OTI,,,,,,,,,,
9251966DEN,September 25,NYJ,DEN,,,,,,,,,,
1021966NWE,October 2,NYJ,NWE,,,,,,,,,,
1081966NYJ,October 8,NYJ,SDG,,,,,,,,,,
10161966OTI,October 16,NYJ,OTI,,,,,,,,,,
10231966NYJ,October 23,NYJ,RAI,,,,,,,,,,
10301966NYJ,October 30,NYJ,BUF,,,,,,,,,,
11131966BUF,November 13,NYJ,BUF,,,,,,,,,,
11201966NYJ,November 20,NYJ,MIA,,,,,,,,,,
11271966NYJ,November 27,NYJ,KAN,,,,,,,,,,
1231966RAI,December 3,NYJ,RAI,,,,,,,,,,
12111966SDG,December 11,NYJ,SDG,,,,,,,,,,
12171966NYJ,December 17,NYJ,NWE,,,,,,,,,,
9101967BUF,September 10,NYJ,BUF,,,,,,,,,,
9241967DEN,September 24,NYJ,DEN,,,,,,,,,,
1011967NYJ,October 1,NYJ,MIA,18.647058823529413,362.05882352941177,260.29411764705884,101.76470588235294,2.411764705882353,16.11764705882353,299.5882352941176,191.11764705882354,108.47058823529412,2.1176470588235294
1071967NYJ,October 7,NYJ,RAI,18.705882352941178,365.0,260.0,105.0,2.411764705882353,16.176470588235293,305.4117647058824,196.64705882352942,108.76470588235294,2.176470588235294
10151967NYJ,October 15,NYJ,OTI,18.823529411764707,359.1764705882353,257.3529411764706,101.82352941176471,2.764705882352941,15.705882352941176,300.94117647058823,191.64705882352942,109.29411764705883,2.0588235294117645
10221967MIA,October 22,NYJ,MIA,18.823529411764707,357.7647058823529,257.11764705882354,100.6470588235294,2.588235294117647,16.294117647058822,304.70588235294116,195.35294117647058,109.3529411764706,2.0588235294117645
10291967NYJ,October 29,NYJ,NWE,18.823529411764707,360.2352941176471,256.52941176470586,103.70588235294117,2.5294117647058822,16.176470588235293,301.52941176470586,193.0,108.52941176470588,2.1176470588235294
1151967KAN,November 5,NYJ,KAN,19.41176470588235,365.6470588235294,265.05882352941177,100.58823529411765,2.588235294117647,16.235294117647058,298.4117647058824,182.88235294117646,115.52941176470588,2.1176470588235294
11121967NYJ,November 12,NYJ,BUF,19.647058823529413,374.11764705882354,272.70588235294116,101.41176470588235,2.4705882352941178,16.176470588235293,293.5882352941176,179.23529411764707,114.3529411764706,2.0588235294117645
11191967NWE,November 19,NYJ,NWE,19.0,373.70588235294116,274.1764705882353,99.52941176470588,2.4705882352941178,16.11764705882353,290.1764705882353,177.76470588235293,112.41176470588235,2.1176470588235294
1231967NYJ,December 3,NYJ,DEN,19.352941176470587,374.70588235294116,273.11764705882354,101.58823529411765,2.4705882352941178,15.647058823529411,282.7647058823529,170.94117647058823,111.82352941176471,1.8235294117647058
12101967NYJ,December 10,NYJ,KAN,19.470588235294116,365.1764705882353,261.94117647058823,103.23529411764706,2.588235294117647,15.823529411764707,281.5882352941176,167.88235294117646,113.70588235294117,1.9411764705882353
12171967RAI,December 17,NYJ,RAI,19.764705882352942,374.0,269.0,105.0,2.764705882352941,16.11764705882353,296.3529411764706,179.35294117647058,117.0,2.1176470588235294
12241967SDG,December 24,NYJ,SDG,20.235294117647058,382.5882352941176,272.7647058823529,109.82352941176471,2.7058823529411766,15.647058823529411,298.52941176470586,175.52941176470588,123.0,2.235294117647059
9151968KAN,September 15,NYJ,KAN,20.352941176470587,377.1764705882353,271.5882352941176,105.58823529411765,2.5294117647058822,15.294117647058824,285.94117647058823,165.05882352941177,120.88235294117646,2.235294117647059
9221968NWE,September 22,NYJ,NWE,20.0,373.2352941176471,271.5882352941176,101.6470588235294,2.4705882352941178,14.705882352941176,282.05882352941177,171.0,111.05882352941177,2.5294117647058822
9291968BUF,September 29,NYJ,BUF,19.470588235294116,367.29411764705884,269.8235294117647,97.47058823529412,2.823529411764706,14.058823529411764,266.52941176470586,152.05882352941177,114.47058823529412,2.4705882352941178
