game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
931966OTI,September 3,OTI,DEN,,,,,,,,,,
9101966OTI,September 10,OTI,RAI,,,,,,,,,,
9181966NYJ,September 18,OTI,NYJ,,,,,,,,,,
9251966BUF,September 25,OTI,BUF,,,,,,,,,,
1021966DEN,October 2,OTI,DEN,,,,,,,,,,
10161966OTI,October 16,OTI,NYJ,,,,,,,,,,
10231966OTI,October 23,OTI,MIA,,,,,,,,,,
10301966KAN,October 30,OTI,KAN,,,,,,,,,,
1161966RAI,November 6,OTI,RAI,,,,,,,,,,
11131966NWE,November 13,OTI,NWE,,,,,,,,,,
11201966OTI,November 20,OTI,BUF,,,,,,,,,,
1241966OTI,December 4,OTI,SDG,,,,,,,,,,
12111966OTI,December 11,OTI,NWE,,,,,,,,,,
12181966MIA,December 18,OTI,MIA,,,,,,,,,,
991967OTI,September 9,OTI,KAN,,,,,,,,,,
9171967BUF,September 17,OTI,BUF,,,,,,,,,,
9241967SDG,September 24,OTI,SDG,16.764705882352942,297.2352941176471,186.52941176470588,110.70588235294117,2.7058823529411766,17.058823529411764,342.6470588235294,217.0,125.6470588235294,2.176470588235294
1011967OTI,October 1,OTI,DEN,15.941176470588236,283.70588235294116,175.76470588235293,107.94117647058823,2.764705882352941,17.941176470588236,355.11764705882354,220.2941176470588,134.8235294117647,2.176470588235294
10151967NYJ,October 15,OTI,NYJ,15.235294117647058,275.5882352941176,167.1764705882353,108.41176470588235,2.764705882352941,18.058823529411764,360.70588235294116,225.94117647058823,134.76470588235293,2.1176470588235294
10221967KAN,October 22,OTI,KAN,14.705882352941176,270.88235294117646,161.7058823529412,109.17647058823529,2.5294117647058822,17.823529411764707,352.29411764705884,215.7058823529412,136.58823529411765,2.2941176470588234
10291967OTI,October 29,OTI,BUF,14.411764705882353,263.88235294117646,149.05882352941177,114.82352941176471,2.411764705882353,17.823529411764707,348.70588235294116,213.35294117647058,135.35294117647058,2.3529411764705883
1151967NWE,November 5,OTI,NWE,13.882352941176471,253.05882352941177,139.58823529411765,113.47058823529412,2.2941176470588234,17.941176470588236,347.70588235294116,208.94117647058823,138.76470588235293,2.2941176470588234
11121967DEN,November 12,OTI,DEN,14.411764705882353,255.8235294117647,135.76470588235293,120.05882352941177,2.2941176470588234,18.11764705882353,348.05882352941177,207.8235294117647,140.23529411764707,2.0588235294117645
11261967OTI,November 26,OTI,NWE,14.588235294117647,252.8235294117647,128.1764705882353,124.6470588235294,2.1176470588235294,18.176470588235293,341.7647058823529,206.88235294117646,134.88235294117646,2.3529411764705883
1231967OTI,December 3,OTI,MIA,14.823529411764707,263.7647058823529,128.23529411764707,135.52941176470588,2.0588235294117645,17.823529411764707,328.52941176470586,200.52941176470588,128.0,2.235294117647059
12101967OTI,December 10,OTI,RAI,15.176470588235293,263.29411764705884,127.88235294117646,135.41176470588235,2.0,18.352941176470587,330.3529411764706,200.8235294117647,129.52941176470588,2.176470588235294
12161967OTI,December 16,OTI,SDG,15.235294117647058,260.94117647058823,120.47058823529412,140.47058823529412,2.0588235294117645,18.294117647058822,324.7647058823529,198.23529411764707,126.52941176470588,2.176470588235294
12231967MIA,December 23,OTI,MIA,15.470588235294118,261.1764705882353,111.29411764705883,149.88235294117646,1.8823529411764706,17.88235294117647,315.4117647058824,191.8235294117647,123.58823529411765,2.588235294117647
12311967RAI,December 31,OTI,RAI,14.764705882352942,246.52941176470588,108.70588235294117,137.8235294117647,1.9411764705882353,18.058823529411764,314.5882352941176,180.0,134.58823529411765,2.411764705882353
991968OTI,September 9,OTI,KAN,15.117647058823529,258.5882352941176,121.3529411764706,137.23529411764707,2.0588235294117645,17.235294117647058,300.05882352941177,167.58823529411765,132.47058823529412,2.411764705882353
