game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9111966CRD,September 11,PHI,CRD,,,,,,,,,,
9181966PHI,September 18,PHI,ATL,,,,,,,,,,
9251966PHI,September 25,PHI,NYG,,,,,,,,,,
1021966PHI,October 2,PHI,CRD,,,,,,,,,,
1091966DAL,October 9,PHI,DAL,,,,,,,,,,
10161966PIT,October 16,PHI,PIT,,,,,,,,,,
10231966NYG,October 23,PHI,NYG,,,,,,,,,,
10301966PHI,October 30,PHI,WAS,,,,,,,,,,
1161966PHI,November 6,PHI,DAL,,,,,,,,,,
11131966CLE,November 13,PHI,CLE,,,,,,,,,,
11201966SFO,November 20,PHI,SFO,,,,,,,,,,
1241966PHI,December 4,PHI,PIT,,,,,,,,,,
12111966PHI,December 11,PHI,CLE,,,,,,,,,,
12181966WAS,December 18,PHI,WAS,,,,,,,,,,
9171967PHI,September 17,PHI,WAS,,,,,,,,,,
9241967PHI,September 24,PHI,CLT,,,,,,,,,,
1011967PHI,October 1,PHI,PIT,16.58823529411765,282.52941176470586,158.11764705882354,124.41176470588235,2.7058823529411766,18.235294117647058,318.88235294117646,201.11764705882354,117.76470588235294,2.2941176470588234
1081967ATL,October 8,PHI,ATL,16.58823529411765,289.94117647058823,161.52941176470588,128.41176470588235,2.7058823529411766,18.058823529411764,320.6470588235294,204.94117647058823,115.70588235294117,2.588235294117647
10151967PHI,October 15,PHI,SFO,16.294117647058822,284.29411764705884,165.41176470588235,118.88235294117646,2.588235294117647,18.529411764705884,325.8235294117647,205.76470588235293,120.05882352941177,2.411764705882353
10221967CRD,October 22,PHI,CRD,16.235294117647058,287.11764705882354,170.52941176470588,116.58823529411765,2.7058823529411766,18.705882352941178,327.5882352941176,207.58823529411765,120.0,2.3529411764705883
10291967PHI,October 29,PHI,DAL,16.58823529411765,293.6470588235294,170.35294117647058,123.29411764705883,2.764705882352941,19.0,336.94117647058823,215.1764705882353,121.76470588235294,2.588235294117647
1151967NOR,November 5,PHI,NOR,17.11764705882353,302.0,175.2941176470588,126.70588235294117,2.823529411764706,17.88235294117647,313.2352941176471,197.35294117647058,115.88235294117646,2.7058823529411766
11121967RAM,November 12,PHI,RAM,16.470588235294116,300.5882352941176,182.47058823529412,118.11764705882354,2.9411764705882355,18.41176470588235,325.94117647058823,205.7058823529412,120.23529411764706,2.764705882352941
11191967PHI,November 19,PHI,NOR,16.647058823529413,306.7647058823529,195.23529411764707,111.52941176470588,2.9411764705882355,18.529411764705884,330.70588235294116,210.7058823529412,120.0,2.764705882352941
11261967NYG,November 26,PHI,NYG,16.705882352941178,301.7647058823529,194.1764705882353,107.58823529411765,3.0588235294117645,19.058823529411764,341.52941176470586,217.11764705882354,124.41176470588235,2.588235294117647
1231967WAS,December 3,PHI,WAS,17.470588235294116,318.52941176470586,209.11764705882354,109.41176470588235,3.1176470588235294,19.764705882352942,354.47058823529414,231.11764705882354,123.3529411764706,2.6470588235294117
12101967DAL,December 10,PHI,DAL,17.176470588235293,307.47058823529414,203.47058823529412,104.0,3.176470588235294,20.058823529411764,353.29411764705884,230.05882352941177,123.23529411764706,2.8823529411764706
12171967PHI,December 17,PHI,CLE,17.352941176470587,310.47058823529414,206.1764705882353,104.29411764705883,3.0,19.941176470588236,348.5882352941176,227.35294117647058,121.23529411764706,2.7058823529411766
9151968GNB,September 15,PHI,GNB,17.11764705882353,308.94117647058823,209.88235294117646,99.05882352941177,2.9411764705882355,20.11764705882353,356.11764705882354,229.58823529411765,126.52941176470588,2.6470588235294117
9221968PHI,September 22,PHI,NYG,16.823529411764707,309.29411764705884,210.35294117647058,98.94117647058823,2.823529411764706,20.294117647058822,357.7647058823529,226.35294117647058,131.41176470588235,2.5294117647058822
9291968PHI,September 29,PHI,DAL,16.470588235294116,306.52941176470586,213.47058823529412,93.05882352941177,3.0,20.529411764705884,361.47058823529414,228.2941176470588,133.1764705882353,2.2941176470588234
1061968WAS,October 6,PHI,WAS,16.176470588235293,294.47058823529414,205.35294117647058,89.11764705882354,3.1176470588235294,20.294117647058822,357.47058823529414,221.94117647058823,135.52941176470588,2.2941176470588234
10131968DAL,October 13,PHI,DAL,15.882352941176471,286.52941176470586,195.41176470588235,91.11764705882354,3.176470588235294,20.647058823529413,361.52941176470586,221.35294117647058,140.1764705882353,2.3529411764705883
10201968PHI,October 20,PHI,CHI,15.588235294117647,278.94117647058823,185.41176470588235,93.52941176470588,3.2941176470588234,20.470588235294116,358.0,217.1764705882353,140.8235294117647,2.235294117647059
10271968PIT,October 27,PHI,PIT,15.411764705882353,273.47058823529414,184.94117647058823,88.52941176470588,3.411764705882353,20.235294117647058,354.52941176470586,211.47058823529412,143.05882352941177,1.9411764705882353
1131968PHI,November 3,PHI,CRD,15.529411764705882,279.2352941176471,186.64705882352942,92.58823529411765,3.4705882352941178,20.058823529411764,353.11764705882354,209.11764705882354,144.0,2.0
11101968PHI,November 10,PHI,WAS,15.294117647058824,276.70588235294116,184.23529411764707,92.47058823529412,3.4705882352941178,19.764705882352942,344.3529411764706,198.8235294117647,145.52941176470588,2.1176470588235294
11171968NYG,November 17,PHI,NYG,14.470588235294118,262.94117647058823,176.8235294117647,86.11764705882354,3.2941176470588234,19.941176470588236,342.47058823529414,195.52941176470588,146.94117647058823,1.9411764705882353
11241968CLE,November 24,PHI,CLE,14.529411764705882,261.94117647058823,178.11764705882354,83.82352941176471,3.5294117647058822,20.470588235294116,353.5882352941176,201.41176470588235,152.1764705882353,1.8235294117647058
11281968DET,November 28,PHI,DET,14.588235294117647,256.29411764705884,168.35294117647058,87.94117647058823,3.2941176470588234,19.58823529411765,340.29411764705884,191.58823529411765,148.7058823529412,1.8235294117647058
1281968PHI,December 8,PHI,NOR,14.235294117647058,250.23529411764707,158.7058823529412,91.52941176470588,3.235294117647059,19.941176470588236,340.4117647058824,189.52941176470588,150.88235294117646,1.588235294117647
12151968PHI,December 15,PHI,MIN,14.411764705882353,256.94117647058823,160.0,96.94117647058823,3.1176470588235294,19.294117647058822,330.7647058823529,181.7058823529412,149.05882352941177,1.7058823529411764
9211969PHI,September 21,PHI,CLE,14.058823529411764,249.94117647058823,153.05882352941177,96.88235294117646,3.0,18.764705882352942,325.4117647058824,171.7058823529412,153.7058823529412,1.8235294117647058
9281969PHI,September 28,PHI,PIT,14.470588235294118,271.0,167.11764705882354,103.88235294117646,2.823529411764706,18.58823529411765,327.1764705882353,177.35294117647058,149.8235294117647,1.7058823529411764
1051969PHI,October 5,PHI,DAL,14.294117647058824,265.8235294117647,166.11764705882354,99.70588235294117,2.823529411764706,18.88235294117647,339.05882352941177,186.2941176470588,152.76470588235293,1.6470588235294117
10131969CLT,October 13,PHI,CLT,14.470588235294118,268.29411764705884,170.47058823529412,97.82352941176471,2.823529411764706,19.235294117647058,338.1764705882353,189.64705882352942,148.52941176470588,1.7647058823529411
10191969DAL,October 19,PHI,DAL,14.235294117647058,259.70588235294116,170.2941176470588,89.41176470588235,2.823529411764706,19.235294117647058,342.29411764705884,195.52941176470588,146.76470588235293,1.7647058823529411
10261969PHI,October 26,PHI,NOR,14.588235294117647,265.7647058823529,171.52941176470588,94.23529411764706,2.6470588235294117,18.764705882352942,333.4117647058824,192.88235294117646,140.52941176470588,1.8823529411764706
1121969NYG,November 2,PHI,NYG,14.823529411764707,270.11764705882354,173.05882352941177,97.05882352941177,2.6470588235294117,18.529411764705884,331.7647058823529,192.41176470588235,139.35294117647058,1.8823529411764706
1191969WAS,November 9,PHI,WAS,15.647058823529411,282.3529411764706,180.52941176470588,101.82352941176471,2.5294117647058822,18.0,327.3529411764706,190.0,137.35294117647058,1.8823529411764706
11161969PHI,November 16,PHI,RAM,15.823529411764707,290.47058823529414,184.88235294117646,105.58823529411765,2.588235294117647,17.823529411764707,326.11764705882354,192.35294117647058,133.76470588235293,1.9411764705882353
11231969CRD,November 23,PHI,CRD,16.058823529411764,293.0,189.76470588235293,103.23529411764706,2.588235294117647,18.41176470588235,335.8235294117647,201.52941176470588,134.2941176470588,2.0
11301969NOR,November 30,PHI,NOR,15.941176470588236,290.7647058823529,188.8235294117647,101.94117647058823,2.764705882352941,18.529411764705884,337.1764705882353,203.0,134.1764705882353,1.9411764705882353
1271969PHI,December 7,PHI,WAS,16.294117647058822,297.05882352941177,192.23529411764707,104.82352941176471,2.764705882352941,18.705882352941178,340.94117647058823,206.94117647058823,134.0,1.9411764705882353
12141969PHI,December 14,PHI,ATL,16.529411764705884,304.52941176470586,195.05882352941177,109.47058823529412,2.823529411764706,18.764705882352942,346.70588235294116,209.11764705882354,137.58823529411765,1.8823529411764706
