game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9111966ATL,September 11,RAM,ATL,,,,,,,,,,
9161966RAM,September 16,RAM,CHI,,,,,,,,,,
9251966GNB,September 25,RAM,GNB,,,,,,,,,,
9301966RAM,September 30,RAM,SFO,,,,,,,,,,
1091966DET,October 9,RAM,DET,,,,,,,,,,
10161966MIN,October 16,RAM,MIN,,,,,,,,,,
10231966CHI,October 23,RAM,CHI,,,,,,,,,,
10301966RAM,October 30,RAM,CLT,,,,,,,,,,
1161966SFO,November 6,RAM,SFO,,,,,,,,,,
11131966RAM,November 13,RAM,NYG,,,,,,,,,,
11201966RAM,November 20,RAM,MIN,,,,,,,,,,
11271966CLT,November 27,RAM,CLT,,,,,,,,,,
1241966RAM,December 4,RAM,DET,,,,,,,,,,
12181966RAM,December 18,RAM,GNB,,,,,,,,,,
9171967NOR,September 17,RAM,NOR,,,,,,,,,,
9221967RAM,September 22,RAM,MIN,,,,,,,,,,
1011967DAL,October 1,RAM,DAL,18.764705882352942,313.94117647058823,181.64705882352942,132.2941176470588,1.9411764705882353,14.470588235294118,268.5882352941176,178.8235294117647,89.76470588235294,3.4705882352941178
1081967RAM,October 8,RAM,SFO,18.352941176470587,304.05882352941177,173.0,131.05882352941177,2.176470588235294,14.705882352941176,274.3529411764706,187.8235294117647,86.52941176470588,3.5294117647058822
10151967CLT,October 15,RAM,CLT,18.470588235294116,310.88235294117646,178.11764705882354,132.76470588235293,2.0,15.176470588235293,281.94117647058823,196.76470588235293,85.17647058823529,3.4705882352941178
10221967RAM,October 22,RAM,WAS,19.176470588235293,326.47058823529414,188.8235294117647,137.64705882352942,1.9411764705882353,15.352941176470589,283.52941176470586,201.0,82.52941176470588,3.176470588235294
10291967CHI,October 29,RAM,CHI,19.176470588235293,323.70588235294116,185.94117647058823,137.76470588235293,2.0588235294117645,15.117647058823529,279.3529411764706,194.52941176470588,84.82352941176471,3.1176470588235294
1151967SFO,November 5,RAM,SFO,18.470588235294116,310.94117647058823,176.76470588235293,134.1764705882353,1.8823529411764706,15.117647058823529,277.8235294117647,192.41176470588235,85.41176470588235,2.9411764705882355
11121967RAM,November 12,RAM,PHI,19.058823529411764,320.5882352941176,181.88235294117646,138.7058823529412,1.9411764705882353,14.588235294117647,270.70588235294116,186.64705882352942,84.05882352941177,3.176470588235294
11191967ATL,November 19,RAM,ATL,19.11764705882353,332.47058823529414,193.0,139.47058823529412,1.9411764705882353,14.470588235294118,267.8235294117647,186.94117647058823,80.88235294117646,3.3529411764705883
11231967DET,November 23,RAM,DET,18.764705882352942,327.94117647058823,189.8235294117647,138.11764705882354,1.6470588235294117,14.294117647058824,255.23529411764707,175.64705882352942,79.58823529411765,3.411764705882353
1231967RAM,December 3,RAM,ATL,19.352941176470587,337.7647058823529,192.94117647058823,144.8235294117647,1.7647058823529411,13.647058823529411,243.23529411764707,163.76470588235293,79.47058823529412,3.411764705882353
1291967RAM,December 9,RAM,GNB,18.294117647058822,323.1764705882353,185.47058823529412,137.7058823529412,1.8823529411764706,13.470588235294118,250.0,167.52941176470588,82.47058823529412,3.3529411764705883
12171967RAM,December 17,RAM,CLT,18.352941176470587,329.05882352941177,192.94117647058823,136.11764705882354,1.8823529411764706,13.941176470588236,254.47058823529412,174.2941176470588,80.17647058823529,3.235294117647059
12231967GNB,December 23,RAM,GNB,18.058823529411764,323.5882352941176,192.58823529411765,131.0,1.8823529411764706,14.705882352941176,268.2352941176471,180.41176470588235,87.82352941176471,3.3529411764705883
9161968CRD,September 16,RAM,CRD,18.11764705882353,320.3529411764706,188.88235294117646,131.47058823529412,1.9411764705882353,14.823529411764707,264.6470588235294,177.88235294117646,86.76470588235294,3.2941176470588234
9221968RAM,September 22,RAM,PIT,18.176470588235293,321.94117647058823,191.23529411764707,130.7058823529412,1.8235294117647058,14.941176470588236,258.94117647058823,175.8235294117647,83.11764705882354,3.235294117647059
9291968CLE,September 29,RAM,CLE,18.11764705882353,316.1764705882353,184.41176470588235,131.76470588235293,1.8823529411764706,14.294117647058824,248.94117647058823,169.2941176470588,79.6470588235294,3.235294117647059
