game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
911996RAV,September 1,RAV,RAI,,,,,,,,,,
981996PIT,September 8,RAV,PIT,,,,,,,,,,
9151996OTI,September 15,RAV,OTI,,,,,,,,,,
9291996RAV,September 29,RAV,NOR,,,,,,,,,,
1061996RAV,October 6,RAV,NWE,,,,,,,,,,
10131996CLT,October 13,RAV,CLT,,,,,,,,,,
10201996DEN,October 20,RAV,DEN,,,,,,,,,,
10271996RAV,October 27,RAV,RAM,,,,,,,,,,
1131996RAV,November 3,RAV,CIN,,,,,,,,,,
11101996JAX,November 10,RAV,JAX,,,,,,,,,,
11171996SFO,November 17,RAV,SFO,,,,,,,,,,
11241996RAV,November 24,RAV,JAX,,,,,,,,,,
1211996RAV,December 1,RAV,PIT,,,,,,,,,,
1281996CIN,December 8,RAV,CIN,,,,,,,,,,
12151996CAR,December 15,RAV,CAR,,,,,,,,,,
12221996RAV,December 22,RAV,OTI,,,,,,,,,,
8311997RAV,August 31,RAV,JAX,21.176470588235293,358.5882352941176,251.7058823529412,106.88235294117646,2.1176470588235294,21.764705882352942,370.5882352941176,251.2941176470588,119.29411764705883,1.3529411764705883
971997RAV,September 7,RAV,CIN,21.352941176470587,364.3529411764706,254.47058823529412,109.88235294117646,2.235294117647059,22.058823529411764,376.52941176470586,257.47058823529414,119.05882352941177,1.3529411764705883
9141997NYG,September 14,RAV,NYG,21.470588235294116,365.6470588235294,257.7647058823529,107.88235294117646,2.1176470588235294,22.235294117647058,376.11764705882354,262.05882352941177,114.05882352941177,1.2352941176470589
9211997OTI,September 21,RAV,OTI,21.58823529411765,372.52941176470586,263.70588235294116,108.82352941176471,1.9411764705882353,22.176470588235293,374.52941176470586,263.0,111.52941176470588,1.5294117647058822
9281997SDG,September 28,RAV,SDG,21.705882352941178,371.6470588235294,266.0,105.6470588235294,2.1176470588235294,22.0,382.88235294117646,271.8235294117647,111.05882352941177,1.7058823529411764
1051997RAV,October 5,RAV,PIT,21.235294117647058,363.94117647058823,263.05882352941177,100.88235294117646,2.3529411764705883,21.764705882352942,386.8235294117647,266.3529411764706,120.47058823529412,1.8823529411764706
10191997RAV,October 19,RAV,MIA,21.235294117647058,367.47058823529414,270.0,97.47058823529412,2.411764705882353,22.294117647058822,391.6470588235294,269.70588235294116,121.94117647058823,1.9411764705882353
10261997WAS,October 26,RAV,WAS,21.058823529411764,363.94117647058823,259.1764705882353,104.76470588235294,2.411764705882353,21.705882352941178,374.05882352941177,261.2352941176471,112.82352941176471,1.9411764705882353
1121997NYJ,November 2,RAV,NYJ,20.941176470588236,362.11764705882354,252.35294117647058,109.76470588235294,2.2941176470588234,21.058823529411764,358.70588235294116,251.58823529411765,107.11764705882354,1.7058823529411764
1191997PIT,November 9,RAV,PIT,20.235294117647058,350.4117647058824,242.52941176470588,107.88235294117646,2.4705882352941178,20.235294117647058,353.29411764705884,247.64705882352942,105.6470588235294,1.588235294117647
11161997RAV,November 16,RAV,PHI,19.941176470588236,347.0,236.05882352941177,110.94117647058823,2.411764705882353,20.0,344.7647058823529,240.47058823529412,104.29411764705883,1.5294117647058822
11231997RAV,November 23,RAV,CRD,20.0,349.70588235294116,237.58823529411765,112.11764705882354,2.235294117647059,19.58823529411765,338.94117647058823,236.94117647058823,102.0,1.411764705882353
11301997JAX,November 30,RAV,JAX,19.294117647058822,335.6470588235294,226.23529411764707,109.41176470588235,2.1176470588235294,19.58823529411765,340.70588235294116,238.1764705882353,102.52941176470588,1.3529411764705883
1271997RAV,December 7,RAV,SEA,19.058823529411764,335.7647058823529,228.35294117647058,107.41176470588235,2.235294117647059,19.352941176470587,337.1764705882353,235.58823529411765,101.58823529411765,1.5294117647058822
12141997RAV,December 14,RAV,OTI,18.470588235294116,331.29411764705884,227.94117647058823,103.3529411764706,2.235294117647059,19.235294117647058,338.94117647058823,231.64705882352942,107.29411764705883,1.7647058823529411
12211997CIN,December 21,RAV,CIN,18.352941176470587,333.4117647058824,232.88235294117646,100.52941176470588,2.0588235294117645,19.058823529411764,336.11764705882354,229.8235294117647,106.29411764705883,1.6470588235294117
961998RAV,September 6,RAV,PIT,18.176470588235293,333.3529411764706,233.2941176470588,100.05882352941177,1.9411764705882353,18.823529411764707,331.4117647058824,225.2941176470588,106.11764705882354,1.8235294117647058
