game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
941966SDG,September 4,SDG,BUF,,,,,,,,,,
9101966SDG,September 10,SDG,NWE,,,,,,,,,,
9251966RAI,September 25,SDG,RAI,,,,,,,,,,
1021966SDG,October 2,SDG,MIA,,,,,,,,,,
1081966NYJ,October 8,SDG,NYJ,,,,,,,,,,
10161966BUF,October 16,SDG,BUF,,,,,,,,,,
10231966NWE,October 23,SDG,NWE,,,,,,,,,,
10301966SDG,October 30,SDG,DEN,,,,,,,,,,
1161966KAN,November 6,SDG,KAN,,,,,,,,,,
11131966SDG,November 13,SDG,RAI,,,,,,,,,,
11271966DEN,November 27,SDG,DEN,,,,,,,,,,
1241966OTI,December 4,SDG,OTI,,,,,,,,,,
12111966SDG,December 11,SDG,NYJ,,,,,,,,,,
12181966SDG,December 18,SDG,KAN,,,,,,,,,,
991967SDG,September 9,SDG,NWE,,,,,,,,,,
9241967SDG,September 24,SDG,OTI,,,,,,,,,,
1011967BUF,October 1,SDG,BUF,16.88235294117647,334.8235294117647,221.88235294117646,112.94117647058823,1.4705882352941178,17.764705882352942,311.3529411764706,154.8235294117647,156.52941176470588,2.588235294117647
1081967SDG,October 8,SDG,NWE,17.0,334.52941176470586,226.05882352941177,108.47058823529412,1.5294117647058822,18.11764705882353,318.4117647058824,161.52941176470588,156.88235294117646,2.4705882352941178
10151967SDG,October 15,SDG,KAN,17.705882352941178,344.70588235294116,235.8235294117647,108.88235294117646,1.6470588235294117,18.41176470588235,329.7647058823529,173.41176470588235,156.35294117647058,2.4705882352941178
10221967DEN,October 22,SDG,DEN,18.294117647058822,357.29411764705884,247.11764705882354,110.17647058823529,1.6470588235294117,18.0,329.3529411764706,176.52941176470588,152.8235294117647,2.2941176470588234
10291967RAI,October 29,SDG,RAI,18.41176470588235,356.11764705882354,245.11764705882354,111.0,1.8235294117647058,18.11764705882353,338.8235294117647,189.52941176470588,149.2941176470588,2.2941176470588234
11121967SDG,November 12,SDG,MIA,18.058823529411764,349.47058823529414,238.0,111.47058823529412,2.0,18.176470588235293,338.52941176470586,189.11764705882354,149.41176470588235,2.176470588235294
11191967KAN,November 19,SDG,KAN,18.529411764705884,355.8235294117647,236.23529411764707,119.58823529411765,2.176470588235294,17.823529411764707,337.1764705882353,195.88235294117646,141.2941176470588,2.0588235294117645
11231967SDG,November 23,SDG,DEN,18.41176470588235,354.11764705882354,231.23529411764707,122.88235294117646,2.1176470588235294,17.764705882352942,333.88235294117646,196.11764705882354,137.76470588235293,2.0
1231967SDG,December 3,SDG,RAI,18.294117647058822,359.05882352941177,238.47058823529412,120.58823529411765,2.176470588235294,18.11764705882353,344.47058823529414,206.11764705882354,138.35294117647058,2.0
12101967MIA,December 10,SDG,MIA,18.352941176470587,358.0,237.23529411764707,120.76470588235294,2.411764705882353,18.11764705882353,345.8235294117647,207.35294117647058,138.47058823529412,1.9411764705882353
12161967OTI,December 16,SDG,OTI,18.529411764705884,356.70588235294116,239.05882352941177,117.6470588235294,2.2941176470588234,18.176470588235293,337.4117647058824,202.52941176470588,134.88235294117646,2.0
12241967SDG,December 24,SDG,NYJ,18.705882352941178,367.88235294117646,241.76470588235293,126.11764705882354,2.3529411764705883,18.58823529411765,342.47058823529414,210.94117647058823,131.52941176470588,1.8235294117647058
961968SDG,September 6,SDG,CIN,19.41176470588235,378.2352941176471,243.11764705882354,135.11764705882354,2.2941176470588234,18.0,332.52941176470586,208.11764705882354,124.41176470588235,1.8235294117647058
9211968SDG,September 21,SDG,OTI,19.11764705882353,373.6470588235294,245.88235294117646,127.76470588235294,2.411764705882353,17.941176470588236,329.5882352941176,206.47058823529412,123.11764705882354,1.7647058823529411
