game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9111966SFO,September 11,SFO,MIN,,,,,,,,,,
9251966CLT,September 25,SFO,CLT,,,,,,,,,,
9301966RAM,September 30,SFO,RAM,,,,,,,,,,
1091966SFO,October 9,SFO,GNB,,,,,,,,,,
10161966ATL,October 16,SFO,ATL,,,,,,,,,,
10231966SFO,October 23,SFO,DET,,,,,,,,,,
10301966MIN,October 30,SFO,MIN,,,,,,,,,,
1161966SFO,November 6,SFO,RAM,,,,,,,,,,
11131966CHI,November 13,SFO,CHI,,,,,,,,,,
11201966SFO,November 20,SFO,PHI,,,,,,,,,,
11241966DET,November 24,SFO,DET,,,,,,,,,,
1241966GNB,December 4,SFO,GNB,,,,,,,,,,
12111966SFO,December 11,SFO,CHI,,,,,,,,,,
12181966SFO,December 18,SFO,CLT,,,,,,,,,,
9171967MIN,September 17,SFO,MIN,,,,,,,,,,
9241967SFO,September 24,SFO,ATL,,,,,,,,,,
1011967CLT,October 1,SFO,CLT,20.11764705882353,347.0,212.94117647058823,134.05882352941177,2.5294117647058822,17.235294117647058,302.05882352941177,185.41176470588235,116.6470588235294,1.9411764705882353
1081967RAM,October 8,SFO,RAM,19.88235294117647,348.6470588235294,216.8235294117647,131.8235294117647,2.6470588235294117,17.0,299.4117647058824,188.7058823529412,110.70588235294117,2.235294117647059
10151967PHI,October 15,SFO,PHI,20.470588235294116,356.6470588235294,220.41176470588235,136.23529411764707,2.588235294117647,16.529411764705884,291.47058823529414,188.11764705882354,103.3529411764706,2.1176470588235294
10221967SFO,October 22,SFO,NOR,20.764705882352942,360.5882352941176,219.47058823529412,141.11764705882354,2.3529411764705883,16.058823529411764,282.29411764705884,184.2941176470588,98.0,2.176470588235294
10291967SFO,October 29,SFO,DET,20.352941176470587,356.1764705882353,219.2941176470588,136.88235294117646,2.6470588235294117,16.470588235294116,283.6470588235294,178.41176470588235,105.23529411764706,2.176470588235294
1151967SFO,November 5,SFO,RAM,19.470588235294116,341.6470588235294,209.2941176470588,132.35294117647058,2.764705882352941,16.176470588235293,279.94117647058823,172.0,107.94117647058823,1.9411764705882353
11121967WAS,November 12,SFO,WAS,19.529411764705884,337.8235294117647,208.23529411764707,129.58823529411765,2.7058823529411766,16.941176470588236,286.1764705882353,177.05882352941177,109.11764705882354,2.0
11191967GNB,November 19,SFO,GNB,19.88235294117647,346.88235294117646,211.94117647058823,134.94117647058823,2.6470588235294117,16.0,270.7647058823529,166.23529411764707,104.52941176470588,1.9411764705882353
11261967SFO,November 26,SFO,CLT,19.11764705882353,335.52941176470586,200.58823529411765,134.94117647058823,2.764705882352941,16.352941176470587,282.5882352941176,169.64705882352942,112.94117647058823,2.0
1231967SFO,December 3,SFO,CHI,18.0,323.94117647058823,191.41176470588235,132.52941176470588,2.7058823529411766,16.529411764705884,282.5882352941176,168.88235294117646,113.70588235294117,2.0588235294117645
12101967ATL,December 10,SFO,ATL,17.941176470588236,327.70588235294116,194.7058823529412,133.0,2.588235294117647,16.470588235294116,283.05882352941177,173.23529411764707,109.82352941176471,1.9411764705882353
12161967SFO,December 16,SFO,DAL,17.823529411764707,320.88235294117646,192.7058823529412,128.1764705882353,2.6470588235294117,16.88235294117647,287.47058823529414,172.52941176470588,114.94117647058823,2.0588235294117645
9151968CLT,September 15,SFO,CLT,17.705882352941178,318.0,193.1764705882353,124.82352941176471,2.588235294117647,17.0,289.52941176470586,171.41176470588235,118.11764705882354,2.0588235294117645
9221968SFO,September 22,SFO,CRD,17.529411764705884,317.05882352941177,193.23529411764707,123.82352941176471,2.6470588235294117,17.235294117647058,295.3529411764706,174.88235294117646,120.47058823529412,2.0588235294117645
9291968SFO,September 29,SFO,ATL,17.823529411764707,321.11764705882354,193.58823529411765,127.52941176470588,2.5294117647058822,16.823529411764707,285.0,165.2941176470588,119.70588235294117,2.0588235294117645
1061968RAM,October 6,SFO,RAM,17.352941176470587,309.2352941176471,192.1764705882353,117.05882352941177,2.5294117647058822,16.823529411764707,281.47058823529414,163.35294117647058,118.11764705882354,2.0
10131968SFO,October 13,SFO,CLT,17.529411764705884,301.88235294117646,186.23529411764707,115.6470588235294,2.6470588235294117,17.294117647058822,292.11764705882354,172.11764705882354,120.0,2.0
10201968NYG,October 20,SFO,NYG,17.941176470588236,310.88235294117646,186.7058823529412,124.17647058823529,2.588235294117647,16.88235294117647,277.29411764705884,156.47058823529412,120.82352941176471,2.176470588235294
10271968DET,October 27,SFO,DET,18.058823529411764,310.70588235294116,183.58823529411765,127.11764705882354,2.5294117647058822,16.529411764705884,275.29411764705884,157.23529411764707,118.05882352941177,2.0588235294117645
1131968SFO,November 3,SFO,CLE,17.88235294117647,306.29411764705884,185.05882352941177,121.23529411764706,2.823529411764706,16.941176470588236,282.2352941176471,153.52941176470588,128.7058823529412,2.176470588235294
11101968CHI,November 10,SFO,CHI,17.352941176470587,302.5882352941176,186.05882352941177,116.52941176470588,3.0,17.764705882352942,296.88235294117646,159.76470588235293,137.11764705882354,2.1176470588235294
11171968SFO,November 17,SFO,RAM,17.823529411764707,312.29411764705884,190.76470588235293,121.52941176470588,2.8823529411764706,17.647058823529413,297.3529411764706,166.11764705882354,131.23529411764707,2.176470588235294
11241968PIT,November 24,SFO,PIT,18.058823529411764,320.6470588235294,197.2941176470588,123.3529411764706,2.764705882352941,18.41176470588235,309.05882352941177,179.8235294117647,129.23529411764707,2.4705882352941178
1211968SFO,December 1,SFO,GNB,17.647058823529413,324.05882352941177,204.47058823529412,119.58823529411765,2.6470588235294117,17.647058823529413,297.11764705882354,165.47058823529412,131.64705882352942,2.3529411764705883
1281968SFO,December 8,SFO,MIN,17.58823529411765,322.4117647058824,205.11764705882354,117.29411764705883,2.7058823529411766,17.764705882352942,294.1764705882353,165.05882352941177,129.11764705882354,2.3529411764705883
12151968ATL,December 15,SFO,ATL,18.352941176470587,339.6470588235294,212.52941176470588,127.11764705882354,2.7058823529411766,17.41176470588235,282.8235294117647,160.64705882352942,122.17647058823529,2.3529411764705883
9211969ATL,September 21,SFO,ATL,18.941176470588236,345.8235294117647,215.1764705882353,130.64705882352942,2.8823529411764706,17.294117647058822,288.0,159.0,129.0,2.3529411764705883
9281969GNB,September 28,SFO,GNB,18.58823529411765,340.4117647058824,213.41176470588235,127.0,2.764705882352941,17.470588235294116,286.3529411764706,152.58823529411765,133.76470588235293,2.3529411764705883
1051969SFO,October 5,SFO,WAS,18.529411764705884,334.52941176470586,207.8235294117647,126.70588235294117,2.588235294117647,17.647058823529413,288.29411764705884,159.23529411764707,129.05882352941177,2.235294117647059
10121969SFO,October 12,SFO,RAM,18.764705882352942,337.1764705882353,210.88235294117646,126.29411764705883,2.588235294117647,17.470588235294116,283.7647058823529,158.76470588235293,125.0,2.176470588235294
10191969SFO,October 19,SFO,ATL,18.58823529411765,331.29411764705884,207.47058823529412,123.82352941176471,2.823529411764706,17.705882352941178,287.05882352941177,157.0,130.05882352941177,2.1176470588235294
10261969CLT,October 26,SFO,CLT,18.352941176470587,328.7647058823529,207.64705882352942,121.11764705882354,2.823529411764706,18.11764705882353,297.70588235294116,165.47058823529412,132.23529411764707,2.2941176470588234
1121969SFO,November 2,SFO,DET,18.470588235294116,336.05882352941177,213.52941176470588,122.52941176470588,3.0588235294117645,17.705882352941178,288.88235294117646,156.47058823529412,132.41176470588235,2.2941176470588234
1191969RAM,November 9,SFO,RAM,18.058823529411764,336.47058823529414,219.52941176470588,116.94117647058823,2.9411764705882355,17.529411764705884,296.4117647058824,164.0,132.41176470588235,2.235294117647059
11161969SFO,November 16,SFO,CLT,18.11764705882353,337.3529411764706,225.23529411764707,112.11764705882354,3.0,17.235294117647058,295.6470588235294,168.1764705882353,127.47058823529412,2.176470588235294
11231969NOR,November 23,SFO,NOR,18.529411764705884,343.29411764705884,228.52941176470588,114.76470588235294,3.0,18.176470588235293,306.4117647058824,175.58823529411765,130.8235294117647,2.0
11271969DAL,November 27,SFO,DAL,18.176470588235293,343.7647058823529,227.7058823529412,116.05882352941177,2.764705882352941,18.11764705882353,303.05882352941177,177.35294117647058,125.70588235294117,2.0588235294117645
1261969SFO,December 6,SFO,CHI,18.352941176470587,349.94117647058823,226.23529411764707,123.70588235294117,2.5294117647058822,18.0,298.29411764705884,181.23529411764707,117.05882352941177,2.235294117647059
12141969MIN,December 14,SFO,MIN,18.176470588235293,347.1764705882353,232.58823529411765,114.58823529411765,2.5294117647058822,17.11764705882353,286.1764705882353,170.1764705882353,116.0,2.235294117647059
12211969SFO,December 21,SFO,PHI,18.0,340.2352941176471,225.8235294117647,114.41176470588235,2.7058823529411766,16.764705882352942,281.70588235294116,160.94117647058823,120.76470588235294,2.0588235294117645
9201970SFO,September 20,SFO,WAS,18.235294117647058,338.5882352941176,218.88235294117646,119.70588235294117,2.7058823529411766,16.529411764705884,281.2352941176471,163.35294117647058,117.88235294117646,2.1176470588235294
9271970SFO,September 27,SFO,CLE,18.764705882352942,347.70588235294116,224.64705882352942,123.05882352941177,2.5294117647058822,16.823529411764707,293.05882352941177,175.35294117647058,117.70588235294117,2.2941176470588234
1041970ATL,October 4,SFO,ATL,18.58823529411765,339.94117647058823,221.88235294117646,118.05882352941177,2.411764705882353,17.235294117647058,305.1764705882353,181.52941176470588,123.6470588235294,2.2941176470588234
