game_id,date,team_id,opp_team_id,avg_first_downs,avg_total_yds,avg_pass_yds,avg_rush_yds,avg_TO,avg_opp_first_downs,avg_opp_total_yds,avg_opp_pass_yds,avg_opp_rush_yds,avg_opp_TO
9121976OTI,September 12,TAM,OTI,,,,,,,,,,
9191976TAM,September 19,TAM,SDG,,,,,,,,,,
9261976TAM,September 26,TAM,BUF,,,,,,,,,,
1031976CLT,October 3,TAM,CLT,,,,,,,,,,
10101976CIN,October 10,TAM,CIN,,,,,,,,,,
10171976TAM,October 17,TAM,SEA,,,,,,,,,,
10241976TAM,October 24,TAM,MIA,,,,,,,,,,
10311976TAM,October 31,TAM,KAN,,,,,,,,,,
1171976DEN,November 7,TAM,DEN,,,,,,,,,,
11141976NYJ,November 14,TAM,NYJ,,,,,,,,,,
11211976TAM,November 21,TAM,CLE,,,,,,,,,,
11281976RAI,November 28,TAM,RAI,,,,,,,,,,
1251976PIT,December 5,TAM,PIT,,,,,,,,,,
12121976TAM,December 12,TAM,NWE,,,,,,,,,,
9181977PHI,September 18,TAM,PHI,,,,,,,,,,
9241977TAM,September 24,TAM,MIN,,,,,,,,,,
1021977DAL,October 2,TAM,DAL,12.764705882352942,201.47058823529412,97.05882352941177,104.41176470588235,2.5294117647058822,19.941176470588236,341.88235294117646,164.64705882352942,177.23529411764707,2.2941176470588234
1091977TAM,October 9,TAM,WAS,12.941176470588236,203.0,95.94117647058823,107.05882352941177,2.7058823529411766,19.529411764705884,334.05882352941177,160.88235294117646,173.1764705882353,2.235294117647059
10161977SEA,October 16,TAM,SEA,13.941176470588236,218.23529411764707,108.94117647058823,109.29411764705883,2.823529411764706,19.823529411764707,336.94117647058823,167.35294117647058,169.58823529411765,2.235294117647059
10231977TAM,October 23,TAM,GNB,13.823529411764707,209.41176470588235,105.70588235294117,103.70588235294117,2.8823529411764706,19.823529411764707,332.4117647058824,161.88235294117646,170.52941176470588,2.235294117647059
10301977SFO,October 30,TAM,SFO,14.529411764705882,218.88235294117646,113.52941176470588,105.3529411764706,3.0,19.176470588235293,323.47058823529414,154.88235294117646,168.58823529411765,2.176470588235294
1161977RAM,November 6,TAM,RAM,14.352941176470589,216.05882352941177,111.0,105.05882352941177,3.0588235294117645,19.41176470588235,326.5882352941176,158.64705882352942,167.94117647058823,2.0588235294117645
11131977TAM,November 13,TAM,NYG,14.411764705882353,216.1764705882353,113.47058823529412,102.70588235294117,3.2941176470588234,19.352941176470587,323.29411764705884,153.41176470588235,169.88235294117646,2.1176470588235294
11201977DET,November 20,TAM,DET,13.705882352941176,205.1764705882353,106.41176470588235,98.76470588235294,3.5294117647058822,19.058823529411764,318.94117647058823,152.1764705882353,166.76470588235293,2.3529411764705883
11271977TAM,November 27,TAM,ATL,13.235294117647058,198.23529411764707,96.6470588235294,101.58823529411765,3.764705882352941,18.823529411764707,313.29411764705884,144.23529411764707,169.05882352941177,2.235294117647059
1241977TAM,December 4,TAM,CHI,12.764705882352942,192.41176470588235,90.70588235294117,101.70588235294117,3.6470588235294117,18.764705882352942,305.0,139.0,166.0,2.1176470588235294
12111977NOR,December 11,TAM,NOR,12.529411764705882,190.11764705882354,86.70588235294117,103.41176470588235,3.3529411764705883,18.352941176470587,299.47058823529414,140.23529411764707,159.23529411764707,2.4705882352941178
12181977TAM,December 18,TAM,CRD,12.117647058823529,193.1764705882353,89.41176470588235,103.76470588235294,3.2941176470588234,18.11764705882353,300.29411764705884,141.94117647058823,158.35294117647058,2.7058823529411766
921978TAM,September 2,TAM,NYG,12.117647058823529,195.11764705882354,88.17647058823529,106.94117647058823,3.3529411764705883,17.176470588235293,285.70588235294116,133.41176470588235,152.2941176470588,2.588235294117647
991978TAM,September 9,TAM,DET,12.235294117647058,195.35294117647058,85.70588235294117,109.6470588235294,3.4705882352941178,16.294117647058822,274.5882352941176,126.58823529411765,148.0,2.6470588235294117
9171978MIN,September 17,TAM,MIN,12.0,188.7058823529412,81.58823529411765,107.11764705882354,3.3529411764705883,16.41176470588235,269.8235294117647,132.8235294117647,137.0,2.8823529411764706
9241978TAM,September 24,TAM,ATL,12.117647058823529,192.11764705882354,84.88235294117646,107.23529411764706,3.3529411764705883,16.294117647058822,266.05882352941177,128.8235294117647,137.23529411764707,2.764705882352941
