game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9111966ATL,September 11,ATL,10.0,237.0,116.0,121.0,2.0,RAM,23.0,421.0,275.0,146.0,2.0
9181966PHI,September 18,ATL,16.0,298.0,202.0,96.0,3.0,PHI,20.0,340.0,135.0,205.0,2.0
9251966DET,September 25,ATL,13.0,259.0,104.0,155.0,3.0,DET,18.0,344.0,208.0,136.0,3.0
1021966ATL,October 2,ATL,20.0,276.0,170.0,106.0,5.0,DAL,22.0,363.0,220.0,143.0,2.0
1091966WAS,October 9,ATL,19.0,268.0,146.0,122.0,2.0,WAS,26.0,432.0,286.0,146.0,0.0
10161966ATL,October 16,ATL,14.0,215.0,156.0,59.0,4.0,SFO,29.0,504.0,328.0,176.0,1.0
10231966GNB,October 23,ATL,15.0,216.0,76.0,140.0,4.0,GNB,19.0,357.0,231.0,126.0,0.0
10301966ATL,October 30,ATL,23.0,321.0,117.0,204.0,3.0,CLE,22.0,508.0,295.0,213.0,1.0
11131966ATL,November 13,ATL,17.0,241.0,152.0,89.0,7.0,CLT,13.0,200.0,105.0,95.0,3.0
11201966NYG,November 20,ATL,19.0,289.0,167.0,122.0,1.0,NYG,21.0,303.0,152.0,151.0,4.0
11271966CHI,November 27,ATL,6.0,167.0,101.0,66.0,3.0,CHI,23.0,476.0,177.0,299.0,4.0
1241966MIN,December 4,ATL,10.0,187.0,114.0,73.0,0.0,MIN,16.0,270.0,161.0,109.0,6.0
12111966ATL,December 11,ATL,11.0,192.0,105.0,87.0,2.0,CRD,16.0,296.0,195.0,101.0,3.0
12181966ATL,December 18,ATL,18.0,370.0,291.0,79.0,5.0,PIT,27.0,458.0,332.0,126.0,1.0
9171967CLT,September 17,ATL,13.0,303.0,199.0,104.0,5.0,CLT,20.0,508.0,419.0,89.0,2.0
9241967SFO,September 24,ATL,10.0,97.0,33.0,64.0,1.0,SFO,25.0,517.0,337.0,180.0,2.0
1011967GNB,October 1,ATL,8.0,58.0,19.0,39.0,2.0,GNB,23.0,382.0,205.0,177.0,2.0
1081967ATL,October 8,ATL,17.0,308.0,223.0,85.0,6.0,PHI,18.0,380.0,179.0,201.0,0.0
10151967ATL,October 15,ATL,15.0,323.0,215.0,108.0,2.0,WAS,23.0,415.0,334.0,81.0,3.0
10221967DET,October 22,ATL,12.0,223.0,87.0,136.0,1.0,DET,15.0,250.0,110.0,140.0,1.0
10291967ATL,October 29,ATL,12.0,186.0,91.0,95.0,2.0,MIN,22.0,314.0,137.0,177.0,2.0
1151967DAL,November 5,ATL,13.0,223.0,157.0,66.0,5.0,DAL,21.0,324.0,153.0,171.0,2.0
11121967ATL,November 12,ATL,9.0,177.0,62.0,115.0,3.0,CLT,30.0,595.0,426.0,169.0,2.0
11191967ATL,November 19,ATL,13.0,238.0,140.0,98.0,5.0,RAM,15.0,405.0,284.0,121.0,2.0
11261967NOR,November 26,ATL,21.0,269.0,86.0,183.0,1.0,NOR,24.0,371.0,230.0,141.0,3.0
1231967RAM,December 3,ATL,10.0,154.0,75.0,79.0,2.0,RAM,21.0,309.0,169.0,140.0,3.0
12101967ATL,December 10,ATL,14.0,297.0,243.0,54.0,3.0,SFO,23.0,468.0,294.0,174.0,3.0
12171967ATL,December 17,ATL,13.0,157.0,80.0,77.0,1.0,CHI,14.0,293.0,115.0,178.0,0.0
9141968MIN,September 14,ATL,14.0,234.0,153.0,81.0,4.0,MIN,21.0,404.0,218.0,186.0,2.0
9221968ATL,September 22,ATL,12.0,250.0,164.0,86.0,2.0,CLT,22.0,388.0,263.0,125.0,6.0
9291968SFO,September 29,ATL,14.0,227.0,156.0,71.0,1.0,SFO,24.0,374.0,185.0,189.0,1.0
1061968ATL,October 6,ATL,7.0,154.0,76.0,78.0,5.0,GNB,26.0,470.0,312.0,158.0,1.0
10131968ATL,October 13,ATL,17.0,322.0,186.0,136.0,0.0,NYG,23.0,421.0,242.0,179.0,3.0
10201968RAM,October 20,ATL,7.0,133.0,101.0,32.0,3.0,RAM,24.0,419.0,246.0,173.0,4.0
10271968CLE,October 27,ATL,17.0,284.0,137.0,147.0,2.0,CLE,24.0,444.0,248.0,196.0,0.0
1131968ATL,November 3,ATL,16.0,343.0,257.0,86.0,5.0,PIT,25.0,402.0,288.0,114.0,1.0
11101968ATL,November 10,ATL,9.0,232.0,140.0,92.0,3.0,RAM,18.0,250.0,71.0,179.0,1.0
11171968CHI,November 17,ATL,14.0,300.0,143.0,157.0,1.0,CHI,16.0,302.0,185.0,117.0,2.0
