game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9111966DET,September 11,DET,14.0,208.0,85.0,123.0,3.0,CHI,17.0,256.0,109.0,147.0,3.0
9181966PIT,September 18,DET,9.0,158.0,89.0,69.0,4.0,PIT,15.0,256.0,143.0,113.0,1.0
9251966DET,September 25,DET,18.0,344.0,208.0,136.0,3.0,ATL,13.0,259.0,104.0,155.0,3.0
1021966GNB,October 2,DET,17.0,349.0,175.0,174.0,5.0,GNB,10.0,251.0,185.0,66.0,0.0
1091966DET,October 9,DET,14.0,283.0,194.0,89.0,6.0,RAM,21.0,369.0,203.0,166.0,3.0
10161966CLT,October 16,DET,17.0,293.0,215.0,78.0,4.0,CLT,21.0,420.0,283.0,137.0,2.0
10231966SFO,October 23,DET,17.0,314.0,202.0,112.0,2.0,SFO,23.0,359.0,188.0,171.0,4.0
10301966DET,October 30,DET,19.0,317.0,233.0,84.0,5.0,GNB,19.0,344.0,170.0,174.0,2.0
1161966CHI,November 6,DET,17.0,255.0,167.0,88.0,1.0,CHI,15.0,282.0,106.0,176.0,0.0
11131966MIN,November 13,DET,16.0,268.0,218.0,50.0,4.0,MIN,15.0,232.0,83.0,149.0,5.0
11201966DET,November 20,DET,16.0,281.0,127.0,154.0,4.0,CLT,16.0,289.0,208.0,81.0,6.0
11241966DET,November 24,DET,10.0,196.0,149.0,47.0,2.0,SFO,22.0,487.0,273.0,214.0,3.0
1241966RAM,December 4,DET,16.0,305.0,212.0,93.0,4.0,RAM,14.0,293.0,147.0,146.0,0.0
12111966DET,December 11,DET,16.0,282.0,150.0,132.0,2.0,MIN,19.0,317.0,206.0,111.0,3.0
9171967GNB,September 17,DET,10.0,233.0,41.0,192.0,1.0,GNB,13.0,306.0,263.0,43.0,5.0
9241967DET,September 24,DET,29.0,461.0,223.0,238.0,0.0,CLE,15.0,269.0,78.0,191.0,3.0
