game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9101966GNB,September 10,GNB,17.0,292.0,137.0,155.0,1.0,CLT,11.0,213.0,101.0,112.0,3.0
9181966CLE,September 18,GNB,22.0,356.0,238.0,118.0,2.0,CLE,16.0,266.0,156.0,110.0,1.0
9251966GNB,September 25,GNB,14.0,327.0,233.0,94.0,5.0,RAM,12.0,173.0,67.0,106.0,2.0
1021966GNB,October 2,GNB,10.0,251.0,185.0,66.0,0.0,DET,17.0,349.0,175.0,174.0,5.0
1091966SFO,October 9,GNB,17.0,368.0,262.0,106.0,2.0,SFO,17.0,248.0,94.0,154.0,1.0
10161966CHI,October 16,GNB,12.0,180.0,59.0,121.0,2.0,CHI,6.0,94.0,52.0,42.0,4.0
10231966GNB,October 23,GNB,19.0,357.0,231.0,126.0,0.0,ATL,15.0,216.0,76.0,140.0,4.0
10301966DET,October 30,GNB,19.0,344.0,170.0,174.0,2.0,DET,19.0,317.0,233.0,84.0,5.0
1161966GNB,November 6,GNB,18.0,292.0,134.0,158.0,1.0,MIN,20.0,290.0,164.0,126.0,0.0
11201966GNB,November 20,GNB,15.0,296.0,227.0,69.0,2.0,CHI,9.0,160.0,85.0,75.0,4.0
11271966MIN,November 27,GNB,20.0,304.0,140.0,164.0,1.0,MIN,18.0,322.0,194.0,128.0,2.0
1241966GNB,December 4,GNB,20.0,311.0,204.0,107.0,1.0,SFO,17.0,321.0,181.0,140.0,4.0
12101966CLT,December 10,GNB,14.0,242.0,145.0,97.0,1.0,CLT,15.0,283.0,130.0,153.0,5.0
12181966RAM,December 18,GNB,14.0,355.0,237.0,118.0,4.0,RAM,19.0,351.0,251.0,100.0,2.0
111967DAL,January 1,GNB,19.0,367.0,265.0,102.0,1.0,DAL,23.0,418.0,231.0,187.0,2.0
1151967GNB,January 15,GNB,21.0,358.0,228.0,130.0,1.0,KAN,17.0,239.0,167.0,72.0,1.0
9171967GNB,September 17,GNB,13.0,306.0,263.0,43.0,5.0,DET,10.0,233.0,41.0,192.0,1.0
