game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9111966BUF,September 11,KAN,17.0,388.0,223.0,165.0,1.0,BUF,15.0,195.0,116.0,79.0,1.0
9181966RAI,September 18,KAN,11.0,224.0,85.0,139.0,1.0,RAI,17.0,341.0,245.0,96.0,3.0
9251966NWE,September 25,KAN,22.0,395.0,319.0,76.0,2.0,NWE,17.0,308.0,164.0,144.0,4.0
1021966KAN,October 2,KAN,11.0,265.0,214.0,51.0,3.0,BUF,20.0,361.0,214.0,147.0,1.0
1081966KAN,October 8,KAN,21.0,379.0,145.0,234.0,1.0,DEN,11.0,212.0,133.0,79.0,2.0
10161966KAN,October 16,KAN,15.0,209.0,133.0,76.0,3.0,RAI,14.0,371.0,288.0,83.0,2.0
10231966DEN,October 23,KAN,26.0,614.0,234.0,380.0,1.0,DEN,12.0,211.0,183.0,28.0,7.0
10301966KAN,October 30,KAN,15.0,441.0,290.0,151.0,3.0,OTI,22.0,268.0,174.0,94.0,4.0
1161966KAN,November 6,KAN,24.0,302.0,143.0,159.0,2.0,SDG,14.0,287.0,203.0,84.0,2.0
11131966KAN,November 13,KAN,17.0,396.0,236.0,160.0,5.0,MIA,11.0,160.0,79.0,81.0,6.0
11201966KAN,November 20,KAN,21.0,359.0,286.0,73.0,4.0,NWE,19.0,361.0,245.0,116.0,2.0
11271966NYJ,November 27,KAN,27.0,439.0,311.0,128.0,1.0,NYJ,15.0,283.0,252.0,31.0,1.0
12111966MIA,December 11,KAN,17.0,316.0,128.0,188.0,2.0,MIA,14.0,286.0,123.0,163.0,4.0
12181966SDG,December 18,KAN,22.0,387.0,93.0,294.0,2.0,SDG,19.0,326.0,195.0,131.0,2.0
111967BUF,January 1,KAN,14.0,277.0,164.0,113.0,0.0,BUF,9.0,255.0,215.0,40.0,4.0
1151967GNB,January 15,KAN,17.0,239.0,167.0,72.0,1.0,GNB,21.0,358.0,228.0,130.0,1.0
991967OTI,September 9,KAN,20.0,312.0,171.0,141.0,1.0,OTI,17.0,336.0,158.0,178.0,2.0
9241967MIA,September 24,KAN,20.0,349.0,97.0,252.0,1.0,MIA,8.0,124.0,101.0,23.0,5.0
1011967RAI,October 1,KAN,12.0,243.0,150.0,93.0,3.0,RAI,16.0,306.0,206.0,100.0,2.0
1081967KAN,October 8,KAN,15.0,335.0,220.0,115.0,0.0,MIA,17.0,206.0,113.0,93.0,6.0
10151967SDG,October 15,KAN,20.0,445.0,324.0,121.0,4.0,SDG,24.0,452.0,307.0,145.0,2.0
10221967KAN,October 22,KAN,19.0,323.0,166.0,157.0,3.0,OTI,7.0,127.0,43.0,84.0,1.0
10291967KAN,October 29,KAN,22.0,444.0,268.0,176.0,1.0,DEN,10.0,268.0,215.0,53.0,6.0
1151967KAN,November 5,KAN,24.0,392.0,178.0,214.0,1.0,NYJ,22.0,340.0,274.0,66.0,4.0
11121967NWE,November 12,KAN,20.0,297.0,186.0,111.0,3.0,NWE,12.0,318.0,226.0,92.0,5.0
11191967KAN,November 19,KAN,16.0,297.0,222.0,75.0,0.0,SDG,20.0,327.0,139.0,188.0,3.0
11231967KAN,November 23,KAN,13.0,192.0,136.0,56.0,4.0,RAI,26.0,459.0,303.0,156.0,2.0
1231967KAN,December 3,KAN,18.0,257.0,128.0,129.0,1.0,BUF,8.0,242.0,211.0,31.0,4.0
12101967NYJ,December 10,KAN,13.0,204.0,80.0,124.0,2.0,NYJ,17.0,167.0,84.0,83.0,3.0
12171967DEN,December 17,KAN,19.0,400.0,146.0,254.0,3.0,DEN,17.0,272.0,156.0,116.0,4.0
991968OTI,September 9,KAN,17.0,265.0,61.0,204.0,0.0,OTI,19.0,440.0,385.0,55.0,3.0
9151968KAN,September 15,KAN,11.0,201.0,83.0,118.0,1.0,NYJ,18.0,397.0,296.0,101.0,2.0
