game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9111966SFO,September 11,MIN,20.0,298.0,72.0,226.0,1.0,SFO,18.0,307.0,203.0,104.0,1.0
9181966MIN,September 18,MIN,18.0,337.0,157.0,180.0,3.0,CLT,14.0,346.0,237.0,109.0,2.0
9251966DAL,September 25,MIN,25.0,389.0,247.0,142.0,1.0,DAL,18.0,314.0,166.0,148.0,0.0
1021966MIN,October 2,MIN,16.0,284.0,169.0,115.0,3.0,CHI,11.0,283.0,179.0,104.0,2.0
10161966MIN,October 16,MIN,20.0,378.0,313.0,65.0,1.0,RAM,13.0,230.0,146.0,84.0,3.0
10231966CLT,October 23,MIN,24.0,317.0,181.0,136.0,1.0,CLT,20.0,347.0,201.0,146.0,2.0
10301966MIN,October 30,MIN,29.0,559.0,313.0,246.0,2.0,SFO,10.0,154.0,105.0,49.0,3.0
1161966GNB,November 6,MIN,20.0,290.0,164.0,126.0,0.0,GNB,18.0,292.0,134.0,158.0,1.0
11131966MIN,November 13,MIN,15.0,232.0,83.0,149.0,5.0,DET,16.0,268.0,218.0,50.0,4.0
11201966RAM,November 20,MIN,10.0,186.0,43.0,143.0,4.0,RAM,15.0,228.0,130.0,98.0,1.0
11271966MIN,November 27,MIN,18.0,322.0,194.0,128.0,2.0,GNB,20.0,304.0,140.0,164.0,1.0
1241966MIN,December 4,MIN,16.0,270.0,161.0,109.0,6.0,ATL,10.0,187.0,114.0,73.0,0.0
12111966DET,December 11,MIN,19.0,317.0,206.0,111.0,3.0,DET,16.0,282.0,150.0,132.0,2.0
12181966CHI,December 18,MIN,29.0,460.0,245.0,215.0,4.0,CHI,14.0,380.0,113.0,267.0,0.0
9171967MIN,September 17,MIN,19.0,335.0,187.0,148.0,3.0,SFO,20.0,360.0,120.0,240.0,1.0
9221967RAM,September 22,MIN,13.0,224.0,176.0,48.0,6.0,RAM,16.0,237.0,121.0,116.0,2.0
1011967MIN,October 1,MIN,12.0,200.0,137.0,63.0,2.0,CHI,17.0,221.0,27.0,194.0,0.0
1081967MIN,October 8,MIN,16.0,337.0,236.0,101.0,3.0,CRD,18.0,412.0,247.0,165.0,3.0
10151967GNB,October 15,MIN,10.0,183.0,25.0,158.0,2.0,GNB,10.0,268.0,226.0,42.0,3.0
10221967MIN,October 22,MIN,19.0,310.0,195.0,115.0,0.0,CLT,22.0,343.0,225.0,118.0,1.0
10291967ATL,October 29,MIN,22.0,314.0,137.0,177.0,2.0,ATL,12.0,186.0,91.0,95.0,2.0
1151967MIN,November 5,MIN,17.0,304.0,115.0,189.0,3.0,NYG,17.0,403.0,238.0,165.0,2.0
11121967MIN,November 12,MIN,7.0,177.0,40.0,137.0,1.0,DET,17.0,366.0,89.0,277.0,6.0
11191967CLE,November 19,MIN,12.0,204.0,105.0,99.0,3.0,CLE,18.0,235.0,25.0,210.0,2.0
11261967PIT,November 26,MIN,16.0,212.0,102.0,110.0,5.0,PIT,7.0,117.0,52.0,65.0,6.0
1231967MIN,December 3,MIN,15.0,276.0,57.0,219.0,3.0,GNB,15.0,276.0,143.0,133.0,3.0
12101967CHI,December 10,MIN,11.0,212.0,107.0,105.0,1.0,CHI,16.0,298.0,108.0,190.0,0.0
12171967DET,December 17,MIN,10.0,190.0,48.0,142.0,3.0,DET,12.0,134.0,40.0,94.0,4.0
9141968MIN,September 14,MIN,21.0,404.0,218.0,186.0,2.0,ATL,14.0,234.0,153.0,81.0,4.0
9221968GNB,September 22,MIN,20.0,242.0,118.0,124.0,1.0,GNB,18.0,242.0,137.0,105.0,2.0
9291968MIN,September 29,MIN,17.0,279.0,121.0,158.0,3.0,CHI,20.0,409.0,131.0,278.0,2.0
1061968MIN,October 6,MIN,18.0,265.0,130.0,135.0,0.0,DET,9.0,247.0,168.0,79.0,1.0
10131968NOR,October 13,MIN,15.0,190.0,51.0,139.0,4.0,NOR,10.0,207.0,86.0,121.0,7.0
10201968MIN,October 20,MIN,16.0,274.0,144.0,130.0,3.0,DAL,9.0,177.0,93.0,84.0,2.0
10271968CHI,October 27,MIN,17.0,274.0,177.0,97.0,1.0,CHI,20.0,418.0,171.0,247.0,1.0
1131968MIN,November 3,MIN,15.0,317.0,102.0,215.0,3.0,WAS,9.0,133.0,92.0,41.0,4.0
11101968MIN,November 10,MIN,15.0,226.0,66.0,160.0,1.0,GNB,21.0,263.0,91.0,172.0,4.0
11171968DET,November 17,MIN,15.0,252.0,113.0,139.0,3.0,DET,6.0,131.0,38.0,93.0,1.0
11241968CLT,November 24,MIN,15.0,229.0,141.0,88.0,2.0,CLT,22.0,413.0,243.0,170.0,3.0
1211968MIN,December 1,MIN,9.0,127.0,47.0,80.0,5.0,RAM,19.0,324.0,123.0,201.0,2.0
1281968SFO,December 8,MIN,15.0,247.0,122.0,125.0,1.0,SFO,15.0,280.0,179.0,101.0,3.0
12151968PHI,December 15,MIN,15.0,280.0,135.0,145.0,2.0,PHI,18.0,286.0,156.0,130.0,2.0
12221968CLT,December 22,MIN,22.0,351.0,266.0,85.0,3.0,CLT,15.0,295.0,245.0,50.0,2.0
9211969NYG,September 21,MIN,13.0,327.0,230.0,97.0,2.0,NYG,13.0,320.0,205.0,115.0,2.0
9281969MIN,September 28,MIN,34.0,622.0,530.0,92.0,3.0,CLT,15.0,235.0,179.0,56.0,3.0
1051969MIN,October 5,MIN,12.0,230.0,73.0,157.0,0.0,GNB,16.0,173.0,65.0,108.0,3.0
10121969CHI,October 12,MIN,19.0,256.0,71.0,185.0,1.0,CHI,8.0,119.0,65.0,54.0,4.0
10191969CRD,October 19,MIN,19.0,332.0,216.0,116.0,1.0,CRD,7.0,169.0,90.0,79.0,1.0
10261969MIN,October 26,MIN,13.0,201.0,149.0,52.0,1.0,DET,13.0,167.0,60.0,107.0,4.0
1121969MIN,November 2,MIN,15.0,296.0,104.0,192.0,3.0,CHI,14.0,211.0,26.0,185.0,2.0
1191969MIN,November 9,MIN,31.0,454.0,266.0,188.0,0.0,CLE,8.0,151.0,109.0,42.0,4.0
11161969GNB,November 16,MIN,18.0,270.0,114.0,156.0,2.0,GNB,10.0,225.0,138.0,87.0,3.0
11231969MIN,November 23,MIN,25.0,329.0,215.0,114.0,4.0,PIT,10.0,145.0,97.0,48.0,5.0
