game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9171967NOR,September 17,NOR,17.0,299.0,174.0,125.0,3.0,RAM,23.0,462.0,292.0,170.0,1.0
9241967NOR,September 24,NOR,13.0,290.0,209.0,81.0,0.0,WAS,17.0,369.0,211.0,158.0,1.0
1011967NOR,October 1,NOR,17.0,266.0,198.0,68.0,5.0,CLE,23.0,421.0,223.0,198.0,4.0
1081967NYG,October 8,NOR,16.0,210.0,138.0,72.0,1.0,NYG,28.0,535.0,348.0,187.0,1.0
10151967DAL,October 15,NOR,12.0,207.0,165.0,42.0,3.0,DAL,18.0,234.0,109.0,125.0,3.0
10221967SFO,October 22,NOR,12.0,200.0,128.0,72.0,2.0,SFO,20.0,318.0,182.0,136.0,1.0
10291967NOR,October 29,NOR,19.0,308.0,225.0,83.0,1.0,PIT,19.0,267.0,88.0,179.0,4.0
1151967NOR,November 5,NOR,13.0,249.0,137.0,112.0,2.0,PHI,20.0,359.0,263.0,96.0,2.0
11121967NOR,November 12,NOR,14.0,211.0,168.0,43.0,3.0,DAL,18.0,380.0,178.0,202.0,2.0
11191967PHI,November 19,NOR,15.0,309.0,237.0,72.0,5.0,PHI,21.0,421.0,331.0,90.0,3.0
11261967NOR,November 26,NOR,24.0,371.0,230.0,141.0,3.0,ATL,21.0,269.0,86.0,183.0,1.0
1231967CRD,December 3,NOR,18.0,238.0,146.0,92.0,3.0,CRD,12.0,310.0,125.0,185.0,5.0
12101967CLT,December 10,NOR,15.0,268.0,195.0,73.0,4.0,CLT,17.0,252.0,127.0,125.0,1.0
12171967WAS,December 17,NOR,15.0,364.0,248.0,116.0,2.0,WAS,19.0,331.0,273.0,58.0,3.0
9151968NOR,September 15,NOR,14.0,208.0,123.0,85.0,3.0,CLE,16.0,338.0,185.0,153.0,3.0
9221968NOR,September 22,NOR,17.0,366.0,183.0,183.0,3.0,WAS,12.0,228.0,147.0,81.0,3.0
9291968NOR,September 29,NOR,18.0,323.0,227.0,96.0,1.0,CRD,14.0,219.0,97.0,122.0,1.0
1061968NYG,October 6,NOR,23.0,314.0,219.0,95.0,4.0,NYG,19.0,261.0,166.0,95.0,1.0
10131968NOR,October 13,NOR,10.0,207.0,86.0,121.0,7.0,MIN,15.0,190.0,51.0,139.0,4.0
10201968PIT,October 20,NOR,16.0,273.0,170.0,103.0,1.0,PIT,16.0,301.0,91.0,210.0,2.0
10271968CRD,October 27,NOR,16.0,301.0,185.0,116.0,1.0,CRD,18.0,392.0,226.0,166.0,2.0
1131968NOR,November 3,NOR,13.0,243.0,184.0,59.0,4.0,DAL,22.0,405.0,220.0,185.0,7.0
11101968CLE,November 10,NOR,18.0,284.0,123.0,161.0,3.0,CLE,17.0,467.0,245.0,222.0,6.0
11171968GNB,November 17,NOR,11.0,136.0,62.0,74.0,4.0,GNB,18.0,289.0,157.0,132.0,2.0
11241968DET,November 24,NOR,17.0,262.0,136.0,126.0,3.0,DET,15.0,274.0,189.0,85.0,2.0
1211968NOR,December 1,NOR,17.0,292.0,178.0,114.0,5.0,CHI,15.0,259.0,46.0,213.0,3.0
1281968PHI,December 8,NOR,21.0,311.0,202.0,109.0,1.0,PHI,15.0,318.0,167.0,151.0,2.0
12151968NOR,December 15,NOR,13.0,343.0,258.0,85.0,0.0,PIT,16.0,350.0,199.0,151.0,4.0
9211969NOR,September 21,NOR,20.0,328.0,111.0,217.0,1.0,WAS,12.0,303.0,229.0,74.0,1.0
9281969NOR,September 28,NOR,17.0,310.0,269.0,41.0,4.0,DAL,17.0,294.0,81.0,213.0,1.0
1051969RAM,October 5,NOR,17.0,315.0,262.0,53.0,3.0,RAM,16.0,350.0,228.0,122.0,1.0
10121969NOR,October 12,NOR,21.0,277.0,116.0,161.0,4.0,CLE,18.0,306.0,214.0,92.0,0.0
10191969NOR,October 19,NOR,23.0,325.0,247.0,78.0,4.0,CLT,25.0,491.0,309.0,182.0,0.0
10261969PHI,October 26,NOR,13.0,267.0,236.0,31.0,4.0,PHI,20.0,366.0,244.0,122.0,4.0
1121969CRD,November 2,NOR,26.0,508.0,345.0,163.0,1.0,CRD,19.0,478.0,374.0,104.0,4.0
1191969DAL,November 9,NOR,20.0,303.0,162.0,141.0,3.0,DAL,18.0,438.0,251.0,187.0,2.0
11161969NYG,November 16,NOR,16.0,296.0,145.0,151.0,0.0,NYG,18.0,364.0,256.0,108.0,2.0
11231969NOR,November 23,NOR,26.0,402.0,267.0,135.0,1.0,SFO,23.0,433.0,272.0,161.0,2.0
11301969NOR,November 30,NOR,23.0,385.0,201.0,184.0,0.0,PHI,15.0,304.0,214.0,90.0,4.0
1271969ATL,December 7,NOR,17.0,287.0,204.0,83.0,2.0,ATL,15.0,376.0,213.0,163.0,1.0
12141969WAS,December 14,NOR,20.0,336.0,162.0,174.0,3.0,WAS,15.0,248.0,157.0,91.0,0.0
12211969NOR,December 21,NOR,23.0,340.0,247.0,93.0,2.0,PIT,11.0,267.0,141.0,126.0,0.0
9201970NOR,September 20,NOR,9.0,235.0,150.0,85.0,2.0,ATL,14.0,265.0,116.0,149.0,2.0
9271970MIN,September 27,NOR,8.0,131.0,71.0,60.0,4.0,MIN,12.0,291.0,185.0,106.0,2.0
1041970NOR,October 4,NOR,10.0,183.0,92.0,91.0,3.0,NYG,22.0,361.0,210.0,151.0,3.0
10111970CRD,October 11,NOR,19.0,342.0,212.0,130.0,2.0,CRD,17.0,432.0,236.0,196.0,3.0
10181970SFO,October 18,NOR,14.0,283.0,203.0,80.0,4.0,SFO,14.0,337.0,264.0,73.0,4.0
10251970ATL,October 25,NOR,12.0,272.0,176.0,96.0,3.0,ATL,20.0,274.0,147.0,127.0,2.0
1111970NOR,November 1,NOR,11.0,212.0,145.0,67.0,3.0,RAM,21.0,408.0,260.0,148.0,5.0
1181970NOR,November 8,NOR,15.0,272.0,141.0,131.0,0.0,DET,18.0,278.0,143.0,135.0,6.0
11151970MIA,November 15,NOR,18.0,319.0,191.0,128.0,3.0,MIA,20.0,406.0,225.0,181.0,4.0
11221970NOR,November 22,NOR,11.0,263.0,214.0,49.0,3.0,DEN,25.0,452.0,302.0,150.0,1.0
11291970CIN,November 29,NOR,15.0,362.0,292.0,70.0,5.0,CIN,17.0,297.0,148.0,149.0,1.0
1261970RAM,December 6,NOR,15.0,255.0,180.0,75.0,0.0,RAM,25.0,445.0,336.0,109.0,0.0
12131970NOR,December 13,NOR,17.0,353.0,248.0,105.0,4.0,SFO,19.0,330.0,217.0,113.0,1.0
12201970NOR,December 20,NOR,9.0,191.0,143.0,48.0,4.0,CHI,19.0,376.0,272.0,104.0,4.0
9191971NOR,September 19,NOR,21.0,276.0,154.0,122.0,1.0,RAM,11.0,262.0,144.0,118.0,1.0
9261971NOR,September 26,NOR,16.0,263.0,173.0,90.0,2.0,SFO,17.0,319.0,125.0,194.0,2.0
1031971OTI,October 3,NOR,16.0,263.0,79.0,184.0,2.0,OTI,13.0,263.0,156.0,107.0,3.0
10101971CHI,October 10,NOR,18.0,263.0,188.0,75.0,4.0,CHI,26.0,427.0,225.0,202.0,3.0
10171971NOR,October 17,NOR,10.0,157.0,49.0,108.0,2.0,DAL,20.0,300.0,204.0,96.0,6.0
10241971ATL,October 24,NOR,15.0,202.0,144.0,58.0,2.0,ATL,25.0,364.0,80.0,284.0,1.0
10311971WAS,October 31,NOR,16.0,212.0,106.0,106.0,1.0,WAS,21.0,377.0,204.0,173.0,6.0
1171971NOR,November 7,NOR,26.0,373.0,161.0,212.0,3.0,RAI,13.0,240.0,106.0,134.0,2.0
11141971SFO,November 14,NOR,17.0,338.0,216.0,122.0,1.0,SFO,23.0,333.0,190.0,143.0,4.0
11211971NOR,November 21,NOR,11.0,258.0,167.0,91.0,2.0,MIN,20.0,267.0,95.0,172.0,2.0
11281971GNB,November 28,NOR,18.0,273.0,110.0,163.0,0.0,GNB,15.0,262.0,167.0,95.0,6.0
1251971RAM,December 5,NOR,20.0,263.0,207.0,56.0,1.0,RAM,22.0,421.0,128.0,293.0,1.0
12121971NOR,December 12,NOR,18.0,225.0,66.0,159.0,3.0,CLE,20.0,284.0,152.0,132.0,7.0
12191971NOR,December 19,NOR,20.0,300.0,135.0,165.0,1.0,ATL,14.0,319.0,262.0,57.0,1.0
9171972RAM,September 17,NOR,20.0,287.0,218.0,69.0,2.0,RAM,20.0,393.0,139.0,254.0,1.0
9251972NOR,September 25,NOR,10.0,152.0,93.0,59.0,0.0,KAN,20.0,324.0,185.0,139.0,4.0
1011972NOR,October 1,NOR,8.0,84.0,77.0,7.0,7.0,SFO,14.0,318.0,192.0,126.0,3.0
1081972NYG,October 8,NOR,15.0,286.0,228.0,58.0,6.0,NYG,20.0,357.0,149.0,208.0,2.0
10151972NOR,October 15,NOR,8.0,121.0,20.0,101.0,3.0,ATL,17.0,322.0,175.0,147.0,5.0
10221972SFO,October 22,NOR,19.0,367.0,273.0,94.0,2.0,SFO,14.0,340.0,274.0,66.0,3.0
